Date,Open,High,Low,Close,Volume
20180108,424.0,427.5,421.1,422.9,3447843
20180109,422.9,425.55,419.2,421.1,2509904
20180110,422.0,427.9,418.75,423.45,4253925
20180111,423.0,430.65,421.0,425.5,4415343
20180112,425.85,428.35,411.55,423.3,2581486
20180115,425.55,427.9,419.5,420.6,1599208
20180116,421.5,428.25,418.45,423.55,2318100
20180117,424.25,436.0,422.75,433.4,6715953
20180118,437.95,438.15,409.35,416.25,8794103
20180119,418.8,435.45,418.8,433.45,7588904
20180122,434.0,443.35,432.55,438.05,7092514
20180123,438.05,442.0,433.0,438.4,4659591
20180124,437.0,452.35,429.1,448.75,5201505
20180125,450.0,450.0,434.8,436.5,6792843
20180129,436.5,442.35,432.0,436.65,2126497
20180130,435.0,436.15,426.8,428.25,2389618
20180131,428.0,435.5,424.5,428.85,2734628
20180201,431.0,433.0,414.45,428.75,1681704
20180202,424.5,426.2,412.0,417.95,4265914
20180205,408.0,413.0,406.3,408.2,2936554
20180206,395.0,410.35,387.0,404.8,2963450
20180207,414.4,414.4,404.15,407.0,2592845
20180208,408.25,416.15,401.1,405.1,2952821
20180209,400.0,401.6,394.0,399.0,2936187
20180212,403.75,406.15,400.0,403.35,1249277
20180214,405.0,416.8,405.0,413.0,3001847
20180215,421.5,424.0,409.55,411.7,3293138
20180216,414.0,415.6,402.35,405.45,1740283
20180219,407.5,407.5,388.65,393.85,2140756
20180220,394.0,398.0,387.2,394.9,2045167
20180221,396.5,398.75,389.75,395.6,1800533
20180222,395.0,406.2,392.75,404.0,4726021
20180223,405.1,409.25,402.0,406.5,1953157
20180226,407.5,417.0,407.5,415.05,2299169
20180227,417.0,417.0,409.65,410.45,1334518
20180228,410.0,412.35,403.1,408.35,2823115
20180301,408.35,413.75,405.0,406.1,1216685
20180305,404.95,411.45,400.1,403.95,3665892
20180306,406.7,413.75,395.15,405.25,3321338
20180307,398.95,398.95,372.25,376.95,6951930
20180308,379.0,393.0,369.7,387.95,11040375
20180309,392.0,393.65,373.8,377.9,5352078
20180312,382.0,389.2,377.0,386.6,3693431
20180313,387.0,391.4,381.15,385.2,2175696
20180314,383.1,384.75,376.85,382.1,3616289
20180315,383.6,386.4,380.3,382.15,1818766
20180316,377.9,382.25,367.45,370.5,4972566
20180319,370.0,371.5,355.25,364.3,5253759
20180320,364.3,371.8,360.15,370.0,1780257
20180321,372.9,373.75,362.3,363.7,2296120
20180322,365.0,365.0,354.1,358.25,3443184
20180323,355.0,367.0,350.45,362.4,4518979
20180326,364.4,368.7,351.5,365.15,3884338
20180327,368.15,369.4,361.9,365.5,2631162
20180328,364.5,364.5,351.05,354.1,4766456
20180403,368.5,371.0,362.7,366.4,2679172
20180404,368.0,373.7,363.75,367.8,5611445
20180405,372.0,379.8,371.5,375.95,3648555
20180406,378.45,383.6,374.65,379.3,2037081
20180409,380.65,382.8,376.35,377.35,1571745
20180410,379.0,390.5,378.6,387.25,3493681
20180411,388.0,388.15,375.5,377.9,2045552
20180412,378.0,378.75,369.25,372.35,3609657
20180413,375.8,386.9,372.35,383.1,6485732
20180416,381.75,389.0,379.25,387.5,2682231
20180417,391.5,393.95,382.0,383.4,3770554
20180418,385.25,387.7,380.2,384.95,2568988
20180419,387.3,390.7,383.45,386.55,2848405
20180420,386.0,387.25,378.95,381.15,2178241
20180423,381.45,389.55,375.55,386.35,3614484
20180424,387.25,394.5,387.1,392.25,3093161
20180425,394.0,397.45,390.2,391.9,3205946
20180426,388.65,398.5,388.1,397.1,3663748
20180427,398.3,405.9,398.3,402.45,8210865
20180430,405.8,411.3,402.4,407.3,2264144
20180502,408.0,411.2,397.3,401.1,3047308
20180503,399.7,406.3,393.55,397.0,3161687
20180504,401.95,409.6,391.3,408.25,4782981
20180507,410.0,414.3,405.95,412.4,2582072
20180508,413.1,415.65,410.1,412.8,1945992
20180509,412.1,415.3,409.6,413.35,1408466
20180510,413.85,414.4,409.1,410.8,1552936
20180511,412.35,414.5,410.85,412.7,1442596
20180514,413.95,414.0,407.4,409.95,5517825
20180515,399.0,412.0,397.4,409.15,3089340
20180516,407.75,409.75,400.25,403.1,1897907
20180517,404.0,405.5,395.6,397.9,1614257
20180518,396.15,397.1,384.05,389.5,3895361
20180521,389.35,392.55,381.5,383.7,1544488
20180522,382.7,389.05,377.75,379.75,1861819
20180523,379.8,383.1,373.5,374.25,1560605
