Date,Open,High,Low,Close,Volume
20180102,567.0,568.6,556.35,559.5,6292268
20180103,561.3,565.45,555.75,560.45,3990149
20180104,564.85,565.0,558.0,559.9,2766664
20180105,561.05,566.0,556.7,563.25,3249056
20180108,565.8,568.0,562.45,565.45,3770339
20180109,564.0,573.0,563.0,565.3,4607504
20180110,566.15,566.7,560.45,562.8,2411625
20180111,562.0,563.15,553.55,558.75,2825941
20180112,560.2,563.4,552.5,555.1,6013121
20180115,556.7,564.45,556.4,560.55,3943472
20180116,562.95,566.9,555.8,563.2,5993564
20180117,564.05,589.3,561.0,585.2,8453944
20180118,596.0,597.15,578.6,584.8,9466991
20180119,584.9,594.0,581.2,590.25,3897048
20180122,595.95,621.75,583.15,611.55,21790443
20180123,616.4,627.6,611.45,620.1,14286343
20180124,621.9,621.9,606.3,607.95,6158610
20180125,610.0,619.25,598.6,616.1,6749846
20180129,614.55,620.9,603.65,605.55,7017160
20180130,605.6,607.45,592.45,593.75,6447963
20180131,589.3,596.0,587.15,593.6,7108060
20180201,593.6,610.0,586.1,592.8,7839731
20180202,587.8,587.8,561.3,564.9,6185174
20180205,551.1,568.65,547.5,566.25,9318595
20180206,543.0,577.05,534.0,563.7,13938327
20180207,568.0,574.65,556.0,559.35,7679830
20180208,562.8,576.9,559.7,568.45,5816886
20180209,559.9,561.95,550.4,557.55,5865587
20180212,563.7,568.0,560.35,564.2,4765319
20180214,565.0,565.85,540.1,543.9,6478108
20180215,534.75,554.8,531.35,543.7,11593643
20180216,547.05,548.6,535.0,537.85,3910503
20180219,537.85,544.95,527.5,540.55,4251723
20180220,542.0,548.05,529.4,531.7,3395183
20180221,534.0,538.5,524.4,535.8,4638382
20180222,533.0,533.75,527.5,530.25,7808359
20180223,527.0,538.9,525.55,536.65,3888629
20180226,541.1,554.4,539.0,552.3,5297794
20180227,551.6,551.6,536.15,538.4,4136383
20180228,534.0,536.5,520.0,528.75,6626661
20180301,524.0,535.55,522.0,525.75,9827510
20180305,524.0,528.95,521.3,524.55,6766199
20180306,526.0,530.65,511.2,517.35,12240160
20180307,510.9,517.9,507.55,512.65,10428057
20180308,518.45,523.95,507.45,520.55,8483978
20180309,522.45,522.55,503.0,505.35,4955525
20180312,510.6,521.95,505.3,519.2,5283334
20180313,517.1,534.95,514.65,531.5,7846232
20180314,528.95,538.0,522.5,536.15,4976540
20180315,535.2,539.2,528.25,529.65,3932830
20180316,530.9,532.9,520.5,522.6,12146623
20180319,522.6,526.0,517.05,519.45,4656613
20180320,509.0,525.0,509.0,521.1,5398111
20180321,523.0,532.5,522.5,526.3,5518826
20180322,522.6,525.9,516.75,518.2,7194256
20180323,509.5,510.25,496.0,499.5,29385110
20180326,499.0,509.3,495.2,507.3,9498614
20180327,512.3,522.55,509.05,512.2,6423140
20180328,512.9,512.9,501.6,510.5,10980960
20180402,506.75,508.5,492.2,499.05,7120498
20180403,494.0,506.0,493.7,501.55,6053789
20180404,504.5,504.5,490.25,492.25,6047813
20180405,498.4,504.65,495.2,503.1,6682587
20180406,502.95,502.95,495.2,500.2,3812133
20180409,502.2,522.0,501.2,519.3,8708770
20180410,523.0,549.7,521.4,546.15,21689156
20180411,550.1,551.0,534.0,539.8,9261807
20180412,537.3,550.0,534.85,548.75,8021652
20180413,550.0,555.55,535.75,542.55,8788919
20180416,541.5,543.8,530.35,542.4,6418203
20180417,544.95,544.95,530.25,532.4,5541004
20180418,535.5,535.5,516.5,518.25,7131174
20180419,521.0,521.45,509.1,512.9,10559623
20180420,513.5,513.85,503.0,505.7,4437940
20180423,508.4,511.2,500.0,506.2,4766412
20180424,506.0,514.75,503.35,504.85,4564259
20180425,506.0,506.0,496.3,498.4,4608455
20180426,496.75,501.05,483.3,493.75,14919977
20180427,481.25,543.1,481.25,539.2,58859461
20180430,535.8,536.1,513.4,517.3,18357008
20180502,518.5,527.95,515.4,523.75,25195767
20180503,522.0,538.8,522.0,533.4,12001916
20180504,533.9,533.9,519.05,520.3,5929870
20180507,523.75,537.9,523.0,536.1,6792091
20180508,536.65,547.5,533.45,542.25,12028184
20180509,543.1,549.65,537.05,548.5,7556830
20180510,548.5,554.0,542.95,547.65,11415139
20180511,548.6,556.5,545.5,553.3,4960854
20180514,551.2,558.9,547.55,551.9,4999526
20180515,548.0,563.5,547.35,549.7,6752759
20180516,545.0,552.75,541.05,550.0,9929095
20180517,550.0,553.0,536.5,539.45,8551787
20180518,536.8,540.7,528.5,532.9,7343619
20180521,535.0,537.8,521.85,526.85,4258800
20180522,528.4,533.5,520.65,523.3,4711540
20180523,522.0,528.2,519.4,520.25,4426060
20180524,521.7,537.0,521.1,534.45,5188026
20180525,535.6,543.5,532.5,538.5,4588810
20180528,541.7,548.0,540.95,546.15,5611936
20180529,547.0,549.9,543.2,547.75,8015443
20180530,543.75,544.7,535.05,541.65,5919369
20180531,543.0,551.8,532.25,545.9,15652651
20180601,543.0,544.3,532.85,536.65,4061137
20180604,539.55,541.95,531.25,537.05,4291186
20180605,534.65,536.0,524.25,530.9,5088506
20180606,530.0,533.8,526.6,531.4,5281259
20180607,533.8,550.0,532.15,542.4,6932191
20180608,541.05,541.9,535.45,537.4,4627913
20180611,539.8,542.6,530.35,539.95,4095873
20180612,543.5,544.5,535.8,537.15,3320721
20180613,539.8,551.8,536.85,540.65,5924906
20180614,539.8,539.8,531.0,532.0,3736633
20180615,527.8,534.65,516.1,528.75,7854953
20180618,530.25,531.0,521.45,522.55,3711213
20180619,522.15,524.4,514.4,517.2,6483110
20180620,520.75,527.4,517.15,519.1,4555002
20180621,521.25,522.0,511.1,513.05,4856050
20180622,513.0,527.8,510.55,525.65,5932446
20180625,520.35,523.35,513.1,515.2,4882240
20180626,516.5,518.7,512.05,514.2,4505122
20180627,516.0,516.0,501.6,507.85,5659070
20180628,508.0,513.5,500.8,504.6,4854274
20180629,505.8,514.5,498.75,510.8,7747444
20180702,510.75,513.8,503.0,512.25,6799910
