Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-03,561.3,565.45,555.75,560.45,3990149,0,0,0
2018-01-04,564.85,565.0,558.0,559.9,2766664,0,0,0
2018-01-05,561.05,566.0,556.7,563.25,3249056,0,0,0
2018-01-08,565.8,568.0,562.45,565.45,3770339,0,0,0
2018-01-09,564.0,573.0,563.0,565.3,4607504,0,0,0
2018-01-10,566.15,566.7,560.45,562.8,2411625,0,0,0
2018-01-11,562.0,563.15,553.55,558.75,2825941,0,0,0
2018-01-12,560.2,563.4,552.5,555.1,6013121,0,0,0
2018-01-15,556.7,564.45,556.4,560.55,3943472,0,0,0
2018-01-16,562.95,566.9,555.8,563.2,5993564,0,0,0
2018-01-17,564.05,589.3,561.0,585.2,8453944,0,0,0
2018-01-18,596.0,597.15,578.6,584.8,9466991,0,0,0
2018-01-19,584.9,594.0,581.2,590.25,3897048,0,0,0
2018-01-22,595.95,621.75,583.15,611.55,21790443,0,0,0
2018-01-23,616.4,627.6,611.45,620.1,14286343,38.43370379943142,6.099767381752373,0
2018-01-24,621.9,621.9,606.3,607.95,6158610,35.362663495838326,8.250251532058934,0
2018-01-25,610.0,619.25,598.6,616.1,6749846,31.746490936630355,11.219654544696578,0
2018-01-29,614.55,620.9,603.65,605.55,7017160,29.877856858029944,10.27446856204764,0
2018-01-30,605.6,607.45,592.45,593.75,6447963,27.69313220598758,14.982946257312685,0
2018-01-31,589.3,596.0,587.15,593.6,7108060,26.463619001359913,16.976586180513948,0
2018-02-01,593.6,610.0,586.1,592.8,7839731,30.136028159005146,15.035209075605954,0
2018-02-02,587.8,587.8,561.3,564.9,6185174,25.927606023910172,23.9300519728071,0
2018-02-05,551.1,568.65,547.5,566.25,9318595,23.54965784491879,27.71954487301927,0
2018-02-06,543.0,577.05,534.0,563.7,13938327,19.60768403447596,28.32873349185191,0
2018-02-07,568.0,574.65,556.0,559.35,7679830,18.187354770664037,26.276674252501692,0
2018-02-08,562.8,576.9,559.7,568.45,5816886,17.820326495076223,24.47966168372151,0
2018-02-09,559.9,561.95,550.4,557.55,5865587,16.565536648339886,26.383913611839223,0
2018-02-12,563.7,568.0,560.35,564.2,4765319,18.303644000467806,25.274333121250287,0
2018-02-14,565.0,565.85,540.1,543.9,6478108,20.019041957368824,24.17924995262826,29.96759770252562
2018-02-15,534.75,554.8,531.35,543.7,11593643,18.121573585610733,25.424149516893934,29.024905290426975
2018-02-16,547.05,548.6,535.0,537.85,3910503,17.10875776235624,24.003192291416294,28.149548050621092
2018-02-19,537.85,544.95,527.5,540.55,4251723,15.882204109641865,25.36366526353513,27.780841923790955
2018-02-20,542.0,548.05,529.4,531.7,3395183,15.938594416917438,23.43029959307993,27.155746342524473
2018-02-21,534.0,538.5,524.4,535.8,4638382,15.007214155439366,24.133319570383225,26.88149673518504
2018-02-22,533.0,533.75,527.5,530.25,7808359,14.471141727688764,23.271253694746516,26.62683638551271
2018-02-23,527.0,538.9,525.55,536.65,3888629,15.875754779441342,21.91525939907684,25.86644268165869
2018-02-26,541.1,554.4,539.0,552.3,5297794,21.377859704000198,20.22760211134777,24.216316726199178
2018-02-27,551.6,551.6,536.15,538.4,4136383,19.87794044548216,20.04654532510113,22.516744778497845
2018-02-28,534.0,536.5,520.0,528.75,6626661,18.30235949952225,25.414632889996607,22.070470088658315
2018-03-01,524.0,535.55,522.0,525.75,9827510,17.219912992572752,23.911549060947202,21.656072162378752
2018-03-05,524.0,528.95,521.3,524.55,6766199,16.62219735329626,23.399176355837,21.318738384179362
2018-03-06,526.0,530.65,511.2,517.35,12240160,15.179534122006858,25.8752337445058,21.656847898406035
2018-03-07,510.9,517.9,507.55,512.65,10428057,14.460317390904374,26.32016049502187,22.187227207522252
2018-03-08,518.45,523.95,507.45,520.55,8483978,16.130802468963324,24.340211660881923,22.05132982819431
2018-03-09,522.45,522.55,503.0,505.35,4955525,14.718058506262707,24.20200406476133,22.21678878103006
2018-03-12,510.6,521.95,505.3,519.2,5283334,13.623711428650248,22.402487341182155,22.370429237234692
2018-03-13,517.1,534.95,514.65,531.5,7846232,18.10788011278094,20.40992277724221,21.199439145640213
2018-03-14,528.95,538.0,522.5,536.15,4976540,18.214848034641825,19.018936832882673,19.839448329390216
2018-03-15,535.2,539.2,528.25,529.65,3932830,17.857173019248272,18.081416009302007,18.466913561998275
2018-03-16,530.9,532.9,520.5,522.6,12146623,16.844553180869745,20.600243557939226,17.86427254197906
2018-03-19,522.6,526.0,517.05,519.45,4656613,16.133427440972234,21.357921481926066,17.583624424362373
2018-03-20,509.0,525.0,509.0,521.1,5398111,14.920714132113638,23.534371765024936,17.927598943780755
2018-03-21,523.0,532.5,522.5,526.3,5518826,17.69466797408239,22.25100528330343,17.461794376274536
2018-03-22,522.6,525.9,516.75,518.2,7194256,16.864975772498877,24.03085241631081,17.466113925673017
2018-03-23,509.5,510.25,496.0,499.5,29385110,15.093267745892206,31.325448232371766,18.716323104642647
2018-03-26,499.0,509.3,495.2,507.3,9498614,14.081444918031396,29.605809694725483,19.91767333055974
2018-03-27,512.3,522.55,509.05,512.2,6423140,19.35445326438012,27.461530419308964,19.73190381860615
2018-03-28,512.9,512.9,501.6,510.5,10980960,18.296962262998786,29.563331881398735,20.003919102600744
2018-04-02,506.75,508.5,492.2,499.05,7120498,16.705111060743647,31.460192919213824,20.76322878223005
