Date,Open,High,Low,Close,Volume
20180102,1739.7,1739.7,1710.0,1724.65,576208
20180103,1727.0,1738.35,1711.0,1715.3,416136
20180104,1725.0,1758.25,1714.0,1754.0,730147
20180105,1766.0,1821.0,1759.1,1814.5,984327
20180108,1820.0,1843.0,1820.0,1836.85,825022
20180109,1843.0,1843.0,1810.0,1819.5,512721
20180110,1820.0,1820.95,1794.0,1802.2,406791
20180111,1798.0,1798.0,1773.05,1780.35,818471
20180112,1783.0,1790.9,1751.15,1770.1,606316
20180115,1771.0,1794.9,1733.0,1738.15,847037
20180116,1745.8,1745.8,1684.6,1687.35,1076581
20180117,1695.1,1709.85,1665.7,1701.2,1199501
20180118,1712.0,1717.25,1654.0,1660.7,961692
20180119,1660.9,1711.25,1632.6,1701.9,974597
20180122,1714.0,1726.0,1678.0,1706.35,924498
20180123,1710.0,1718.0,1692.4,1708.7,1245493
20180124,1715.0,1746.85,1697.05,1739.15,1441313
20180125,1741.0,1741.9,1703.4,1710.3,880891
20180129,1711.0,1735.25,1710.0,1715.3,643137
20180130,1715.0,1718.95,1671.0,1678.4,680104
20180131,1657.45,1690.0,1645.0,1677.85,1332225
20180201,1681.8,1760.0,1644.75,1729.45,1939812
20180202,1708.05,1713.0,1620.2,1628.9,1645045
20180205,1600.0,1627.95,1546.5,1604.95,1472164
20180206,1530.0,1683.75,1511.2,1662.15,2109416
20180207,1680.0,1687.0,1620.6,1641.65,1466983
20180208,1654.0,1679.0,1638.05,1662.15,750746
20180209,1629.05,1655.0,1617.3,1639.4,703720
20180212,1645.0,1656.0,1635.3,1643.8,472115
20180214,1654.0,1696.95,1651.55,1669.95,1066036
20180215,1678.8,1711.85,1601.8,1677.05,1177116
20180216,1690.0,1703.95,1671.55,1675.25,947685
20180219,1675.0,1675.0,1623.55,1642.7,695310
20180220,1654.85,1657.7,1626.0,1638.75,583955
20180221,1658.0,1658.0,1587.3,1596.45,1689744
20180222,1588.0,1617.5,1576.45,1600.35,1050625
20180223,1606.8,1638.0,1602.35,1633.4,711474
20180226,1640.0,1679.8,1636.5,1674.95,1036659
20180227,1676.0,1679.95,1651.0,1656.8,605244
20180228,1644.0,1659.6,1629.0,1640.25,1756349
20180301,1635.0,1666.0,1628.0,1659.35,1238390
20180305,1660.0,1660.0,1621.0,1636.95,743779
20180306,1655.0,1671.85,1627.6,1637.75,944176
20180307,1641.0,1648.65,1606.0,1618.35,644577
20180308,1634.95,1637.9,1594.2,1628.05,663196
20180309,1635.0,1667.2,1616.45,1654.2,839718
20180312,1663.0,1681.9,1655.05,1665.25,486187
20180313,1665.5,1698.85,1663.6,1680.7,820802
20180314,1672.0,1720.9,1668.25,1710.1,848659
20180315,1715.1,1739.9,1714.0,1726.25,739187
20180316,1712.0,1724.65,1681.05,1687.9,1017699
20180319,1698.9,1698.9,1627.0,1631.85,848984
20180320,1627.0,1663.1,1615.2,1657.3,1318758
20180321,1674.5,1712.0,1665.5,1704.55,1131098
20180322,1708.0,1720.0,1690.15,1695.6,1153716
20180323,1655.0,1695.0,1655.0,1685.3,1088426
20180326,1698.9,1748.0,1686.0,1741.6,1288984
20180327,1750.0,1798.0,1749.8,1772.45,1670239
20180328,1777.0,1793.0,1760.8,1767.55,986960
20180402,1769.0,1825.0,1769.0,1818.6,633203
20180403,1820.0,1840.0,1801.6,1834.25,1049457
20180404,1840.0,1869.6,1836.7,1850.2,1793441
20180405,1866.0,1922.1,1866.0,1915.6,1385959
20180406,1919.0,1943.5,1908.85,1937.6,1612001
20180409,1942.6,1967.75,1930.25,1944.25,1131792
20180410,1950.0,1952.45,1913.65,1926.05,1013811
20180411,1926.0,1955.0,1891.4,1924.65,1188976
20180412,1923.75,1942.1,1911.05,1929.35,535354
20180413,1931.0,1948.85,1907.6,1914.35,592886
20180416,1913.95,1950.0,1897.55,1943.3,772723
20180417,1959.9,1959.9,1918.0,1935.05,696203
20180418,1946.0,1950.55,1921.3,1926.85,462905
20180419,1935.0,1935.5,1908.15,1913.3,632589
20180420,1907.8,1907.8,1850.15,1880.4,1226196
20180423,1880.0,1919.75,1860.8,1899.35,762125
20180424,1908.0,1933.25,1898.6,1917.8,784895
20180425,1925.95,1938.95,1888.65,1899.85,677675
20180426,1909.0,1915.0,1876.6,1892.1,1098339
20180427,1912.0,1915.45,1892.5,1901.15,641591
20180430,1924.9,1924.9,1894.8,1907.7,647210
20180502,1909.0,1936.75,1900.0,1905.1,687083
20180503,1905.05,1906.75,1862.6,1874.3,471750
20180504,1880.0,1893.25,1851.65,1857.4,562177
20180507,1865.0,1902.0,1856.05,1895.45,485519
20180508,1898.5,1898.5,1860.0,1868.4,669757
20180509,1875.1,1875.1,1845.0,1849.1,645553
20180510,1852.0,1861.45,1818.0,1837.4,588792
20180511,1845.0,1880.75,1828.1,1861.5,483249
20180514,1863.1,1883.95,1842.95,1864.5,642971
20180515,1865.25,1933.5,1854.5,1901.95,1570302
20180516,1892.5,1929.0,1872.9,1919.95,952836
20180517,1930.0,2087.8,1906.1,2066.5,5581203
20180518,2069.9,2171.75,2065.65,2149.65,8316734
20180521,2125.0,2149.0,2080.55,2105.45,2376823
20180522,2111.0,2177.9,2110.0,2149.3,1963373
20180523,2148.0,2148.0,2066.2,2078.4,1443827
20180524,2095.5,2109.8,2068.0,2094.75,840932
20180525,2107.0,2151.9,2103.5,2116.0,1342145
20180528,2125.0,2138.0,2086.25,2094.95,806190
20180529,2105.0,2107.0,2065.05,2077.1,727259
20180530,2063.3,2130.0,2056.25,2118.65,1251508
20180531,2142.5,2145.0,2101.0,2109.9,1323397
20180601,2120.0,2120.0,2065.8,2077.4,604574
20180604,2090.2,2098.75,2055.3,2062.85,513152
20180605,2065.0,2119.55,2055.0,2100.6,816879
20180606,2122.0,2172.9,2107.0,2160.65,1802977
20180607,2172.0,2197.2,2160.15,2169.45,1489413
20180608,2164.9,2219.95,2147.05,2186.85,3039595
20180611,2210.0,2258.5,2196.2,2250.3,2059581
20180612,2255.0,2277.0,2236.0,2261.25,1655167
20180613,2270.0,2271.6,2225.7,2231.05,1095372
20180614,2235.0,2252.0,2197.0,2243.25,1321341
20180615,2250.0,2291.55,2231.1,2283.6,1637500
20180618,2272.0,2296.0,2234.2,2243.15,1126877
20180619,2235.0,2281.0,2227.05,2270.6,1151582
20180620,2274.95,2302.1,2261.15,2267.8,1127273
20180621,2277.0,2288.0,2250.1,2257.45,717023
20180622,2267.0,2342.0,2250.55,2336.05,1714224
20180625,2342.0,2399.0,2334.0,2390.6,2393535
20180626,2385.0,2419.15,2344.55,2367.35,2337942
20180627,2379.8,2379.8,2322.55,2335.5,1069126
20180628,2337.0,2348.0,2253.8,2274.7,1713003
20180629,2282.1,2320.0,2270.6,2296.35,1378421
20180702,2300.0,2314.7,2281.1,2299.55,840376
20180703,2305.0,2334.0,2285.75,2321.1,810667
20180704,2333.0,2345.0,2306.55,2331.4,916379
20180705,2339.0,2349.0,2322.4,2330.15,688785
20180706,2338.8,2355.0,2324.0,2345.7,690617
20180709,2359.0,2363.2,2337.0,2348.05,551695
20180710,2360.0,2382.0,2350.0,2366.35,784134
20180711,2365.9,2382.0,2345.0,2355.6,594805
20180712,2375.0,2429.0,2360.35,2415.0,1396150
20180713,2433.85,2475.0,2422.2,2468.6,1390485
20180716,2475.0,2499.4,2460.0,2472.3,1172644
20180717,2475.0,2492.25,2435.6,2469.15,944686
20180718,2478.2,2523.05,2471.35,2488.75,1405478
20180719,2503.9,2537.0,2357.5,2520.2,4889817
20180720,2521.0,2745.0,2486.85,2721.35,7361274
20180723,2720.0,2797.0,2717.0,2755.8,3551888
20180724,2749.0,2758.0,2687.25,2713.35,2778837
20180725,2727.0,2778.3,2692.0,2705.05,1884105
20180726,2695.0,2728.4,2654.8,2681.65,2185905
20180727,2685.0,2724.5,2667.05,2713.7,958703
20180730,2715.55,2722.6,2666.0,2678.0,822162
20180731,2672.0,2708.9,2668.05,2697.9,711174
20180801,2715.0,2771.65,2702.7,2722.8,1584541
20180802,2714.3,2726.25,2680.0,2683.85,781173
20180803,2700.0,2709.0,2660.25,2681.3,741852
20180806,2693.9,2707.95,2666.45,2696.25,622905
20180807,2705.0,2754.5,2682.0,2747.35,1166483
20180808,2755.2,2819.65,2752.0,2813.15,2113934
20180809,2824.0,2846.05,2800.0,2830.15,1147083
20180810,2816.0,2837.4,2791.25,2808.45,877508
20180813,2807.95,2807.95,2754.2,2760.4,809365
20180814,2763.3,2837.5,2763.3,2830.2,1051658
20180816,2832.0,2908.0,2822.05,2856.6,2229727
20180817,2866.0,2885.0,2841.5,2851.2,688133
20180820,2877.95,2877.95,2836.3,2839.75,665480
20180821,2840.85,2883.0,2824.8,2871.8,951549
20180823,2889.0,2909.0,2871.3,2893.85,1675920
20180824,2892.0,2943.4,2891.05,2916.6,1327710
20180827,2939.4,2959.0,2925.05,2950.75,976004
20180828,2982.0,2982.0,2925.8,2932.6,1233742
20180829,2930.0,2994.0,2930.0,2985.5,1402583
20180830,2993.9,2993.9,2920.95,2926.75,1452996
20180831,2935.0,2954.85,2841.1,2856.6,1357206
20180903,2880.0,2880.0,2715.3,2724.05,2516840
20180904,2724.0,2777.65,2683.5,2746.3,2606992
20180905,2740.15,2764.8,2668.0,2716.9,1728455
20180906,2729.0,2731.5,2671.4,2684.1,1147879
20180907,2698.4,2751.4,2672.6,2744.2,1264436
20180910,2732.0,2738.0,2596.0,2615.65,1570179
20180911,2621.0,2668.8,2562.25,2600.75,3357660
20180912,2617.95,2636.95,2516.1,2594.0,2682340
20180914,2630.5,2683.5,2626.25,2672.2,1795131
20180917,2660.0,2660.0,2588.25,2604.6,1455320
20180918,2610.0,2627.45,2559.0,2570.4,1449290
20180919,2585.0,2597.7,2486.5,2499.55,1894557
20180921,2530.0,2557.0,2124.65,2379.4,5750880
20180924,2422.15,2422.45,2168.6,2260.8,7798172
20180925,2235.0,2330.35,2180.6,2299.2,5537396
20180926,2329.0,2353.95,2295.1,2315.55,2728756
20180927,2323.4,2323.4,2192.15,2204.2,2796294
20180928,2232.0,2248.0,2117.0,2168.0,3831096
20181001,2168.0,2233.35,2052.2,2208.5,4821772
20181003,2200.0,2329.95,2166.05,2232.2,5567701
20181004,2169.0,2212.0,2118.55,2179.15,4002718
20181005,2160.0,2214.6,1963.25,2023.3,3470441
20181008,1992.0,2090.0,1912.2,1974.85,5966669
20181009,1975.0,2115.85,1947.65,2060.85,4859016
20181010,2100.0,2305.7,2100.0,2270.95,7235957
20181011,2100.0,2230.0,2060.0,2162.1,5467086
20181012,2227.25,2320.0,2227.25,2287.35,3665577
20181015,2319.75,2319.75,2261.1,2306.2,2435413
20181016,2325.0,2362.0,2285.25,2308.85,2528484
20181017,2340.0,2369.25,2132.85,2150.5,3811985
20181019,2150.0,2198.0,2053.95,2140.5,4286790
20181022,2188.0,2218.95,2091.0,2115.35,3681946
20181023,2095.0,2155.35,1997.55,2083.35,9064775
20181024,2175.0,2339.0,2160.0,2311.8,10357295
20181025,2285.0,2348.0,2256.8,2335.0,5201159
20181026,2329.95,2376.8,2278.5,2338.9,3795831
20181029,2338.9,2392.0,2315.0,2380.45,2201145
20181030,2395.0,2423.9,2350.35,2356.35,2202230
20181031,2367.8,2392.0,2306.9,2382.55,2808812
20181101,2391.45,2435.0,2372.45,2418.1,2552134
20181102,2443.0,2474.9,2365.0,2383.3,2367117
20181105,2390.0,2409.0,2332.7,2359.4,1625999
20181106,2370.0,2389.9,2332.35,2339.75,1368682
20181107,2360.0,2364.5,2343.7,2348.4,171467
20181109,2349.65,2383.85,2338.25,2375.35,1327846
20181112,2375.35,2385.0,2270.0,2277.6,1479678
20181113,2270.0,2308.35,2233.1,2285.0,2297710
20181114,2299.0,2315.0,2265.0,2293.95,1456146
20181115,2287.0,2348.0,2285.1,2341.3,1577115
20181116,2342.0,2417.2,2340.0,2402.1,1918873
20181119,2420.0,2422.3,2350.3,2360.95,1357795
20181120,2365.0,2392.95,2345.75,2380.1,1237702
20181121,2389.0,2435.0,2361.7,2430.55,1514725
20181122,2432.0,2454.8,2360.0,2381.5,1604279
20181126,2400.0,2411.9,2346.95,2394.6,1391434
20181127,2395.0,2439.9,2375.0,2435.45,1594955
20181128,2445.95,2449.0,2396.25,2412.55,1396260
20181129,2435.0,2517.6,2416.85,2506.5,2861284
20181130,2538.0,2564.4,2507.05,2537.7,2737341
20181203,2548.0,2555.55,2490.75,2508.65,1115592
20181204,2509.0,2549.0,2495.0,2543.55,1329587
20181205,2539.9,2539.9,2470.3,2494.1,1327031
20181206,2481.0,2494.0,2418.0,2432.4,1317472
20181207,2443.0,2497.75,2414.65,2486.35,1478720
20181210,2410.45,2443.9,2382.35,2395.55,1399894
20181211,2360.0,2446.5,2332.1,2426.75,2189278
20181212,2445.0,2514.9,2434.35,2493.95,1683197
20181213,2510.2,2528.95,2475.0,2489.1,1713161
20181214,2488.25,2512.0,2464.25,2486.35,1204379
20181217,2498.6,2509.9,2466.25,2474.4,1019602
20181218,2469.7,2538.2,2446.6,2532.2,1653107
20181219,2550.8,2629.1,2550.15,2596.9,2946314
20181220,2560.0,2609.9,2531.6,2591.4,1467028
20181221,2615.0,2623.9,2532.7,2591.25,3042464
20181224,2594.0,2604.85,2553.0,2564.9,1050017
20181226,2560.0,2582.95,2503.7,2567.4,1662068
20181227,2598.85,2626.75,2570.0,2587.15,1626301
20181228,2603.0,2643.8,2585.95,2634.8,1901581
20181231,2656.95,2666.3,2635.6,2645.15,1453327
20190101,2645.0,2664.0,2612.1,2656.85,917872
20190102,2635.1,2662.0,2601.9,2615.0,1256195
