Date,Open,High,Low,Close,Volume
20180108,534.15,534.15,514.2,516.35,11074508
20180109,518.0,521.05,504.7,509.8,6796613
20180110,515.0,517.5,504.3,506.4,6008949
20180111,508.0,516.7,503.2,514.75,5322546
20180112,516.0,517.35,504.5,509.55,4369137
20180115,509.8,511.95,502.45,504.5,2554677
20180116,508.0,513.65,491.4,497.25,5786478
20180117,495.0,503.2,491.45,499.9,6150484
20180118,501.0,508.8,493.0,495.0,7131552
20180119,484.0,500.25,483.5,497.9,8982201
20180122,495.6,498.5,488.0,490.7,4084647
20180123,494.0,498.8,488.8,492.1,5543486
20180124,486.9,487.0,455.15,459.5,26450900
20180125,463.5,463.5,444.45,452.7,18548035
20180129,444.0,446.4,435.05,440.6,24459885
20180130,440.6,451.1,437.25,440.6,9624998
20180131,442.5,446.0,436.4,439.85,6371320
20180201,440.05,447.0,430.1,438.4,7297226
20180202,437.8,440.5,415.8,422.35,6009663
20180205,417.75,446.75,411.2,440.2,13591277
20180206,420.0,447.75,418.55,439.15,8409695
20180207,444.95,449.4,427.1,430.25,9898121
20180208,434.0,436.0,425.0,429.8,5563903
20180209,424.0,433.95,419.7,422.5,4861350
20180212,429.8,431.0,421.35,424.4,3593521
20180214,426.3,438.5,426.3,434.8,9434541
20180215,439.3,439.3,426.7,428.95,4130548
20180216,434.95,434.95,418.4,419.7,3968970
20180219,419.85,420.0,403.2,414.35,5819508
20180220,415.1,422.2,415.1,418.1,7230257
20180221,420.0,422.5,417.35,419.65,4264637
20180222,418.8,419.25,413.35,416.1,9706094
20180223,419.0,428.2,417.1,425.55,6763260
20180226,430.0,430.0,420.85,423.15,3669690
20180227,425.8,432.65,424.3,430.5,4675953
20180228,430.0,433.5,425.9,428.55,23360784
20180301,429.05,436.6,425.75,427.75,5260644
20180305,426.95,427.1,417.6,421.45,3482148
20180306,423.7,427.65,410.6,413.9,3789549
20180307,410.65,416.3,391.25,403.2,10873348
20180308,411.5,414.1,395.0,401.3,7808565
20180309,404.9,408.5,397.55,402.15,4590422
20180312,405.0,424.5,404.0,421.55,7558993
20180313,423.0,429.8,420.15,426.3,5148679
20180314,425.9,425.9,418.55,422.6,3780338
20180315,422.6,424.3,417.25,420.45,3277154
20180316,415.25,426.75,413.65,416.75,7237424
20180319,418.0,421.6,396.7,399.65,5408078
20180320,399.0,403.5,392.7,400.4,7463026
20180321,403.0,420.15,402.2,418.2,8351422
20180322,414.0,420.25,412.1,415.6,4850714
20180323,412.65,418.95,405.2,412.7,5133743
20180326,412.0,423.0,406.6,421.5,4402440
20180327,422.0,422.4,408.2,413.2,6080433
20180328,411.0,413.05,395.4,398.7,10286301
20180403,391.25,404.0,391.25,402.2,4559620
20180404,404.0,404.8,392.95,395.05,3627666
20180405,398.1,400.9,391.15,393.9,8784680
20180406,394.2,396.5,383.1,384.95,8494868
20180409,382.9,386.7,376.65,380.3,11983251
20180410,381.05,386.7,374.5,385.55,11969955
20180411,388.0,390.8,383.35,385.3,6933891
20180412,384.0,385.5,379.2,380.2,4477422
20180413,382.95,386.2,375.8,377.9,6974242
20180416,377.0,380.3,374.5,376.65,3731213
20180417,377.0,383.45,374.15,382.05,5728575
20180418,383.7,391.85,382.35,384.25,5732851
20180419,388.75,397.3,385.45,395.35,3468687
20180420,393.55,403.7,391.45,402.0,6753048
20180423,401.5,406.5,396.85,402.85,3780866
20180424,401.9,408.6,396.6,406.25,6292775
20180425,414.45,427.4,412.0,419.85,20000806
20180426,420.0,420.0,405.45,409.2,12504161
20180427,406.25,411.75,401.0,408.75,4518031
20180430,407.0,413.25,404.2,409.55,3274387
20180502,412.9,412.9,406.0,408.45,6087447
20180503,406.3,408.0,399.0,404.4,3716970
20180504,410.85,418.35,394.0,396.75,14415306
20180507,401.5,404.55,395.5,398.25,5906011
20180508,401.45,402.95,396.8,401.15,3565204
20180509,403.2,409.5,397.2,402.45,8129162
20180510,404.85,413.7,403.9,412.1,8132505
20180511,400.15,402.7,381.5,386.6,23031948
20180514,386.0,394.0,378.3,383.15,8853922
20180515,383.0,388.15,378.35,381.95,6379409
20180516,382.95,382.95,374.0,375.35,6098125
20180517,377.25,378.95,365.45,367.6,9012407
20180518,368.05,368.05,355.05,361.35,11205849
20180521,361.35,369.25,355.2,360.0,4941028
20180522,356.95,371.1,351.6,361.85,6522208
20180523,361.8,365.8,354.25,356.8,5952154
20180524,359.0,373.9,356.9,371.9,4503855
20180525,372.3,380.0,367.0,376.95,3735986
20180528,377.6,380.8,370.8,375.15,5957301
20180529,375.95,381.7,371.25,379.15,3477100
20180530,378.9,378.9,373.0,375.8,3368675
20180531,376.1,383.2,371.25,373.6,10796716
20180601,374.55,385.9,372.55,383.7,4099108
20180604,384.0,386.75,370.1,372.3,3567479
20180605,371.4,372.25,357.55,364.3,4989187
20180606,362.1,381.9,362.1,379.75,5016415
20180607,379.7,386.25,375.0,379.95,3637971
20180608,379.5,383.45,372.25,377.55,3874201
20180611,377.75,391.8,377.75,388.8,5444048
20180612,389.95,393.4,379.55,380.65,5527034
20180613,374.0,382.9,373.3,375.65,6698891
20180614,373.5,384.0,373.5,376.5,4703619
20180615,378.7,380.25,370.2,378.25,5713581
20180618,377.95,380.9,368.05,370.9,2812154
20180619,371.0,375.9,369.2,371.2,3570887
20180620,372.5,376.5,370.45,371.9,2510768
20180621,374.95,375.0,363.8,368.7,3841053
20180622,370.95,376.5,366.3,374.55,3068406
20180625,372.0,377.95,371.8,374.15,3008052
20180626,374.0,382.75,373.2,380.2,4318837
20180627,381.25,381.55,373.1,375.65,3412205
20180628,373.7,381.4,368.55,377.95,5857077
20180629,375.3,383.3,375.3,381.95,3443146
20180703,374.6,374.6,366.1,370.75,2787262
20180704,370.85,371.9,362.7,367.4,3925362
20180705,365.0,366.75,359.65,363.4,6402876
20180706,362.0,365.4,359.9,362.25,7218013
20180709,366.0,366.4,361.6,362.1,4730035
20180710,362.5,369.8,362.5,367.8,1693780
20180711,368.9,368.9,360.9,362.0,1879248
20180712,365.0,365.0,360.35,362.15,2072184
20180713,364.0,364.85,357.35,358.95,4786772
20180716,356.0,359.75,344.8,347.4,3261119
20180717,347.0,350.7,340.0,342.55,4884957
20180718,344.1,345.1,331.0,336.8,4796681
20180719,339.0,347.5,337.6,345.0,4531466
20180720,343.0,347.7,340.35,345.4,3796397
20180723,345.5,360.0,345.0,358.95,3735930
20180724,361.4,366.45,355.25,356.8,3920957
20180725,355.1,355.8,343.5,352.3,4664164
20180726,353.05,360.0,352.35,357.65,3439808
20180727,359.9,373.9,351.65,364.7,8126603
20180730,359.0,388.9,355.3,383.25,6737958
20180731,382.0,392.55,378.7,390.6,7296848
20180801,390.0,399.0,382.65,384.5,8512340
20180802,383.4,384.75,369.2,373.0,5575854
20180803,374.8,376.9,370.4,374.5,3287520
20180806,374.85,387.7,374.7,385.75,3640662
20180807,385.75,386.8,379.25,381.9,2190884
20180808,380.1,387.9,373.4,385.3,2993950
20180809,386.3,386.3,364.5,367.05,11040336
20180810,368.2,374.8,365.1,369.8,4046462
20180813,368.9,375.75,363.0,370.15,3817525
20180814,370.15,372.7,364.0,367.0,2897961
20180816,366.55,374.0,365.2,372.0,2715006
20180817,372.05,375.0,366.15,371.4,3030830
20180820,372.4,373.85,367.3,370.55,2557572
20180821,364.0,370.4,363.1,368.25,3110530
20180823,372.3,376.75,368.1,369.9,4278039
20180824,370.0,370.8,365.0,368.95,2089422
20180827,370.0,383.8,367.4,379.15,5938671
20180828,382.35,385.7,375.4,376.8,3669920
20180829,378.0,382.45,372.75,374.9,4038807
20180830,377.3,385.0,375.65,383.1,7026818
