Date,Open,High,Low,Close,Volume
20180102,511.3,512.95,497.2,499.8,2536583
20180103,500.15,504.9,493.4,494.9,3870814
20180104,495.0,495.5,490.5,491.5,2720308
20180105,491.0,494.0,483.7,487.7,2939239
20180108,490.0,501.5,490.0,497.2,4990626
20180109,499.0,500.75,491.25,496.1,3653710
20180110,494.55,498.2,493.5,494.3,3121408
20180111,495.0,495.0,488.75,492.4,2958652
20180112,490.5,493.0,487.65,489.9,2808710
20180115,490.2,493.9,485.8,487.2,4078228
20180116,488.0,488.15,475.45,479.45,4661889
20180117,479.0,484.0,474.75,479.85,3397744
20180118,480.1,482.75,468.0,470.25,3671246
20180119,471.9,478.5,465.4,477.3,3908165
20180122,480.0,480.05,465.25,469.15,2168115
20180123,472.9,483.0,469.0,481.15,3779440
20180124,481.0,482.5,473.15,480.5,2540792
20180125,486.0,486.5,473.6,480.65,4016765
20180129,480.5,480.55,468.25,469.8,2647116
20180130,469.2,492.6,468.95,485.6,6592554
20180131,486.0,493.6,483.35,492.3,6111327
20180201,491.1,493.9,481.45,490.35,3649443
20180202,483.05,492.6,472.35,477.15,2990091
20180205,470.0,488.75,466.05,475.95,3435092
20180206,465.0,477.9,465.0,467.2,3148093
20180207,473.05,481.6,468.65,476.25,3631470
20180208,483.4,494.0,476.8,478.2,6038834
20180209,476.0,479.9,468.7,475.4,2862450
20180212,481.0,481.8,462.5,467.55,4569433
20180214,469.0,469.9,459.1,460.1,4451284
20180215,461.0,476.65,461.0,475.05,4723739
20180216,477.0,477.75,465.0,465.7,2413209
20180219,468.0,468.25,453.4,456.85,1842905
20180220,457.2,459.6,451.85,453.05,2250010
20180221,458.15,458.15,440.1,447.55,9163043
20180222,431.2,435.85,425.45,427.45,8907361
20180223,429.05,433.0,422.7,429.9,3418049
20180226,434.0,443.0,431.1,433.0,5897086
20180227,435.5,436.35,424.45,426.95,6814803
20180228,425.0,430.85,424.15,429.55,6071324
20180301,432.0,443.9,430.2,441.9,6222197
20180305,441.55,441.75,433.0,434.3,2843005
20180306,441.0,455.0,435.5,445.2,7854169
20180307,445.1,448.65,438.7,443.4,3474437
20180308,446.0,446.95,431.6,442.2,3945689
20180309,443.2,444.9,438.0,439.4,3712782
20180312,440.0,448.0,437.95,446.75,2541996
20180313,447.0,468.4,445.55,466.65,4170537
20180314,464.0,464.45,457.45,462.8,2851889
20180315,462.0,465.5,456.1,462.05,1828571
20180316,456.5,458.5,443.0,447.55,6147327
20180319,446.0,446.0,429.0,430.75,4955340
20180320,429.0,438.8,422.5,424.9,2812798
20180321,426.7,434.5,424.75,430.65,2900337
20180322,432.5,432.5,413.6,414.7,4748632
20180323,409.9,417.55,406.25,413.45,3663740
20180326,412.5,422.8,402.5,419.55,3729942
20180327,422.8,426.0,415.15,420.75,4748218
20180328,419.0,430.0,415.65,427.45,5863342
20180402,428.85,433.5,422.25,423.4,2292147
20180403,423.7,429.8,423.7,426.25,3570144
20180404,429.0,429.0,413.8,414.95,2451414
20180405,417.65,423.6,416.55,422.45,1836525
20180406,423.0,435.2,423.0,433.95,3530121
20180409,437.9,453.85,435.0,450.35,6248014
20180410,454.0,454.5,439.2,451.15,5034563
20180411,446.95,451.0,415.1,417.3,18488413
20180412,414.0,423.25,402.45,418.65,19347963
20180413,421.0,421.95,403.5,405.4,8810694
20180416,405.0,410.85,400.05,408.2,5507775
20180417,410.0,412.4,403.45,410.65,6389248
20180418,407.2,409.0,402.55,405.2,5162348
20180419,396.0,397.85,375.35,376.55,15936417
20180420,371.85,381.9,369.85,371.4,11704053
20180423,376.0,385.2,373.6,381.35,8684457
20180424,376.1,388.45,376.0,383.7,6391570
20180425,385.3,390.95,382.15,385.8,6676411
20180426,388.3,388.3,377.2,385.5,3946642
20180427,387.85,394.75,383.2,390.15,4446504
20180430,395.0,396.45,384.1,387.35,3962157
20180502,390.6,391.25,380.0,380.95,2297416
20180503,380.2,380.55,374.0,377.7,2889031
20180504,375.0,383.55,372.1,380.2,3667556
20180507,375.5,388.3,374.0,385.8,3809454
20180508,381.0,395.4,381.0,392.6,5972247
20180509,381.25,387.5,377.45,385.45,10857613
20180510,385.9,391.35,380.85,390.2,4196834
20180511,389.25,400.5,389.25,399.3,4525599
20180514,402.0,410.4,399.45,404.2,4045396
20180515,402.0,413.0,399.55,405.8,5175926
20180516,405.8,405.8,396.1,398.35,4858677
20180517,395.0,395.0,385.15,390.6,6449296
20180518,389.0,392.75,382.7,386.35,6591571
20180521,388.0,394.7,385.5,393.85,4331525
20180522,395.5,400.45,388.4,397.6,5789219
20180523,393.8,394.5,370.05,373.95,9982653
20180524,376.0,376.85,359.55,371.35,8733949
20180525,371.0,383.0,367.25,380.55,8218196
20180528,395.0,405.35,393.0,402.0,7161336
20180529,402.1,410.65,400.3,405.35,4902822
20180530,407.5,409.0,395.95,400.25,6102774
20180531,400.25,407.7,392.95,403.95,8807443
20180601,405.0,411.5,403.55,409.25,5185052
20180604,411.1,417.05,393.05,408.5,7862335
20180605,409.9,410.45,403.05,405.35,3511616
20180606,408.0,412.0,405.1,410.0,2931303
20180607,411.0,417.85,410.2,416.05,3043594
20180608,412.1,412.8,404.9,409.85,3242037
20180611,410.0,418.0,408.6,414.4,6333917
20180612,418.0,420.5,414.7,415.1,3432976
20180613,417.5,421.45,413.6,419.9,5181852
20180614,419.9,419.9,413.7,416.35,3748520
20180615,416.5,416.6,409.3,412.25,6200928
20180618,419.5,429.15,415.75,423.1,6473424
20180619,418.85,420.0,408.45,413.6,4299021
20180620,415.0,418.0,405.05,410.7,3012519
20180621,414.9,426.4,407.25,421.95,4296333
20180622,423.0,429.0,420.2,426.35,7297576
20180625,424.0,425.0,409.3,412.0,5366864
20180626,407.65,417.75,407.5,415.25,4210730
20180627,408.0,408.7,378.4,382.8,8500664
20180628,372.0,385.2,363.5,366.95,13350963
20180629,370.0,378.9,361.85,373.3,6923201
20180702,375.0,378.0,367.25,369.2,4534866
20180703,367.75,376.75,364.1,373.9,3996833
20180704,373.0,375.45,364.65,367.85,3360223
20180705,371.7,375.5,369.1,371.55,4211975
20180706,375.0,381.4,372.55,374.55,6921258
20180709,376.0,378.6,371.1,376.3,2290472
20180710,376.4,377.75,373.55,375.25,1687856
20180711,375.9,379.0,363.75,366.5,4161891
20180712,386.0,386.0,376.05,377.35,6037471
20180713,381.1,389.0,375.3,386.65,5863561
20180716,385.0,392.0,379.9,382.2,3535136
20180717,389.95,395.5,384.6,392.65,7021980
20180718,396.0,404.85,393.9,402.35,6700271
20180719,399.9,402.95,391.45,398.3,2945262
20180720,394.1,395.0,384.15,388.85,4250615
20180723,391.5,400.5,384.6,389.7,3779284
20180724,392.7,397.95,389.65,396.95,2829717
20180725,391.35,399.3,388.55,395.65,2749066
20180726,390.75,396.3,387.7,388.9,5872115
20180727,390.0,399.0,384.05,397.2,3490928
20180730,399.0,407.5,392.7,395.75,4155413
20180731,391.1,392.9,385.65,389.75,3896168
20180801,395.0,399.9,393.2,396.0,4396488
20180802,401.4,404.0,397.5,401.8,4192400
20180803,398.0,405.0,396.0,400.95,2911929
20180806,400.0,404.0,399.45,401.0,1741153
20180807,401.0,402.3,392.6,394.1,1905451
20180808,395.0,397.85,383.15,387.3,4234812
20180809,397.5,397.5,385.9,388.95,5418177
20180810,391.45,404.0,387.6,401.6,5553298
20180813,400.4,400.4,376.5,379.7,4383497
20180814,382.5,383.45,375.75,376.65,4304827
20180816,380.0,384.0,375.25,378.3,3910069
20180817,381.0,381.0,375.1,377.6,2717107
20180820,378.1,382.25,374.45,375.95,3398521
20180821,378.5,378.5,368.1,368.75,5566455
20180823,369.3,369.65,357.0,357.75,7090247
20180824,358.25,362.0,353.5,356.95,4865929
20180827,358.5,362.35,357.0,361.55,3173548
20180828,361.55,364.9,357.15,358.55,3873689
