Date,Open,High,Low,Close,Volume
20180108,618.5,627.5,612.2,615.05,1061612
20180109,617.0,618.65,610.65,615.6,846158
20180110,616.0,624.15,612.85,619.75,1207313
20180111,619.0,619.0,609.1,612.35,1092457
20180112,614.0,618.4,603.1,612.1,891848
20180115,612.5,615.5,608.2,610.25,470386
20180116,610.15,613.5,599.0,601.4,1088762
20180117,601.05,610.6,597.05,607.15,883340
20180118,608.1,612.95,598.25,603.65,1028921
20180119,603.65,605.1,600.15,602.75,818518
20180122,604.4,605.0,593.1,601.15,933769
20180123,602.5,625.0,600.3,622.35,2105060
20180124,621.95,623.75,612.9,618.3,1089562
20180125,618.15,631.0,613.7,621.4,2973765
20180129,624.95,628.4,611.1,615.0,1564268
20180130,613.0,613.1,603.2,605.95,596682
20180131,608.0,608.5,590.0,592.15,1264055
20180201,591.9,597.0,580.2,587.05,1050098
20180202,586.0,593.9,575.1,581.15,998752
20180205,576.0,582.1,571.2,580.1,797017
20180206,561.0,572.0,558.05,564.25,1284112
20180207,578.5,579.9,554.2,569.25,3161498
20180208,584.0,617.15,580.15,612.65,8349913
20180209,595.0,626.0,595.0,621.4,2373799
20180212,629.35,635.0,618.85,621.65,1957424
20180214,622.1,630.3,611.5,616.15,1306512
20180215,613.25,621.45,602.95,605.85,1391858
20180216,611.3,613.95,605.5,611.1,906025
20180219,612.0,612.15,594.35,600.4,1216005
20180220,603.45,606.1,592.0,603.45,1599249
20180221,607.0,607.75,589.25,597.25,1409752
20180222,595.0,597.25,586.6,589.65,1859008
20180223,591.8,605.0,590.0,595.65,1576584
20180226,596.25,598.3,588.75,590.1,1417465
20180227,591.7,598.9,583.1,586.5,1349590
20180228,590.0,596.6,587.1,589.65,2255189
20180301,593.9,593.9,580.4,581.7,1343806
20180305,582.1,585.0,578.05,579.25,1179725
20180306,581.6,589.4,580.05,584.1,1891302
20180307,587.45,589.1,578.2,580.2,1849650
20180308,584.0,584.0,574.0,578.0,1084582
20180309,579.95,585.2,568.05,571.05,1149194
20180312,575.05,582.2,563.55,580.65,919792
20180313,579.0,582.9,575.15,578.75,801792
20180314,578.35,583.8,571.65,577.9,811747
20180315,578.0,579.6,569.0,571.15,849222
20180316,570.1,574.0,557.05,559.4,1867538
20180319,563.65,566.9,555.4,559.75,1447941
20180320,555.1,561.85,522.9,552.9,9119209
20180321,558.5,567.45,546.4,551.05,3091963
20180322,551.9,555.0,538.15,540.75,1506405
20180323,539.0,540.7,534.0,538.4,1203262
20180326,538.15,544.6,532.95,541.8,1105319
20180327,541.0,549.0,541.0,545.05,2206872
20180328,544.0,548.8,534.0,545.45,2667979
20180402,548.0,578.95,545.9,576.25,2823880
20180403,572.0,578.35,568.8,570.3,2493190
20180404,572.35,575.45,564.5,569.8,1852997
20180405,574.0,578.55,558.35,560.35,2396864
20180406,560.3,571.0,557.25,558.95,2420324
20180409,565.9,565.9,555.5,556.75,1470765
20180410,558.0,567.0,556.6,558.15,1591682
20180411,560.7,564.0,558.5,561.5,1789789
20180412,562.9,562.95,554.8,556.15,1309557
20180413,557.55,561.15,552.55,555.5,1019158
20180416,553.05,587.8,553.05,584.95,6741354
20180417,585.55,588.35,575.7,579.95,2688507
20180418,582.0,597.0,582.0,584.6,3853951
20180419,584.25,592.0,583.05,584.4,1525419
20180420,582.35,593.4,581.5,589.05,1641179
20180423,576.0,601.75,576.0,600.15,3016500
20180424,601.0,604.9,595.1,601.9,2782988
20180425,600.5,600.5,586.2,593.05,1125208
20180426,591.0,602.9,590.55,599.95,1503008
20180427,602.0,607.0,593.0,599.85,1031376
20180430,602.2,609.0,602.0,607.4,687828
20180502,610.0,621.9,608.95,612.0,1862999
20180503,613.0,613.1,597.0,609.3,999887
20180504,612.1,612.45,595.5,597.0,925559
20180507,598.6,600.1,585.0,591.05,1046885
20180508,592.4,601.95,586.55,590.65,1039491
20180509,591.4,596.0,585.55,588.0,652527
20180510,594.0,594.6,572.5,575.5,2163326
20180511,577.05,580.75,565.1,573.7,921890
20180514,575.0,580.5,570.85,578.5,888370
20180515,579.8,593.0,573.1,575.8,2049528
20180516,575.0,575.0,546.0,559.9,4071898
20180517,557.9,560.0,538.8,553.75,3719963
20180518,555.0,556.0,530.0,533.05,1708157
20180521,531.65,536.8,516.0,520.45,2013336
20180522,524.8,531.1,507.2,524.0,3080285
20180523,515.0,564.9,515.0,532.4,7413823
20180524,536.5,544.55,530.0,533.5,1925524
20180525,538.85,538.85,527.5,536.65,1525355
20180528,534.0,548.3,534.0,539.5,1460566
20180529,539.1,542.6,527.7,530.6,2656979
20180530,529.1,529.1,519.55,525.6,2156315
20180531,528.6,533.65,521.05,524.8,3539206
20180601,526.95,530.75,521.05,524.5,1625446
