Date,Open,High,Low,Close,Volume
20180102,268.0,270.9,267.0,270.05,5659389
20180103,271.0,273.45,269.7,271.85,9240120
20180104,272.9,279.85,272.2,277.8,6919578
20180105,278.5,280.65,278.0,278.75,3344950
20180108,279.0,290.6,279.0,287.45,4891781
20180109,299.7,311.0,296.65,304.05,27639107
20180110,306.0,309.8,305.0,308.3,15300218
20180111,308.0,310.0,302.95,308.1,4703627
20180112,309.0,310.8,306.2,309.0,5119534
20180115,309.25,310.45,304.5,305.9,2643125
20180116,305.9,305.9,290.6,291.6,4069770
20180117,293.0,294.95,286.3,290.95,4360706
20180118,293.3,293.8,278.1,283.05,3784420
20180119,283.05,285.9,280.5,284.0,2574759
20180122,287.1,289.7,283.7,285.05,3025790
20180123,285.2,294.15,285.2,293.1,3974425
20180124,292.5,298.5,287.0,294.55,3073618
20180125,294.55,302.65,294.55,299.4,6919878
20180129,298.5,306.0,296.95,301.75,3557035
20180130,299.0,307.5,295.2,305.9,3085086
20180131,303.5,304.55,298.0,299.55,5198298
20180201,300.1,301.15,290.95,295.6,4533542
20180202,292.1,297.55,286.05,290.35,6393201
20180205,293.0,296.0,285.0,294.8,7795465
20180206,287.0,292.0,280.1,290.35,4674661
20180207,291.5,299.7,290.35,297.6,7223510
20180208,297.6,302.6,296.7,300.0,3286814
20180209,295.1,304.45,294.4,300.15,4731060
20180212,303.9,305.0,297.05,300.65,4512970
20180214,300.0,309.45,300.0,306.95,5725179
20180215,307.5,311.8,304.65,308.1,5219503
20180216,308.1,310.45,302.6,303.5,1931615
20180219,303.0,307.4,301.05,305.4,2935183
20180220,305.0,311.85,302.0,310.4,8602002
20180221,311.0,312.0,305.15,310.55,5399556
20180222,306.5,315.0,306.5,311.55,7815886
20180223,310.75,313.85,308.35,310.95,3195456
20180226,311.25,316.4,309.0,314.05,3171308
20180227,313.65,316.95,307.2,309.0,6667601
20180228,307.0,311.8,305.0,309.15,3731061
20180301,310.8,314.15,308.0,312.9,2535090
