Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-01,263.0,267.3,262.6,266.65,3079260,0,0,0
2018-01-02,268.0,270.9,267.0,270.05,5659389,0,0,0
2018-01-03,271.0,273.45,269.7,271.85,9240120,0,0,0
2018-01-04,272.9,279.85,272.2,277.8,6919578,0,0,0
2018-01-05,278.5,280.65,278.0,278.75,3344950,0,0,0
2018-01-08,279.0,290.6,279.0,287.45,4891781,0,0,0
2018-01-09,299.7,311.0,296.65,304.05,27639107,0,0,0
2018-01-10,306.0,309.8,305.0,308.3,15300218,0,0,0
2018-01-11,308.0,310.0,302.95,308.1,4703627,0,0,0
2018-01-12,309.0,310.8,306.2,309.0,5119534,0,0,0
2018-01-15,309.25,310.45,304.5,305.9,2643125,0,0,0
2018-01-16,305.9,305.9,290.6,291.6,4069770,0,0,0
2018-01-17,293.0,294.95,286.3,290.95,4360706,0,0,0
2018-01-18,293.3,293.8,278.1,283.05,3784420,0,0,0
2018-01-19,283.05,285.9,280.5,284.0,2574759,36.28210354667756,24.582144313086015,0
2018-01-22,287.1,289.7,283.7,285.05,3025790,37.6359140874021,23.351902052488903,0
2018-01-23,285.2,294.15,285.2,293.1,3974425,38.48717030773047,21.587310329634015,0
2018-01-24,292.5,298.5,287.0,294.55,3073618,38.425524049363396,19.57428593929359,0
2018-01-25,294.55,302.65,294.55,299.4,6919878,39.27169452855157,18.281200904644514,0
2018-01-29,298.5,306.0,296.95,301.75,3557035,39.10564328828624,16.935101291055563,0
2018-01-30,299.0,307.5,295.2,305.9,3085086,35.30110472664747,16.671696028820367,0
2018-01-31,303.5,304.55,298.0,299.55,5198298,33.07536746262742,15.620544361100741,0
2018-02-01,300.1,301.15,290.95,295.6,4533542,30.40942048234524,19.93252788031605,0
2018-02-02,292.1,297.55,286.05,290.35,6393201,27.698678217685718,21.953916167388865,0
2018-02-05,293.0,296.0,285.0,294.8,7795465,25.369162024587965,20.91033885107955,0
2018-02-06,287.0,292.0,280.1,290.35,4674661,22.630096466999433,22.251628574227432,0
2018-02-07,291.5,299.7,290.35,297.6,7223510,26.742816380067,20.71930511608353,0
2018-02-08,297.6,302.6,296.7,300.0,3286814,27.74463246579303,19.793058487409283,0
2018-02-09,295.1,304.45,294.4,300.15,4731060,28.72794082369473,18.8839235030238,23.091238488123473
2018-02-12,303.9,305.0,297.05,300.65,4512970,27.365109493716528,17.70391642253032,22.973038338108115
2018-02-14,300.0,309.45,300.0,306.95,5725179,28.826058300401154,16.392650084089958,23.296118426640394
2018-02-15,307.5,311.8,304.65,308.1,5219503,29.05605834470232,15.459653134072445,23.813748244278905
2018-02-16,308.1,310.45,302.6,303.5,1931615,27.224031660965675,16.131466143204147,23.940276343287508
2018-02-19,303.0,307.4,301.05,305.4,2935183,25.806561298841867,16.562474865464576,23.788686882521514
2018-02-20,305.0,311.85,302.0,310.4,8602002,27.356599495386885,15.237177706331174,24.121888053080568
2018-02-21,311.0,312.0,305.15,310.55,5399556,25.93368381649828,14.37567750982483,24.446985753228375
2018-02-22,306.5,315.0,306.5,311.55,7815886,26.591231409541106,13.365821309134274,25.064991279455093
2018-02-23,310.75,313.85,308.35,310.95,3195456,25.35031365285047,12.742086186085114,25.638853553808474
2018-02-26,311.25,316.4,309.0,314.05,3171308,25.92723988538846,11.93506827967732,26.447179087419535
2018-02-27,313.65,316.95,307.2,309.0,6667601,23.78936149289036,12.47322041784408,26.787102699438474
2018-02-28,307.0,311.8,305.0,309.15,3731061,22.40196134672793,13.632609563047883,26.612019694637507
2018-03-01,310.8,314.15,308.0,312.9,2535090,23.251712640989318,12.899861172640511,26.756488316215894
2018-03-05,310.45,311.45,303.95,305.8,3593849,21.44520930227066,15.413360188879278,26.014228340369545
2018-03-06,306.9,309.45,301.1,307.0,3693197,19.892396668494744,16.76872729450339,24.764668192762745
2018-03-07,306.0,308.95,302.9,306.95,4794848,18.82859593685425,15.871973390896338,23.604362341413573
2018-03-08,308.0,308.75,302.15,305.5,2236174,17.71557900948536,15.605471552817024,22.370669020373928
2018-03-09,305.0,307.5,302.1,304.05,2136347,16.838532583506492,14.878730246751562,21.21411958166419
2018-03-12,305.4,306.9,296.0,297.65,6796993,15.202473755065146,18.87057319548159,20.467782394059075
2018-03-13,297.5,298.65,290.0,294.85,6306692,14.036898976602613,22.74192034316688,20.696410229874523
2018-03-14,291.0,294.4,290.7,293.1,4406927,13.502036857386207,21.87536201500109,20.908707505988872
2018-03-15,294.0,298.9,292.1,295.5,4487868,16.820635063571835,20.497168990400482,20.11893959702531
