Date,Open,High,Low,Close,Volume
20170816,1995.0,2017.8,1970.05,2005.25,662136
20170817,2010.0,2031.9,1992.45,2011.25,540131
20170818,1998.0,2007.55,1971.3,1982.0,349297
20170821,1990.0,2001.0,1921.1,1931.1,418295
20170823,1991.0,2053.45,1991.0,2030.95,809996
20170824,2028.0,2100.0,2010.55,2088.15,1124967
20170828,2084.0,2089.75,2027.1,2049.4,844176
20170829,2049.0,2067.5,2032.0,2042.05,607366
20170830,2047.0,2074.4,2031.4,2038.9,401449
20170831,2044.0,2051.7,2006.0,2020.9,837809
20170901,2115.0,2233.0,2115.0,2217.55,3613589
20170904,2234.0,2236.4,2173.25,2195.1,947235
20170905,2198.3,2218.35,2181.9,2209.15,513527
20170906,2185.35,2208.0,2175.75,2196.9,527252
20170907,2204.0,2235.0,2201.0,2224.95,491394
20170908,2229.0,2229.0,2066.15,2162.5,1719424
20170911,2169.0,2198.0,2154.0,2159.5,445377
20170912,2165.0,2197.4,2135.4,2165.75,517997
20170913,2187.0,2228.0,2169.15,2217.35,755242
20170914,2234.0,2264.95,2230.0,2253.35,613254
20170915,2225.2,2245.0,2201.1,2211.2,672801
20170918,2204.0,2258.55,2175.6,2242.05,730962
20170919,2232.0,2265.0,2200.0,2241.55,566790
20170920,2250.0,2329.0,2240.0,2314.7,1333098
20170921,2346.25,2500.0,2346.25,2486.55,4057364
20170922,2494.0,2526.75,2446.55,2457.75,1991351
20170925,2464.0,2475.0,2405.0,2417.25,911049
20170926,2414.0,2415.0,2322.65,2370.75,1424436
20170927,2360.0,2384.0,2281.1,2304.7,935536
20170928,2300.0,2415.0,2272.2,2375.4,2815633
20170929,2375.4,2390.7,2320.1,2328.75,1133595
20171003,2415.0,2415.0,2320.45,2335.55,978860
20171004,2342.0,2398.4,2319.55,2387.6,1187980
20171005,2392.0,2428.4,2376.0,2389.15,759504
20171006,2395.0,2409.9,2368.0,2375.85,533762
20171009,2380.0,2433.0,2379.25,2408.95,633048
20171010,2419.7,2431.25,2401.6,2411.35,316335
20171011,2409.9,2420.05,2351.4,2372.15,450295
20171012,2397.0,2397.0,2358.5,2379.85,416094
20171013,2373.0,2379.6,2350.0,2354.45,341789
20171016,2356.0,2411.0,2356.0,2403.5,386658
20171017,2397.0,2397.0,2375.5,2381.35,307110
20171018,2386.7,2404.0,2376.0,2385.4,333114
20171019,2385.0,2387.0,2362.05,2373.05,47303
20171023,2390.1,2415.0,2352.0,2366.2,363956
20171024,2373.0,2382.3,2356.0,2363.65,194673
20171025,2366.0,2395.1,2340.2,2348.85,295696
20171026,2349.4,2357.95,2315.0,2344.35,449242
20171027,2354.7,2410.0,2339.8,2394.95,434936
20171030,2396.0,2465.0,2367.05,2438.5,832219
20171031,2420.0,2504.0,2390.0,2428.15,1957333
20171101,2412.0,2418.65,2348.0,2354.2,1176092
20171102,2354.2,2440.0,2354.2,2411.4,1239887
20171103,2434.7,2449.8,2392.95,2419.1,576646
20171106,2414.0,2419.1,2380.65,2392.25,283667
20171107,2402.2,2415.0,2337.5,2378.0,518350
20171108,2380.2,2420.0,2340.0,2346.6,432395
20171109,2368.6,2384.1,2340.2,2370.1,345854
20171110,2369.8,2379.9,2340.0,2347.85,209756
20171113,2354.7,2375.0,2330.05,2344.1,299182
20171114,2348.7,2349.95,2310.05,2320.3,279262
20171115,2324.4,2337.0,2293.0,2310.15,224495
20171116,2322.1,2342.1,2315.0,2333.55,282950
20171117,2333.55,2356.95,2303.0,2322.6,274657
20171121,2275.2,2494.0,2275.2,2394.15,2392882
20171122,2365.0,2384.95,2336.05,2360.65,536873
20171123,2361.05,2367.0,2300.0,2306.25,686743
20171124,2310.0,2322.9,2286.85,2295.05,346100
20171127,2296.0,2305.8,2280.55,2294.8,246222
20171128,2290.0,2304.0,2268.0,2290.9,307103
20171129,2294.0,2319.9,2270.0,2276.8,575033
20171130,2261.0,2312.15,2261.0,2284.05,1452047
20171201,2280.0,2286.0,2222.5,2233.9,529288
20171204,2275.0,2275.0,2229.05,2242.4,295595
20171205,2247.0,2247.0,2202.1,2209.35,285781
