Date,Open,High,Low,Close,Volume
20180101,30399.9,30420.0,29850.0,29893.2,19847
20180102,29925.0,29955.0,28539.7,28670.2,84793
20180103,28850.0,29045.0,28542.2,28814.3,47088
20180104,28825.7,28957.6,28415.0,28570.8,49421
20180105,28797.0,29325.0,28686.2,29237.0,52777
20180108,29400.0,29400.0,29040.1,29197.4,32924
20180109,29201.0,29241.7,28510.7,28596.9,82718
20180110,28620.0,28699.9,28000.0,28097.5,84202
20180111,28100.0,28525.0,27820.5,28444.7,60091
20180112,28520.0,28780.0,28211.0,28649.8,59657
20180115,28750.0,28750.0,27900.0,27981.5,57594
20180116,28010.0,28150.0,27701.0,27891.2,46537
20180117,27800.0,28301.0,27680.1,28222.8,47595
20180118,28228.8,28479.0,27811.1,27954.4,49399
20180119,27880.0,28188.3,27751.0,28009.4,32459
20180122,28009.4,28097.8,27590.0,27649.8,34466
20180123,27700.0,27829.4,27020.0,27071.2,117399
20180124,27006.0,27050.0,26302.2,26404.1,94058
20180125,26500.0,26730.0,26208.1,26519.4,175472
20180129,26730.0,27849.0,26566.1,27453.7,127423
20180130,27450.0,27453.0,26559.0,26689.4,141663
20180131,26827.3,27387.0,26525.2,26923.6,137766
20180201,26984.0,28300.0,26714.5,28047.3,125564
20180202,27901.0,28521.5,27200.0,27811.8,149859
20180205,27300.0,27799.0,27300.0,27537.9,48683
20180206,26545.6,28050.0,26500.0,27579.2,61408
20180207,27919.7,28410.9,27120.1,28010.4,138851
20180208,28230.0,28350.0,27810.0,28198.0,68533
20180209,27605.0,27950.0,27560.0,27747.9,33515
20180212,27751.0,28000.0,27706.5,27901.4,17594
20180214,27820.0,28217.4,27752.6,28027.6,37999
20180215,28200.0,28399.0,28100.0,28340.4,30232
20180216,28400.0,28424.9,27151.0,27328.2,49309
20180219,27485.0,27558.8,26695.7,27089.5,33266
20180220,27120.0,27399.9,26801.0,26916.4,21098
20180221,27124.0,27480.0,27043.6,27365.8,36682
20180222,27350.0,27350.0,26700.0,26868.5,61721
20180223,27100.0,27146.4,26500.0,26724.4,86803
20180226,26990.0,27285.2,26710.0,27185.9,45025
20180227,27201.0,27346.8,27006.8,27154.7,50684
20180228,27030.0,27599.0,26511.0,27437.8,62724
20180301,27311.4,28001.0,27282.3,27742.3,91423
20180305,27725.0,27799.9,27440.1,27548.3,51019
20180306,27710.0,27784.2,27251.2,27488.4,42735
20180307,27470.0,27655.0,27305.6,27528.2,27472
20180308,27580.0,27849.0,27425.6,27711.8,29823
20180309,27750.0,28065.0,27660.4,27963.8,28679
20180312,28065.0,28380.0,28065.0,28316.9,23032
20180313,28052.0,28920.0,28052.0,28849.3,41271
20180314,28894.0,29059.9,28760.0,28846.7,46466
20180315,28850.0,28933.2,28630.0,28695.6,25262
20180316,28650.0,28838.4,27888.2,28079.2,53436
20180319,28120.0,28274.7,27301.1,27403.1,19513
20180320,27380.0,28424.0,27350.2,28360.4,47070
