Date,Open,High,Low,Close,Volume
20170816,376.35,376.35,369.8,371.2,2785422
20170817,373.9,377.9,370.0,376.2,1450232
20170818,373.8,384.7,372.8,381.25,2516673
20170821,381.9,386.4,372.0,374.2,3318044
20170823,380.8,388.15,378.5,385.45,3267018
20170824,386.55,390.5,381.05,383.0,3284133
20170828,384.0,387.7,381.5,382.0,2374961
20170829,381.8,385.3,377.95,379.0,911768
20170830,381.5,384.1,380.2,381.0,1315332
20170831,378.45,383.25,372.2,378.3,4316561
20170901,378.7,389.9,378.5,384.15,3294917
20170904,384.8,386.55,378.6,379.6,1244293
20170905,380.5,384.25,377.7,378.7,1504899
20170906,377.4,387.8,375.3,382.25,3308925
20170907,383.85,386.0,380.5,381.55,1875099
20170908,382.2,386.35,377.7,380.1,1889443
20170911,384.0,400.85,384.0,394.8,9153335
20170912,398.65,411.5,392.8,409.6,8005088
20170913,411.0,415.0,400.0,408.0,4637652
20170914,409.7,414.7,397.0,400.95,3606229
20170915,398.9,405.15,397.05,399.85,3837646
20170918,402.45,407.8,400.0,400.25,1538487
20170919,414.0,422.9,409.25,420.85,8927518
20170920,423.65,426.35,415.5,417.3,6319527
20170921,417.3,418.85,406.2,407.75,4820074
20170922,407.0,407.0,395.75,398.55,2994727
20170925,399.0,403.9,395.5,398.15,3234663
20170926,399.5,404.55,396.4,398.8,3217240
20170927,400.05,407.5,397.2,399.75,2837534
20170928,399.6,401.6,387.1,396.25,5717368
20170929,428.0,429.0,417.15,419.05,15174614
20171003,425.5,438.25,422.0,435.4,9556092
20171004,437.5,439.95,434.0,436.15,4488741
20171005,436.0,439.0,429.6,430.9,3475329
20171006,433.25,457.15,432.85,452.7,7291293
20171009,453.0,454.9,444.4,446.05,3372577
20171010,445.0,448.9,442.8,444.6,2306645
20171011,448.85,457.45,440.0,444.4,4061760
20171012,452.7,453.95,444.05,445.95,4309719
20171013,449.0,449.0,436.0,437.5,3579949
20171016,436.5,444.6,433.55,437.95,3958917
20171017,438.0,444.15,436.3,437.35,3112205
20171018,437.7,442.6,434.05,436.5,2574956
20171019,436.0,436.2,431.25,433.25,170622
20171023,434.5,441.85,433.0,435.15,4336870
20171024,439.1,446.5,435.75,444.25,4235362
20171025,447.9,461.3,446.0,459.35,4313909
20171026,462.0,469.9,460.0,465.3,10369798
20171027,467.0,475.9,463.05,471.1,3753764
20171030,470.1,479.35,467.25,475.7,2975703
