Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-01,502.8,504.75,496.85,498.65,1639410,0,0,0
2018-01-02,504.0,504.0,493.3,494.35,1424727,0,0,0
2018-01-03,496.8,497.45,488.5,490.1,2205711,0,0,0
2018-01-04,494.0,498.4,489.7,496.7,2194433,0,0,0
2018-01-05,499.0,499.0,492.1,494.4,1170141,0,0,0
2018-01-08,500.0,504.0,496.0,497.4,2279620,0,0,0
2018-01-09,497.45,502.85,497.45,500.95,2521769,0,0,0
2018-01-10,501.95,506.65,494.05,496.1,2860327,0,0,0
2018-01-11,497.7,497.7,493.3,495.5,1226993,0,0,0
2018-01-12,498.5,502.5,492.5,501.15,1836610,0,0,0
2018-01-15,501.35,502.75,487.8,489.25,2140456,0,0,0
2018-01-16,491.3,492.0,473.15,478.4,2123599,0,0,0
2018-01-17,482.0,487.35,467.0,480.55,3741888,0,0,0
2018-01-18,470.1,473.0,466.15,468.5,3484599,0,0,0
2018-01-19,468.5,471.6,459.65,468.75,3365073,9.600760456273745,26.584283903675555,0
2018-01-22,470.05,471.65,451.1,457.4,4637380,8.419905091701924,28.431875507673887,0
2018-01-23,460.8,478.2,447.1,470.8,6286207,10.53079260024271,23.684181690175574,0
2018-01-24,471.1,494.35,471.0,484.95,7562178,17.487845713027717,20.84556891781638,0
2018-01-25,486.1,499.0,479.4,493.75,11190753,18.092817330906545,18.823491437330887,0
2018-01-29,492.45,498.8,471.45,474.35,4257007,15.790959474009558,20.126802983367252,0
2018-01-30,479.0,483.75,474.05,476.1,2885234,15.059192066029595,19.194108648086157,0
2018-01-31,477.95,483.7,471.5,478.6,2470120,14.16978498323358,19.294956680876478,0
2018-02-01,478.0,495.8,478.0,486.25,4610450,18.739069634299856,17.656453664123585,0
2018-02-02,482.0,485.0,461.6,466.45,3418999,16.63264312636333,23.15040662677747,0
2018-02-05,460.0,472.0,453.3,462.35,3277580,15.233661667846466,24.936463093480498,0
2018-02-06,448.0,457.85,439.05,452.6,3048494,13.68871859079853,28.610001813595282,0
2018-02-07,456.6,465.3,451.35,460.3,4091790,16.126368411855807,26.854018326280098,0
2018-02-08,464.8,471.4,460.05,461.85,3560673,18.046171478658316,25.48355058590551,0
2018-02-09,457.2,464.0,453.2,462.45,1881540,19.905928291403296,24.15594737447099,22.193757717824845
2018-02-12,468.0,468.0,459.1,465.0,2042550,20.96101270453052,23.13802766992858,20.9611071161379
2018-02-14,473.8,473.8,463.15,466.9,4658095,22.686455930755987,21.94625309909015,19.582344560255194
2018-02-15,470.5,477.75,465.65,475.9,2110245,23.27682804656775,20.64516534351368,18.611582384668534
2018-02-16,478.3,479.1,466.15,468.3,1364734,22.454804405410936,19.324697037255895,17.817324298024587
2018-02-19,470.0,473.6,461.3,463.8,1586114,21.07595479376651,20.55932913643513,16.633289430852432
2018-02-20,463.8,472.2,460.75,465.15,1333716,19.853773197902242,19.645657960342813,15.482831729133679
2018-02-21,467.0,469.8,463.4,466.1,2322768,19.1841206150961,18.983024945301633,14.414549577537697
2018-02-22,465.5,470.95,456.0,466.15,4506582,17.6836601597884,21.36973873180483,14.059121766225854
2018-02-23,465.4,465.4,452.55,458.4,4127768,16.425102424319753,21.654272499429783,14.035776617631297
2018-02-26,460.0,465.7,459.55,463.2,2110294,15.938456830002634,20.79860729229804,13.978189429001022
2018-02-27,464.4,474.35,455.0,457.05,4588093,18.85414895419019,18.690363562335836,13.010907557218502
2018-02-28,455.8,461.8,452.75,457.5,3198891,17.938307454160416,18.99014529571931,12.28500793074392
2018-03-01,458.0,458.25,451.55,454.25,2148217,17.26949562499977,18.9498898544046,11.738899401025106
2018-03-05,452.0,452.95,441.3,443.6,2919275,16.025779421824645,23.28542890810901,12.219486853864689
2018-03-06,444.45,448.25,437.9,439.95,2476876,15.090380035628675,23.843711886737758,12.952554567915438
2018-03-07,439.95,442.7,433.25,440.75,2256275,14.271315594216432,25.22032628080084,14.007720736533363
2018-03-08,445.0,446.7,433.8,436.45,2519874,15.508069472958702,23.35664779451781,14.449641442647502
2018-03-09,438.0,442.7,435.25,436.9,2011796,14.826649951597105,22.330364298141696,14.859996384039203
2018-03-12,438.7,448.0,438.0,446.45,1934480,16.99482629512011,20.85969136028047,14.527838465729001
2018-03-13,450.0,458.0,440.0,455.95,2779069,20.97240726647238,18.707991612525333,13.897752526100552
2018-03-14,456.0,463.65,455.0,458.0,2442689,23.219730224130195,17.75991598259707,13.85671550334441
2018-03-15,455.25,458.75,448.4,450.35,1924467,21.796388185891164,20.580164300465718,13.071952946902483
2018-03-16,449.1,449.5,438.0,441.0,2916519,20.20484332342831,25.226373337414888,12.92774479499114
2018-03-19,446.9,448.0,437.4,442.05,3006066,18.92737999070694,23.989301511063886,12.846817632063148
2018-03-20,443.5,445.95,436.5,438.5,1975422,17.844199914691718,23.161467298508047,12.85541297674864
2018-03-21,441.0,444.0,433.8,435.05,3550371,16.731211610773503,23.367865619335053,13.119357780669239
2018-03-22,438.15,441.0,435.55,438.4,2574726,16.100355291802767,22.486771886868954,13.364449384309795
2018-03-23,435.0,442.7,429.6,439.6,8750824,14.779090709530301,24.36875894827864,14.15956214716651
2018-03-26,440.0,440.0,412.6,425.15,12402962,12.473390661383368,30.246477380097918,16.119864559753093
2018-03-27,320.0,321.9,309.1,320.95,6812861,7.287572756228358,54.75048455849295,20.433168661088953
2018-03-28,320.95,331.65,316.6,328.55,9038392,10.442853443183596,51.745898098117195,23.717629442126654
