Date,Open,High,Low,Close,Volume
20170816,1117.0,1123.25,1089.2,1106.5,1163191
20170817,1100.0,1108.45,1092.75,1100.7,739496
20170818,1096.0,1117.0,1080.5,1098.05,742504
20170821,1111.5,1129.7,1097.0,1111.45,1297494
20170823,1120.0,1125.0,1111.5,1119.05,535864
20170824,1121.0,1141.45,1120.5,1134.45,1418657
20170828,1143.0,1149.4,1135.0,1143.0,864950
20170829,1146.0,1149.6,1123.65,1132.85,857870
20170830,1140.45,1187.5,1138.55,1173.05,1518388
20170831,1195.0,1200.0,1171.65,1195.2,1386754
20170901,1210.0,1238.2,1153.0,1170.75,3413732
20170904,1169.0,1184.0,1156.8,1170.45,887217
20170905,1168.0,1186.0,1165.45,1179.95,954415
20170906,1179.0,1191.0,1166.15,1186.25,825373
20170907,1182.2,1223.3,1182.2,1212.15,1360449
20170908,1209.95,1217.0,1195.0,1209.7,825525
20170911,1215.0,1238.0,1210.0,1232.75,930513
20170912,1234.0,1276.45,1234.0,1257.6,1486859
20170913,1256.9,1267.7,1222.65,1229.55,587877
20170914,1235.0,1250.0,1202.6,1233.15,994880
20170915,1238.0,1264.9,1226.45,1240.1,9828034
20170918,1246.0,1255.95,1224.25,1229.7,533869
20170919,1230.95,1236.95,1217.05,1220.85,457998
20170920,1218.0,1233.75,1213.7,1221.35,549621
20170921,1222.0,1238.75,1193.6,1201.5,770696
20170922,1194.85,1194.85,1172.05,1176.3,498582
20170925,1168.1,1170.6,1131.5,1140.7,1067420
20170926,1146.0,1146.0,1124.6,1130.45,1757662
20170927,1142.0,1142.15,1108.35,1117.55,1142878
20170928,1113.5,1144.5,1101.1,1127.6,1677027
20170929,1137.95,1141.8,1122.0,1133.95,941257
20171003,1144.7,1164.5,1138.1,1159.1,645952
20171004,1157.7,1160.45,1144.05,1150.1,210091
20171005,1149.0,1167.25,1141.0,1160.65,366671
20171006,1167.8,1168.75,1145.25,1151.8,376040
20171009,1155.0,1164.0,1146.7,1156.55,252830
20171010,1160.0,1179.7,1140.05,1153.95,1002993
20171011,1162.1,1175.3,1147.0,1149.9,488864
20171012,1151.1,1158.6,1127.15,1136.05,584967
