Date,Open,High,Low,Close,Volume
20170816,864.0,868.65,851.0,864.5,1125005
20170817,872.4,875.1,860.75,871.4,801175
20170818,873.85,884.7,863.55,876.25,1064955
20170821,877.75,885.0,870.2,874.05,669837
20170823,877.9,882.95,863.0,880.0,754889
20170824,884.0,884.0,866.0,867.5,812123
20170828,868.3,874.55,857.85,867.65,896254
20170829,868.0,869.6,850.0,852.55,972794
20170830,857.0,858.0,843.25,849.2,1693925
20170831,850.0,870.4,840.2,865.3,2509541
20170901,863.6,885.0,855.0,865.75,800259
20170904,873.9,873.9,857.0,860.6,574971
20170905,858.0,862.5,848.4,859.9,547807
20170906,863.0,872.0,846.2,851.05,829386
20170907,857.4,863.7,851.25,859.3,1474659
20170908,866.9,869.5,856.1,859.5,1160052
20170911,862.0,867.3,852.0,860.7,719804
20170912,867.0,867.0,856.15,864.05,849369
20170913,864.0,875.0,861.7,871.3,1118654
20170914,876.0,882.05,871.3,880.8,1163826
20170915,881.8,893.35,868.3,887.05,1751190
20170918,890.0,898.5,889.0,897.35,680969
20170919,898.0,898.0,889.25,893.65,547863
20170920,895.0,896.65,885.0,889.45,896483
20170921,890.8,894.0,869.05,870.3,2598761
20170922,870.0,890.0,869.6,884.45,3140767
20170925,880.0,884.0,870.1,874.05,1775448
20170926,878.9,886.9,864.3,873.65,1723425
20170927,875.95,880.95,872.1,874.65,1270941
20170928,874.65,880.75,861.65,875.2,3096534
20170929,877.0,886.25,866.7,874.8,1180135
20171003,878.45,887.45,876.75,882.55,1342122
20171004,883.9,888.45,878.0,886.6,620450
20171005,888.0,901.7,885.15,893.15,1776088
20171006,887.8,909.0,887.8,907.9,1820474
20171009,907.75,907.75,897.45,902.8,603231
20171010,905.0,917.0,897.1,899.6,1711580
20171011,899.5,916.0,899.5,908.95,2168747
20171012,912.0,920.0,906.3,916.0,1038312
20171013,919.75,936.0,913.9,926.5,1105342
20171016,926.5,932.9,920.0,923.0,825577
20171017,918.3,933.85,918.3,923.3,480212
20171018,926.0,931.0,917.8,923.7,580343
20171019,916.6,926.0,916.6,922.3,29194
20171023,922.8,943.8,922.1,937.25,1798697
20171024,939.0,939.5,908.05,914.55,1577826
20171025,894.4,924.0,876.0,907.05,3073840
20171026,906.75,910.0,858.0,869.05,5782571
20171027,870.05,871.8,852.25,854.95,2296184
20171030,860.0,863.45,832.0,836.35,3625726
20171031,840.0,860.65,837.0,855.8,1479364
20171101,860.0,860.65,838.0,840.65,1628831
20171102,844.4,860.0,841.15,857.9,1482841
20171103,860.0,860.0,844.95,847.15,1380586
20171106,852.0,855.25,837.6,845.05,1136684
20171107,850.0,880.0,844.3,876.75,2980306
20171108,882.0,884.75,865.35,878.6,1910907
20171109,879.5,888.45,872.45,875.95,800226
20171110,880.95,880.95,862.7,867.05,1535400
20171113,864.5,878.4,864.5,869.5,2661020
20171114,868.0,884.85,866.1,869.8,1006447
20171115,877.0,877.0,846.0,848.35,1561073
20171116,849.7,858.7,838.7,851.9,1090535
20171117,848.9,856.2,838.5,840.0,1548494
20171121,843.1,846.2,835.1,837.7,1493571
20171122,838.55,844.3,834.4,842.15,1134718
20171123,848.0,856.0,842.2,853.7,1166224
20171124,855.0,863.5,855.0,858.4,823378
20171127,857.5,863.0,853.1,860.7,796370
20171128,861.0,864.05,856.8,859.25,1054325
20171129,860.0,862.95,846.15,853.15,761835
20171130,850.0,857.9,842.3,848.0,3411303
20171201,847.0,849.95,827.1,830.0,1384262
20171204,836.0,849.7,824.85,847.95,896884
20171205,847.9,852.9,839.1,848.0,990049
20171206,845.5,860.15,845.0,858.6,1589728
20171207,860.15,867.0,853.6,863.5,1225073
20171208,869.7,872.8,863.4,870.45,869923
20171211,874.5,882.0,871.75,880.0,798504
20171212,881.0,881.8,870.25,875.2,1460812
20171213,870.0,873.55,863.05,866.35,4304970
20171214,863.0,885.05,862.2,882.85,3182520
20171215,888.9,896.45,885.0,891.8,2234611
20171218,888.1,891.75,875.75,885.0,1307831
20171219,889.0,889.0,865.0,869.45,1985594
20171220,870.0,875.0,864.0,869.85,1054872
20171221,874.0,892.0,871.45,890.25,1429683
20171222,891.0,892.9,878.1,886.9,1052037
20171226,882.1,893.3,882.05,888.45,1063568
20171227,886.0,891.6,880.55,883.65,400810
20171228,882.0,890.85,875.6,878.3,1159863
20171229,878.3,901.75,875.0,890.5,1546925
20180101,889.0,890.7,875.95,878.7,643144
20180102,876.9,895.0,876.85,892.8,953259
20180103,893.0,907.8,893.0,897.3,1291953
20180104,896.0,899.45,883.05,893.1,596730
20180105,888.25,903.0,882.3,900.05,746146
20180108,900.15,903.4,895.1,900.5,1176584
20180109,900.5,902.85,885.0,893.85,1252135
20180110,892.0,918.0,891.1,915.85,1700286
20180111,919.0,924.9,910.05,916.9,2121723
20180112,918.5,928.0,912.25,925.9,990349
20180115,925.0,931.1,905.5,909.25,1268243
20180116,914.1,955.0,910.0,949.25,4481702
20180117,950.0,963.6,943.3,952.85,2749461
20180118,953.0,959.65,940.5,954.25,934750
20180119,957.0,967.0,946.15,958.3,2374219
20180122,960.0,974.9,945.0,966.35,2215659
20180123,969.95,1000.0,968.55,995.35,2507601
20180124,994.0,1040.7,992.0,1018.45,4634888
20180125,1018.8,1020.0,990.05,1009.55,2653727
20180129,1010.0,1021.0,1005.05,1012.05,2006648
20180130,1017.5,1017.5,998.0,1000.4,1355676
20180131,999.95,1017.9,981.7,986.55,1610572
20180201,982.1,1014.95,969.0,984.9,1527829
20180202,980.0,1007.7,977.85,990.9,1672528
20180205,990.0,1001.8,980.0,993.15,1088789
20180206,964.95,968.75,948.05,953.85,1655497
20180207,958.2,959.0,922.0,938.55,2025848
20180208,945.75,963.0,937.5,944.35,1448268
20180209,935.0,970.6,922.55,964.0,1728253
20180212,965.5,972.75,937.35,939.15,1487794
20180214,939.8,959.8,930.3,937.8,1444766
20180215,944.0,949.65,932.0,939.7,1140921
20180220,916.0,925.2,905.0,907.45,1231401
20180221,918.0,947.8,912.0,942.9,2784756
20180222,943.0,963.0,931.55,941.0,4093287
20180223,948.9,967.9,942.9,955.6,2837583
20180226,955.9,965.1,943.05,946.05,1056056
20180227,953.0,958.6,944.0,949.9,1439714
20180228,954.9,958.35,935.8,940.3,2559774
20180301,943.8,952.45,938.0,942.8,1386115
20180305,942.8,944.65,917.8,932.1,1873852
20180306,938.0,953.0,926.5,932.8,1464878
20180307,938.0,952.8,933.8,949.55,2847610
20180308,953.0,964.0,945.55,950.65,2119175
20180309,950.0,955.85,940.0,943.0,732364
20180312,950.0,976.0,949.0,967.65,2473118
20180313,967.65,969.0,945.6,957.0,1256754
20180314,962.0,968.15,960.0,965.05,1177041
20180315,968.0,972.6,955.25,959.15,1295077
20180316,960.0,979.55,947.05,967.6,4741036
20180319,962.7,963.6,921.0,926.5,1659374
20180320,925.0,947.75,915.6,937.2,1853893
20180321,945.0,949.9,926.45,937.35,1909490
20180322,941.0,948.9,925.0,930.55,1547643
20180323,905.0,960.55,903.55,957.4,2739036
20180326,957.2,971.0,945.0,967.05,1785668
20180327,975.0,978.9,954.5,972.05,1247600
20180328,961.55,981.6,955.05,968.6,2310086
20180402,966.3,984.9,964.8,979.5,647823
20180403,972.5,989.0,963.05,969.25,1018000
20180404,981.0,981.25,949.5,959.25,902390
20180405,970.0,984.2,956.55,962.05,1402552
20180406,972.0,972.0,950.6,952.65,1257905
20180409,954.3,962.65,948.0,953.25,854036
20180410,953.1,961.95,943.55,948.45,1215886
20180411,955.0,977.7,951.35,967.3,1858482
20180412,967.95,1013.0,967.3,1010.05,4091383
20180413,1014.5,1020.0,988.25,991.25,3180555
20180416,979.0,1006.75,976.1,999.9,1912264
20180417,997.05,1016.0,997.05,1011.0,1864953
20180418,1014.9,1015.8,993.0,996.85,1004131
