Date,Open,High,Low,Close,Volume
20180102,2714.8,2724.0,2705.2,2711.05,846
20180103,2724.0,2724.0,2707.15,2710.15,579
20180104,2717.5,2717.5,2686.1,2700.75,447
20180105,2738.0,2738.0,2702.25,2703.35,953
20180108,2704.45,2724.0,2704.4,2718.3,1970
20180109,2710.0,2737.0,2710.0,2726.15,2253
20180110,2729.65,2729.65,2714.15,2720.4,470
20180111,2725.65,2734.85,2720.0,2720.95,834
20180112,2730.0,2739.9,2730.0,2733.8,911
20180115,2738.85,2775.0,2735.0,2771.4,4230
20180116,2771.0,2775.0,2760.0,2770.0,972
20180117,2761.3,2774.0,2756.25,2758.85,1220
20180118,2750.05,2755.5,2735.6,2741.8,1100
20180119,2736.1,2760.0,2736.1,2751.15,2800
20180122,2750.0,2764.5,2743.65,2745.55,746
20180123,2748.55,2780.0,2747.9,2768.1,7589
20180124,2756.1,2798.7,2753.5,2784.85,3267
20180125,2791.05,2809.95,2786.15,2795.65,1445
20180129,2788.05,2795.35,2768.3,2770.3,1080
20180130,2767.15,2779.0,2751.05,2766.65,1747
20180131,2760.0,2780.05,2757.05,2762.35,1689
20180201,2762.05,2783.0,2751.05,2769.8,875
20180202,2790.0,2815.0,2756.65,2780.9,4272
20180205,2757.05,2787.7,2753.8,2778.05,1275
20180206,2808.0,2808.0,2786.0,2796.05,4110
20180207,2786.0,2789.7,2765.05,2774.95,1552
20180208,2770.0,2770.0,2731.3,2746.85,3994
20180209,2752.0,2782.65,2747.0,2753.1,834
20180212,2756.0,2792.6,2755.05,2756.95,1113
20180214,2770.0,2790.0,2767.25,2779.05,1191
20180215,2808.0,2820.0,2799.95,2811.25,1851
20180216,2809.9,2839.2,2801.35,2833.7,2785
20180219,2832.0,2840.0,2820.0,2828.55,1007
20180220,2809.15,2826.9,2804.0,2813.85,782
20180221,2796.05,2806.0,2785.1,2802.1,1377
20180222,2802.8,2809.1,2795.0,2799.3,661
20180223,2801.5,2813.75,2793.6,2794.55,470
20180226,2800.05,2815.1,2800.05,2814.8,633
20180227,2808.0,2813.95,2802.15,2806.2,575
20180228,2800.0,2800.05,2785.0,2796.55,1122
20180301,2795.0,2800.0,2780.0,2780.8,418
20180305,2790.05,2808.95,2790.05,2806.95,1332
