Date,Open,High,Low,Close,Volume
20180102,1690.0,1706.25,1685.4,1703.25,1468475
20180103,1705.2,1711.8,1695.0,1700.8,2133332
20180104,1708.95,1708.95,1691.05,1703.2,1585554
20180105,1716.0,1731.0,1705.85,1725.2,2302884
20180108,1729.25,1745.0,1729.0,1740.95,2997037
20180109,1743.85,1748.35,1725.0,1735.05,1470161
20180110,1730.0,1739.5,1721.2,1726.45,1465727
20180111,1729.9,1745.0,1724.4,1741.35,1680803
20180112,1744.0,1764.95,1740.6,1760.95,3280043
20180115,1790.0,1886.8,1778.05,1871.2,9486397
20180116,1870.0,1870.0,1835.75,1845.95,5373079
20180117,1841.0,1869.0,1841.0,1858.35,3622589
20180118,1875.45,1918.65,1865.6,1896.8,6605642
20180119,1897.0,1912.8,1894.35,1901.25,2833442
20180122,1901.0,1924.35,1863.95,1872.0,3649174
20180123,1874.0,1896.9,1870.2,1884.65,2158639
20180124,1886.6,1919.55,1880.0,1911.2,3401495
20180125,1917.0,1922.5,1883.5,1908.3,4622281
20180129,1915.0,1986.05,1909.9,1967.6,6305147
20180130,1971.5,1971.5,1927.9,1937.5,4066082
20180131,1932.25,1963.05,1918.0,1956.3,3665385
20180201,1963.0,1975.3,1931.8,1967.55,3838192
20180202,1946.0,1946.0,1895.0,1903.85,3272591
20180205,1866.1,1886.0,1811.8,1823.35,6082208
20180206,1769.0,1808.8,1757.05,1788.6,3601190
20180207,1795.0,1806.65,1767.05,1785.35,3549234
20180208,1788.0,1836.4,1787.5,1811.8,1865933
20180209,1780.25,1783.45,1762.0,1773.05,2773971
20180212,1777.1,1812.3,1760.7,1805.45,3194895
20180214,1820.0,1833.0,1805.0,1814.0,3923887
20180215,1828.9,1851.0,1819.15,1829.5,3382968
20180216,1835.5,1836.95,1804.2,1815.5,2368880
20180219,1827.75,1830.2,1801.0,1814.05,1603737
20180220,1832.9,1840.0,1802.5,1811.75,2523482
20180221,1825.0,1832.7,1816.0,1824.8,3795216
20180222,1819.7,1825.0,1807.7,1819.25,6229874
20180223,1826.85,1827.4,1815.5,1824.2,2023292
20180226,1830.0,1852.75,1821.35,1843.25,2253522
20180227,1850.0,1851.0,1819.05,1828.65,2558313
20180228,1830.0,1832.0,1803.6,1808.7,2802070
