Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-03,1875.0,1878.25,1851.2,1852.65,1132822,0,0,0
2018-01-04,1853.0,1865.5,1853.0,1859.9,593444,0,0,0
2018-01-05,1863.0,1868.05,1855.55,1863.6,717717,0,0,0
2018-01-08,1865.0,1870.7,1857.75,1860.6,1142577,0,0,0
2018-01-09,1862.0,1869.85,1855.0,1863.7,1326382,0,0,0
2018-01-10,1865.2,1867.9,1857.3,1864.2,1153972,0,0,0
2018-01-11,1864.2,1876.0,1856.25,1872.55,1014774,0,0,0
2018-01-12,1873.0,1878.15,1860.0,1865.3,1084177,0,0,0
2018-01-15,1869.95,1904.4,1859.85,1897.75,3144111,0,0,0
2018-01-16,1903.45,1910.0,1885.25,1900.15,1611346,0,0,0
2018-01-17,1897.0,1902.55,1887.0,1890.5,726374,0,0,0
2018-01-18,1924.0,1954.0,1918.05,1934.3,4162385,0,0,0
2018-01-19,1935.15,1959.9,1919.25,1952.2,2863997,0,0,0
2018-01-22,1960.0,1988.0,1953.15,1963.35,2212442,0,0,0
2018-01-23,1965.0,1966.7,1943.3,1951.3,1261949,37.94483350007142,3.6015435186508857,0
2018-01-24,1952.55,1969.0,1950.6,1957.65,1197642,36.58089956613564,3.408487925670858,0
2018-01-25,1953.9,1980.0,1950.5,1974.95,2180917,36.64081036752371,3.119750877036223,0
2018-01-29,1978.0,2006.95,1978.0,1999.65,2058973,40.92508902797816,2.838824838379079,0
2018-01-30,1997.8,2001.9,1984.15,1995.5,1599390,38.8360790305448,2.693917799465082,0
2018-01-31,1989.4,2013.5,1987.0,2005.7,1735837,39.21056491856591,2.4895971920764373,0
2018-02-01,2006.0,2015.0,1985.3,1991.15,1630355,35.92215830945237,2.7608435149506136,0
2018-02-02,1986.0,1989.9,1941.5,1948.0,1836531,31.20996421534828,13.970873137712413,0
2018-02-05,1918.0,1935.25,1905.85,1913.85,1981696,27.86780922284996,21.53201346807596,0
2018-02-06,1860.0,1912.0,1836.3,1896.8,2687451,22.989848198366793,33.461300632715414,0
2018-02-07,1907.0,1907.0,1862.4,1872.8,2091243,20.741267260359425,30.18853249112312,0
2018-02-08,1884.0,1898.6,1866.5,1880.95,1292861,19.279672647009907,28.061208450596396,0
2018-02-09,1847.9,1864.7,1844.1,1849.5,1602238,17.734661252164496,30.683746807144612,0
2018-02-12,1860.0,1886.0,1855.15,1876.65,1095277,20.933598008821942,28.267406742724898,0
2018-02-14,1889.8,1897.9,1874.65,1883.15,894297,23.85919990790023,26.0575321440561,53.28867878373423
2018-02-15,1889.7,1894.75,1875.0,1881.9,1228806,22.819640349000668,24.922189939529083,49.79691592139813
2018-02-16,1883.9,1894.85,1875.65,1878.6,895880,21.84684399485229,23.834947223202036,46.55085545110843
2018-02-19,1882.6,1887.6,1859.05,1878.2,913638,20.420279058274993,26.075249395768157,44.0945369257411
2018-02-20,1884.75,1885.85,1858.8,1863.2,1021017,19.144727914216688,24.50419195091568,41.821967999828814
2018-02-21,1867.95,1868.55,1852.2,1857.4,688268,18.396710764235287,25.123977822677197,39.93880100693532
2018-02-22,1850.0,1860.0,1841.55,1853.2,3313399,17.5628003126381,26.60169560695155,38.54791730731228
2018-02-23,1856.9,1884.85,1850.4,1880.55,1019187,22.12140618941208,24.379503350781977,36.141353781343575
2018-02-26,1888.1,1914.8,1883.55,1911.55,1197221,27.48427381815281,22.37802838022133,34.2913066037433
2018-02-27,1914.75,1921.75,1900.0,1902.55,1196832,27.721885840818146,21.18841160665491,32.796075777592606
2018-02-28,1889.55,1895.45,1878.0,1884.2,1016591,26.039248132138066,25.341586883077238,30.550486356541853
2018-03-01,1879.3,1893.3,1868.0,1874.35,977460,24.395868718334217,26.236768869148026,28.62800857814367
2018-03-05,1874.15,1878.0,1858.25,1869.95,945366,23.16671789962629,27.402156819531676,27.181406870579593
2018-03-06,1870.0,1879.9,1839.5,1846.25,1144207,20.85229990098635,29.301180967686165,26.44316717996363
2018-03-07,1840.0,1853.4,1828.5,1832.6,1407041,19.555567460246102,30.226238493562775,26.08543247685206
2018-03-08,1839.8,1858.5,1832.0,1852.85,1379681,19.5349237720057,28.215241611576015,25.52065966719341
2018-03-09,1854.95,1865.25,1844.0,1851.05,1027027,20.199403923216348,26.682224273790204,24.68547407944828
