Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-02,1690.0,1706.25,1685.4,1703.25,1468475,0,0,0
2018-01-03,1705.2,1711.8,1695.0,1700.8,2133332,0,0,0
2018-01-04,1708.95,1708.95,1691.05,1703.2,1585554,0,0,0
2018-01-05,1716.0,1731.0,1705.85,1725.2,2302884,0,0,0
2018-01-08,1729.25,1745.0,1729.0,1740.95,2997037,0,0,0
2018-01-09,1743.85,1748.35,1725.0,1735.05,1470161,0,0,0
2018-01-10,1730.0,1739.5,1721.2,1726.45,1465727,0,0,0
2018-01-11,1729.9,1745.0,1724.4,1741.35,1680803,0,0,0
2018-01-12,1744.0,1764.95,1740.6,1760.95,3280043,0,0,0
2018-01-15,1790.0,1886.8,1778.05,1871.2,9486397,0,0,0
2018-01-16,1870.0,1870.0,1835.75,1845.95,5373079,0,0,0
2018-01-17,1841.0,1869.0,1841.0,1858.35,3622589,0,0,0
2018-01-18,1875.45,1918.65,1865.6,1896.8,6605642,0,0,0
2018-01-19,1897.0,1912.8,1894.35,1901.25,2833442,0,0,0
2018-01-22,1901.0,1924.35,1863.95,1872.0,3649174,47.96421031466774,8.4749170604202,0
2018-01-23,1874.0,1896.9,1870.2,1884.65,2158639,45.34275918033146,8.011726260536427,0
2018-01-24,1886.6,1919.55,1880.0,1911.2,3401495,46.29919198951823,7.369235599635206,0
2018-01-25,1917.0,1922.5,1883.5,1908.3,4622281,43.25933125069595,6.790911131904299,0
2018-01-29,1915.0,1986.05,1909.9,1967.6,6305147,48.80745950083419,5.811706859059566,0
2018-01-30,1971.5,1971.5,1927.9,1937.5,4066082,44.89778216972263,5.346165345645158,0
2018-01-31,1932.25,1963.05,1918.0,1956.3,3665385,41.2233441738142,6.707118158278176,0
2018-02-01,1963.0,1975.3,1931.8,1967.55,3838192,40.19887713735002,6.181088599787175,0
2018-02-02,1946.0,1946.0,1895.0,1903.85,3272591,35.23539784871985,11.68089460114153,0
2018-02-05,1866.1,1886.0,1811.8,1823.35,6082208,30.14894051284753,23.0424359943773,0
2018-02-06,1769.0,1808.8,1757.05,1788.6,3601190,27.113031672126514,29.03760999250525,0
2018-02-07,1795.0,1806.65,1767.05,1785.35,3549234,25.46371240112469,27.27121624046646,0
2018-02-08,1788.0,1836.4,1787.5,1811.8,1865933,28.019004566913296,25.14745389490154,0
2018-02-09,1780.25,1783.45,1762.0,1773.05,2773971,25.900056103685802,27.11805260766186,0
2018-02-12,1777.1,1812.3,1760.7,1805.45,3194895,23.94953995260128,28.932011126827927,47.589557894781
2018-02-14,1820.0,1833.0,1805.0,1814.0,3923887,26.129179070995168,27.670255119087745,44.394909741333514
2018-02-15,1828.9,1851.0,1819.15,1829.5,3382968,27.44511110011739,26.05333537594588,41.4096680094082
2018-02-16,1835.5,1836.95,1804.2,1815.5,2368880,25.997028691534364,27.08725092818588,38.59853152596781
2018-02-19,1827.75,1830.2,1801.0,1814.05,1603737,24.74346877136119,26.309552469245105,36.06060521778423
2018-02-20,1832.9,1840.0,1802.5,1811.75,2523482,24.830362639767422,24.664688032349456,33.50875696258689
2018-02-21,1825.0,1832.7,1816.0,1824.8,3795216,23.93024107409086,23.770572310775346,31.139183582760783
2018-02-22,1819.7,1825.0,1807.7,1819.25,6229874,23.18287703770228,24.526558125037116,29.116126497990912
2018-02-23,1826.85,1827.4,1815.5,1824.2,2023292,23.114706359356948,23.9719652287077,27.166445870990735
2018-02-26,1830.0,1852.75,1821.35,1843.25,2253522,26.593398393618845,22.524650045949535,25.8176719929551
2018-02-27,1850.0,1851.0,1819.05,1828.65,2558313,24.943195061445422,21.57363001540884,24.490963667593025
2018-02-28,1830.0,1832.0,1803.6,1808.7,2802070,23.544614873353588,23.41430361097555,22.761430588572644
2018-03-01,1811.0,1818.5,1801.0,1814.15,3272003,22.699987225085103,23.107328338615275,21.199131906474076
2018-03-05,1814.0,1814.0,1780.3,1789.6,2163209,21.1216261506245,25.75263611171703,20.390597013640967
2018-03-06,1803.9,1819.0,1758.1,1782.8,2899309,18.613995057127582,27.02304358290316,20.250263613560744
2018-03-07,1774.35,1782.2,1756.1,1761.75,1624922,17.62596996820715,25.986269479116654,20.173074609654083
2018-03-08,1772.9,1803.55,1771.7,1798.75,3174098,20.373600023885725,23.85175808157736,19.29389955480865
2018-03-09,1801.0,1834.3,1801.0,1818.6,3000976,25.000194062840848,22.18289477422428,18.342263426362813
2018-03-12,1831.6,1865.35,1827.05,1858.05,3242604,28.734172770956018,20.182976376189853,18.280743084634047
2018-03-13,1850.0,1881.5,1850.0,1868.5,3264920,30.11792219985441,18.9436884431337,18.60182723241551
2018-03-14,1857.25,1863.8,1836.05,1844.7,1649636,28.1971284968857,20.47721038083968,18.406007079351014
2018-03-15,1846.0,1847.7,1827.4,1830.0,1548960,27.035528505437167,21.389020283881884,17.924179792156217
2018-03-16,1830.0,1832.0,1784.65,1791.4,8008654,24.500222559192107,27.849876712756682,17.100921459558656
2018-03-19,1799.0,1806.85,1768.45,1774.5,3986719,22.645522123551576,28.935254451373332,16.75042325203776
2018-03-20,1771.0,1808.5,1771.0,1800.05,3441458,21.30004495940385,26.801485746948394,16.37090322445267
2018-03-21,1820.0,1830.4,1803.6,1817.85,3574861,24.371464209804206,25.182892381535172,15.318513760271925
2018-03-22,1820.0,1838.5,1801.75,1809.55,2664935,24.20131998101785,23.34446632257713,14.3530602982328
2018-03-23,1787.7,1799.55,1776.1,1789.6,2788553,22.585150127484706,26.906333641492186,13.951496406838048
2018-03-26,1781.0,1835.35,1778.25,1830.15,1922453,26.97103171743066,23.964361960651505,13.376597280991191
2018-03-27,1837.9,1838.0,1813.9,1823.15,3597668,26.21466833117626,22.829741585823278,12.914108798838456
2018-03-28,1821.0,1830.95,1812.75,1825.6,4010323,25.242683993678146,22.217546467715945,12.446961547064822
2018-04-03,1836.0,1846.55,1815.6,1825.7,1950749,26.84256720766917,20.804836055766632,12.463013567021227
2018-04-04,1830.7,1831.8,1792.0,1803.3,2268911,24.67018352877258,23.919986096049698,11.683078912862735
2018-04-05,1821.0,1830.0,1812.2,1824.45,3549233,23.30742280191648,22.598665660771104,10.958853876858424
2018-04-06,1827.0,1837.8,1820.6,1829.0,3260963,24.120920760440573,21.76460083894888,10.542879629881998
2018-04-09,1834.85,1847.0,1825.0,1836.7,1480293,24.97710228423114,20.71164416671664,10.456667180264118
2018-04-10,1848.0,1851.65,1815.1,1817.5,1673162,22.98735390239606,21.219458436042906,9.995415748014494
2018-04-11,1823.5,1827.8,1802.6,1812.4,1917617,21.70358897419932,22.804591701140296,9.458150957163594
2018-04-12,1808.45,1830.55,1806.0,1829.05,1296216,21.12232388200414,21.542397449393135,8.852896768428229
2018-04-13,1834.0,1842.85,1822.6,1840.6,1849910,22.978910219856573,20.532884097768367,8.622084454369473
2018-04-16,1833.0,1873.0,1832.2,1870.45,2555945,27.67844401728596,18.637784110389763,9.400465689765953
2018-04-17,1875.0,1896.65,1862.2,1889.7,2842835,30.850794028680568,17.194703440194957,10.759235808706316
2018-04-18,1897.7,1898.0,1871.1,1877.7,1690874,29.271687839304704,16.143602271186467,12.055487010177233
2018-04-19,1883.0,1887.05,1851.65,1858.65,1655535,26.937960042874998,19.236980655033147,12.385654563924037
2018-04-20,1863.0,1873.0,1832.5,1834.15,2627245,24.52854980803112,21.74558399306803,11.930542463815495
2018-04-23,1849.0,1849.0,1828.6,1830.85,2514450,23.393534502804343,21.623980854485364,11.359133105709478
2018-04-24,1836.9,1867.5,1834.5,1859.55,2381491,25.61905745221494,19.84711092622272,11.454554753981464
2018-04-25,1858.0,1858.0,1840.0,1849.5,1299220,24.464250549200525,18.952480796084455,11.54316057023402
2018-04-26,1853.0,1857.35,1841.2,1850.45,3349024,23.52103051374153,18.221767236207878,11.625437399611394
2018-04-27,1848.1,1859.35,1840.0,1853.75,3005770,22.896184360354134,17.358232658095012,11.777718763064446
2018-04-30,1864.0,1891.55,1862.55,1883.25,3343611,28.543249982478073,15.784550665988291,12.99235406641657
