Date,Open,High,Low,Close,Volume
20100105,165.1,179.8,164.0,175.2,32066373
20100106,175.85,175.9,168.75,171.05,18459749
20100107,175.15,176.75,171.9,175.15,15284125
20100108,175.0,176.9,172.5,173.3,10197755
20100111,174.5,176.7,170.6,171.7,11270777
20100112,172.0,173.0,166.5,167.85,14443143
20100113,164.95,172.2,164.3,171.15,16146039
20100114,172.0,172.9,169.5,170.85,7547095
20100115,171.0,171.75,165.75,166.6,4959476
20100118,166.2,168.9,165.4,167.25,7243749
20100119,166.0,168.95,162.0,163.0,7199947
20100120,163.0,167.15,162.6,165.75,8116917
20100121,165.0,165.75,161.7,162.85,12563207
20100122,160.1,163.1,155.25,161.35,13929809
20100125,161.1,165.7,157.25,159.2,16233827
20100127,156.5,157.4,148.65,150.05,11669010
20100128,150.65,156.35,145.8,148.0,10480370
20100129,147.0,149.0,139.8,147.35,12497942
20100201,145.0,151.5,142.2,149.4,11674392
20100202,152.0,155.75,150.25,151.05,17608116
20100203,152.1,157.45,152.1,156.25,8298172
20100204,147.0,155.0,144.2,146.15,9673582
20100205,142.4,143.45,136.3,138.15,14972307
20100206,143.0,143.0,140.0,141.25,1257267
20100208,137.0,143.8,133.7,136.2,19708455
20100209,137.0,138.25,133.55,134.4,18330897
20100210,136.0,140.75,135.0,136.5,14882092
20100211,137.25,140.35,137.0,138.25,7393889
20100215,139.0,141.7,137.65,140.85,10201088
20100216,141.9,146.5,139.5,145.4,8799233
20100217,147.9,154.8,147.45,152.75,17420796
20100218,153.4,154.8,150.3,152.6,19301034
20100219,151.0,152.25,146.4,149.9,16060506
20100222,151.9,156.5,151.9,154.15,13256828
20100223,153.5,156.4,151.85,154.8,11954477
20100224,154.0,158.4,151.9,155.0,14604618
20100225,156.0,156.95,152.1,153.35,10630962
20100226,154.0,164.9,153.35,162.65,22690392
20100302,164.0,172.8,163.6,169.25,16002606
20100303,170.0,172.65,168.65,171.45,12093085
20100304,171.0,171.0,167.15,169.2,9418953
20100305,169.0,172.5,167.4,168.0,8038800
20100308,170.1,171.1,165.15,166.2,6279658
20100309,167.8,167.8,161.5,162.1,7726110
20100310,163.0,165.2,160.75,162.7,6348450
20100311,162.9,162.9,158.15,159.75,8638775
20100312,160.8,166.65,159.8,165.05,13238296
20100315,165.0,168.0,162.6,165.65,8289897
20100316,160.4,170.35,160.4,169.55,7951866
20100317,169.3,174.7,169.3,173.45,11135993
20100318,175.0,177.8,172.55,176.35,9317430
20100319,176.6,177.9,174.3,175.6,5724048
20100322,174.0,174.85,168.6,169.25,6053740
20100323,170.1,171.7,168.1,170.45,5860011
20100325,169.8,180.0,169.1,177.65,19185843
20100326,178.0,180.45,176.55,178.65,6747907
20100329,170.2,185.95,170.2,184.25,11598451
20100330,184.8,186.9,183.4,183.95,8173731
20100331,184.0,185.3,179.6,181.25,10320209
20100405,184.0,187.95,183.9,187.25,5644992
20100406,187.25,188.4,183.75,184.6,4279282
20100407,184.6,186.65,182.7,184.6,4052396
20100408,184.7,185.0,175.65,176.5,7047391
20100409,177.0,180.8,177.0,178.8,4913419
20100412,180.5,193.0,179.0,180.25,5309602
20100413,180.3,181.4,176.5,178.35,4145545
20100415,179.2,182.25,175.8,176.75,4625447
20100416,178.0,178.0,171.95,174.5,6664000
20100419,173.0,178.95,170.0,178.2,12455984
20100420,178.9,182.25,178.25,181.7,8587205
20100421,182.5,183.65,179.4,179.8,5585171
20100422,179.0,182.15,176.8,179.75,6094865
20100423,179.75,180.5,177.75,178.2,4148358
20100426,178.3,185.2,178.3,184.15,6101678
20100427,184.0,184.8,182.15,183.75,5788376
20100428,180.0,180.9,171.2,179.3,4410958
20100429,180.35,181.25,178.55,180.3,3742301
20100430,179.95,181.25,177.75,178.5,5092041
20100503,176.0,176.7,171.4,172.95,7007902
20100504,173.25,174.5,161.65,162.95,9213219
20100505,158.0,165.0,157.7,163.65,12121034
20100506,163.5,164.95,158.5,164.0,8407320
20100507,161.0,164.85,158.0,163.0,8305759
20100510,164.0,176.25,164.0,175.45,11428497
20100511,178.0,178.0,168.6,169.95,10787989
20100512,170.25,173.35,167.15,170.65,8811855
20100513,171.0,172.9,168.1,169.25,5452913
20100514,168.0,169.95,162.7,163.4,5912915
20100517,161.8,166.3,158.2,163.85,8852193
20100518,163.5,165.4,160.15,162.85,7653429
20100519,160.0,162.75,154.7,156.5,7369071
20100520,158.0,159.25,154.2,156.55,7011103
20100521,154.0,154.0,148.7,151.65,11850986
20100524,152.1,155.65,144.2,145.6,8318493
20100525,142.0,144.9,135.65,137.75,14806296
20100526,139.0,149.5,138.6,148.2,18968080
20100527,146.0,149.55,143.65,148.4,16103054
20100528,150.9,155.7,149.3,150.9,20244094
20100531,150.9,150.9,145.6,150.25,9454632
20100601,149.7,150.95,142.85,143.6,11739507
20100602,143.0,145.3,139.6,142.7,14440374
20100603,145.0,147.5,144.25,145.95,11215040
20100604,146.0,148.8,143.6,147.6,19675237
20100607,142.0,144.9,135.0,140.65,12602534
20100608,141.0,142.45,131.3,132.15,21279339
20100609,134.2,136.25,129.35,132.95,40781259
20100610,134.7,139.2,132.7,138.5,28929979
20100611,140.0,141.45,137.4,139.5,23380410
20100614,141.45,144.0,140.05,143.25,14760925
20100615,143.8,145.4,141.5,144.75,10650397
20100616,146.0,147.7,143.95,145.15,14186472
20100617,145.95,147.8,142.35,146.75,13790916
20100618,146.0,146.6,142.55,145.35,12393937
20100621,147.55,154.6,146.8,153.6,17769311
20100622,153.0,153.35,149.75,151.65,12104604
20100623,148.9,153.3,148.55,152.0,11656511
20100624,151.7,153.25,149.4,151.0,14169449
20100625,151.0,151.4,147.9,148.5,8872985
20100628,149.9,151.5,149.2,150.65,6726186
20100629,149.8,150.4,142.5,144.2,14194437
20100701,143.0,143.9,141.0,142.95,9715574
