Date,Open,High,Low,Close,Volume,ADL,OBV,+DI14,-DI14,ADX,MACD Line,Signal Line,MACD Histogram,RSI
2010-01-05,165.1,179.8,164.0,175.2,32066373,13394814.037974605,0,0,0,0,0.0,175.2,-175.2,0.0
2010-01-06,175.85,175.9,168.75,171.05,18459749,-13167093.692307593,-18459749,0,0,0,-0.09310897435898369,172.89444444444447,-172.98755341880346,0.0
2010-01-07,175.15,176.75,171.9,175.15,15284125,10399507.73195881,-3175624,0,0,0,0.008501440430165985,173.8188524590164,-173.81035101858623,0.0
2010-01-08,175.0,176.9,172.5,173.3,10197755,-12978960.909090813,-13373379,0,0,0,-0.01228604508108333,173.64308943089432,-173.6553754759754,0.0
2010-01-11,174.5,176.7,170.6,171.7,11270777,-14411813.213114787,-24644156,0,0,0,-0.08699068387969078,173.06506425511662,-173.15205493899632,0.0
2010-01-12,172.0,173.0,166.5,167.85,14443143,-16887367.200000048,-39087299,0,0,0,-0.2948914215380114,171.6514918900165,-171.9463833115545,0.0
2010-01-13,164.95,172.2,164.3,171.15,16146039,23708107.898734294,-22941260,0,0,0,-0.27364522692997184,171.52457767123957,-171.79822289816954,0.0
2010-01-14,172.0,172.9,169.5,170.85,7547095,-3107627.352941247,-30488355,0,0,0,-0.26926709216155587,171.3624639714048,-171.63173106356635,0.0
2010-01-15,171.0,171.75,165.75,166.6,4959476,-7108582.266666685,-35447831,0,0,0,-0.47299627263404886,170.26231116730472,-170.73530743993877,0.0
2010-01-18,166.2,168.9,165.4,167.25,7243749,827857.0285713815,-28204082,0,0,0,-0.5771536547332232,169.5873786014052,-170.16453225613841,0.0
2010-01-19,166.0,168.95,162.0,163.0,7199947,-10256039.611510785,-35404029,0,0,0,-0.8707465048033214,168.14609780327797,-169.0168443080813,0.0
2010-01-20,163.0,167.15,162.6,165.75,8116917,6243782.307692292,-27287112,0,0,0,-0.9230875957032367,167.63151648359568,-168.5546040792989,0.0
2010-01-21,165.0,165.75,161.7,162.85,12563207,-10857092.469135772,-39850319,0,0,0,-1.1134757232623258,166.61958147124489,-167.7330571945072,0.0
2010-01-22,160.1,163.1,155.25,161.35,13929809,15438132.267515915,-53780128,0,0,0,-1.328456304182538,165.51718109574273,-166.84563739992527,30.0
2010-01-25,161.1,165.7,157.25,159.2,16233827,-17482582.92307699,-70013955,5.212121212121228,27.93939393939393,0,-1.6012185867179198,164.20767057103876,-165.80888915775668,30.134529147982065
2010-01-27,156.5,157.4,148.65,150.05,11669010,-15869853.59999997,-81682965,4.581216194066561,34.42468447795443,0,-2.343007825421097,161.29412751031472,-163.63713533573582,24.99955712235827
2010-01-28,150.65,156.35,145.8,148.0,10480370,-12218820.000000032,-92163335,4.052893410074524,33.5700820952126,0,-3.0065123199231323,158.57405133807313,-161.58056365799627,25.153468222688403
2010-01-29,147.0,149.0,139.8,147.35,12497942,16029969.086956479,-104661277,3.6568475652241355,36.662634512657746,0,-3.5187233106936446,156.2880603172198,-159.80678362791343,26.155842416037373
2010-02-01,145.0,151.5,142.2,149.4,11674392,12804171.870967783,-92986885,5.889952355536352,33.13746969337152,0,-3.7380582781557052,154.89030446908197,-158.62836274723767,28.3737436606513
2010-02-02,152.0,155.75,150.25,151.05,17608116,-24971509.96363622,-75378769,9.920567545125786,30.949295058613586,0,-3.7544478114685944,154.1132851524694,-157.86773296393798,29.674287700878438
2010-02-03,152.1,157.45,152.1,156.25,8298172,9151255.1028038,-67080597,11.033567555934757,28.87942932468085,0,-3.378083892504492,154.54460635792077,-157.92269025042526,35.994170771669516
2010-02-04,147.0,155.0,144.2,146.15,9673582,-12360688.111111056,-76754179,9.716005920480475,33.2596201492527,0,-3.723918259566858,152.85320474526682,-156.57712300483368,30.861896653166184
2010-02-05,142.4,143.45,136.3,138.15,14972307,-14448799.76223776,-91726486,8.79180403833592,37.724953187312714,0,-4.49148528796124,149.89510224106505,-154.3865875290263,28.194565049168148
2010-02-06,143.0,143.0,140.0,141.25,1257267,-419089.0,-90469219,8.369644800880858,35.91350045234044,0,-4.821508239407734,148.15787798324368,-152.9793862226514,30.342413900329134
2010-02-08,137.0,143.8,133.7,136.2,19708455,-19903588.217821825,-110177674,7.555966660448313,38.486148549680436,0,-5.372456685881048,145.7572330062938,-151.12968969217485,29.435848231067837
2010-02-09,137.0,138.25,133.55,134.4,18330897,-23401145.106383037,-128508571,7.2049422696828795,36.846479292855165,0,-5.864770937478681,143.4789005677585,-149.34367150523718,30.114900286705065
2010-02-10,136.0,140.75,135.0,136.5,14882092,-14235044.52173913,-113626479,9.241454897017162,34.51357079045877,0,-6.030969891536074,142.0797374854547,-148.11070737699077,30.925534260101145
2010-02-11,137.25,140.35,137.0,138.25,7393889,-3752122.7761193844,-106232590,8.87457739716945,33.14341287663207,0,-5.96513353791002,141.31230555913092,-147.27743909704094,31.289303243694903
2010-02-15,139.0,141.7,137.65,140.85,10201088,11838299.65432101,-96031502,8.510719592628728,31.784532458492453,64.32344878043759,-5.656970301685249,141.21970114892073,-146.87667145060598,32.51223946881409
2010-02-16,141.9,146.5,139.5,145.4,8799233,12067519.542857172,-87232269,12.974062221574552,29.4225014223091,62.50010479598678,-5.020275451313722,142.0567971938473,-147.07707264516102,35.50109122298444
2010-02-17,147.9,154.8,147.45,152.75,17420796,15406146.122448932,-69811473,20.283515050664132,26.56733005058946,58.99383898637933,-3.9272738395910665,144.19755786175412,-148.1248317013452,40.39115353626473
2010-02-18,153.4,154.8,150.3,152.6,19301034,857823.7333330407,-89112507,19.317099630063858,25.301519988529925,55.73802073460099,-3.03887329605638,145.87937876520186,-148.91825206125824,42.09833379686665
2010-02-19,151.0,152.25,146.4,149.9,16060506,6314386.974359011,-105173013,18.0416570414162,27.784233124788642,53.2753036950195,-2.5093188299860287,146.684013009703,-149.19333183968902,42.240157334254306
