Date,Open,High,Low,Close,Volume
20180101,1367.0,1367.0,1340.05,1344.5,746852
20180102,1345.0,1349.8,1328.55,1338.6,695988
20180103,1344.7,1356.8,1335.0,1350.35,832810
20180104,1350.1,1356.15,1341.45,1352.25,640189
20180105,1351.0,1362.95,1348.25,1356.55,568451
20180108,1348.6,1371.0,1348.6,1368.4,801796
20180109,1374.0,1375.9,1356.0,1361.3,708386
20180110,1361.35,1370.0,1355.0,1365.8,939525
20180111,1357.0,1382.9,1357.0,1378.65,629248
20180112,1380.8,1384.4,1357.0,1374.0,872539
20180115,1375.6,1375.6,1364.0,1367.2,1324592
20180116,1369.3,1389.5,1363.75,1382.0,896453
20180117,1389.0,1391.0,1366.25,1371.2,1409691
20180118,1400.0,1406.9,1350.6,1356.95,2465412
20180119,1370.4,1372.85,1350.05,1362.45,1491194
20180122,1363.0,1365.0,1346.45,1355.1,1014403
20180123,1360.7,1372.35,1350.05,1368.35,1284895
20180124,1368.0,1372.0,1335.05,1365.9,1819330
20180125,1368.9,1378.0,1359.55,1372.75,2125894
20180129,1370.0,1400.0,1367.2,1397.3,1406390
20180130,1397.3,1410.0,1390.1,1400.25,1310365
20180131,1400.0,1400.0,1362.6,1369.35,1491912
20180201,1373.0,1384.8,1351.0,1371.25,1563429
20180202,1352.0,1377.9,1352.0,1372.2,1699619
20180205,1352.1,1361.45,1341.25,1355.75,1585136
20180206,1300.0,1348.5,1299.0,1325.35,1540401
20180207,1322.0,1330.0,1307.05,1312.65,1561287
20180208,1325.7,1337.55,1305.25,1329.55,1146084
20180209,1319.0,1340.0,1311.8,1333.05,810004
20180212,1340.0,1349.9,1333.15,1344.45,1166428
20180214,1349.8,1353.2,1332.0,1349.4,857401
20180215,1353.0,1364.45,1338.75,1358.15,844856
20180216,1364.0,1364.0,1348.0,1352.1,1091144
20180219,1359.0,1359.0,1328.8,1335.9,495950
20180220,1332.15,1343.35,1327.85,1331.8,688130
20180221,1339.0,1339.0,1323.0,1330.6,1406451
20180222,1330.1,1333.8,1313.25,1326.45,2173259
20180223,1326.5,1331.6,1320.2,1323.15,896708
20180226,1316.25,1338.4,1316.25,1333.3,1109668
20180227,1340.0,1352.5,1334.1,1346.35,1316559
20180228,1338.4,1338.5,1311.0,1317.75,1862621
20180301,1320.0,1329.0,1314.25,1324.25,961945
20180305,1320.0,1320.95,1293.75,1299.75,842790
20180306,1300.0,1307.9,1289.2,1293.2,738512
20180307,1293.05,1307.6,1291.1,1293.85,917890
20180308,1300.0,1305.55,1284.2,1293.15,739272
20180309,1295.0,1303.0,1286.1,1300.75,852176
20180312,1305.0,1327.95,1294.05,1324.2,874857
20180313,1324.9,1331.45,1313.7,1320.55,1067772
20180314,1317.4,1325.0,1311.15,1316.9,760665
20180315,1313.9,1320.0,1294.25,1299.95,536838
20180316,1303.0,1310.7,1281.1,1299.15,3646692
20180319,1308.0,1318.2,1303.25,1309.4,1244199
20180320,1306.0,1320.5,1306.0,1313.25,1249242
20180321,1313.25,1323.1,1305.0,1315.6,1698614
20180322,1312.5,1320.5,1309.05,1311.85,950972
20180323,1290.0,1314.0,1283.8,1301.65,1301609
20180326,1303.0,1329.9,1298.0,1324.3,1032138
20180327,1339.0,1340.0,1321.15,1332.8,1040328
20180328,1326.05,1339.4,1322.2,1333.35,1337677
20180402,1315.0,1360.55,1315.0,1351.3,708747
20180403,1347.1,1355.5,1338.65,1348.4,979726
20180404,1348.0,1360.0,1339.55,1357.45,912607
20180405,1380.0,1383.8,1362.7,1382.2,588716
20180406,1381.95,1381.95,1362.45,1374.8,633937
20180409,1367.95,1396.4,1367.5,1391.6,923543
20180410,1398.8,1402.8,1387.0,1391.5,969036
20180411,1393.0,1420.5,1385.55,1409.15,1015714
20180412,1408.0,1416.0,1397.1,1412.75,510556
20180413,1412.0,1413.85,1399.2,1410.55,534981
20180416,1408.9,1423.2,1404.85,1419.5,325041
20180417,1420.5,1450.5,1419.8,1445.55,1176082
20180418,1450.5,1456.15,1440.0,1450.5,765225
20180419,1451.4,1467.9,1448.35,1454.2,682820
20180420,1442.0,1472.15,1441.2,1467.8,674146
20180423,1471.0,1471.0,1450.0,1452.75,395622
20180424,1464.0,1469.75,1445.7,1459.65,1218174
20180425,1459.0,1463.0,1449.05,1459.2,504777
20180426,1463.0,1498.6,1459.85,1491.25,1321586
20180427,1491.25,1497.5,1469.9,1473.95,818770
20180430,1475.0,1513.55,1474.55,1508.9,612159
20180502,1512.0,1514.0,1464.65,1471.95,1047583
20180503,1465.6,1468.95,1441.6,1452.2,1243694
20180504,1455.0,1471.0,1447.65,1464.2,586841
20180507,1472.4,1502.0,1465.0,1497.9,887065
20180508,1494.0,1504.8,1478.5,1496.05,906975
20180509,1496.9,1511.0,1486.25,1496.0,759263
20180510,1494.0,1506.85,1480.0,1486.5,932116
20180511,1489.0,1506.0,1485.1,1504.1,591179
20180514,1515.0,1521.2,1494.05,1503.55,1479249
20180515,1530.0,1542.4,1510.5,1515.5,3239290
20180516,1509.0,1582.4,1506.6,1574.1,2420630
20180517,1574.1,1596.4,1560.25,1569.8,2082393
20180518,1563.3,1612.5,1563.3,1605.8,2041908
20180521,1613.0,1619.4,1573.05,1578.65,1510806
20180522,1565.75,1588.95,1558.2,1574.3,1137466
20180523,1567.0,1586.3,1561.0,1568.1,891664
20180524,1570.1,1571.65,1550.05,1561.1,915840
20180525,1566.0,1591.25,1557.3,1575.75,968884
20180528,1585.0,1585.7,1576.0,1582.85,563972
20180529,1575.55,1597.8,1563.7,1572.7,944652
20180530,1569.5,1594.8,1557.0,1585.8,1089156
20180531,1595.0,1617.65,1579.7,1611.45,3315162
20180601,1613.0,1624.4,1581.1,1588.85,1444570
20180604,1590.0,1590.0,1558.0,1563.2,857157
20180605,1564.0,1573.0,1547.05,1562.8,1531015
20180606,1561.1,1579.0,1557.45,1571.15,1085135
20180607,1575.0,1606.7,1575.0,1603.05,1479204
20180608,1599.9,1601.25,1581.5,1595.6,760059
20180611,1596.0,1617.0,1584.4,1601.4,905198
20180612,1604.8,1645.0,1590.4,1638.45,1707972
20180613,1644.0,1644.75,1619.5,1621.2,845842
20180614,1617.8,1644.0,1598.3,1609.6,1348038
20180615,1590.0,1628.9,1590.0,1621.3,2101892
20180618,1629.95,1639.0,1603.5,1608.55,846403
20180619,1603.6,1612.0,1589.7,1601.0,1118708
20180620,1597.0,1617.6,1597.0,1602.4,1535703
20180621,1594.0,1610.5,1588.0,1593.45,1185462
20180622,1592.0,1610.7,1581.0,1608.1,1098709
20180625,1616.0,1629.0,1607.4,1615.15,1082199
20180626,1615.0,1630.8,1614.25,1621.75,759142
20180627,1629.0,1656.65,1598.35,1609.3,2251405
20180628,1610.0,1620.5,1596.0,1602.75,1177218
20180629,1605.45,1645.0,1605.45,1641.15,1722592
20180702,1640.9,1647.75,1625.05,1643.45,1099574
20180703,1645.0,1661.1,1635.0,1643.5,1381265
20180704,1642.0,1682.4,1639.65,1676.0,1244751
20180705,1679.0,1692.35,1668.4,1688.0,1449303
20180706,1689.0,1697.65,1672.4,1678.3,1458899
20180709,1682.0,1696.0,1674.0,1691.9,773248
20180710,1693.25,1698.85,1678.1,1687.0,1093651
20180711,1685.0,1721.0,1679.05,1718.15,1158397
20180712,1720.0,1749.4,1718.25,1742.35,1471465
20180713,1742.0,1750.05,1724.0,1742.65,976456
20180716,1749.8,1779.0,1743.85,1751.25,2218046
20180717,1767.0,1780.0,1678.2,1681.7,6188478
20180718,1693.0,1699.7,1627.0,1643.75,2372869
20180719,1651.9,1670.0,1643.65,1647.45,1457149
20180720,1655.9,1671.45,1628.8,1655.85,1734748
20180723,1668.95,1702.95,1660.55,1689.65,1382893
20180724,1700.0,1709.7,1662.45,1667.9,1084438
20180725,1671.0,1679.45,1638.25,1652.95,1526620
20180726,1655.0,1679.65,1645.05,1669.95,2088548
20180727,1670.0,1674.8,1641.45,1659.0,1030665
20180730,1666.25,1692.0,1651.0,1688.7,1237254
20180731,1690.0,1737.45,1681.7,1731.65,1877744
20180801,1732.95,1743.0,1718.6,1734.3,1191134
20180802,1742.25,1759.75,1739.0,1748.5,1127209
20180803,1754.0,1767.35,1746.9,1763.0,758933
20180806,1760.0,1760.0,1715.05,1730.3,1629015
20180807,1730.8,1742.0,1724.0,1730.05,863577
20180808,1728.0,1763.0,1721.35,1757.15,1423256
20180809,1761.5,1765.0,1738.2,1754.2,939345
20180810,1750.0,1763.6,1741.5,1752.7,730724
20180813,1739.0,1756.5,1725.75,1728.85,691024
20180814,1729.0,1759.3,1729.0,1744.25,850399
20180816,1741.0,1751.95,1730.6,1737.4,638454
20180817,1741.1,1788.6,1731.75,1784.75,1420289
20180820,1790.0,1808.65,1773.2,1777.0,924623
20180821,1777.0,1777.0,1750.0,1752.5,1169476
20180823,1764.95,1783.5,1757.5,1772.8,1375102
20180824,1773.25,1789.0,1762.25,1780.95,866648
20180827,1791.0,1798.0,1778.7,1792.3,627163
20180828,1789.0,1790.95,1767.85,1771.2,991764
20180829,1775.0,1779.4,1751.25,1755.85,777922
20180830,1755.0,1779.8,1755.0,1772.85,1586926
20180831,1777.0,1789.95,1765.0,1780.1,1335542
20180903,1791.5,1791.5,1695.85,1699.1,1744229
20180904,1697.0,1697.95,1623.85,1651.2,3852609
20180905,1643.0,1647.55,1596.0,1611.7,2693195
20180906,1623.45,1636.5,1598.65,1608.6,2008264
20180907,1611.9,1644.7,1601.0,1638.75,1571003
20180910,1632.7,1640.4,1604.0,1610.3,1423511
20180911,1613.0,1624.0,1576.05,1590.65,2381214
20180912,1599.95,1636.9,1587.5,1626.85,1789295
20180914,1637.9,1649.0,1612.5,1629.3,1920969
20180917,1620.0,1626.0,1595.0,1605.45,904395
20180918,1622.0,1670.95,1618.0,1664.95,2932792
20180919,1671.0,1678.5,1637.15,1647.1,1589108
20180921,1651.0,1656.9,1606.3,1621.3,3032792
20180924,1622.05,1639.5,1564.1,1590.45,1817390
20180925,1600.0,1640.0,1577.05,1630.85,1229970
20180926,1644.4,1649.0,1598.0,1610.75,980726
20180927,1610.0,1625.0,1603.2,1620.1,1572603
20180928,1620.1,1627.3,1600.05,1608.4,1735076
20181001,1606.5,1652.4,1601.6,1642.3,1721675
20181003,1642.0,1642.05,1606.65,1618.85,1213562
20181004,1600.0,1602.8,1562.1,1573.95,1544573
20181005,1559.5,1574.85,1528.6,1558.55,1638027
20181008,1551.0,1570.4,1537.1,1559.35,1998863
20181009,1563.0,1570.0,1492.5,1512.45,1562134
20181010,1512.5,1543.2,1490.55,1527.65,2294071
20181011,1490.0,1540.0,1477.2,1526.1,1823960
20181012,1555.5,1577.5,1540.1,1569.6,1728063
20181015,1549.7,1592.95,1500.0,1526.3,3913322
20181016,1535.7,1557.55,1526.5,1546.2,1374834
20181017,1558.1,1577.8,1546.05,1562.0,1223188
20181019,1551.2,1585.75,1543.05,1578.4,932433
20181022,1588.0,1590.0,1566.6,1584.9,614209
20181023,1575.55,1582.0,1547.5,1552.05,989355
20181024,1562.0,1591.0,1552.4,1585.95,690618
20181025,1574.0,1591.75,1552.65,1571.55,2397242
20181026,1567.1,1579.5,1549.95,1558.25,1049382
20181029,1559.45,1559.45,1522.0,1552.9,1478828
20181030,1553.9,1603.6,1542.45,1593.05,1366068
20181031,1593.0,1624.0,1561.95,1621.7,1478902
20181101,1624.5,1624.5,1583.55,1607.65,1037308
20181102,1610.7,1648.2,1608.25,1638.45,1332970
20181105,1635.0,1647.0,1610.0,1640.05,764645
20181106,1650.0,1654.0,1620.1,1631.95,656676
20181107,1640.0,1646.95,1634.4,1643.85,114827
20181109,1650.0,1680.0,1638.3,1672.6,1125863
20181112,1672.0,1681.95,1649.2,1654.3,805817
20181113,1644.1,1678.6,1636.55,1671.1,673435
20181114,1672.0,1739.5,1668.05,1715.5,1780843
20181115,1717.75,1728.4,1696.65,1706.05,997169
20181116,1704.9,1718.0,1683.3,1689.1,1071547
20181119,1693.3,1707.0,1677.0,1701.4,910054
20181120,1701.0,1709.9,1685.05,1694.0,740827
20181121,1690.05,1706.0,1678.7,1689.95,932133
20181122,1692.9,1703.7,1663.0,1675.1,808599
20181126,1678.1,1750.0,1678.1,1744.0,2314140
20181127,1738.9,1741.5,1709.25,1733.3,1592918
20181128,1731.0,1748.0,1716.75,1732.2,1205956
20181129,1745.9,1780.0,1737.5,1768.5,1936534
20181130,1770.95,1798.3,1742.25,1754.0,2373749
20181203,1769.5,1838.3,1748.05,1825.6,4310053
20181204,1835.0,1848.95,1801.0,1807.65,3155914
20181205,1803.0,1854.8,1788.0,1848.1,2847336
20181206,1840.0,1847.0,1797.65,1801.5,2399579
20181207,1801.3,1832.75,1792.1,1824.3,1774240
20181210,1796.8,1815.0,1790.0,1795.8,1216028
20181211,1781.0,1819.9,1770.1,1794.9,2237806
20181212,1796.0,1845.05,1795.95,1839.1,1449484
20181213,1848.0,1867.45,1837.05,1855.55,1586900
20181214,1837.0,1865.85,1832.75,1860.55,1573884
20181217,1865.0,1869.5,1845.05,1850.7,1179613
20181218,1848.9,1848.9,1833.0,1840.75,1521255
20181219,1849.95,1858.0,1842.0,1844.8,1687085
20181220,1839.0,1854.9,1821.0,1834.25,1500656
20181221,1833.0,1842.6,1800.0,1803.5,1439522
20181224,1814.0,1814.0,1777.55,1784.65,1023418
20181226,1760.0,1798.65,1741.25,1791.6,2212019
20181227,1802.7,1823.0,1793.15,1814.9,1516851
20181228,1817.9,1834.9,1815.7,1822.05,963189
20181231,1830.0,1836.9,1811.25,1819.65,757071
20190101,1824.8,1824.8,1798.35,1804.6,638579
