Date,Open,High,Low,Close,Volume
20180102,310.95,311.7,307.5,309.7,7046560
20180103,312.5,316.35,312.5,315.0,8898342
20180104,314.95,315.65,311.5,314.7,6385367
20180105,314.45,315.15,311.6,312.9,6366054
20180108,313.5,318.2,312.6,314.15,7329648
20180109,314.8,315.8,310.75,312.6,9190909
20180110,312.55,312.95,310.55,312.0,6736971
20180111,312.5,312.5,308.55,309.5,8366718
20180112,309.6,318.8,309.6,317.7,11699345
20180115,320.8,330.7,320.25,329.3,30242005
20180116,329.75,340.75,326.55,334.1,26707100
20180117,334.05,344.2,334.05,343.25,43305353
20180118,350.0,353.2,343.0,346.15,31504669
20180119,347.45,355.0,340.8,353.6,18812611
20180122,352.4,352.9,344.8,351.5,15269782
20180123,350.45,364.45,350.45,362.3,22485663
20180124,357.75,359.2,351.8,352.75,12815095
20180125,352.5,364.8,350.7,360.8,30183655
20180129,360.0,365.7,355.6,357.65,17855095
20180130,356.8,356.8,350.5,353.25,13358981
20180131,348.85,353.95,343.6,352.95,22638319
20180201,347.55,355.9,343.8,346.2,29472295
20180202,342.55,343.7,333.7,335.1,16957983
20180205,327.6,334.25,327.05,329.7,17339547
20180206,315.25,337.95,313.0,330.7,18491736
20180207,335.35,336.4,329.9,332.55,11819190
20180208,332.55,338.4,329.5,333.85,10294899
20180209,325.0,328.65,322.65,326.75,9493398
20180212,328.85,329.2,323.25,326.25,8356351
20180214,327.0,327.0,316.55,318.95,15189066
20180215,322.15,331.8,322.15,328.65,23779772
20180216,330.35,334.0,318.8,321.05,17585994
20180219,329.5,329.6,315.2,319.75,19044107
20180220,320.5,324.2,316.3,317.25,16030558
20180221,319.0,320.7,315.7,319.2,9974873
20180222,317.0,319.3,313.95,318.35,25530698
20180223,319.05,324.05,318.35,322.75,7949765
20180226,325.0,327.8,323.15,327.05,7133735
20180227,327.0,327.05,319.65,322.15,9623651
20180228,315.15,317.0,311.1,313.25,17481687
20180301,312.65,314.0,304.25,304.95,18986889
20180305,304.45,306.5,299.3,303.35,14456193
20180306,307.4,307.7,294.2,295.05,18951451
20180307,293.3,293.8,285.35,286.7,31472773
20180308,290.25,298.0,289.25,296.95,21413552
20180309,299.0,299.5,290.7,292.7,12489587
20180312,295.6,301.9,293.75,300.65,12163952
20180313,300.1,307.0,299.6,304.35,15966647
20180314,303.15,307.45,297.8,306.05,12964285
20180315,305.75,305.75,300.4,301.45,13282019
20180316,301.25,301.85,297.4,298.1,28835112
20180319,298.1,300.0,291.25,294.55,13601784
20180320,293.0,297.2,290.25,292.0,10880002
20180321,295.0,295.05,287.35,289.2,13618228
20180322,289.5,289.65,280.9,283.25,24593489
20180323,277.1,277.85,273.55,275.55,31922568
20180326,276.1,283.15,275.95,281.65,24618534
20180327,284.5,287.3,281.4,283.9,22377328
20180328,283.0,283.3,277.1,278.35,27172599
