Date,Open,High,Low,Close,Volume
20180108,1711.0,1724.0,1700.1,1719.9,1489032
20180109,1725.0,1729.95,1706.75,1725.05,576106
20180110,1724.95,1742.55,1711.15,1734.1,1223879
20180111,1740.0,1752.0,1685.0,1700.3,4145613
20180112,1710.0,1720.45,1688.0,1705.25,2057925
20180115,1707.1,1710.3,1675.0,1682.4,997313
20180116,1691.75,1692.0,1660.0,1664.6,829183
20180117,1664.1,1678.75,1645.4,1657.45,600044
20180118,1679.0,1707.0,1667.0,1680.1,2327815
20180119,1683.0,1692.25,1670.8,1684.0,497099
20180122,1684.0,1695.8,1676.6,1683.2,820236
20180123,1690.0,1730.0,1680.0,1723.35,1763797
20180124,1725.0,1738.8,1705.0,1717.3,968956
20180125,1723.0,1735.35,1703.7,1730.2,2169317
20180129,1730.2,1751.05,1724.0,1742.5,1232573
20180130,1745.0,1746.85,1721.25,1736.05,653937
20180131,1735.0,1761.0,1725.1,1753.1,1237098
20180201,1754.0,1817.8,1733.85,1795.45,3720115
20180202,1774.9,1779.5,1734.2,1761.3,2192706
20180205,1721.0,1739.05,1683.05,1713.0,1600927
20180206,1650.55,1701.9,1644.5,1682.85,1846944
20180207,1704.0,1717.15,1658.6,1661.75,1423804
20180208,1680.0,1684.95,1662.3,1670.85,801569
20180209,1650.0,1659.55,1635.6,1649.85,1206481
20180212,1649.85,1700.0,1645.2,1687.8,864259
20180214,1702.0,1709.5,1679.3,1694.45,884974
20180215,1696.0,1703.65,1669.0,1686.15,872147
20180216,1694.0,1696.75,1650.0,1658.9,1088167
20180219,1657.8,1657.8,1616.0,1630.45,1151645
20180220,1632.05,1649.05,1618.3,1622.7,859058
20180221,1636.0,1636.0,1590.0,1594.25,1425276
20180222,1593.0,1631.0,1586.2,1623.5,2073919
20180223,1623.5,1647.85,1619.0,1643.5,616552
20180226,1648.0,1700.0,1648.0,1691.3,1023854
20180227,1700.15,1703.9,1678.65,1685.2,529068
20180228,1673.9,1688.6,1661.05,1680.75,913679
20180301,1674.75,1708.95,1673.5,1700.35,760617
20180305,1688.0,1697.75,1676.65,1689.2,789108
20180306,1705.0,1732.0,1700.05,1710.3,1674469
20180307,1701.0,1713.95,1686.2,1704.25,1138136
20180308,1711.9,1718.25,1682.45,1694.15,1112679
20180309,1702.0,1708.2,1685.0,1697.55,1281268
20180312,1705.0,1738.8,1705.0,1735.3,858788
20180313,1734.9,1751.0,1715.8,1729.5,797998
20180314,1724.0,1736.55,1710.65,1733.35,685008
20180315,1733.0,1750.0,1724.0,1741.75,604484
20180316,1741.0,1753.35,1720.0,1724.7,2412430
20180319,1731.0,1732.95,1713.05,1718.8,1392321
20180320,1711.1,1738.0,1702.1,1716.65,779431
20180321,1716.65,1743.8,1716.65,1731.45,1456002
20180322,1737.8,1762.9,1735.1,1753.1,1549193
20180323,1731.0,1756.8,1725.0,1749.5,1854651
20180326,1751.7,1773.1,1748.2,1759.75,1796664
20180327,1772.0,1796.0,1758.8,1788.2,852040
20180328,1772.15,1807.0,1772.15,1796.75,2380088
20180402,1801.6,1809.9,1787.5,1804.6,663945
20180403,1795.0,1841.2,1795.0,1829.7,1152587
20180404,1830.0,1839.45,1792.6,1799.35,732382
