Date,Open,High,Low,Close,Volume
20180102,371.0,380.0,370.1,378.8,4093118
20180103,379.7,383.45,376.45,378.65,2009516
20180104,381.8,381.8,377.25,379.05,4247055
20180105,381.45,381.45,371.5,372.6,1576172
20180108,372.6,376.45,372.05,374.4,1754188
20180109,370.15,376.85,367.2,368.4,1659015
20180110,368.5,373.0,364.6,370.8,4204087
20180111,371.0,371.75,363.9,367.75,2373477
20180112,364.05,376.95,364.05,374.8,2834284
20180115,374.5,378.5,369.0,370.5,1038566
20180116,373.45,375.35,366.15,367.95,1797985
20180117,365.0,373.2,360.85,366.1,2996802
20180118,365.0,365.05,342.25,343.8,4256014
20180119,346.0,348.55,339.25,346.05,7653870
20180122,344.5,349.0,339.8,343.5,6688121
20180123,344.4,345.5,337.85,339.4,5668180
20180124,339.0,345.85,338.45,342.3,4933761
20180125,342.1,348.8,340.55,343.45,4683283
20180129,343.0,355.65,340.5,353.4,4249433
20180130,352.2,354.6,342.1,344.45,3724844
20180131,345.0,353.95,343.2,351.55,3997015
20180201,352.0,354.0,343.5,346.85,3045857
20180202,342.0,349.6,341.8,344.85,4467011
20180205,336.0,354.1,330.05,349.0,2690533
20180206,339.4,349.2,328.15,344.95,1662550
20180207,348.05,353.9,336.15,338.55,3376135
20180208,341.0,351.95,340.0,349.2,1436457
20180209,342.9,349.15,339.05,341.5,3050243
20180212,345.4,346.15,336.25,338.25,3252157
20180214,339.55,340.4,325.25,327.4,7362307
20180215,329.1,336.9,327.25,331.05,3526872
20180216,334.4,334.4,322.55,327.55,2397216
20180219,330.85,333.4,325.1,329.85,2593948
20180220,332.0,335.75,322.7,334.0,2348949
20180221,334.9,339.5,332.5,338.05,2192907
20180222,335.0,338.05,330.0,333.85,8407719
20180223,332.1,344.4,330.05,340.4,3108532
20180226,344.75,348.0,335.9,344.45,11037220
20180227,346.9,349.35,339.95,344.8,6738482
20180228,340.0,351.4,338.9,346.7,41050485
20180301,348.0,352.2,342.25,345.2,3367869
20180305,342.5,342.5,335.0,339.15,2294182
20180306,339.8,340.45,328.8,331.95,10597788
20180307,331.0,336.6,327.65,329.45,10039533
20180308,331.0,344.45,324.5,331.2,7186625
20180309,332.0,338.1,328.85,333.15,5488752
20180312,335.5,343.6,332.65,339.5,6680146
20180313,336.0,350.0,336.0,349.0,2491061
