Date,Open,High,Low,Close,Volume
20170816,982.0,986.1,969.0,975.2,3089040
20170817,1005.0,1029.25,998.05,1020.85,12892130
20170818,1017.9,1017.9,884.2,923.25,82202480
20170821,924.0,924.0,870.0,873.4,45203588
20170823,880.0,903.7,873.9,892.8,30642095
20170824,910.0,918.25,902.35,912.15,21190262
20170828,943.95,953.95,938.0,941.0,20356054
20170829,941.45,942.0,925.55,927.45,6684696
20170830,937.2,939.0,924.1,926.65,8074832
20170831,928.8,928.95,912.9,914.95,7511226
20170901,915.95,925.9,910.0,919.95,4216961
20170904,921.0,921.1,893.5,900.2,5088554
20170905,902.0,905.0,897.25,901.9,4891696
20170906,900.0,900.3,890.0,895.6,3867955
20170907,900.0,900.5,892.35,895.75,3120596
20170908,899.0,899.0,882.1,884.3,4302271
20170911,890.4,891.8,873.65,878.7,6893821
20170912,882.55,887.75,878.8,884.05,8620677
20170913,885.5,887.6,881.0,883.75,5739114
20170914,884.5,896.6,881.6,892.4,6849003
20170915,892.3,913.25,892.2,908.25,6729730
20170918,910.0,917.75,906.3,909.1,4237930
20170919,908.0,916.0,903.5,912.25,3016665
20170920,917.0,917.0,907.45,912.7,2883915
20170921,915.0,915.25,908.15,909.55,4102076
20170922,908.15,910.25,888.0,898.3,8802044
20170925,901.0,901.95,889.1,895.35,4544350
20170926,897.0,908.4,894.3,905.9,3683239
20170927,906.1,907.9,895.1,899.8,3000069
20170928,896.1,903.9,894.3,896.0,8768633
20170929,898.0,902.4,895.0,899.9,2852916
20171003,910.1,912.0,901.6,903.55,2473761
20171004,903.0,905.4,897.15,899.6,2495746
20171005,900.0,904.95,899.0,903.05,4305650
20171006,904.0,922.0,903.95,920.15,4287154
20171009,920.0,929.0,914.0,923.9,1752416
20171010,939.95,939.95,929.55,935.45,3571610
20171011,935.45,938.0,928.0,930.7,2991252
20171012,930.0,934.35,919.55,927.3,5140486
20171013,932.8,933.5,927.55,930.1,3590364
20171016,935.95,942.0,933.0,939.0,2879375
20171017,936.8,936.8,929.5,930.5,2812551
20171018,928.9,930.0,922.95,924.35,3615926
20171019,930.0,932.0,925.2,926.95,545717
20171023,930.0,942.0,928.1,939.5,4577048
20171024,946.0,946.65,921.6,926.5,7264664
20171025,919.0,944.7,915.25,935.3,6992067
20171026,942.0,951.8,940.1,947.35,16829629
20171027,955.0,957.7,944.0,946.35,4262478
20171030,954.65,954.65,941.05,944.1,6484163
20171031,925.0,930.0,920.0,921.85,4977494
20171101,925.0,929.4,923.3,927.05,2816567
20171102,923.05,926.0,920.0,922.9,2343069
20171103,917.0,929.9,916.95,926.65,1849543
20171106,923.15,935.0,922.65,928.7,2533267
20171107,926.25,960.0,925.85,955.5,6721410
20171108,960.25,961.85,947.5,952.3,2684997
20171109,953.0,963.0,948.25,954.5,2361616
20171110,958.8,964.35,950.0,962.05,3294714
20171113,962.05,969.4,949.35,951.95,2510608
20171114,951.95,954.85,943.25,949.1,2866855
20171115,945.15,953.5,944.5,951.8,3511758
