Date,Open,High,Low,Close,Volume
20180102,377.0,385.0,376.0,378.25,6207
20180103,383.9,383.95,375.0,377.75,3460
20180104,380.0,389.1,379.5,386.2,12345
20180105,386.4,389.0,372.75,387.3,10846
20180108,387.95,401.25,382.4,398.5,30103
20180109,403.0,459.0,402.0,443.6,614739
20180110,438.0,438.9,417.0,421.15,80525
20180111,418.1,431.85,407.1,413.65,39523
20180112,417.15,449.1,416.0,428.85,165460
20180115,425.0,432.9,415.55,417.4,19989
20180116,427.95,431.95,408.0,415.1,29412
20180117,415.1,419.95,403.0,412.0,22721
20180118,419.0,429.0,400.5,410.45,31696
20180119,401.0,412.0,389.15,394.85,32580
20180122,409.9,410.0,388.5,405.5,17400
20180123,430.0,430.0,390.85,393.35,27142
20180124,390.1,395.0,387.5,390.2,9846
20180125,382.0,409.9,373.75,392.55,53991
20180129,393.0,397.1,379.95,384.05,24082
20180130,385.0,389.15,380.0,381.5,7128
20180131,380.25,382.55,375.25,380.3,5683
20180201,373.2,388.95,373.2,387.8,6356
20180202,378.0,381.45,372.0,374.15,12855
20180205,356.0,380.0,347.1,365.9,68950
20180206,353.15,360.6,345.0,352.55,12277
20180207,363.95,368.0,337.5,341.2,37092
20180208,346.0,365.0,340.0,361.3,24369
20180209,356.0,361.0,351.5,354.4,29379
20180212,359.0,360.0,355.2,356.6,3140
20180214,362.95,362.95,354.25,358.4,8917
20180215,359.05,405.0,357.05,366.5,106114
20180216,366.0,367.05,356.7,358.3,19424
20180219,354.65,357.0,348.0,351.4,5936
20180220,349.95,374.4,349.95,362.6,54328
20180221,360.0,375.25,360.0,371.55,98910
20180222,366.0,377.0,353.6,355.65,13803
20180223,365.0,371.1,358.15,365.9,53255
20180226,366.5,382.4,363.0,379.05,10769
20180227,384.0,396.4,382.0,385.55,173130
20180228,389.4,396.5,375.0,393.05,24087
20180301,395.05,399.0,385.1,394.05,11262
20180305,394.05,398.4,385.1,395.5,14937
20180306,398.45,399.0,371.5,378.1,8264
20180307,375.0,383.8,373.25,375.65,5527
20180308,377.25,381.7,373.0,375.45,8812
20180309,374.7,387.0,358.5,383.7,34313
20180312,382.5,382.75,365.0,376.1,20640
20180313,379.5,380.6,374.0,379.55,14822
20180314,380.0,380.6,367.0,375.3,28188
20180315,380.0,382.0,370.05,372.4,24391
20180316,369.7,370.95,361.1,364.6,62080
20180319,377.3,377.3,361.5,365.5,12453
20180320,366.0,380.0,360.9,377.45,49910
20180321,374.7,382.8,374.7,380.1,34698
20180322,381.15,385.0,376.2,380.2,55694
20180323,373.0,380.9,371.5,380.0,25765
20180326,372.75,388.95,372.75,380.05,31569
20180327,377.6,395.3,377.0,386.65,52967
20180328,380.0,406.95,380.0,397.45,123019
20180402,388.0,409.5,388.0,399.95,11452
20180403,391.5,408.0,390.0,392.5,20266
20180404,392.5,398.75,381.5,385.1,26689
20180405,394.0,402.0,383.5,394.15,42370
20180406,394.45,395.1,390.6,392.25,106096
20180409,398.45,398.45,391.0,391.45,4675
20180410,395.0,395.0,384.0,388.0,4121
20180411,393.0,393.0,385.35,389.7,2277
20180412,386.0,391.4,383.0,386.85,6947
20180413,386.3,389.2,385.0,385.4,1872
20180416,389.95,393.0,383.5,384.5,3513
20180417,385.3,389.7,381.1,387.7,3633
20180418,387.8,394.7,385.1,386.05,7602
20180419,382.15,393.0,382.15,388.35,7750
20180420,382.55,390.8,382.25,387.4,10984
20180423,388.2,393.2,382.5,385.55,5894
20180424,389.95,393.0,385.05,387.8,9811
20180425,388.15,396.0,384.1,385.6,15254
20180426,385.8,390.0,385.0,388.05,9522
20180427,390.0,390.0,382.55,387.8,22270
20180430,387.0,387.0,382.1,383.05,3571
20180502,386.15,386.15,372.0,376.05,10418
20180503,376.0,382.95,371.75,376.4,7167
20180504,376.0,379.0,368.2,369.95,4411
20180507,370.3,375.0,368.15,369.8,3857
20180508,369.9,375.0,362.45,364.65,6287
20180509,372.95,372.95,359.45,363.55,3932
20180510,365.3,365.3,351.5,353.3,9015
20180511,358.1,370.15,354.0,365.5,20036
20180514,367.0,371.85,358.0,359.95,2821
20180515,354.1,371.0,352.0,356.05,6979
20180516,355.05,364.8,350.1,351.9,35182
20180517,352.5,357.9,351.0,355.3,5420
20180518,354.75,356.0,345.0,347.45,6029
20180521,346.85,352.75,331.5,334.45,9931
20180522,330.35,340.0,330.35,336.8,10714
20180523,345.0,354.0,341.25,345.15,41557
20180524,340.1,349.4,338.0,340.75,4688
20180525,341.2,343.5,335.0,337.55,6891
20180528,337.7,344.4,337.7,340.45,6823
20180529,335.05,344.65,331.15,334.05,264707
20180530,339.0,345.0,331.5,342.9,5628
20180531,343.95,344.0,339.0,339.6,3927
20180601,343.95,343.95,332.1,333.5,11937
20180604,343.0,343.85,319.0,322.0,15110
20180605,324.0,328.0,315.5,316.95,4354
20180606,317.0,328.0,316.0,325.95,3942
20180607,327.4,334.9,321.05,331.45,33599
20180608,332.7,332.7,318.7,329.0,59411
20180611,332.4,339.5,323.55,326.1,9114
20180612,327.6,329.0,323.0,323.6,6820
20180613,324.45,335.0,324.45,328.8,52960
20180614,329.0,332.6,324.0,325.95,6508
20180615,327.15,327.15,320.5,321.6,5133
20180618,322.0,330.0,320.0,323.35,3984
20180619,324.3,324.3,321.4,322.1,1484
20180620,327.95,327.95,321.0,322.15,1793
20180621,320.05,324.0,312.45,314.2,208045
20180622,314.8,320.0,310.0,317.65,2829
20180625,308.1,320.0,308.0,309.95,7883
20180626,310.75,314.0,305.55,307.4,8638
20180627,313.0,313.0,303.0,305.75,4711
20180628,306.8,306.8,293.85,299.15,7481
20180629,299.6,319.75,299.5,305.15,4256
20180702,305.5,308.25,297.05,302.95,3045
20180703,302.95,313.85,302.5,308.15,1534
20180704,309.6,318.8,302.6,313.95,3794
20180705,313.9,314.0,302.05,304.75,24996
20180706,305.0,315.0,304.1,313.4,3269
20180709,312.0,315.0,305.1,307.35,1863
20180710,310.35,323.3,307.0,314.45,4552
20180711,316.2,316.2,303.5,304.25,3585
20180712,306.2,333.9,304.2,307.45,257658
20180713,308.6,312.0,294.15,296.35,159012
20180716,296.9,299.35,293.0,295.05,16190
20180717,295.0,299.0,293.6,296.35,10246
20180718,294.25,298.0,286.0,289.45,15450
20180719,287.0,294.7,285.0,289.2,12285
20180720,285.5,292.15,285.5,289.4,6955
20180723,292.25,302.45,292.0,297.1,35949
20180724,300.0,304.0,297.1,299.8,45937
20180725,303.35,311.0,299.8,307.8,298601
20180726,310.0,312.0,303.3,307.45,171879
20180727,307.5,308.6,303.6,306.45,16689
20180730,313.0,316.35,305.25,313.65,62689
20180731,314.05,315.9,307.5,314.75,14646
20180801,310.05,322.05,310.05,316.9,13777
20180802,316.0,325.0,313.05,321.45,13256
20180803,321.0,321.0,317.0,318.45,18677
20180806,318.45,325.9,315.0,317.05,67081
20180807,315.05,325.0,314.95,321.95,69579
20180808,325.15,329.5,320.85,323.8,46846
20180809,326.8,333.0,316.7,323.55,94196
20180810,325.55,332.0,322.0,329.9,25348
20180813,329.7,330.7,325.0,329.95,19822
20180814,326.5,332.0,326.0,326.65,9832
20180816,325.1,336.0,325.05,329.65,107097
20180817,326.8,334.7,326.8,330.15,44401
20180820,329.0,336.0,328.45,331.25,103233
20180821,330.0,337.0,324.25,328.75,96594
20180823,328.0,335.0,326.05,331.85,36549
20180824,330.25,338.0,328.15,334.45,54441
20180827,331.5,338.0,331.1,335.25,38911
20180828,334.4,338.0,333.0,337.15,17042
20180829,337.95,337.95,330.0,332.5,32406
20180830,330.65,332.8,327.0,330.25,46129
20180831,328.1,329.9,320.0,324.8,45423
20180903,325.05,327.55,319.0,320.4,11384
20180904,323.55,323.55,315.0,316.85,12778
20180905,316.2,318.85,313.0,315.95,4709
20180906,316.5,323.0,313.05,319.6,29626
20180907,317.8,333.1,316.2,328.15,39871
20180910,322.3,331.7,318.5,326.15,32065
20180911,326.15,338.0,316.0,326.7,73444
20180912,329.45,332.15,319.5,322.65,79352
20180914,325.8,330.0,321.3,328.7,38248
20180917,325.05,329.9,322.5,327.15,37611
20180918,326.5,329.8,324.1,326.6,40466
20180919,325.2,329.9,325.0,328.55,31730
20180921,328.5,328.55,297.3,314.1,116703
20180924,311.1,315.0,302.0,314.45,17546
20180925,310.0,315.0,308.0,313.25,24430
20180926,312.15,322.35,311.45,313.5,32516
20180927,313.15,315.0,310.6,313.3,17699
20180928,314.7,323.0,302.15,313.3,34305
20181001,308.7,313.4,305.65,309.85,21501
20181003,308.2,320.0,306.45,319.05,18302
20181004,315.0,319.8,306.05,309.05,61420
20181005,308.05,310.0,300.1,304.0,92977
20181008,298.4,318.7,298.4,309.6,56536
20181009,310.0,329.5,308.1,319.15,92473
20181010,320.8,325.8,316.85,323.75,83111
20181011,317.0,334.35,309.0,328.65,30600
20181012,329.3,333.95,314.05,321.65,66705
20181015,324.5,325.0,311.0,323.25,43863
20181016,327.95,334.15,322.05,330.05,80963
20181017,331.55,338.6,327.0,333.25,65151
