Date,Open,High,Low,Close,Volume
20180104,270.75,281.9,269.5,277.15,6281682
20180105,279.25,289.9,278.65,285.1,8325201
20180108,286.1,289.5,283.1,286.0,2686737
20180109,286.25,289.5,281.0,284.0,2281715
20180110,283.2,285.0,278.45,282.8,2748652
20180111,283.7,285.75,282.0,282.55,1757575
20180112,283.1,289.75,282.75,286.8,5118636
20180115,287.6,292.9,283.75,285.0,3602106
20180116,286.4,287.4,276.3,281.2,3107547
20180117,282.1,287.0,279.5,285.05,3574084
20180118,285.8,289.0,275.35,279.8,8128594
20180119,281.1,283.1,273.05,282.1,3291487
20180122,283.0,283.5,276.6,278.65,2143377
20180123,279.35,299.3,277.05,294.05,8672380
20180124,292.35,296.0,287.05,288.65,4037279
20180125,292.35,297.0,288.1,290.8,7330584
20180129,291.0,300.45,291.0,293.45,4673841
20180130,292.9,292.9,287.75,289.1,2152791
20180131,289.0,294.0,281.1,289.95,6604621
20180201,296.0,306.8,285.4,302.65,8031105
20180202,298.75,314.35,293.25,299.0,12354843
20180205,295.0,299.95,282.85,291.25,6863987
20180206,278.85,289.3,265.6,283.2,8006195
20180207,287.9,294.4,284.35,290.0,9691897
20180208,290.0,308.4,290.0,304.2,8028713
20180209,295.75,311.85,295.15,309.35,6726146
20180212,312.0,315.7,309.25,310.75,4120075
20180214,313.8,314.45,308.15,309.55,3992497
20180215,311.25,314.25,305.55,307.8,3695342
20180216,310.1,313.75,306.35,312.4,5742059
20180219,313.8,313.8,293.05,302.7,6238413
20180220,303.2,309.45,300.5,305.6,4940505
20180221,307.2,308.15,295.0,298.3,5947856
20180222,299.3,301.75,295.0,297.7,11882391
20180223,299.0,307.8,298.55,306.95,4641724
20180226,310.75,316.9,308.45,316.1,5314911
20180227,319.0,320.45,314.25,318.1,6081243
20180228,313.3,315.5,310.35,312.2,6391843
20180301,315.0,317.8,303.0,305.5,6417443
20180305,299.4,300.1,289.0,291.65,9282086
20180306,298.7,301.9,292.1,293.5,9755916
20180307,293.0,293.8,286.15,289.5,7208335
20180308,294.0,296.3,284.2,289.25,5748695
20180309,291.0,294.2,284.7,291.95,8084115
20180312,295.2,299.9,291.8,297.85,4186325
20180313,298.8,304.6,295.8,303.5,4161207
20180314,300.2,303.8,298.2,300.45,3032723
20180315,299.8,300.95,294.1,295.15,3721114
20180316,295.0,295.0,288.8,290.25,7106321
20180319,290.25,290.25,280.05,283.6,3716523
20180320,280.1,288.75,279.65,285.5,5586853
20180321,288.75,291.3,285.25,288.4,3943743
20180322,288.0,290.9,284.85,286.0,3731255
20180323,279.9,288.1,276.35,286.0,6571245
