Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-01,269.5,271.7,264.35,265.8,1261616,0,0,0
2018-01-02,267.0,268.0,261.7,264.55,2277139,0,0,0
2018-01-03,267.85,272.25,266.35,268.7,3279293,0,0,0
2018-01-04,270.75,281.9,269.5,277.15,6281682,0,0,0
2018-01-05,279.25,289.9,278.65,285.1,8325201,0,0,0
2018-01-08,286.1,289.5,283.1,286.0,2686737,0,0,0
2018-01-09,286.25,289.5,281.0,284.0,2281715,0,0,0
2018-01-10,283.2,285.0,278.45,282.8,2748652,0,0,0
2018-01-11,283.7,285.75,282.0,282.55,1757575,0,0,0
2018-01-12,283.1,289.75,282.75,286.8,5118636,0,0,0
2018-01-15,287.6,292.9,283.75,285.0,3602106,0,0,0
2018-01-16,286.4,287.4,276.3,281.2,3107547,0,0,0
2018-01-17,282.1,287.0,279.5,285.05,3574084,0,0,0
2018-01-18,285.8,289.0,275.35,279.8,8128594,0,0,0
2018-01-19,281.1,283.1,273.05,282.1,3291487,24.071082390953134,17.12439418416806,0
2018-01-22,283.0,283.5,276.6,278.65,2143377,23.036342321219195,16.154747948417402,0
2018-01-23,279.35,299.3,277.05,294.05,8672380,30.91977843927804,13.50013188138216,0
2018-01-24,292.35,296.0,287.05,288.65,4037279,28.865062730371694,12.603006014084675,0
2018-01-25,292.35,297.0,288.1,290.8,7330584,27.693836091926837,11.76569895118744,0
2018-01-29,291.0,300.45,291.0,293.45,4673841,28.2739088001303,10.918662602989329,0
2018-01-30,292.9,292.9,287.75,289.1,2152791,27.035808298896345,12.93730984393721,0
2018-01-31,289.0,294.0,281.1,289.95,6604621,24.428641045586875,16.660917836494413,0
2018-02-01,296.0,306.8,285.4,302.65,8031105,29.62882596165341,14.212388310166087,0
2018-02-02,298.75,314.35,293.25,299.0,12354843,30.459407431717434,12.293937038255908,0
2018-02-05,295.0,299.95,282.85,291.25,6863987,27.24918209848121,17.40813589050718,0
2018-02-06,278.85,289.3,265.6,283.2,8006195,23.28490128155383,24.659470656711616,0
2018-02-07,287.9,294.4,284.35,290.0,9691897,24.709635279802253,23.08050874566335,0
2018-02-08,290.0,308.4,290.0,304.2,8028713,29.937658275472913,20.731896020101242,0
2018-02-09,295.75,311.85,295.15,309.35,6726146,34.49545843435586,18.684371083316158,26.843557499476123
2018-02-12,312.0,315.7,309.25,310.75,4120075,35.40103339251835,18.012791067523935,27.251433667200054
2018-02-14,313.8,314.45,308.15,309.55,3992497,34.11134828714666,17.992664056698448,27.514587772978725
2018-02-15,311.25,314.25,305.55,307.8,3695342,32.358212122579836,18.60386783565278,27.477072213183256
2018-02-16,310.1,313.75,306.35,312.4,5742059,30.903357560298833,17.767421066151396,27.44223633623032
2018-02-19,313.8,313.8,293.05,302.7,6238413,27.20915142756993,23.305613618735237,26.034042204314506
2018-02-20,303.2,309.45,300.5,305.6,4940505,25.77778548028015,22.079597371835696,24.726433367535538
2018-02-21,307.2,308.15,295.0,298.3,5947856,23.79696694351387,23.596882394726347,22.990414847203343
2018-02-22,299.3,301.75,295.0,297.7,11882391,22.827313395338578,22.635381679352285,21.37839764975202
2018-02-23,299.0,307.8,298.55,306.95,4641724,25.111567869185063,21.240727130207908,20.447863172154452
2018-02-26,310.75,316.9,308.45,316.1,5314911,29.182355714803798,19.937455484251128,20.331667467008028
