Date,Open,High,Low,Close,Volume
20180101,1011.85,1012.2,996.8,999.95,1317415
20180102,1001.0,1006.0,992.5,1003.2,1072207
20180103,1002.6,1006.9,998.1,1000.1,884021
20180104,1001.0,1002.9,996.1,1000.4,783950
20180105,1002.5,1006.7,996.6,1003.05,2147402
20180108,1008.85,1013.1,1003.7,1006.1,1780412
20180109,1010.0,1020.65,996.0,1009.75,1242106
20180110,1007.6,1009.45,1000.1,1002.25,676881
20180111,1003.7,1021.0,1001.05,1017.65,2077832
20180112,1022.5,1025.9,1016.1,1023.35,2320796
20180115,1025.0,1041.4,1020.35,1038.35,3511372
20180116,1043.55,1044.0,1027.5,1033.25,1158187
20180117,1028.05,1034.15,1021.8,1027.1,1603465
20180118,1033.0,1050.8,1031.4,1046.5,3648214
20180119,1052.7,1063.9,1043.05,1060.55,4304314
20180122,1061.0,1078.2,1044.0,1074.1,3189930
20180123,1076.95,1083.75,1070.25,1075.45,2458463
20180124,1071.25,1084.0,1070.95,1080.1,1168000
20180125,1076.0,1098.0,1050.1,1092.35,4061319
20180129,1092.0,1119.5,1091.0,1115.1,2215014
20180130,1113.05,1118.0,1083.95,1088.05,2692935
20180131,1084.0,1113.2,1083.15,1108.95,3143011
20180201,1105.1,1131.0,1105.1,1120.95,3856283
20180202,1115.0,1115.0,1077.95,1085.95,2281820
20180205,1075.0,1081.05,1050.8,1062.25,2370531
20180206,1035.65,1049.4,1018.2,1033.8,3334520
20180207,1037.0,1050.0,1031.0,1036.3,3536295
20180208,1036.3,1056.0,1030.6,1051.75,1839297
20180209,1040.0,1045.5,1028.0,1032.0,1898563
20180212,1037.5,1046.0,1032.65,1042.95,772861
20180214,1050.0,1052.35,1036.8,1042.45,1187333
20180215,1043.5,1047.5,1033.0,1042.15,908706
20180216,1043.0,1062.0,1040.85,1050.2,1655606
20180219,1059.0,1059.0,1046.55,1056.2,1188168
20180220,1056.2,1065.4,1041.7,1045.8,835351
20180221,1047.7,1060.8,1042.55,1055.05,3572028
20180222,1052.5,1077.5,1050.65,1072.5,5142330
20180223,1072.5,1083.3,1072.45,1080.85,2272854
20180226,1081.0,1109.6,1081.0,1105.15,1817998
20180227,1105.0,1105.0,1088.1,1093.05,1034120
20180228,1090.0,1095.2,1084.55,1090.55,886902
20180301,1088.1,1103.75,1086.0,1095.7,1480594
20180305,1090.0,1103.85,1080.8,1100.0,2409121
20180306,1105.0,1105.95,1075.3,1082.45,2404151
20180307,1082.2,1097.6,1073.3,1085.1,2965912
20180308,1088.7,1093.1,1074.3,1082.3,1751666
20180309,1085.0,1091.9,1076.65,1082.45,1644991
20180312,1087.5,1105.0,1083.5,1100.6,1255474
20180313,1099.95,1108.5,1078.95,1083.9,1380164
20180314,1080.0,1085.05,1070.0,1081.75,1209100
20180315,1085.0,1091.95,1078.65,1085.65,1368171
20180316,1081.65,1082.0,1056.4,1060.75,2724910
20180319,1064.7,1065.6,1045.25,1049.0,1880023
20180320,1047.9,1051.45,1038.6,1045.3,987156
20180321,1054.8,1061.95,1045.55,1051.1,1741161
20180322,1051.1,1059.5,1048.1,1053.05,1765315
20180323,1040.9,1046.8,1028.4,1038.8,1961492
20180326,1040.0,1040.9,1028.85,1039.35,7817249
20180327,1043.0,1058.0,1043.0,1049.85,2148618
20180328,1044.05,1057.0,1040.6,1047.8,5927388
20180402,1049.05,1100.45,1049.05,1096.55,2666027
20180403,1094.5,1105.1,1087.5,1103.3,1345130
20180404,1108.9,1111.8,1075.0,1078.3,1305078
20180405,1091.9,1121.0,1084.5,1118.3,1987694
20180406,1116.0,1123.0,1102.0,1119.2,1293385
20180409,1119.9,1137.5,1115.0,1118.25,1851094
20180410,1120.0,1134.9,1110.4,1113.65,1198503
20180411,1110.0,1129.0,1110.0,1126.1,883246
20180412,1123.6,1137.35,1113.5,1134.6,1344409
20180413,1138.9,1157.05,1137.1,1151.1,2952078
20180416,1147.5,1175.0,1145.0,1172.1,1625382
20180417,1176.0,1177.5,1160.6,1164.85,912582
20180418,1167.5,1167.5,1151.15,1153.95,889610
20180419,1160.0,1165.6,1151.1,1153.9,660729
20180420,1150.85,1164.0,1145.05,1152.85,1218056
20180423,1158.7,1177.15,1153.25,1169.0,1354154
20180424,1172.45,1172.45,1153.65,1166.0,992352
20180425,1164.0,1170.5,1150.65,1167.85,1251769
20180426,1169.0,1192.75,1161.05,1185.7,3196902
20180427,1190.0,1207.0,1178.45,1188.75,1816266
20180430,1198.95,1218.8,1193.4,1211.1,3430681
20180502,1232.0,1288.4,1223.2,1256.85,8891427
20180503,1255.0,1263.2,1225.85,1233.55,2977641
20180504,1240.2,1240.25,1214.1,1233.45,1914559
20180507,1235.0,1248.7,1229.4,1245.05,2305468
20180508,1247.5,1247.5,1225.8,1241.85,2674288
20180509,1241.7,1255.3,1232.9,1251.15,1671216
20180510,1254.5,1260.0,1242.9,1247.5,984467
20180511,1250.0,1272.4,1248.05,1267.3,1416236
20180514,1268.0,1288.15,1256.25,1271.6,1674393
20180515,1274.0,1304.45,1259.25,1283.85,3979395
20180516,1272.0,1293.05,1265.0,1281.4,1381194
20180517,1285.0,1296.0,1265.0,1270.7,2201571
20180518,1268.0,1297.05,1267.0,1294.4,3368549
20180521,1299.95,1299.95,1269.55,1276.65,1998879
20180522,1276.8,1284.25,1258.65,1262.7,1357645
20180523,1260.0,1264.95,1242.0,1255.35,1512791
20180524,1250.5,1279.55,1246.15,1275.45,1572433
20180525,1277.95,1306.85,1272.5,1295.85,1065643
20180528,1300.0,1309.7,1289.8,1297.15,1527809
20180529,1297.1,1300.9,1278.45,1284.25,1094590
20180530,1276.85,1308.4,1270.3,1303.25,2044432
20180531,1306.9,1400.0,1301.45,1334.6,6684898
20180601,1317.0,1334.0,1307.15,1318.0,2332688
20180604,1334.0,1334.0,1293.0,1303.95,1462047
20180605,1303.95,1312.65,1297.2,1304.7,2085438
20180606,1307.0,1320.95,1300.0,1315.7,1030269
20180607,1324.0,1334.7,1306.5,1310.45,2049203
20180608,1308.0,1324.95,1301.25,1318.35,1848047
20180611,1324.0,1329.85,1319.0,1323.35,1311222
20180612,1329.0,1332.65,1320.1,1329.3,977752
20180613,1331.4,1331.6,1312.65,1325.65,1495398
20180614,1324.95,1338.05,1319.5,1332.65,1584229
20180615,1332.6,1344.5,1322.35,1340.0,1658235
20180618,1340.0,1341.0,1311.75,1315.3,1803688
20180619,1315.3,1322.15,1300.2,1303.25,1616945
20180620,1309.0,1328.4,1299.05,1324.6,1125338
20180621,1332.0,1332.0,1311.1,1313.95,915466
20180622,1318.25,1324.0,1308.45,1321.4,1267210
20180625,1321.0,1335.0,1315.0,1328.0,1051297
20180626,1322.0,1342.1,1320.15,1329.85,1637022
20180627,1332.0,1339.8,1320.1,1324.2,1308470
20180628,1319.0,1349.9,1312.1,1339.1,4308361
20180629,1336.0,1360.0,1335.3,1342.95,2305393
20180702,1348.85,1354.4,1332.0,1337.95,1301687
20180703,1337.0,1357.0,1327.6,1353.15,1487237
20180704,1355.1,1369.9,1346.35,1365.25,1347778
20180705,1373.0,1377.55,1363.5,1365.0,1814111
20180706,1358.2,1376.8,1358.2,1371.2,1042184
20180709,1374.9,1387.75,1367.5,1385.1,1875664
20180710,1386.15,1388.6,1366.2,1372.15,1476023
20180711,1371.85,1389.85,1367.0,1386.95,1447218
20180712,1394.9,1400.5,1382.2,1389.8,1599679
20180713,1385.25,1411.9,1385.25,1404.35,1439199
20180716,1409.8,1417.0,1398.2,1408.45,1505129
20180717,1408.45,1415.75,1393.2,1400.6,1449255
20180718,1404.0,1407.95,1392.2,1398.55,1373015
20180719,1408.0,1408.0,1333.85,1347.4,6013280
20180720,1340.0,1366.55,1331.0,1333.3,3305843
20180723,1330.0,1351.0,1322.3,1337.05,1957666
20180724,1342.0,1348.95,1305.15,1312.25,3125964
20180725,1309.0,1317.5,1294.0,1314.9,3117078
20180726,1311.65,1322.5,1294.35,1311.25,3664497
20180727,1313.05,1327.0,1305.65,1311.1,1885821
20180730,1307.9,1307.9,1285.5,1305.25,1720338
20180731,1303.8,1313.6,1287.15,1306.85,1827739
20180801,1304.85,1326.1,1304.85,1312.7,1684489
20180802,1309.65,1311.0,1276.7,1280.2,2065057
20180803,1297.0,1314.0,1289.35,1309.5,2745749
20180806,1313.95,1314.0,1279.0,1282.8,1895761
20180807,1287.0,1298.9,1274.15,1283.7,1751392
20180808,1288.0,1299.7,1282.55,1288.3,1517072
20180809,1292.0,1292.0,1270.1,1277.25,1422779
20180810,1273.05,1289.9,1272.0,1285.5,1539484
20180813,1275.0,1291.25,1275.0,1287.15,1981311
20180814,1290.0,1298.8,1285.0,1293.0,1605329
20180816,1270.0,1272.0,1242.75,1245.4,5749494
20180817,1252.0,1273.95,1245.0,1263.25,3253970
20180820,1263.25,1280.25,1261.45,1274.75,1054743
20180821,1269.25,1272.6,1260.25,1263.4,1143471
20180823,1264.0,1264.0,1238.0,1247.7,3151993
20180824,1248.9,1263.95,1242.35,1254.5,2214361
20180827,1260.05,1284.95,1258.3,1274.9,2499503
20180828,1279.4,1295.0,1275.15,1285.1,1608796
