Date,Open,High,Low,Close,Volume
20180102,9699.0,9718.6,9525.0,9554.05,451227
20180103,9597.0,9598.0,9402.0,9416.6,658281
20180104,9450.0,9488.0,9367.2,9386.25,562919
20180105,9458.0,9532.0,9412.55,9433.85,732512
20180108,9488.0,9495.0,9425.0,9448.95,294549
20180109,9464.8,9491.45,9361.0,9383.55,427590
20180110,9387.8,9454.85,9315.9,9375.85,394826
20180111,9410.0,9430.0,9326.0,9339.8,369158
20180112,9387.0,9494.75,9355.1,9459.15,685141
20180115,9499.95,9508.55,9340.0,9358.45,385462
20180116,9371.0,9408.65,9300.0,9322.05,364816
20180117,9316.0,9368.8,9256.0,9313.9,390461
20180118,9350.0,9518.9,9332.0,9368.7,686971
20180119,9325.0,9396.0,9282.0,9323.95,542339
20180122,9349.0,9356.75,9271.6,9310.1,454188
20180123,9347.0,9429.3,9290.0,9393.4,561948
20180124,9419.0,9519.95,9340.45,9434.95,568489
20180125,9485.0,9485.0,9250.0,9278.2,705224
20180129,9481.0,9714.0,9461.0,9630.7,1546624
20180130,9620.0,9675.5,9550.0,9571.55,573988
20180131,9558.05,9585.0,9458.9,9509.7,462650
20180201,9545.0,9563.7,9312.0,9401.85,550971
20180202,9359.0,9359.0,8940.0,8990.6,984189
20180205,8850.15,9120.0,8688.0,9080.6,651062
20180206,8700.0,9113.5,8661.6,8984.6,840339
20180207,9170.0,9170.0,8873.0,8921.8,509440
20180208,8988.9,9060.0,8915.0,9030.7,465683
20180209,8906.0,8986.55,8870.0,8936.1,364892
20180212,8960.0,9150.0,8960.0,9117.85,408523
20180214,9149.9,9157.5,8986.0,9001.6,357737
20180215,9049.0,9090.0,9001.0,9020.25,250781
20180216,9039.9,9070.0,8806.85,8836.95,632659
20180219,8856.0,8865.85,8691.65,8724.85,436138
20180220,8745.0,8768.95,8650.0,8722.65,517802
20180221,8771.0,8795.0,8708.2,8782.75,471756
20180222,8769.0,8769.0,8601.5,8634.05,638857
20180223,8665.0,8738.95,8655.05,8698.8,567960
20180226,8758.0,9055.0,8750.05,9005.35,869374
20180227,9093.0,9114.95,8872.6,8891.2,684609
20180228,8870.0,8934.0,8772.0,8850.95,680125
20180301,8874.0,8936.05,8811.35,8873.45,609369
20180305,8867.0,8867.0,8775.0,8795.1,388180
20180306,8855.55,8885.0,8600.0,8616.5,543686
20180307,8621.8,8713.85,8552.0,8679.1,598715
20180308,8700.2,8775.0,8651.0,8729.35,533856
20180309,8760.0,8774.0,8650.0,8660.6,323450
