Date,Open,High,Low,Close,Volume,ADL,OBV,+DI14,-DI14,ADX,MACD Line,Signal Line,MACD Histogram,RSI
2016-01-01,7938.45,7972.55,7909.8,7963.2,64843836,45519856.18804706,0,0,0,0,0.0,7963.2,-7963.2,0.0
2016-01-04,7924.55,7937.55,7781.1,7791.3,138864905,-241515759.99041286,-138864905,0,0,0,-3.856730769231035,7867.7,-7871.556730769231,0.0
2016-01-05,7828.4,7831.2,7763.25,7784.65,149672973,-110795445.7969122,-288537878,0,0,0,-5.120456612376984,7833.663114754097,-7838.783571366474,0.0
2016-01-06,7788.05,7800.95,7721.2,7741.0,151715828,-152762144.05517104,-440253706,0,0,0,-7.1457011326101565,7802.273170731707,-7809.418871864317,0.0
2016-01-07,7673.35,7674.95,7556.6,7568.3,194732861,-312461092.55513394,-634986567,0,0,0,-14.96788417231619,7732.671442170395,-7747.639326342711,0.0
2016-01-08,7611.65,7634.1,7581.05,7601.35,162348690,-76201364.39208157,-472637877,0,0,0,-17.975493180005287,7697.076030011275,-7715.0515231912805,0.0
2016-01-11,7527.45,7605.1,7494.35,7563.85,194836791,99397550.26185101,-667474668,0,0,0,-21.293493715918885,7663.360075962489,-7684.653569678408,0.0
2016-01-12,7587.2,7588.3,7487.8,7510.3,168975973,-186630179.13432837,-836450641,0,0,0,-25.722771601489512,7626.576861413336,-7652.299633014825,0.0
2016-01-13,7557.9,7590.95,7425.8,7562.4,221908258,290368601.59733444,-614542383,0,0,0,-25.813709660517816,7611.751688043804,-7637.565397704322,0.0
2016-01-14,7467.4,7604.8,7443.8,7536.8,206988549,64282158.074534155,-821530932,0,0,0,-26.821297712013802,7594.958158982473,-7621.779456694487,0.0
2016-01-15,7561.65,7566.5,7427.3,7437.8,203643071,-345842111.9568965,-1025174003,0,0,0,-32.44753173471872,7560.572851788783,-7593.020383523502,0.0
2016-01-18,7420.35,7463.65,7336.4,7351.0,240798183,-371084665.51119566,-1265972186,0,0,0,-40.89896974719795,7515.56539237059,-7556.464362117788,0.0
2016-01-19,7381.8,7462.75,7364.15,7435.1,194068339,170449474.21298543,-1071903847,0,0,0,-41.8735883861209,7498.536119732569,-7540.40970811869,0.0
2016-01-20,7357.0,7470.9,7241.5,7309.3,232614141,-190228477.9930241,-1304517988,0,0,0,-49.35013922385042,7458.947782292467,-7508.297921516318,17.0
2016-01-21,7376.65,7398.7,7250.0,7276.8,248113284,-317358080.8123725,-1552631272,0.7391791642205464,39.4139937023003,0,-56.2875232100705,7421.1897325629425,-7477.477255773013,17.518825621328688
2016-01-22,7355.7,7433.4,7327.6,7422.45,236282061,374746028.6937628,-1316349211,2.5078623754731666,36.15939436168815,0,-52.01047002548876,7421.4490862064295,-7473.459556231918,27.536650796022144
2016-01-25,7468.75,7487.15,7421.2,7436.15,168202502,-183887799.760426,-1148146709,5.359390442487184,34.85409934632423,0,-47.25535668599787,7424.45700118912,-7471.712357875118,27.01034512329535
2016-01-27,7469.6,7477.9,7419.7,7437.75,193389891,-146869985.94845045,-954756818,5.181625379490678,33.78351420260291,0,-42.932711791758265,7427.16437261915,-7470.097084410908,25.685499919476655
