Date,Open,High,Low,Close,Volume
20180102,176.8,179.25,176.55,178.9,8476281
20180103,179.5,180.3,176.75,177.05,10341665
20180104,177.45,177.9,176.55,177.1,7260268
20180105,177.3,178.25,176.5,177.5,10359225
20180108,177.6,178.5,176.9,177.65,6075105
20180109,177.9,178.4,175.75,176.7,6557247
20180110,176.2,176.8,173.4,173.95,8197173
20180111,174.0,174.9,173.0,173.5,5536143
20180112,173.7,174.1,171.8,172.5,6974418
20180115,173.0,175.4,171.8,172.95,4553198
20180116,173.6,174.6,170.6,173.25,8448334
20180117,173.2,174.85,170.85,174.25,6330277
20180118,174.85,174.85,171.65,172.15,6900318
20180119,172.05,173.45,170.2,172.75,3197248
20180122,173.0,173.3,171.45,172.4,4518855
20180123,172.1,176.25,172.1,172.7,5398827
20180124,172.65,174.7,171.6,174.0,9731185
20180125,173.55,175.5,171.4,171.95,11304494
20180129,172.0,172.75,170.5,171.05,10765685
20180130,171.05,172.5,169.8,170.3,7670738
20180131,170.0,170.95,168.75,170.25,6517115
20180201,169.25,169.8,167.4,169.05,9187297
20180202,167.5,168.55,164.8,165.2,4003119
20180205,162.0,167.4,162.0,166.25,5941662
20180206,162.0,166.0,161.25,165.3,4044285
20180207,164.5,166.25,158.85,165.45,9478496
20180208,165.45,165.75,163.0,163.7,6238973
20180209,162.45,164.05,160.5,163.25,3765185
20180212,163.8,165.3,162.1,164.9,8722064
20180214,165.0,165.7,162.15,162.95,4101637
20180215,163.45,164.35,162.65,163.2,2151637
20180216,163.5,163.8,162.05,162.8,6117270
20180219,163.35,163.65,161.45,162.9,2195735
20180220,162.35,165.1,162.1,164.2,5188315
20180221,165.0,165.0,161.5,162.3,7763625
20180222,161.9,162.3,160.15,160.75,4945614
20180223,161.05,164.0,160.85,163.55,3809344
20180226,163.6,163.65,161.5,162.95,2905593
20180227,164.0,166.0,162.55,165.55,3204111
20180228,164.0,165.2,162.55,163.25,4381524
20180301,163.7,163.75,162.0,163.0,2146760
20180305,161.5,165.1,160.05,163.3,3287892
20180306,164.3,164.95,162.2,163.35,5114754
20180307,163.0,164.7,161.9,163.5,2609001
20180308,164.0,166.0,162.25,165.3,4538911
20180309,165.1,165.3,162.55,164.4,3737738
20180312,164.8,172.75,164.1,171.15,2911168
20180313,169.4,170.75,167.3,169.4,3126930
20180314,169.3,170.15,168.15,169.7,3707403
20180315,169.0,170.15,167.3,169.9,3652747
20180316,167.8,169.45,163.65,164.85,12378708
20180319,165.0,167.9,163.65,167.0,5021670
20180320,166.4,167.3,164.65,166.4,3150362
20180321,167.5,170.85,165.65,170.35,5721685
20180322,169.0,171.2,168.5,170.95,3726928
20180323,168.9,171.8,168.3,170.05,9023161
20180326,169.95,171.0,168.75,169.85,5500046
20180327,170.25,171.5,168.45,171.05,3496078
20180328,170.7,171.0,166.45,169.7,8449015
20180402,169.9,170.85,168.1,170.4,2805938
20180403,170.8,171.9,168.6,169.35,3717328
20180404,169.15,169.35,165.5,166.55,3331860
20180405,167.0,169.75,166.8,168.95,3263955
20180406,168.4,170.0,167.15,169.45,2612270
20180409,169.0,170.45,168.45,169.65,3275669
20180410,169.9,170.4,168.15,168.4,2172698
20180411,169.3,170.6,167.7,168.5,5656579
20180412,168.1,169.85,167.35,169.5,5722517
20180413,169.6,171.7,169.15,170.95,2902637
20180416,169.6,174.9,169.6,174.1,3078790
20180417,174.45,177.8,174.1,176.95,5582697
20180418,176.5,180.0,176.35,178.55,4124162
20180419,179.0,179.6,177.0,177.55,2617699
20180420,177.95,177.95,173.25,174.35,2913239
20180423,174.05,175.5,173.15,173.6,2974188
20180424,173.55,174.65,172.1,172.85,1669647
20180425,172.8,172.85,169.5,171.85,4520117
20180426,172.65,173.85,169.55,172.0,4456282
20180427,172.6,172.75,169.4,170.75,7772540
20180430,171.2,173.15,169.8,172.15,1908456
20180502,172.75,172.75,169.8,170.4,2175321
20180503,170.75,176.2,170.05,174.3,2957534
20180504,174.2,174.2,170.6,170.9,2809413
20180507,171.15,172.3,170.0,170.5,4852946
20180508,171.05,172.0,170.25,171.4,2878281
20180509,170.55,172.4,169.9,170.4,9107260
20180510,171.4,171.7,167.85,168.5,8203492
20180511,168.0,170.25,166.9,167.45,12968090
20180514,167.5,172.9,165.9,171.65,5872487
20180515,170.25,173.95,169.3,170.1,4818924
20180516,170.55,171.7,168.5,170.0,3249227
20180517,170.1,171.1,166.6,167.1,5652872
20180518,166.5,168.1,165.75,166.6,4580359
