Date,Open,High,Low,Close,Volume
20180101,195.2,195.7,192.0,192.35,5899565
20180102,195.75,197.5,195.0,196.85,12878378
20180103,197.4,197.4,193.0,193.45,8032715
20180104,195.3,200.0,195.2,199.5,12740860
20180105,200.95,200.95,196.3,198.45,6812787
20180108,198.0,199.9,196.7,197.4,4858711
20180109,198.5,199.0,196.5,197.0,4598757
20180110,198.3,200.0,197.25,197.9,7673209
20180111,198.0,199.7,197.0,197.9,5701402
20180112,198.9,201.95,197.65,200.75,9291346
20180115,199.5,200.35,196.0,196.6,4500523
20180116,197.6,198.25,195.0,197.2,5778244
20180117,196.3,198.65,194.1,195.7,6306388
20180118,196.4,197.5,193.25,194.1,6247782
20180119,194.15,196.15,192.0,193.7,5046015
20180122,198.0,205.95,198.0,200.7,23165754
20180123,202.0,208.7,200.4,207.35,15755015
20180124,209.2,212.0,208.0,210.85,16132441
20180125,212.4,212.85,207.1,208.5,10247173
20180129,208.0,208.45,204.25,205.15,7620080
20180130,203.85,208.0,203.5,204.8,7323876
20180131,203.0,204.6,198.8,203.45,11990243
20180201,204.05,207.05,194.0,194.9,10015459
20180202,194.0,197.75,188.0,192.7,12239774
20180205,192.4,192.45,188.0,188.75,7607002
20180206,182.0,187.0,180.1,185.45,5935676
20180207,188.05,191.5,187.0,190.0,8644010
20180208,190.0,191.6,188.0,188.7,4540513
20180209,187.4,190.2,184.6,187.35,7314145
20180212,192.0,194.5,190.35,191.0,14960914
20180214,191.0,192.0,184.3,185.75,4960527
20180215,187.1,189.0,185.0,188.3,5046557
20180216,187.6,189.3,186.5,186.9,4167034
20180219,187.4,187.4,181.85,185.3,4265576
20180220,185.8,188.5,184.8,187.0,5328584
20180221,188.0,190.8,184.7,190.15,4651807
20180222,187.5,188.4,185.25,186.1,8629189
20180223,187.05,190.85,186.5,189.8,4880302
20180226,190.35,191.95,189.5,190.35,2721955
20180227,191.0,194.35,186.1,188.5,6611097
20180228,187.7,190.2,186.3,188.3,6147245
20180301,187.9,190.2,187.35,189.7,3450224
20180305,189.0,189.4,184.2,185.55,5082390
20180306,186.5,186.9,184.5,185.4,2906142
20180307,185.0,185.25,178.8,181.5,4482279
20180308,182.0,182.7,179.4,180.15,3288627
20180309,180.3,182.95,179.5,179.9,2053847
20180312,180.9,184.3,179.0,183.85,4161129
20180313,182.4,184.2,181.55,183.6,2457755
20180314,182.8,184.1,179.75,180.6,4846612
20180315,181.1,181.4,178.75,180.3,5145739
20180316,180.3,180.45,176.1,177.15,8194541
20180319,177.7,178.4,176.15,176.85,5782668
20180320,176.4,177.75,173.6,174.1,3020586
20180321,175.7,177.3,173.65,175.55,4055822
20180322,177.0,181.7,176.55,178.9,8348549
20180323,176.2,179.55,176.15,177.4,6884971
20180326,179.45,179.45,176.0,178.9,4169998
20180327,180.55,181.1,177.25,179.6,3823981
20180328,178.5,179.0,176.1,177.8,6229049
20180402,179.1,180.9,178.4,179.95,2235832
20180403,177.7,179.2,176.4,177.5,3552271
20180404,178.5,178.5,174.7,175.4,3353172
20180405,176.5,177.9,175.45,177.45,5375271
20180406,179.35,179.35,176.4,176.95,3633964
20180409,177.1,179.15,176.3,178.4,4046065
20180410,179.4,180.6,178.2,180.2,5180326
20180411,181.5,185.4,180.35,182.15,11607043
20180412,183.15,184.0,181.0,181.75,4277125
20180413,181.8,183.5,181.1,182.5,3050131
20180416,182.2,182.35,179.8,181.5,2308502
20180417,181.75,182.1,179.3,180.8,2721706
20180418,181.05,182.95,181.0,182.1,3279393
20180419,183.25,186.25,181.75,183.95,5004280
20180420,185.0,185.0,181.1,182.35,1618027
20180423,183.4,183.75,179.4,181.05,3930421
20180424,182.1,183.05,181.5,182.65,4080212
20180425,181.6,182.45,178.7,179.45,3629856
20180426,179.45,181.8,177.3,180.8,6742459
20180427,180.95,183.0,179.55,180.7,4687951
20180430,178.5,181.95,178.3,180.55,3335191
20180502,181.5,181.5,179.25,180.05,4157973
20180503,179.95,182.35,179.7,181.1,2796713
20180504,181.8,185.15,179.55,180.25,5325720
20180507,181.25,184.5,180.8,183.9,4799480
20180508,184.85,186.15,179.45,183.1,5730645
20180509,184.4,185.75,182.2,182.85,3075560
20180510,184.45,189.35,183.5,188.25,10328901
20180511,188.55,189.0,186.3,187.5,4926216
20180514,187.5,188.5,184.85,187.25,3255344
20180515,189.0,192.0,184.2,189.0,5877427
20180516,188.95,188.95,175.8,186.2,8348946
20180517,185.95,189.4,184.95,188.6,4519306
20180518,189.0,191.75,184.6,185.05,4488003
20180521,186.45,188.65,185.2,185.75,3380355
20180522,186.2,188.5,184.0,185.2,3796268
20180523,183.9,185.35,174.3,175.4,5590802
20180524,175.6,176.1,155.15,167.7,34819270
20180525,166.0,176.2,162.85,175.45,12361678
20180528,175.0,178.8,173.7,175.6,8087040
20180529,176.2,177.4,173.25,175.55,11015160
20180530,175.4,178.5,172.7,174.0,12554659
20180531,177.7,180.35,175.05,177.9,23822373
20180601,176.0,176.0,170.6,173.2,9847581
20180604,175.4,175.4,170.4,171.1,5294603
20180605,170.5,172.3,169.2,171.2,5918946
20180606,171.25,172.25,169.8,170.3,3331408
20180607,170.1,173.75,170.1,172.65,5086661
20180608,174.0,174.9,172.1,173.7,4323567
20180611,174.05,174.3,172.5,173.3,3192749
20180612,172.85,175.6,170.8,171.4,4564556
20180613,170.8,172.0,168.6,170.0,5321172
20180614,169.5,170.8,167.0,168.5,4188442
20180615,166.4,168.3,164.55,165.45,7589493
20180618,164.9,167.4,163.25,164.6,4390244
20180619,165.4,166.8,163.5,164.8,4413184
20180620,165.0,165.0,162.15,162.75,5768211
20180621,163.7,163.7,158.25,159.7,12638114
20180622,160.65,160.65,158.65,159.55,5371207
20180625,160.35,160.7,156.1,156.65,5899032
20180626,156.4,158.9,156.05,158.3,5960446
20180627,158.35,158.85,154.45,156.25,7034207
20180628,156.3,158.6,151.8,153.5,17670403
20180629,155.15,159.35,154.15,158.4,7079407
20180702,157.85,158.0,153.5,155.5,9196529
20180703,155.05,161.6,154.7,157.7,12087830
20180704,157.8,158.0,155.05,156.0,5194030
20180705,156.0,157.6,154.2,156.4,6807718
20180706,156.9,157.35,155.25,155.45,3633191
20180709,156.0,158.4,155.2,157.4,4379183
20180710,158.5,159.8,157.35,157.95,5276248
20180711,158.0,158.75,156.5,158.1,6653936
20180712,159.6,160.2,154.75,158.95,8165181
20180713,159.05,159.05,153.6,154.1,3523600
20180716,155.7,156.15,153.05,153.8,3680440
20180717,153.25,156.85,152.45,156.15,3952416
20180718,156.9,164.8,156.85,160.3,16571981
20180719,162.7,165.2,160.8,161.75,8472466
20180720,161.75,162.0,156.6,157.95,5475594
20180723,158.05,158.75,154.8,156.55,4553137
20180724,157.2,158.2,155.85,157.2,3943002
20180725,157.75,160.75,157.25,159.05,4063454
20180726,159.2,164.0,158.2,162.55,8778489
20180727,162.5,162.8,160.15,161.3,3542015
20180730,161.45,166.45,161.15,164.1,9599714
20180731,165.8,166.75,163.0,165.7,6815180
20180801,165.25,168.75,165.15,167.2,4618179
20180802,169.4,170.8,165.25,166.4,7825776
20180803,170.4,171.0,166.2,166.8,12172870
20180806,167.1,169.7,166.8,169.25,5159560
20180807,170.0,170.0,166.55,167.55,4300164
20180808,167.6,172.9,167.6,172.5,7991348
20180809,172.55,172.9,168.35,168.9,4437178
20180810,169.4,170.9,168.15,169.25,4341382
20180813,168.9,168.9,165.5,166.05,3731211
20180814,166.35,167.0,164.85,166.25,3791016
20180816,165.9,166.6,163.85,164.45,4184404
20180817,164.5,165.0,162.5,163.05,4754545
20180820,164.0,169.9,164.0,168.7,9674107
20180821,169.8,171.25,166.8,170.2,5181397
20180823,171.0,172.5,168.9,171.9,6635245
20180824,171.0,176.5,170.8,174.75,9867693
20180827,175.45,176.9,175.0,176.05,3612496
20180828,176.2,178.5,173.25,174.6,5439278
20180829,175.0,178.7,174.1,177.0,6288920
20180830,176.9,181.9,176.15,177.45,11296260
20180831,178.75,181.25,177.75,180.05,8916222
20180903,180.75,180.75,176.65,177.3,3168480
20180904,177.75,178.15,173.6,174.35,2874936
20180905,174.15,175.0,170.75,173.7,3735722
20180906,174.0,176.15,170.6,174.5,6809374
20180907,175.0,175.0,171.1,171.9,5309239
20180910,170.5,171.3,168.1,168.65,5569685
20180911,168.7,170.0,167.4,167.8,8750333
20180912,166.2,170.8,166.2,168.5,5610743
20180914,169.5,173.3,168.4,172.55,4720460
20180917,171.1,173.55,170.65,171.7,4012086
20180918,172.35,174.6,171.75,173.9,6426239
20180919,173.25,178.7,173.25,177.0,10038603
20180921,177.3,181.55,176.7,180.4,9298030
20180924,181.0,185.4,179.3,180.6,13799885
20180925,181.95,184.65,179.4,182.3,8363857
20180926,184.8,184.8,178.95,180.6,6680285
20180927,181.1,181.75,175.05,175.8,7853039
20180928,177.0,181.0,172.35,177.2,8598293
20181001,179.3,181.1,174.65,179.0,4582462
20181003,177.9,183.5,177.9,181.45,8893914
20181004,180.5,182.55,163.35,172.4,7866152
20181005,160.05,160.05,145.6,147.05,35255036
20181008,149.0,150.85,144.7,149.8,11709162
20181009,150.5,151.9,145.45,146.65,6818577
20181010,146.1,151.45,146.1,148.6,10873198
20181011,146.1,159.6,146.1,152.95,15633772
20181012,154.7,158.35,154.05,157.4,6089606
20181015,158.95,160.9,156.65,160.15,4679911
20181016,161.95,167.2,161.1,165.6,8912396
20181017,166.6,167.3,160.55,162.1,5347724
20181019,162.5,163.75,157.0,160.45,7258192
20181022,161.0,161.8,155.25,155.95,5476435
20181023,155.35,157.4,150.9,155.4,8239765
20181024,157.95,159.7,153.6,157.75,8342857
20181025,157.0,162.8,153.05,155.35,32100452
20181026,156.0,156.8,149.65,151.8,9427229
20181029,152.5,155.75,150.6,154.9,5954637
20181030,155.0,155.0,152.1,152.95,4156028
20181031,154.0,155.0,151.4,153.25,7562821
20181101,155.5,155.8,153.35,154.25,5220182
20181102,155.5,158.45,155.1,157.35,7789972
20181105,165.0,165.0,154.2,154.95,15261029
20181106,155.95,158.2,153.8,156.05,7749980
20181107,157.55,157.85,156.6,157.0,491522
20181109,158.0,158.0,155.15,156.4,6478458
20181112,156.95,158.4,155.35,156.05,4686739
20181113,156.05,158.0,155.7,156.5,5499454
20181114,157.7,163.9,157.25,161.0,15008061
20181115,161.4,162.0,158.1,158.85,3468318
20181116,158.0,158.0,152.8,156.35,7515249
20181119,156.0,156.5,153.1,154.55,4614296
20181120,154.55,155.8,152.65,153.1,5480470
20181121,155.0,155.5,151.3,151.75,4573137
20181122,152.5,154.3,151.65,152.25,4477092
20181126,153.0,153.6,145.1,146.6,8093330
20181127,147.4,147.85,144.25,146.1,9231112
20181128,146.8,148.2,142.05,142.8,14201939
20181129,143.9,143.9,137.65,140.6,28991042
20181130,141.6,143.7,138.5,140.3,23675557
20181203,140.95,143.0,140.2,142.5,8371191
20181204,142.6,147.95,142.4,146.15,9753442
20181205,145.95,148.1,142.4,143.7,9774733
20181206,142.6,142.6,138.5,140.15,5771659
20181207,140.2,141.45,138.05,139.4,10571838
20181210,138.5,141.25,135.15,137.1,33096556
20181211,136.0,138.95,134.75,138.1,14884397
20181212,139.5,142.5,138.85,141.7,14020937
20181213,143.0,144.2,141.5,143.3,11251819
20181214,143.0,150.4,140.6,146.85,23355616
20181217,148.0,149.9,146.1,148.25,12767531
