Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-03,197.4,197.4,193.0,193.45,8032715,0,0,0
2018-01-04,195.3,200.0,195.2,199.5,12740860,0,0,0
2018-01-05,200.95,200.95,196.3,198.45,6812787,0,0,0
2018-01-08,198.0,199.9,196.7,197.4,4858711,0,0,0
2018-01-09,198.5,199.0,196.5,197.0,4598757,0,0,0
2018-01-10,198.3,200.0,197.25,197.9,7673209,0,0,0
2018-01-11,198.0,199.7,197.0,197.9,5701402,0,0,0
2018-01-12,198.9,201.95,197.65,200.75,9291346,0,0,0
2018-01-15,199.5,200.35,196.0,196.6,4500523,0,0,0
2018-01-16,197.6,198.25,195.0,197.2,5778244,0,0,0
2018-01-17,196.3,198.65,194.1,195.7,6306388,0,0,0
2018-01-18,196.4,197.5,193.25,194.1,6247782,0,0,0
2018-01-19,194.15,196.15,192.0,193.7,5046015,0,0,0
2018-01-22,198.0,205.95,198.0,200.7,23165754,0,0,0
2018-01-23,202.0,208.7,200.4,207.35,15755015,28.289473684210485,8.918128654970756,0
2018-01-24,209.2,212.0,208.0,210.85,16132441,31.20088022634389,8.309755841978408,0
2018-01-25,212.4,212.85,207.1,208.5,10247173,28.602516829356578,8.921221615470449,0
2018-01-29,208.0,208.45,204.25,205.15,7620080,26.82436722272063,12.535496351878589,0
2018-01-30,203.85,208.0,203.5,204.8,7323876,25.048715544299334,12.808961125246455,0
2018-01-31,203.0,204.6,198.8,203.45,11990243,22.87449669101725,18.496451374091443,0
2018-02-01,204.05,207.05,194.0,194.9,10015459,19.009623444511135,21.585910269135827,0
2018-02-02,194.0,197.75,188.0,192.7,12239774,16.734637098581477,26.367252145164144,0
2018-02-05,192.4,192.45,188.0,188.75,7607002,15.755771895098498,24.82494289254516,0
2018-02-06,182.0,187.0,180.1,185.45,5935676,14.11891454027733,31.734057916526652,0
2018-02-07,188.05,191.5,187.0,190.0,8644010,18.492252041300514,29.431023315998722,0
2018-02-08,190.0,191.6,188.0,188.7,4540513,17.793915288775423,28.12313576587605,0
2018-02-09,187.4,190.2,184.6,187.35,7314145,16.561030195558793,30.38127526413078,0
2018-02-12,192.0,194.5,190.35,191.0,14960914,20.3516337172189,27.738630448840173,0
