Date,Open,High,Low,Close,Volume
20180102,201.25,201.8,199.3,200.75,2465835
20180103,201.5,202.45,200.6,201.65,4605412
20180104,202.0,202.85,200.0,200.35,2364782
20180105,201.3,202.05,200.6,201.25,2769503
20180108,202.0,203.25,200.05,200.55,6636300
20180109,201.1,201.4,200.3,201.0,4151457
20180110,201.9,201.9,198.5,199.85,4899593
20180111,199.1,200.3,197.3,197.85,6921938
20180112,198.1,198.3,195.7,196.35,5294204
20180115,197.8,200.25,195.15,199.3,5603852
20180116,199.1,199.3,194.35,196.2,7428122
20180117,196.0,198.7,194.0,197.4,7319498
20180118,198.6,199.8,195.75,197.0,13839476
20180119,197.0,198.0,194.3,196.1,4546247
20180122,196.15,196.95,195.0,195.3,5531239
20180123,195.3,196.35,194.05,195.85,9075432
20180124,195.3,196.95,195.15,195.95,6222026
20180125,196.7,196.85,193.15,194.3,7393321
20180129,194.5,196.0,194.0,194.15,6189131
20180130,193.8,196.15,190.7,194.95,12839776
20180131,194.95,195.3,192.0,193.8,8084501
20180201,194.5,195.15,189.0,194.85,9578382
20180202,194.5,194.5,191.0,192.9,12422214
20180205,190.0,196.95,190.0,196.5,12373481
20180206,190.0,195.6,190.0,194.95,7591082
20180207,195.8,196.85,193.4,195.5,8053174
20180208,194.0,194.65,192.35,193.2,18864371
20180209,192.0,194.3,191.0,193.2,8540478
20180212,194.2,199.05,193.3,198.5,6608165
20180214,198.45,198.45,193.7,195.45,7792834
20180215,196.0,198.3,194.7,197.9,4968912
20180216,198.1,198.25,194.75,195.55,3516874
20180219,195.6,196.95,193.6,194.15,2437060
20180220,194.9,196.35,193.75,195.0,4769753
20180221,195.6,195.9,193.3,193.95,5207855
20180222,193.3,194.5,189.25,190.25,14363969
20180223,190.6,193.85,190.35,193.25,6506718
20180226,195.0,197.2,193.0,196.15,4703810
20180227,197.25,198.25,195.55,197.75,9750068
20180228,196.8,198.2,195.4,197.7,3259699
20180301,197.1,198.5,195.55,197.4,4560010
20180305,196.8,197.05,194.25,196.95,3933311
20180306,197.1,197.5,192.1,193.15,5357824
20180307,192.75,194.0,191.25,193.35,5333068
20180308,193.85,195.9,192.4,195.4,5866779
20180309,195.5,195.65,191.8,192.9,5561479
20180312,193.5,195.65,193.0,195.0,8011688
20180313,194.9,197.0,193.25,195.05,5951992
20180314,194.65,196.2,193.5,194.35,4824847
20180315,193.95,195.75,193.8,194.8,3449728
20180316,194.4,197.15,191.35,192.25,5835262
20180319,193.4,195.1,192.5,194.2,7591581
20180320,194.1,196.1,192.8,194.9,5434545
20180321,195.5,195.5,193.6,194.2,5442271
20180322,194.2,194.7,192.25,192.7,6396662
20180323,191.0,195.25,191.0,194.25,5097792
20180326,194.4,195.5,194.25,194.9,8691285
20180327,195.1,196.35,195.1,195.95,4254453
20180328,195.5,195.8,192.3,193.25,7928958
20180402,192.9,195.2,192.9,194.9,3837160
20180403,194.8,199.5,194.55,198.55,3526792
20180404,198.95,199.9,194.65,196.05,5450232
20180405,197.9,198.45,196.0,196.25,4878846
20180406,197.5,197.9,195.75,195.95,4471171
20180409,196.0,196.5,195.2,195.85,2593376
20180410,196.85,198.65,196.3,196.95,4253691
20180411,198.0,198.2,195.8,197.0,3257053
20180412,197.2,197.9,196.1,196.35,1990005
20180413,196.5,198.0,196.4,197.5,1933883
20180416,197.25,200.9,196.8,199.2,5415997
20180417,203.2,207.15,202.2,204.9,13195105
20180418,205.1,205.8,204.35,205.0,4957945
20180419,205.5,208.9,204.95,208.1,5978038
20180420,208.8,209.6,206.2,207.2,3063725
20180423,207.9,207.9,205.2,206.8,2328743
20180424,208.2,208.2,204.8,206.45,2021988
20180425,206.4,210.0,203.9,207.35,3332687
20180426,207.55,208.7,206.2,207.0,4471983
20180427,207.5,208.7,207.1,207.9,4146524
20180430,207.55,209.0,207.05,207.85,3175241
20180502,207.0,209.1,204.7,205.15,4056134
20180503,205.0,207.55,203.25,206.45,2127777
20180504,207.0,207.8,204.5,207.4,12637368
20180507,207.0,210.0,207.0,209.3,3377187
20180508,209.5,214.0,208.85,212.75,11108293
20180509,212.0,213.7,211.15,211.85,7838063
20180510,211.2,211.8,204.7,208.0,7859920
20180511,208.8,209.0,205.95,206.85,6012540
20180514,206.0,209.8,206.0,209.05,7853699
20180515,209.0,216.0,208.65,213.85,31522977
20180516,214.4,215.0,212.55,213.45,10228377
20180517,212.5,216.0,212.3,213.45,10069279
20180518,213.7,215.0,212.1,212.95,10358438
20180521,214.45,214.45,211.6,212.65,9376866
20180522,213.75,214.0,209.5,210.75,5293836
20180523,211.0,212.45,209.7,211.3,10248747
20180524,212.4,212.4,211.4,211.75,9709004
20180525,210.25,213.05,210.25,212.05,16926167
20180528,212.25,212.5,206.3,206.95,9837171
20180529,208.25,209.7,205.75,207.0,8859017
20180530,207.0,211.95,207.0,209.5,20259356
20180531,209.9,212.7,201.6,209.45,154323307
20180601,206.9,207.9,200.35,205.95,9616721
20180604,206.95,206.95,200.6,201.7,8131730
20180605,200.8,201.15,195.1,198.85,7756212
20180606,197.5,203.25,197.5,201.1,4573416
20180607,201.45,203.95,198.25,202.75,4321986
20180608,200.9,201.2,196.75,197.9,6991475
20180611,198.6,199.25,194.5,195.7,11063276
20180612,196.45,196.45,193.4,195.05,7546970
20180613,196.3,199.35,195.1,198.15,6112507
20180614,198.2,199.35,196.6,198.85,4052919
20180615,198.85,199.0,196.25,197.85,5359466
20180618,197.85,199.5,196.25,198.65,2420688
20180619,197.55,199.7,196.8,198.7,4555719
20180620,198.7,199.7,196.8,199.15,4590123
20180621,198.1,198.65,193.8,195.45,6155201
20180622,196.2,198.4,194.1,197.7,4318762
20180625,197.7,198.3,191.5,194.2,4894771
20180626,193.9,194.7,189.0,190.75,5551442
20180627,191.95,192.5,185.7,187.2,7365681
20180628,188.4,188.75,183.15,184.8,12680239
20180629,185.25,190.35,184.1,186.85,4745135
20180702,187.0,187.35,183.5,185.05,7368833
20180703,184.05,185.45,181.2,184.55,5619804
20180704,185.25,189.25,182.15,183.0,5977279
20180705,183.15,183.75,180.55,181.65,4353397
20180706,181.65,182.9,180.85,181.8,4066661
20180709,182.2,185.0,182.0,184.5,5759335
20180710,185.0,185.35,183.4,184.05,4082776
20180711,183.8,184.75,182.4,182.9,2151809
20180712,183.2,183.6,181.6,182.6,6482241
20180713,182.2,183.35,181.25,181.75,2696476
20180716,181.05,182.5,180.6,181.35,6857537
20180717,180.7,182.25,180.0,181.45,2642742
20180718,182.6,183.8,178.05,178.5,3287886
20180719,179.1,180.8,177.1,177.45,3363819
20180720,177.5,177.95,174.1,175.8,2966436
20180723,175.95,178.0,175.65,177.05,3564547
20180724,178.2,178.45,176.25,177.75,3521357
20180725,178.65,179.0,174.7,175.65,4363728
20180726,176.25,183.8,174.2,181.85,19051590
20180727,183.25,184.8,178.2,179.9,11075771
20180730,180.9,183.75,180.05,183.2,5787343
20180731,183.65,185.6,181.85,182.3,6589028
20180801,183.0,185.75,180.15,184.7,5793747
20180802,186.15,190.25,184.75,188.7,6921901
20180803,189.8,190.95,189.0,190.2,4213799
20180806,191.85,191.85,188.65,189.45,2781382
20180807,189.85,190.65,187.65,189.1,1839521
20180808,189.1,190.7,187.85,189.5,3501870
20180809,189.5,193.0,187.85,192.6,3560051
20180810,193.7,193.85,189.1,190.55,2761821
20180813,188.6,190.0,187.15,188.0,1427592
20180814,187.55,189.0,186.55,187.9,1296390
20180816,187.4,190.0,187.1,187.7,2059701
20180817,188.5,189.0,185.75,187.1,2262658
20180820,187.5,188.85,185.6,187.65,1399379
20180821,187.65,188.3,185.85,187.55,2055992
20180823,187.55,191.0,187.55,190.2,5311468
20180824,190.5,194.6,189.55,190.95,4721252
20180827,191.15,198.3,190.9,197.8,7898756
20180828,197.6,200.45,195.75,197.15,4626074
20180829,197.0,199.05,192.1,193.05,3912654
20180830,193.25,198.2,192.4,196.95,12570257
20180831,194.85,202.25,194.85,201.5,6668243
20180903,202.85,205.0,194.0,194.5,5062367
20180904,194.5,196.45,191.65,194.45,3030652
20180905,194.15,197.0,192.75,195.65,4125425
20180906,196.0,201.75,195.5,199.3,9257476
20180907,200.9,200.9,192.85,195.7,2576594
20180910,193.15,195.0,190.15,192.95,3540263
20180911,193.05,194.85,186.2,186.9,5377809
20180912,187.1,195.25,187.1,193.8,7640014
20180914,195.25,201.95,193.9,200.15,12834285
20180917,197.4,203.55,197.4,201.9,8529046
20180918,201.5,203.9,198.15,198.9,2777260
20180919,199.0,200.0,196.2,198.3,3389415
20180921,199.0,201.9,195.1,200.4,6285924
20180924,200.0,200.35,194.55,197.6,2245669
20180925,197.0,198.6,191.65,192.6,6058637
20180926,193.45,194.0,188.2,192.85,4098766
20180927,193.0,195.9,192.15,194.55,4557000
20180928,194.5,197.95,187.35,188.4,5784993
20181001,188.3,193.9,185.9,192.4,2635166
20181003,190.5,192.3,188.35,188.95,5821641
20181004,188.0,190.95,184.55,189.25,6321994
20181005,189.0,191.55,186.35,187.3,3957511
20181008,186.5,189.05,182.5,186.65,2632604
20181009,187.05,189.45,185.3,186.55,3123162
20181010,186.2,188.95,186.2,187.15,1983417
20181011,185.95,188.5,184.05,185.7,5634317
20181012,186.25,189.75,186.1,188.45,3856539
20181015,188.45,190.0,186.1,188.1,3896190
20181016,187.95,188.8,185.1,187.2,3673479
20181017,188.05,190.1,188.0,189.1,2335081
20181019,189.0,191.45,187.05,189.15,5342512
20181022,189.4,191.0,188.25,189.15,2462190
20181023,188.0,192.65,185.8,190.95,2587318
20181024,191.5,192.25,189.4,190.4,2536982
20181025,189.7,192.15,186.7,191.3,4193672
20181026,190.35,191.0,187.8,188.4,3594861
20181029,189.4,190.5,187.4,189.55,4710925
20181030,189.0,189.55,185.6,186.15,2871863
20181031,185.1,186.75,178.8,185.95,5412453
20181101,186.1,189.3,185.55,188.45,3151762
20181102,189.05,192.3,188.7,189.85,3394386
20181105,189.05,189.5,185.0,186.05,2740960
20181106,187.1,189.0,185.0,188.1,4127100
20181107,190.0,190.0,188.1,189.05,125611
