Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-08,202.0,203.25,200.05,200.55,6636300,0,0,0
2018-01-09,201.1,201.4,200.3,201.0,4151457,0,0,0
2018-01-10,201.9,201.9,198.5,199.85,4899593,0,0,0
2018-01-11,199.1,200.3,197.3,197.85,6921938,0,0,0
2018-01-12,198.1,198.3,195.7,196.35,5294204,0,0,0
2018-01-15,197.8,200.25,195.15,199.3,5603852,0,0,0
2018-01-16,199.1,199.3,194.35,196.2,7428122,0,0,0
2018-01-17,196.0,198.7,194.0,197.4,7319498,0,0,0
2018-01-18,198.6,199.8,195.75,197.0,13839476,0,0,0
2018-01-19,197.0,198.0,194.3,196.1,4546247,0,0,0
2018-01-22,196.15,196.95,195.0,195.3,5531239,0,0,0
2018-01-23,195.3,196.35,194.05,195.85,9075432,0,0,0
2018-01-24,195.3,196.95,195.15,195.95,6222026,0,0,0
2018-01-25,196.7,196.85,193.15,194.3,7393321,0,0,0
2018-01-29,194.5,196.0,194.0,194.15,6189131,8.22998872604286,22.886133032694506,0
2018-01-30,193.8,196.15,190.7,194.95,12839776,7.268132036455555,27.28804472696642,0
2018-01-31,194.95,195.3,192.0,193.8,8084501,6.753450078553961,25.355682434022924,0
2018-02-01,194.5,195.15,189.0,194.85,9578382,5.913071242146472,28.270594138655852,0
2018-02-02,194.5,194.5,191.0,192.9,12422214,5.455407111933697,26.08248641134736,0
2018-02-05,190.0,196.95,190.0,196.5,12373481,9.352420187468079,22.67120787580045,0
2018-02-06,190.0,195.6,190.0,194.95,7591082,8.263833573754308,20.032364355554385,0
2018-02-07,195.8,196.85,193.4,195.5,8053174,10.008521592183978,18.782716079508948,0
2018-02-08,194.0,194.65,192.35,193.2,18864371,9.430095573514444,19.623645034879015,0
2018-02-09,192.0,194.3,191.0,193.2,8540478,8.852864407467493,20.926561070672854,0
2018-02-12,194.2,199.05,193.3,198.5,6608165,16.422290499482926,18.736985190209626,0
2018-02-14,198.45,198.45,193.7,195.45,7792834,15.032458802324008,17.15125901350057,0
2018-02-15,196.0,198.3,194.7,197.9,4968912,14.070650328197676,16.05388522535021,0
2018-02-16,198.1,198.25,194.75,195.55,3516874,13.187239539476417,15.045959146727814,0
2018-02-19,195.6,196.95,193.6,194.15,2437060,12.352073044746477,14.093077315560182,36.385529934600946
2018-02-20,194.9,196.35,193.75,195.0,4769753,11.75643190281309,13.413481539597209,34.256810214617985
2018-02-21,195.6,195.9,193.3,193.95,5207855,11.176044926268133,13.605729428447095,32.5102037830428
2018-02-22,193.3,194.5,189.25,190.25,14363969,10.092579755750847,19.765356145003167,32.502046244336256
2018-02-23,190.6,193.85,190.35,193.25,6506718,9.418318696223608,18.4448800825109,32.49447138696589
2018-02-26,195.0,197.2,193.0,196.15,4703810,14.86557138117516,17.016549112019113,30.65534188128588
2018-02-27,197.25,198.25,195.55,197.75,9750068,16.087947755789397,16.150697524064388,28.479577565129254
2018-02-28,196.8,198.2,195.4,197.7,3259699,15.222884493043246,15.570318487624773,26.525913556323466
2018-03-01,197.1,198.5,195.55,197.4,4560010,14.932308467358688,14.675006903157106,24.693280249736233
2018-03-05,196.8,197.05,194.25,196.95,3933311,14.006183203140077,16.324460372360218,23.47542807102321
2018-03-06,197.1,197.5,192.1,193.15,5357824,12.567219412334024,18.737806605637697,23.206552562141237
2018-03-07,192.75,194.0,191.25,193.35,5333068,11.896891678911715,19.387015404520035,23.25911436199808
2018-03-08,193.85,195.9,192.4,195.4,5866779,14.7847490019373,18.06622065334504,22.31124650484887
2018-03-09,195.5,195.65,191.8,192.9,5561479,13.68064891210238,17.880883641590643,21.668163347835268
2018-03-12,193.5,195.65,193.0,195.0,8011688,12.937458486349747,16.909518788080568,21.071014702036923
2018-03-13,194.9,197.0,193.25,195.05,5951992,14.641380975609739,15.660198138466933,19.806103484275518
2018-03-14,194.65,196.2,193.5,194.35,4824847,13.848060261214115,14.811674382717301,18.631543067782783
2018-03-15,193.95,195.75,193.8,194.8,3449728,13.288065401560742,14.212712408207953,17.54087982389667
2018-03-16,194.4,197.15,191.35,192.25,5835262,11.764234320269864,17.426946572619038,17.673581912130878
2018-03-19,193.4,195.1,192.5,194.2,7591581,11.091173779096572,16.429908450813254,17.79680527977693
2018-03-20,194.1,196.1,192.8,194.9,5434545,12.370512372076892,15.335822830609233,17.290079483447805
2018-03-21,195.5,195.5,193.6,194.2,5442271,11.879992422851512,14.72772133812943,16.819548386856475
2018-03-22,194.2,194.7,192.25,192.7,6396662,11.259975424714721,16.834857729608633,17.03551546105373
2018-03-23,191.0,195.25,191.0,194.25,5097792,10.259678962311341,17.95214574151046,17.766322755572723
2018-03-26,194.4,195.5,194.25,194.9,8691285,10.526253590453223,17.460828611728495,18.26714045761937
2018-03-27,195.1,196.35,195.1,195.95,4254453,12.116202158591145,16.88359303686156,18.13658720988274
2018-03-28,195.5,195.8,192.3,193.25,7928958,11.119673442175914,21.804363790075566,19.15915613313934
2018-04-02,192.9,195.2,192.9,194.9,3837160,10.53184906992414,20.651709755413343,20.10868441902047
2018-04-03,194.8,199.5,194.55,198.55,3526792,18.863988356549243,18.397582820752103,18.761757430051173
2018-04-04,198.95,199.9,194.65,196.05,5450232,17.617485453563635,16.35820876540417,17.686375083942885
2018-04-05,197.9,198.45,196.0,196.25,4878846,16.687818983226034,15.494993737126523,16.687805762556618
2018-04-06,197.5,197.9,195.75,195.95,4471171,15.895127275815476,15.311302410544334,15.629451636571016
2018-04-09,196.0,196.5,195.2,195.85,2593376,15.418225751313877,16.121275132032295,14.67228419848575
2018-04-10,196.85,198.65,196.3,196.95,4253691,19.41108460960207,15.072348774523745,14.522984449570888
2018-04-11,198.0,198.2,195.8,197.0,3257053,18.31131184299206,15.398748563822773,14.102774253792813
2018-04-12,197.2,197.9,196.1,196.35,1990005,17.510028776098103,14.724916094508403,13.712579071998885
2018-04-13,196.5,198.0,196.4,197.5,1933883,17.035918340246866,14.115170384098583,13.402828440414705
2018-04-16,197.25,200.9,196.8,199.2,5415997,22.39241467221813,12.707092398314565,14.416476285301508
2018-04-17,203.2,207.15,202.2,204.9,13195105,32.085269293537216,10.516424069314734,17.003090804526625
2018-04-18,205.1,205.8,204.35,205.0,4957945,31.034375073782854,10.171977863617636,19.404947143807085
2018-04-19,205.5,208.9,204.95,208.1,5978038,35.193742531433756,9.280260434103777,22.18077831590054
2018-04-20,208.8,209.6,206.2,207.2,3063725,34.096066972831466,8.582803311221186,24.866409393723846
2018-04-23,207.9,207.9,205.2,206.8,2328743,32.03696325193937,10.301189733521632,26.757273151519772
2018-04-24,208.2,208.2,204.8,206.45,2021988,29.611812372658264,10.411975748015815,28.272543856818583
2018-04-25,206.4,210.0,203.9,207.35,3332687,29.59859133414352,9.083439657279008,30.041315937180734
2018-04-26,207.55,208.7,206.2,207.0,4471983,28.020572885329177,8.59916541611459,31.68374715465987
2018-04-27,207.5,208.7,207.1,207.9,4146524,26.967693941170744,8.276049959445864,33.208861856604784
2018-04-30,207.55,209.0,207.05,207.85,3175241,26.45389730998649,7.908944913242958,34.69166028722345
2018-05-02,207.0,209.1,204.7,205.15,4056134,23.87992988449724,12.336114652202625,34.49046060962651
2018-05-03,205.0,207.55,203.25,206.45,2127777,21.661700785304134,14.322570241924328,33.48366948034795
2018-05-04,207.0,207.8,204.5,207.4,12637368,20.657395725967532,13.30139405636937,32.63923267781295
2018-05-07,207.0,210.0,207.0,209.3,3377187,24.094402068630696,12.433502988558338,32.58809196312906
2018-05-08,209.5,214.0,208.85,212.75,11108293,29.861329677194355,11.0951466404829,33.53321527392915
2018-05-09,212.0,213.7,211.15,211.85,7838063,28.240390946267453,10.492877648804095,34.41082977681495
2018-05-10,211.2,211.8,204.7,208.0,7859920,24.263360207914086,21.71923114457865,32.34811402421533
2018-05-11,208.8,209.0,205.95,206.85,6012540,22.789037014335147,20.39949777093365,30.432735111087112
2018-05-14,206.0,209.8,206.0,209.05,7853699,22.658141939654488,18.861726850757755,28.912083354286093
2018-05-15,209.0,216.0,208.65,213.85,31522977,31.03098892433288,16.301959964264807,29.069643083195988
2018-05-16,214.4,215.0,212.55,213.45,10228377,29.58947243038919,15.54466717448619,29.215948545755175
2018-05-17,212.5,216.0,212.3,213.45,10069279,29.409474443958246,14.452738040122703,29.564764083606324
2018-05-18,213.7,215.0,212.1,212.95,10358438,27.76333859533991,14.029795794171203,29.800192570654477
2018-05-21,214.45,214.45,211.6,212.65,9376866,26.210638582089356,14.226324283546129,29.788538009992205
2018-05-22,213.75,214.0,209.5,210.75,5293836,23.934529370295603,17.043415591745678,28.86197391782273
2018-05-23,211.0,212.45,209.7,211.3,10248747,22.640606428584224,16.122032676790585,28.00159297509393
2018-05-24,212.4,212.4,211.4,211.75,9709004,22.125355882740777,15.755130572687287,27.20266781398862
2018-05-25,210.25,213.05,210.25,212.05,16926167,20.826117762044788,17.241746182812776,25.932173061441116
2018-05-28,212.25,212.5,206.3,206.95,9837171,18.268065612468142,22.949357785905203,24.891129025345254
2018-05-29,208.25,209.7,205.75,207.0,8859017,16.848207744020545,22.247879389222195,24.099711526885972
2018-05-30,207.0,211.95,207.0,209.5,20259356,19.563941994311037,20.135783508056225,22.481190474615634
2018-05-31,209.9,212.7,201.6,209.45,154323307,15.915224489136081,25.453494539474374,22.522299784499744
2018-06-01,206.9,207.9,200.35,205.95,9616721,13.665130078836285,23.79691246911189,22.845382782455243
