Date,Open,High,Low,Close,Volume
20170816,1572.0,1576.0,1550.2,1566.1,3103394
20170817,1569.0,1597.65,1561.15,1567.1,3618179
20170818,1564.0,1577.8,1553.15,1575.4,1814011
20170821,1577.0,1584.15,1560.25,1564.4,1731188
20170823,1564.85,1586.55,1553.15,1582.05,1901824
20170824,1590.0,1593.1,1564.5,1568.05,2892571
20170828,1579.05,1581.95,1561.2,1566.55,2815328
20170829,1561.85,1567.5,1530.0,1532.15,3466421
20170830,1547.55,1568.8,1541.25,1564.1,2362387
20170831,1575.0,1597.45,1574.0,1594.5,5738495
20170901,1599.85,1616.6,1599.0,1610.1,3527477
20170904,1615.5,1636.15,1595.85,1613.35,4928375
20170905,1630.0,1634.85,1621.05,1632.6,5764131
20170906,1626.4,1652.5,1622.8,1645.4,11142512
20170907,823.0,832.5,815.0,818.1,7408536
20170908,820.0,823.25,812.1,816.9,6056729
20170911,821.3,826.85,816.55,817.9,5801712
20170912,822.75,825.0,817.0,823.75,2971669
20170913,824.0,859.9,822.0,849.0,13430225
20170914,855.8,861.5,842.0,843.85,5425486
20170915,842.0,852.85,834.75,841.8,13072853
20170918,850.0,851.05,843.1,845.55,2314174
20170919,848.7,848.75,837.0,838.6,3528729
20170920,856.1,872.5,845.1,847.15,11402965
20170921,847.0,851.7,836.25,841.35,5920552
20170922,839.9,839.9,813.2,817.4,5620443
20170925,815.0,827.95,805.2,821.55,6505309
20170926,821.7,827.05,812.2,820.1,4829571
20170927,825.6,825.7,795.5,799.15,8434196
20170928,799.65,802.9,780.2,786.45,13508179
20170929,791.75,793.4,779.1,780.9,7619230
20171003,795.0,803.85,785.35,798.35,8387059
20171004,799.2,824.95,795.6,818.85,8643924
20171005,825.0,828.45,818.65,824.15,4860479
20171006,824.0,839.35,822.6,837.05,5942106
20171009,839.0,839.8,828.0,830.65,4046109
20171010,831.0,847.3,831.0,843.2,6734986
20171011,845.3,858.4,836.0,840.15,7049800
20171012,842.1,876.8,842.1,872.75,8522926
20171013,879.3,890.7,873.35,876.45,9833512
20171016,879.0,892.0,861.3,876.8,14633539
20171017,878.0,884.0,867.2,874.35,6354084
20171018,877.4,917.9,875.0,914.5,16765178
20171019,915.8,921.9,903.0,909.9,3664082
20171023,912.9,944.7,909.1,939.75,12551649
20171024,947.7,947.7,928.2,934.25,6335308
20171025,940.1,945.9,929.5,939.9,4577050
20171026,940.0,957.8,931.0,947.4,7698704
20171027,950.0,956.7,925.7,929.85,5256749
20171030,934.0,945.55,930.6,942.5,3576533
20171031,944.95,945.75,932.2,940.85,4345360
20171101,947.75,957.8,945.75,952.55,8033040
20171102,952.8,956.5,944.25,946.6,4698609
20171103,955.95,955.95,940.15,945.3,2193730
20171106,942.5,942.5,929.0,932.5,4460799
20171107,933.35,935.0,903.05,906.7,9347943
20171108,902.5,906.0,884.1,887.8,8115980
20171109,894.75,909.9,892.05,900.5,6860798
20171110,900.95,900.95,879.2,883.85,6365174
20171113,885.0,891.9,873.5,875.25,4155011
20171114,875.0,895.0,873.0,886.7,5706105
20171115,884.5,890.6,877.95,883.7,6981872
20171116,885.5,906.0,885.5,903.85,6931038
20171117,918.95,924.9,908.5,911.9,5586242
20171121,926.8,939.65,925.5,932.55,5980763
20171122,937.45,938.65,923.45,930.75,5055490
20171123,931.0,949.9,926.65,947.0,7329126
20171124,950.0,959.5,947.4,951.1,6394443
20171127,947.25,957.5,944.0,951.35,4680074
20171128,949.85,951.35,938.1,943.35,4641893
20171129,941.85,950.0,941.0,946.0,3674864
20171130,941.45,941.45,919.5,921.55,9434893
20171201,924.45,931.25,907.7,910.1,5081389
20171204,913.5,913.8,897.35,901.6,4618847
20171205,901.05,920.75,895.45,913.7,8369174
20171206,910.0,930.3,908.8,926.65,11007689
20171207,930.05,936.0,923.0,931.55,5529565
20171208,933.85,936.95,919.05,921.0,5588486
20171211,922.45,926.0,913.55,916.15,4933853
20171212,915.95,929.0,908.0,915.6,7215014
20171213,916.9,924.95,910.7,914.65,4182097
20171214,919.0,924.9,908.75,921.5,5021130
20171215,931.0,932.95,917.7,919.75,11158706
20171218,911.95,932.65,862.65,921.0,8494801
20171219,923.6,927.0,920.0,925.95,4064982
20171220,925.9,927.4,917.0,918.15,4774414
20171221,918.45,923.95,910.0,912.95,4147162
20171222,914.65,922.4,909.3,920.4,4872675
20171226,924.85,938.9,918.15,929.8,5301456
20171227,933.0,937.5,919.0,923.75,4352384
20171228,925.25,934.4,919.1,924.2,7091515
20171229,926.5,932.3,918.5,921.05,5069838
20180101,922.7,922.7,907.5,909.75,4321686
20180102,913.0,919.55,906.4,911.15,4342815
20180103,925.0,926.0,913.05,914.8,6175312
20180104,918.15,921.8,915.7,920.3,4118581
20180105,921.8,926.9,920.25,923.25,3401905
20180108,926.1,931.0,923.5,928.55,4035417
20180109,928.15,943.9,924.0,940.95,6534997
20180110,943.0,947.4,935.5,942.35,5361502
20180111,941.8,942.65,935.0,937.75,3588727
20180112,943.0,952.8,938.25,949.0,6890028
20180115,950.0,958.5,945.2,949.15,5084113
20180116,947.7,947.7,920.0,922.95,4948895
20180117,926.0,929.0,907.0,924.5,6036432
20180118,929.0,929.6,915.1,919.7,4289053
20180119,923.0,934.4,922.1,931.3,4559564
20180122,948.0,974.3,940.0,971.5,20892838
20180123,975.0,990.95,975.0,983.25,10298500
20180124,981.75,981.75,962.65,966.35,6532672
20180125,967.9,972.0,956.15,965.9,6249419
20180129,966.2,977.3,959.3,964.5,4524605
20180130,965.8,965.8,949.0,950.4,4198139
20180131,950.0,964.5,941.55,961.3,5738209
20180201,963.25,972.6,936.6,943.85,7554587
20180202,935.0,943.95,901.0,904.35,13242095
