Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-03,925.0,926.0,913.05,914.8,6175312,0,0,0
2018-01-04,918.15,921.8,915.7,920.3,4118581,0,0,0
2018-01-05,921.8,926.9,920.25,923.25,3401905,0,0,0
2018-01-08,926.1,931.0,923.5,928.55,4035417,0,0,0
2018-01-09,928.15,943.9,924.0,940.95,6534997,0,0,0
2018-01-10,943.0,947.4,935.5,942.35,5361502,0,0,0
2018-01-11,941.8,942.65,935.0,937.75,3588727,0,0,0
2018-01-12,943.0,952.8,938.25,949.0,6890028,0,0,0
2018-01-15,950.0,958.5,945.2,949.15,5084113,0,0,0
2018-01-16,947.7,947.7,920.0,922.95,4948895,0,0,0
2018-01-17,926.0,929.0,907.0,924.5,6036432,0,0,0
2018-01-18,929.0,929.6,915.1,919.7,4289053,0,0,0
2018-01-19,923.0,934.4,922.1,931.3,4559564,0,0,0
2018-01-22,948.0,974.3,940.0,971.5,20892838,0,0,0
2018-01-23,975.0,990.95,975.0,983.25,10298500,44.56896551724146,16.681034482758655,0
2018-01-24,981.75,981.75,962.65,966.35,6532672,40.67909454061259,20.457571722551794,0
2018-01-25,967.9,972.0,956.15,965.9,6249419,37.93564577824675,21.843616896565237,0
2018-01-29,966.2,977.3,959.3,964.5,4524605,37.288648600617044,20.179216545458114,0
2018-01-30,965.8,965.8,949.0,950.4,4198139,34.63598458907794,23.105170956718997,0
2018-01-31,950.0,964.5,941.55,961.3,5738209,31.354546488787253,23.99163170085097,0
2018-02-01,963.25,972.6,936.6,943.85,7554587,30.13293590088607,20.68164497889976,0
2018-02-02,935.0,943.95,901.0,904.35,13242095,25.595811211271258,30.04793463968754,0
2018-02-05,894.0,912.5,881.8,902.15,8773525,22.937283782404588,33.42282092094526,0
2018-02-06,877.0,898.0,871.0,892.1,11000567,20.599360073685645,33.550038408886515,0
2018-02-07,902.55,905.4,890.0,894.4,7100838,22.01244539694761,31.82309496340836,0
2018-02-08,897.9,910.65,892.35,904.55,6320734,22.42503341885091,29.856397531907707,0
2018-02-09,889.0,902.0,886.0,897.85,5294279,21.007763825424213,30.132924802369338,0
2018-02-12,903.0,918.2,902.05,915.5,5429792,25.079147133541426,28.03933199931987,0
2018-02-14,923.0,942.5,921.0,933.65,10170959,28.87505851155232,26.087392783433984,20.96764922095695
2018-02-15,937.65,945.75,928.15,935.65,6109454,28.241242586568365,24.498924377489033,19.976800334583064
2018-02-16,939.6,942.6,918.1,921.3,4401672,25.878955141376224,25.880892384153388,18.55015336440528
2018-02-19,921.0,932.0,913.55,927.0,4087936,24.234939837724827,25.80341180958099,17.44903809898569
2018-02-20,929.0,929.55,918.8,921.1,3866919,23.305925844549012,24.814272541924808,16.42657392395321
2018-02-21,930.0,932.5,922.15,929.35,5448230,23.413770893379073,23.773503033959912,15.307700780139418
2018-02-22,922.0,931.0,920.0,924.35,5118850,22.435926957734374,23.59692440453179,14.394444031949066
2018-02-23,925.4,938.0,922.75,934.25,4850839,23.813214953095315,22.211935098668654,13.614779527907737
2018-02-26,939.0,944.9,936.6,938.7,3856478,25.54550336907788,21.272899297031024,13.294145804268904
2018-02-27,939.0,955.8,938.35,950.5,6410097,28.108372691054086,19.796149289172877,13.583967296008256
2018-02-28,945.95,957.1,943.2,954.55,25898694,27.05422949812898,18.68353798208827,13.920932980804578
2018-03-01,949.75,959.9,945.95,948.4,4094652,26.65436780951077,17.613608444529085,14.38535191009058
2018-03-05,943.0,950.15,921.6,924.1,5634893,23.66720057044067,25.198016920942173,13.581593351702807
2018-03-06,929.0,936.2,905.1,910.85,7323680,20.917195096968076,28.434814076372554,13.699525991736095
2018-03-07,909.25,909.25,888.05,889.75,7247708,19.159550274757933,32.32919901328031,14.547968506093385
2018-03-08,897.65,914.5,893.3,911.45,6072983,19.3431435703274,29.437496669684833,14.986924983414255
2018-03-09,914.9,919.35,911.05,913.1,4863577,20.56638212463541,28.516326648787405,15.073361559450092
2018-03-12,920.0,933.1,917.55,930.3,3801407,24.185205717286976,26.374612095112255,14.306002080286659
2018-03-13,931.9,936.0,921.35,931.85,5096825,23.939663405825414,24.899416877272724,13.424511517677955
2018-03-14,928.8,932.05,919.2,929.05,6731530,22.73830737157503,24.489529945029453,12.73047715341391
2018-03-15,925.0,929.45,910.0,911.8,5811424,21.01895103303166,26.214401177307245,12.606838584873206
2018-03-16,909.0,909.7,886.05,900.05,14087564,18.973464131259448,32.714674502091675,13.60526745308586
2018-03-19,901.0,906.9,892.0,895.5,5774392,17.888646194395257,30.844195529299746,14.532379973569038
2018-03-20,893.3,904.0,887.05,889.8,6945721,16.717654814753594,30.736798151759338,15.604518093426508
2018-03-21,894.85,902.35,893.3,896.9,6727261,15.888350832163606,29.212053837932313,16.600074919008446
2018-03-22,896.0,911.95,895.75,908.15,10116965,18.68624716975575,27.32755795322925,16.755771152421545
2018-03-23,890.6,900.0,889.1,893.9,10729694,17.274961781515387,27.900083812284798,17.238922656738144
2018-03-26,893.95,904.3,892.5,901.1,6047262,18.194231116237898,26.561877024820816,17.34300662092726
2018-03-27,907.2,910.75,897.0,899.8,6939577,19.824450910549125,25.05388785084266,16.936540034510323
2018-03-28,895.8,895.85,880.0,882.7,8759586,18.22031039229562,29.974038235562073,17.468800528558315
2018-04-02,893.0,900.95,886.5,892.95,5712065,18.943340061907797,27.745518671271547,17.56766091528159
2018-04-03,891.0,901.7,885.25,899.55,6364728,17.668218272968545,26.389393509430313,17.726751859981995
2018-04-04,904.7,911.8,892.05,894.9,6498407,20.348049708245057,24.276547185484805,17.089372099585376
2018-04-05,905.1,910.0,903.5,908.2,3898676,19.08961632271925,22.775154280437622,16.497519464931372
2018-04-06,908.0,918.5,905.0,911.0,4418462,21.55525877083939,21.495211183850994,15.329088205902668
2018-04-09,912.55,919.0,912.55,916.0,3572251,21.025341865223943,20.75097837036866,14.28106362289349
2018-04-10,918.4,923.9,914.15,917.05,3865402,22.29594746639835,19.848982282015303,13.675707115490923
2018-04-11,921.8,932.75,916.05,930.85,6007539,24.574598044033092,18.375635487524114,13.729792038996452
2018-04-12,929.85,936.65,924.2,928.7,4947725,24.95427454998993,17.342143581500636,14.03460013907179
2018-04-13,932.7,941.7,928.7,938.85,5767984,25.78060016459935,16.310587148557474,14.639186007154947
2018-04-16,934.45,940.0,928.5,937.05,4084450,24.398039141162013,15.529149634359015,15.180148223497483
2018-04-17,940.0,947.2,936.0,944.25,4388713,26.522112727487674,14.702201048438596,16.14386516525456
