Date,Open,High,Low,Close,Volume
20180102,309.0,309.0,301.35,303.25,14797364
20180103,305.3,306.45,302.15,302.85,13857373
20180104,304.5,310.2,303.15,308.5,24517099
20180105,311.4,311.4,305.6,306.35,14580575
20180108,307.2,309.5,305.0,305.8,13557197
20180109,307.5,309.5,303.3,304.3,15574755
20180110,304.65,305.85,300.0,301.1,13064599
20180111,300.9,303.0,300.0,302.2,12299087
20180112,304.65,304.65,300.55,302.25,17594228
20180115,303.95,305.25,301.55,302.6,18189668
20180116,302.4,303.35,295.3,296.15,18040940
20180117,296.0,308.4,292.6,307.1,26277307
20180118,315.0,317.8,300.5,303.25,40000111
20180119,303.95,310.0,302.5,309.25,18461642
20180122,308.35,308.75,304.05,306.5,12622645
20180123,306.4,320.55,306.35,318.1,35252217
20180124,317.7,331.6,316.2,329.9,38070520
20180125,332.75,332.75,311.85,313.15,42466150
20180129,313.15,316.9,311.0,312.1,23600898
20180130,312.05,318.85,311.0,313.55,25810404
20180131,313.0,316.6,307.85,313.25,16409938
20180201,316.9,317.4,305.0,306.05,19515991
20180202,302.9,305.75,295.5,297.35,23274673
20180205,292.65,300.4,290.0,298.05,18940578
20180206,285.0,297.3,282.9,291.75,30577218
20180207,296.6,297.9,290.0,292.8,21463818
20180208,292.9,303.3,292.55,301.4,18932796
20180209,297.0,300.6,295.0,296.4,15750824
20180212,288.25,292.4,285.15,288.75,50839665
20180214,288.7,288.7,275.0,276.2,45641149
20180215,274.8,282.3,274.25,278.7,26058237
20180216,280.5,281.2,270.05,271.65,30338112
20180219,271.5,272.0,256.65,268.5,43847791
20180220,269.0,274.2,264.8,269.65,33458021
20180221,272.2,274.1,267.4,273.3,23714454
20180222,270.4,273.6,269.45,272.6,25584062
20180223,273.45,277.2,272.5,276.05,15482147
20180226,280.0,280.0,273.85,274.45,15306032
20180227,273.0,275.9,265.95,267.6,20824909
20180228,264.25,269.7,260.8,268.0,26810799
20180301,266.3,270.0,261.25,262.15,22859175
20180305,260.45,265.0,258.75,263.5,18484565
20180306,265.85,266.0,255.0,256.55,20778164
20180307,255.05,255.35,246.05,246.65,31262500
20180308,247.0,257.95,244.3,256.8,33133336
20180309,257.0,257.4,251.65,253.25,21536191
20180312,254.1,255.25,247.25,252.85,25332474
20180313,251.3,262.4,249.6,254.7,37647221
20180314,252.5,257.85,250.0,257.05,25471485
20180315,257.0,258.8,252.55,253.7,18339890
20180316,250.65,255.7,250.1,252.3,25728297
20180319,252.9,253.6,246.1,247.95,18167594
20180320,246.85,252.25,245.35,249.1,20556571
20180321,251.75,254.3,247.1,248.0,19533972
20180322,247.0,247.35,240.65,241.55,26828240
20180323,237.8,239.65,232.35,234.8,27150262
20180326,234.75,247.85,234.25,246.5,30373940
20180327,250.0,255.5,248.0,254.35,31205051
20180328,252.0,256.2,248.7,249.9,36673566
20180403,249.55,252.8,248.25,250.5,19883309
20180404,251.7,253.0,245.5,247.3,18824449
20180405,252.6,261.9,250.0,259.3,22880821
20180406,259.65,261.45,254.85,259.7,24868860
20180409,260.65,262.75,257.6,260.65,20208874
20180410,261.1,265.0,258.5,263.3,21201141
20180411,263.0,263.0,256.3,257.05,14885838
20180412,257.5,257.5,252.25,253.8,18660913
20180413,254.0,255.95,249.7,250.95,25654020
20180416,249.35,251.3,247.1,249.0,16408377
20180417,251.4,252.5,246.6,248.15,15922452
20180418,249.5,249.9,245.3,246.45,16142387
