Date,Open,High,Low,Close,Volume
20170816,478.0,486.7,467.7,485.7,7588306
20170817,485.7,490.4,480.55,488.25,4484873
20170818,485.0,485.0,467.2,470.15,4513543
20170821,475.4,475.4,459.4,460.55,4215469
20170823,473.95,475.95,467.6,469.2,3682870
20170824,471.9,488.45,469.5,483.0,5680084
20170828,488.8,499.9,483.25,493.2,6388051
20170829,491.95,491.95,479.65,481.8,2605383
20170830,484.0,488.95,481.45,484.25,2523480
20170831,487.15,487.35,476.65,481.15,4398132
20170901,481.0,492.0,480.8,486.2,3998817
20170904,484.0,509.7,478.15,500.7,4489406
20170905,503.0,504.55,490.1,491.85,5266455
20170906,486.95,486.95,473.0,474.25,7344173
20170907,477.0,483.5,474.25,480.45,2916205
20170908,478.95,484.3,467.25,471.35,3557040
20170911,474.5,476.4,466.2,467.45,3437220
20170912,475.0,485.55,470.5,483.4,5892218
20170913,484.0,510.5,479.9,503.35,11440036
20170914,520.0,527.15,513.6,524.65,10997664
20170915,518.2,527.95,514.1,524.3,7483452
20170918,525.0,527.0,511.0,521.05,3689242
20170919,523.8,529.4,511.6,515.8,4355599
20170920,518.8,519.4,503.6,505.5,5024973
20170921,508.5,525.0,505.0,519.65,10217874
20170922,518.95,528.5,508.7,513.85,7990848
20170925,512.0,514.55,501.5,505.95,4345197
20170926,506.0,515.0,505.15,507.6,3615167
20170927,503.95,503.95,489.5,494.7,7594880
20170928,494.7,507.0,493.5,499.2,5557091
20170929,500.25,506.0,498.25,503.25,3478824
20171003,509.0,509.6,500.15,502.65,2880625
20171004,504.1,522.0,502.0,517.9,6203591
20171005,519.0,525.0,512.0,513.8,3576059
20171006,518.0,533.0,515.8,530.2,6323391
20171009,527.8,536.95,521.6,531.4,5049020
20171010,531.9,535.0,526.1,527.2,2244596
20171011,530.8,533.15,521.15,526.05,4031497
20171012,543.0,545.0,532.0,539.55,8970339
20171013,541.25,543.1,533.0,534.7,3819414
20171016,538.4,549.9,533.8,547.95,5322443
20171017,546.9,554.0,544.55,547.2,4477156
20171018,549.35,549.4,538.85,540.2,3499930
20171019,540.2,543.0,532.0,535.75,434929
20171023,536.05,543.5,533.3,540.4,2878772
20171024,537.5,539.0,533.5,534.55,1940555
20171025,534.9,539.0,522.25,523.25,2055745
20171026,525.4,538.9,519.0,530.15,3566575
20171027,532.5,557.9,532.5,549.9,8848376
20171030,552.1,557.3,544.1,553.1,5360570
20171031,553.0,558.7,545.9,552.9,2907328
20171101,553.05,555.9,546.4,548.7,3304676
20171102,548.0,572.3,547.65,563.45,8413439
20171103,565.0,567.8,550.2,551.25,3595527
20171106,553.0,555.9,539.3,541.2,3987042
20171107,545.0,549.8,513.25,527.6,8930638
20171108,533.0,545.4,532.4,537.8,4530173
20171109,555.0,555.0,527.05,533.9,4591954
20171110,530.0,534.2,523.75,527.85,3187021
20171113,526.8,541.6,519.1,532.55,5498679
20171114,533.4,537.9,517.1,526.05,5853721
20171115,516.0,520.0,501.1,504.65,8629268
20171116,505.0,510.8,498.2,508.55,5351102
20171117,510.2,522.15,510.05,517.1,3515919
20171121,518.0,541.5,514.55,538.05,7852414
20171122,539.75,544.65,530.15,535.25,4294740
20171123,535.0,547.5,531.85,544.75,3972361
20171124,545.75,551.0,541.7,549.5,4099139
20171127,541.1,553.9,538.25,551.55,3833249
20171128,551.0,556.35,541.1,543.15,2493500
20171129,543.0,549.65,541.5,547.1,2174433
20171130,547.05,554.95,537.7,539.95,5950729
20171201,544.0,545.45,522.25,525.95,3164938
20171204,529.8,529.8,516.5,520.75,3306680
20171205,518.55,528.0,517.65,523.15,3479216
20171206,525.8,526.5,510.1,511.35,3859141
20171207,510.0,515.55,506.0,510.35,4470510
20171208,513.5,524.0,511.0,521.85,3394236
20171211,525.0,531.0,521.85,529.6,2581923
20171212,532.0,533.75,519.3,520.85,2669035
20171213,521.0,526.3,515.5,516.85,2072867
20171214,518.2,519.6,511.2,514.4,2301593
20171215,518.5,524.0,515.9,518.35,3053990
20171218,517.0,533.7,499.5,529.8,4063126
20171219,533.0,535.35,525.15,527.5,3216333
20171220,528.8,532.5,525.7,527.25,2558514
20171221,532.0,538.7,525.8,528.2,5492286
20171222,528.2,533.5,526.05,530.95,2982469
20171226,530.2,544.4,529.0,541.3,4858794
20171227,543.8,581.7,543.05,576.3,23356359
20171228,580.25,585.6,566.35,568.4,11062915
