Date,Open,High,Low,Close,Volume
20170816,379.45,390.7,375.5,389.25,11019760
20170817,392.45,392.45,384.5,385.3,5971420
20170818,381.75,383.0,377.0,380.4,5856198
20170821,382.0,382.55,371.3,374.35,5123101
20170823,376.0,381.15,373.35,379.95,4448871
20170824,380.1,385.95,380.1,384.15,5208541
20170828,385.85,387.4,378.3,379.3,4403872
20170829,379.0,382.35,374.45,376.1,4689547
20170830,380.85,382.75,377.45,378.5,3734824
20170831,380.05,380.45,375.8,376.55,4685511
20170901,379.35,392.85,378.65,390.85,7380325
20170904,393.0,396.05,380.5,383.4,8433560
20170905,385.7,389.5,383.4,388.15,4477993
20170906,385.0,386.7,381.85,382.7,5953907
20170907,383.7,384.4,376.0,378.15,7938665
20170908,381.0,381.8,374.05,375.05,7471355
20170911,380.0,380.0,374.2,375.3,5402725
20170912,378.7,390.0,375.5,388.25,9266823
20170913,391.0,393.95,387.2,389.65,6537279
20170914,390.75,406.6,390.25,404.4,11476571
20170915,402.85,406.75,400.0,401.75,9675506
20170918,411.85,413.0,403.2,404.95,8966503
20170919,415.0,427.7,414.0,423.65,28208471
20170920,422.75,422.75,413.0,414.8,5179160
20170921,415.4,418.45,408.8,413.65,6946502
20170922,414.0,422.15,408.85,411.8,9781308
20170925,413.65,415.3,404.6,408.2,6957357
20170926,409.4,413.9,403.3,411.25,5077291
20170927,413.5,414.25,402.0,404.9,4727360
20170928,406.95,406.95,399.0,401.4,4850748
20170929,401.4,405.0,397.4,401.5,7520906
20171003,428.0,428.0,415.0,416.0,9696920
20171004,417.55,426.0,412.7,423.55,7663143
20171005,423.0,425.8,420.1,423.3,4606192
20171006,422.0,426.0,416.2,424.85,5308695
20171009,424.0,432.1,423.05,425.6,4414381
20171010,425.6,428.9,421.4,423.6,5057869
20171011,424.9,424.9,414.1,415.5,4320451
20171012,415.5,421.8,409.35,420.15,5442846
20171013,421.0,429.3,418.9,424.8,6969434
20171016,426.3,438.0,425.85,437.05,8476709
20171017,435.75,435.75,430.2,432.3,5135763
20171018,432.25,437.3,426.6,433.2,5539785
20171019,433.0,433.1,424.25,426.95,1313380
20171023,429.1,430.85,421.0,422.75,4013418
20171024,422.75,423.8,415.05,416.05,4541742
20171025,421.0,424.4,415.1,421.95,5666968
20171026,421.7,422.4,417.0,419.4,6207936
20171027,422.05,434.35,422.05,429.9,7414741
20171030,428.25,440.95,428.25,436.55,7675104
20171031,438.85,438.85,427.3,428.4,6214996
20171101,430.95,439.95,428.45,437.75,7310931
20171102,435.7,440.4,429.9,434.9,8262211
20171103,434.0,449.35,432.65,447.7,8116263
20171106,445.75,468.0,443.55,462.9,19456789
20171107,458.2,465.9,450.05,451.85,13266543
20171108,448.0,455.0,431.3,438.2,11193613
20171109,442.1,450.9,425.65,440.15,40547266
20171110,438.95,438.95,420.0,422.55,22534490
20171113,423.0,427.5,416.1,418.1,9857544
20171114,418.55,421.85,410.65,414.3,8987515
20171115,414.3,417.55,407.0,408.65,9867270
20171116,411.35,415.9,411.35,413.45,6291441
