Date,Open,High,Low,Close,Volume
20180104,736.5,763.45,732.0,760.25,8082986
20180105,764.0,776.9,762.5,770.7,7136203
20180108,777.75,777.85,765.0,768.75,2584335
20180109,770.0,780.85,767.0,772.3,3197787
20180110,771.25,777.0,762.9,772.85,2990882
20180111,772.85,777.9,768.35,770.95,1934937
20180112,771.2,776.8,760.05,770.25,2169940
20180115,772.0,793.0,771.0,783.5,4171663
20180116,782.75,782.75,760.1,765.75,2791328
20180117,768.0,777.95,757.0,774.0,2988170
20180118,775.0,779.85,746.2,751.75,4616814
20180119,752.5,762.0,742.5,753.0,3217972
20180122,752.0,756.4,747.35,752.2,3605727
20180123,752.0,787.1,752.0,779.75,8036841
20180124,780.5,780.6,757.15,762.1,4935129
20180125,765.0,773.1,758.25,769.15,8397681
20180129,771.0,791.8,770.15,783.15,6508012
20180130,780.6,783.9,771.25,775.85,6019374
20180131,735.5,747.9,701.7,705.05,12958902
20180201,708.0,712.75,681.6,696.75,7403931
20180202,692.0,693.0,666.05,670.45,6500926
20180205,661.0,674.5,650.5,664.05,4698722
20180206,641.0,679.0,632.55,664.5,6704557
20180207,668.0,682.2,657.0,661.8,6789521
20180208,660.05,677.0,654.0,671.45,5845590
20180209,663.7,690.0,660.15,685.3,9140288
20180212,716.0,716.9,697.4,713.1,12036307
20180214,719.3,720.5,704.55,708.0,4885951
20180215,711.35,719.15,697.25,700.55,5131245
20180216,708.0,709.5,683.6,689.75,5012760
20180219,693.4,693.4,639.0,648.85,17658708
20180220,654.8,661.5,648.15,651.3,10214478
20180221,654.9,655.55,633.0,640.95,10307539
20180222,640.35,647.8,632.85,637.55,8950631
20180223,640.85,686.4,639.0,677.75,21866214
20180226,680.0,692.65,673.2,680.2,9199775
20180227,681.4,686.9,669.2,671.75,6805376
20180228,663.85,675.0,660.0,671.6,7112650
20180301,671.35,685.0,670.05,675.05,7128399
20180305,669.25,669.3,651.8,655.9,9785466
20180306,664.85,674.0,656.55,659.75,8414960
20180307,657.0,661.4,644.65,647.7,5130577
20180308,656.9,660.95,632.7,635.9,7126105
20180309,640.05,646.75,601.5,606.75,18096367
20180312,614.45,626.4,606.4,622.9,12193581
20180313,623.0,633.2,614.35,628.85,10490405
20180314,624.0,630.9,618.6,620.55,8655181
20180315,620.0,622.6,609.6,611.75,7510951
20180316,611.75,613.9,594.4,600.2,11739582
20180319,600.0,601.9,572.85,574.95,12542317
20180320,571.0,600.9,568.45,593.0,17645035
20180321,598.95,601.7,580.5,582.25,11939451
20180322,582.7,587.45,572.0,580.9,11486245
20180323,560.05,568.8,553.5,566.5,14133550
20180326,568.9,588.35,560.8,581.55,10929998
20180327,590.45,599.0,587.55,590.0,10038168
20180328,581.05,583.0,565.3,571.05,18655057
20180402,573.1,580.3,568.1,578.8,6889345
20180403,570.2,585.45,568.35,579.7,10508317
20180404,583.1,590.5,557.55,560.55,13909893
20180405,573.85,583.6,569.5,580.45,13262168
20180406,574.85,589.9,573.0,587.2,8520201
20180409,589.5,595.75,583.4,586.15,9489221
20180410,593.0,604.6,592.3,601.9,10850710
20180411,608.0,610.9,600.35,608.05,8724716
20180412,606.9,608.75,596.7,598.4,6628499
20180413,600.0,604.7,590.4,594.05,6716146
20180416,591.0,596.8,585.15,591.6,5145813
20180417,595.0,604.6,591.95,596.05,6400378
20180418,600.95,604.9,594.6,601.6,4259135
20180419,606.05,624.5,606.05,621.95,10817008
20180420,618.95,618.95,602.6,606.2,6346274
20180423,608.3,611.0,600.1,606.6,4591161
20180424,594.45,601.8,589.4,597.55,5953046
20180425,598.0,598.5,584.3,586.2,4122443
20180426,588.0,591.55,576.7,578.2,7463062
20180427,582.95,594.75,581.25,589.8,4717405
20180430,591.65,599.9,586.0,594.95,3658754
20180502,597.1,597.4,572.95,574.5,4241068
20180503,574.0,587.4,568.1,585.45,6778904
20180504,586.7,589.8,579.25,580.75,3881632
20180507,585.95,597.95,581.0,596.45,4553509
20180508,600.0,604.2,590.5,596.35,4125958
20180509,593.4,608.85,592.55,603.15,6238211
20180510,603.9,606.8,591.15,594.15,4001269
20180511,597.0,610.55,591.2,607.25,6155537
20180514,608.2,614.95,602.3,610.35,5173139
20180515,609.0,636.8,605.5,625.95,12818436
20180516,626.0,632.5,616.95,621.25,8426301
20180517,629.95,630.8,602.15,610.3,16037341
20180518,615.0,616.7,590.35,591.4,8216629
20180521,592.5,600.75,574.75,577.0,7162233
20180522,578.1,583.5,569.5,576.8,6096646
20180523,576.0,576.0,537.4,540.05,17148386
20180524,543.9,553.9,536.55,548.2,8700822
20180525,554.0,570.8,552.0,568.25,8895619
20180528,571.0,579.45,565.1,576.65,5235667
20180529,574.95,588.0,569.35,575.35,6477911
20180530,568.05,581.5,567.55,577.9,6201888
20180531,584.0,587.3,572.05,575.65,6652510
20180601,570.0,579.6,556.3,560.65,9249666
20180604,564.05,572.5,560.3,566.15,8742527
20180605,566.8,574.9,560.6,572.1,4688204
20180606,574.45,581.7,569.2,579.75,4445305
20180607,582.1,603.9,581.9,602.1,9279353
20180608,599.0,608.2,592.0,600.5,8386078
20180611,601.05,605.5,586.25,588.65,5151101
20180612,586.95,588.75,577.2,580.0,8588935
20180613,579.6,583.8,566.0,567.6,9060032
20180614,567.0,574.8,561.0,569.55,7482514
20180615,571.2,574.8,562.0,566.0,6208764
20180618,563.0,563.45,547.3,558.5,10566965
20180619,558.0,565.6,549.45,555.0,9452190
20180620,556.25,565.9,553.3,563.25,6610703
20180621,568.95,568.95,556.1,557.75,8465198
20180622,560.4,564.6,556.1,561.85,6247845
20180625,559.8,564.8,556.35,558.6,3899261
20180626,558.35,559.9,538.25,549.5,10207582
20180627,551.7,552.5,539.1,543.2,5654150
20180628,545.0,556.5,544.0,548.45,8655978
20180629,551.95,569.8,551.05,567.75,9477384
20180702,575.95,586.5,556.25,560.5,15763048
20180703,561.95,572.4,553.45,566.0,11236177
