Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-02,724.0,731.25,715.25,729.3,2467294,0,0,0
2018-01-03,732.0,737.5,731.25,734.95,2634779,0,0,0
2018-01-04,736.5,763.45,732.0,760.25,8082986,0,0,0
2018-01-05,764.0,776.9,762.5,770.7,7136203,0,0,0
2018-01-08,777.75,777.85,765.0,768.75,2584335,0,0,0
2018-01-09,770.0,780.85,767.0,772.3,3197787,0,0,0
2018-01-10,771.25,777.0,762.9,772.85,2990882,0,0,0
2018-01-11,772.85,777.9,768.35,770.95,1934937,0,0,0
2018-01-12,771.2,776.8,760.05,770.25,2169940,0,0,0
2018-01-15,772.0,793.0,771.0,783.5,4171663,0,0,0
2018-01-16,782.75,782.75,760.1,765.75,2791328,0,0,0
2018-01-17,768.0,777.95,757.0,774.0,2988170,0,0,0
2018-01-18,775.0,779.85,746.2,751.75,4616814,0,0,0
2018-01-19,752.5,762.0,742.5,753.0,3217972,0,0,0
2018-01-22,752.0,756.4,747.35,752.2,3605727,26.394934705184024,16.18519984170957,0
2018-01-23,752.0,787.1,752.0,779.75,8036841,34.341321329273164,14.07917383821001,0
2018-01-24,780.5,780.6,757.15,762.1,4935129,31.401527638864856,12.873924161912608,0
2018-01-25,765.0,773.1,758.25,769.15,8397681,29.669411251104115,12.163795174810762,0
2018-01-29,771.0,791.8,770.15,783.15,6508012,34.063505831468376,11.153253339863312,0
2018-01-30,780.6,783.9,771.25,775.85,6019374,32.44242201285821,10.622469497367296,0
2018-01-31,735.5,747.9,701.7,705.05,12958902,24.94774745304746,29.83685587833787,0
2018-02-01,708.0,712.75,681.6,696.75,7403931,22.587097880674325,33.11931886296741,0
2018-02-02,692.0,693.0,666.05,670.45,6500926,20.525694205011327,34.71938418898508,0
2018-02-05,661.0,674.5,650.5,664.05,4698722,19.06112877962248,36.86512526548354,0
2018-02-06,641.0,679.0,632.55,664.5,6704557,16.59336023324624,37.09539064011931,0
2018-02-07,668.0,682.2,657.0,661.8,6789521,16.319461694043344,34.48678725929759,0
2018-02-08,660.05,677.0,654.0,671.45,5845590,15.264395534500277,33.10046030213303,0
2018-02-09,663.7,690.0,660.15,685.3,9140288,17.60855641608594,30.357375292622013,0
2018-02-12,716.0,716.9,697.4,713.1,12036307,19.734130349637113,27.870075875788654,33.82938669852574
2018-02-14,719.3,720.5,704.55,708.0,4885951,19.8618402638745,26.615216977091137,32.45089908098065
2018-02-15,711.35,719.15,697.25,700.55,5131245,18.62203896888272,27.034570332455875,31.449096252901523
2018-02-16,708.0,709.5,683.6,689.75,5012760,17.25059809014645,28.924928637053622,31.008625556372987
2018-02-19,693.4,693.4,639.0,648.85,17658708,14.787272811798841,36.5017638797324,31.81783019953677
