Date,Open,High,Low,Close,Volume
20100105,11.2,11.25,11.15,11.15,5403
20100106,11.0,12.2,11.0,11.6,6
20100107,11.2,11.25,11.15,11.2,14550
20100108,11.25,11.25,11.25,11.25,5000
20100111,11.2,11.35,11.2,11.3,20050
20100112,11.25,11.25,11.15,11.2,60752
20100113,11.15,11.25,11.15,11.2,21240
20100114,11.5,11.5,11.2,11.2,5110
20100115,11.2,11.2,11.2,11.2,4000
20100118,11.2,11.25,11.2,11.25,2000
20100119,11.25,11.6,11.25,11.25,4000
20100120,11.5,11.5,11.25,11.25,25300
20100121,11.25,11.45,11.25,11.25,14010
20100122,11.15,11.15,11.15,11.15,20000
20100127,11.15,11.25,11.15,11.15,31150
20100128,11.15,11.15,11.15,11.15,380
20100129,11.1,11.1,11.1,11.1,6837
20100201,11.45,11.5,11.4,11.4,21000
20100202,11.3,11.4,11.3,11.4,10500
20100204,11.4,11.4,11.4,11.4,2774
20100205,11.4,11.4,11.35,11.35,8681
20100208,11.2,11.2,11.2,11.2,10000
20100209,11.3,11.3,11.25,11.25,25500
20100210,11.35,11.35,11.35,11.35,500
20100211,11.3,11.3,11.3,11.3,7000
20100216,11.3,11.3,11.3,11.3,200
20100218,11.25,11.25,11.25,11.25,200
20100219,10.35,11.05,10.35,11.05,616
20100223,11.45,11.45,11.45,11.45,100
20100224,10.7,11.35,10.5,11.25,40000
20100226,11.5,11.5,11.5,11.5,13350
20100302,11.5,11.5,11.25,11.25,10000
20100304,11.25,11.25,11.25,11.25,10
20100305,12.2,12.2,12.2,12.2,1
20100310,11.4,12.05,11.4,12.05,51
20100312,11.55,11.55,11.55,11.55,5000
20100316,11.5,11.55,11.5,11.55,1696
20100318,11.6,11.6,11.6,11.6,1
20100322,11.75,11.75,11.75,11.75,4275
20100323,11.65,11.7,11.65,11.7,25725
20100325,11.75,11.75,11.6,11.6,37350
20100326,11.6,11.6,11.6,11.6,1000
20100329,11.4,11.4,11.4,11.4,450
20100330,11.6,11.75,11.6,11.75,2100
20100406,11.75,11.75,11.75,11.75,2500
20100407,11.75,11.75,11.75,11.75,2000
20100408,11.8,11.8,11.8,11.8,300
20100409,11.8,11.85,11.7,11.7,96301
20100416,11.4,11.4,11.4,11.4,4500
20100419,11.5,11.8,11.5,11.8,6500
20100420,11.8,11.85,11.4,11.85,9868
20100422,11.85,11.85,11.85,11.85,500
20100423,11.4,11.45,11.4,11.45,5000
20100426,11.55,11.8,11.55,11.8,9000
20100428,11.6,11.6,11.6,11.6,5490
20100429,11.6,11.6,11.6,11.6,3000
20100430,11.7,11.7,11.6,11.6,5000
20100503,11.6,11.6,11.6,11.6,1000
20100504,11.55,11.55,11.55,11.55,2100
20100505,11.65,11.65,11.65,11.65,3000
20100506,11.65,11.7,11.65,11.65,10290
20100511,11.7,11.7,11.6,11.6,3300
20100512,11.7,11.7,11.65,11.7,5067
20100513,11.65,11.65,11.65,11.65,1500
20100514,11.65,11.7,11.65,11.7,3000
20100517,11.25,11.25,11.25,11.25,500
20100518,11.75,11.75,11.6,11.6,547
20100519,11.6,11.8,11.55,11.8,9000
20100521,10.7,10.7,10.7,10.7,500
20100525,11.55,11.55,11.55,11.55,1625
20100526,11.7,11.7,11.7,11.7,2000
20100607,11.75,11.75,11.6,11.65,4038
20100608,11.65,11.7,11.55,11.7,48213
20100609,11.6,11.7,11.55,11.65,23197
20100610,11.6,11.6,11.2,11.2,212236
20100611,11.2,11.2,11.2,11.2,138
20100614,11.45,11.45,11.45,11.45,15000
20100615,11.1,11.3,11.1,11.3,14490
20100616,11.1,11.1,11.1,11.1,10
20100618,11.2,11.2,11.0,11.0,19695
20100621,11.05,11.05,11.05,11.05,68
20100622,11.05,11.1,11.05,11.1,10000
20100623,11.1,11.1,11.1,11.1,50
20100624,11.2,11.3,11.05,11.3,11499
20100625,11.3,11.3,11.15,11.2,23723
20100628,11.25,11.3,11.25,11.3,6500
20100713,11.3,11.3,11.2,11.2,7500
20100714,11.25,11.3,11.25,11.3,22542
20100715,11.15,11.25,11.15,11.25,10726
20100716,11.2,11.25,11.2,11.25,1300
20100719,11.0,11.0,11.0,11.0,1000
20100721,11.2,11.2,11.2,11.2,2000
20100722,11.2,11.2,11.2,11.2,5000
20100727,11.2,11.2,11.2,11.2,100
20100730,11.25,11.25,11.2,11.2,4000
20100803,11.25,11.25,11.25,11.25,2000
20100804,11.2,11.2,11.2,11.2,10900
20100809,11.2,11.2,11.2,11.2,5000
20100811,12.0,12.0,11.05,11.05,9540
20100812,11.25,11.25,11.25,11.25,5000
20100816,11.2,11.2,11.2,11.2,5000
20100817,11.2,11.2,11.2,11.2,5000
20100819,11.2,11.2,11.2,11.2,21225
20100824,11.35,11.35,11.25,11.25,7000
20100825,11.2,11.2,11.2,11.2,5000
20100826,11.2,11.25,11.2,11.25,15235
20100827,11.25,11.4,11.0,11.05,58265
20100830,11.2,11.2,11.2,11.2,1850
20100831,11.2,11.2,11.2,11.2,699
20100901,11.2,11.2,11.2,11.2,14500
20100902,12.3,12.3,12.3,12.3,1
20100903,11.15,12.25,11.15,11.5,27
20100906,11.2,11.2,11.2,11.2,200
20100907,11.25,11.25,11.2,11.2,10000
20100909,11.2,11.2,11.2,11.2,501
20100914,11.15,11.35,11.1,11.35,10200
20100916,11.3,11.3,11.3,11.3,1
20100917,11.2,11.2,11.2,11.2,100
20100921,11.05,11.25,11.05,11.05,4100
20100922,11.3,11.3,11.3,11.3,50
20100924,11.4,11.4,11.25,11.25,5650
20101001,11.3,11.3,11.25,11.25,5000
20101004,11.35,11.35,11.3,11.3,188
20101006,12.3,12.3,11.3,11.3,2000
20101007,11.3,11.35,11.3,11.35,303
20101008,11.35,11.35,11.35,11.35,120
20101011,12.35,12.35,12.35,12.35,2
20101013,11.45,11.45,11.45,11.45,100
20101014,11.5,11.5,11.05,11.05,10000
20101020,11.45,11.45,11.25,11.25,80000
20101021,12.2,12.2,11.95,11.95,1100
20101028,11.35,11.35,11.35,11.35,1000
20101029,11.35,11.35,11.35,11.35,1000
20101101,11.4,11.4,11.35,11.35,6050
20101102,11.4,11.4,11.4,11.4,796
20101104,11.3,11.5,11.3,11.5,8000
20101105,12.0,12.0,12.0,12.0,1
20101108,11.35,12.6,11.35,12.2,103
20101109,12.6,12.6,11.45,11.45,5008
20101110,12.45,12.45,12.45,12.45,5
20101111,11.4,11.4,11.4,11.4,20
20101112,12.05,12.05,12.05,12.05,5
20101115,11.4,11.4,11.4,11.4,8
20101119,11.35,11.35,11.35,11.35,408
20101123,11.35,12.45,11.35,12.45,11
20101125,11.2,11.3,11.2,11.3,150
20101201,11.5,11.5,11.5,11.5,2
20101202,11.5,11.5,11.5,11.5,3
20101206,11.1,11.1,11.05,11.05,2000
20101207,11.65,11.65,11.15,11.2,13195
20101209,12.2,12.2,12.2,12.2,9
20101213,11.35,12.4,11.35,12.0,3
20101214,11.2,11.75,11.2,11.75,3001
20101221,11.9,11.9,11.4,11.4,300
20101222,11.7,11.7,11.7,11.7,5
20101228,11.95,11.95,10.75,10.75,509
20101229,11.85,11.85,11.2,11.75,24
20101230,11.1,11.4,10.6,11.3,6426
20110103,11.75,12.0,11.4,11.4,1006
20110104,11.4,11.4,11.4,11.4,50
20110105,11.45,11.45,11.4,11.4,2050
20110106,11.35,12.4,11.35,12.4,508
20110107,11.4,11.4,11.4,11.4,1571
20110110,11.75,11.75,11.0,11.0,3400
20110111,11.4,11.4,11.1,11.2,51
20110112,10.85,10.85,10.85,10.85,100
20110113,11.2,11.2,11.2,11.2,1586
20110117,11.15,11.75,11.15,11.75,8140
20110118,11.2,12.6,11.2,11.25,37001
20110121,11.15,11.25,11.15,11.25,7009
20110127,11.1,11.1,11.0,11.0,2000
20110128,11.2,11.2,11.2,11.2,2000
20110131,11.2,11.2,11.0,11.0,2000
20110201,10.85,11.5,10.8,11.5,6001
20110202,11.0,11.6,11.0,11.35,20540
20110208,11.4,11.4,11.3,11.3,1000
20110209,11.2,11.3,11.15,11.15,3500
20110214,11.2,11.2,11.2,11.2,3
20110218,11.0,11.0,11.0,11.0,7772
20110221,11.05,11.1,11.05,11.1,575
20110310,11.1,11.35,11.05,11.35,684
20110316,11.1,11.1,11.1,11.1,5000
20110317,11.1,11.35,11.1,11.35,1325
20110318,11.35,11.35,11.35,11.35,2000
20110321,11.0,11.4,11.0,11.4,3004
20110322,11.35,11.35,11.35,11.35,3103
20110331,11.75,11.75,11.75,11.75,2
20110406,11.4,11.65,11.4,11.65,1500
20110408,11.6,11.65,11.6,11.65,3201
20110413,11.5,11.5,11.5,11.5,3500
20110415,11.5,11.6,11.4,11.6,10000
20110418,11.5,11.65,11.5,11.65,10000
20110419,11.5,11.5,11.5,11.5,6500
20110427,11.1,11.4,11.1,11.4,700
20110503,11.3,11.3,11.3,11.3,998
20110505,11.25,11.5,11.2,11.25,100000
20110509,11.35,11.4,11.35,11.4,5600
20110510,11.4,11.5,11.4,11.5,55500
20110519,11.25,11.25,11.0,11.0,10750
20110520,11.05,11.05,10.95,11.05,8850
20110523,10.9,10.9,10.65,10.65,7000
20110524,10.75,10.75,10.25,10.25,3000
20110525,10.45,10.45,10.35,10.35,5000
20110527,10.75,10.75,10.75,10.75,3500
20110602,10.45,10.45,10.45,10.45,7772
20110608,11.4,11.4,10.95,10.95,100
20110613,10.8,10.8,10.8,10.8,400
20110615,10.3,10.3,10.3,10.3,500
20110621,11.0,11.05,11.0,11.05,18
20110708,10.5,11.0,10.4,11.0,10001
20110711,10.7,10.7,10.7,10.7,500
20110712,10.75,10.75,10.75,10.75,500
20110713,10.75,11.05,10.75,11.0,402
