Date,Open,High,Low,Close,Volume,ADL,OBV,+DI14,-DI14,ADX,MACD Line,Signal Line,MACD Histogram,RSI
2010-01-05,11.2,11.25,11.15,11.15,5403,-5403.0,0,0,0,0,0.0,11.15,-11.15,0.0
2010-01-06,11.0,12.2,11.0,11.6,6,0.0,6,0,0,0,0.010096153846152589,11.4,-11.389903846153848,0.0
2010-01-07,11.2,11.25,11.15,11.2,14550,-5.169198402654747e-10,-14544,0,0,0,0.00046052788834316516,11.318032786885245,-11.317572258996902,0.0
2010-01-08,11.25,11.25,11.25,11.25,5000,,-9544,0,0,0,-0.0021279991040721313,11.2949864498645,-11.297114448968571,0.0
2010-01-11,11.2,11.35,11.2,11.3,20050,13366.6666666673,10506,0,0,0,-0.0015001511445422722,11.296477867682057,-11.2979780188266,0.0
2010-01-12,11.25,11.25,11.15,11.2,60752,-2.158344614144888e-09,-50246,0,0,0,-0.00537059007216989,11.270327001474545,-11.275697591546715,0.0
2010-01-13,11.15,11.25,11.15,11.2,21240,-7.545963853772291e-10,-50246,0,0,0,-0.007760233717306164,11.252529113555013,-11.26028934727232,0.0
2010-01-14,11.5,11.5,11.2,11.2,5110,-10220.0,-50246,0,0,0,-0.009237788895813281,11.239905379757545,-11.249143168653358,0.0
2010-01-15,11.2,11.2,11.2,11.2,4000,,-50246,0,0,0,-0.010120411174273869,11.23068703906194,-11.240807450236215,0.0
2010-01-18,11.2,11.25,11.2,11.25,2000,4000.0,-48246,0,0,0,-0.008023812040617528,11.23501426342791,-11.243038075468528,0.0
2010-01-19,11.25,11.6,11.25,11.25,4000,-8000.0,-48246,0,0,0,-0.006396248862241549,11.238293056962343,-11.244689305824584,0.0
2010-01-20,11.5,11.5,11.25,11.25,25300,-50600.0,-48246,0,0,0,-0.005115981387124435,11.240807217356597,-11.245923198743721,0.0
2010-01-21,11.25,11.45,11.25,11.25,14010,-28020.0,-48246,0,0,0,-0.004098634759136743,11.242752729549164,-11.2468513643083,0.0
2010-01-22,11.15,11.15,11.15,11.15,20000,,-68246,0,0,0,-0.009079521646270905,11.223348789323207,-11.232428310969478,50.0
2010-01-27,11.15,11.25,11.15,11.15,31150,-62300.0,-68246,52.17391304347824,4.3478260869564815,0,-0.012720012585319296,11.208144062699528,-11.220864075284847,51.85185185185185
2010-01-28,11.15,11.15,11.15,11.15,380,,-68246,52.17391304347824,4.3478260869564815,0,-0.015322517913880063,11.196178448049118,-11.211500965962998,53.6986301369863
2010-01-29,11.1,11.1,11.1,11.1,6837,,-75083,51.311461583874475,5.928987096230058,0,-0.020211367392658275,11.176499630870735,-11.196710998263393,53.07885743761685
2010-02-01,11.45,11.5,11.4,11.4,21000,-42000.0,-54083,57.38104297161156,5.189871261208551,0,-0.00479235785624077,11.222019721753947,-11.226812079610188,61.774439249881794
2010-02-02,11.3,11.4,11.3,11.4,10500,21000.0,-54083,55.517719261838636,8.268622564021477,0,0.0071155877285207225,11.258136271742584,-11.251020684014064,63.50847281101367
2010-02-04,11.4,11.4,11.4,11.4,2774,,-54083,55.517719261838636,8.268622564021477,0,0.01620773822445898,11.286839948253169,-11.27063221002871,65.20814773678535
2010-02-05,11.4,11.4,11.35,11.35,8681,-17362.0,-62764,54.49162095632254,9.964034627074543,0,0.01973036066753764,11.299589552949977,-11.279859192282439,64.35945485020127
