Date,Open,High,Low,Close,Volume
20180108,520.7,542.85,520.7,536.3,2795379
20180109,540.0,540.0,529.0,533.85,1855191
20180110,535.0,544.0,533.8,542.1,2748547
20180111,544.0,555.85,542.7,551.7,3485390
20180112,550.0,554.5,548.0,550.75,2790912
20180115,550.95,554.9,542.35,543.75,1959669
20180116,548.0,563.0,547.3,557.65,4791310
20180117,559.95,564.55,553.15,554.9,1636201
20180118,560.0,560.0,550.25,552.65,2158972
20180119,553.0,558.5,547.05,552.9,1951962
20180122,550.0,572.4,549.7,569.5,4127554
20180123,569.15,590.7,564.2,588.25,4103152
20180124,584.15,612.45,584.15,603.15,6672393
20180125,604.5,613.45,588.1,598.45,5104213
20180129,599.05,608.7,595.45,604.8,3352495
20180130,600.0,611.25,593.2,602.95,6290644
20180131,602.8,626.2,597.0,612.65,7244068
20180201,612.55,619.5,607.05,611.05,2479739
20180202,604.3,622.5,599.05,619.45,3994302
20180205,609.9,631.2,609.4,629.05,3500770
20180206,601.0,621.2,601.0,606.7,3104038
20180207,611.8,617.3,596.95,603.1,3653165
20180208,610.0,622.0,594.95,608.25,2894969
20180209,601.0,603.0,589.4,595.25,3481551
20180212,598.0,604.9,586.15,590.35,2343988
20180214,588.5,614.6,588.5,611.5,5004415
20180215,615.0,618.6,604.0,605.65,1676641
20180216,610.0,613.7,581.2,584.35,2887255
20180219,588.75,588.75,563.65,572.45,3170119
20180220,575.0,582.2,569.0,574.2,2273116
20180221,581.05,598.0,566.55,595.2,5590807
20180222,592.0,606.45,592.0,602.6,4421727
20180223,607.0,624.95,605.0,621.45,3490526
20180226,622.0,627.45,611.05,612.45,2923731
20180227,618.0,618.3,602.45,610.55,1905663
20180228,610.2,615.0,603.85,612.65,2113430
20180301,612.05,615.9,605.55,611.9,2226114
20180305,608.5,634.9,606.55,630.85,4765322
20180306,631.9,633.9,615.0,617.25,2424505
20180307,619.8,626.45,606.55,609.05,1787149
20180308,615.0,616.75,603.0,607.2,1858046
20180309,609.7,623.1,606.5,619.2,2095483
20180312,621.15,636.4,616.7,619.55,4336200
20180313,620.0,624.95,613.6,619.15,2306960
20180314,617.5,640.75,617.5,639.1,3825750
20180315,641.7,651.95,627.05,631.85,5855371
20180316,634.7,639.0,627.0,634.7,3741772
20180319,634.85,637.4,608.0,609.9,1731324
20180320,605.0,635.3,603.1,633.4,3320421
20180321,635.0,636.85,621.25,625.85,2428150
20180322,627.0,631.0,616.5,619.05,1785067
20180323,607.5,625.0,604.75,623.35,3153066
20180326,623.0,628.6,617.0,620.4,1552991
20180327,625.0,629.6,619.0,621.65,1135697
20180328,621.2,641.0,616.65,638.7,5534298
20180403,636.5,638.0,613.5,615.95,3851192
20180404,618.0,622.0,603.25,606.3,2670676
20180405,616.2,620.75,604.55,617.35,2809480
20180406,616.0,622.0,613.8,618.2,1160620
20180409,621.0,622.5,613.25,614.85,1427650
20180410,620.9,629.5,611.5,626.45,2085181
20180411,626.05,636.8,620.65,633.35,2139871
20180412,636.4,655.0,634.05,652.8,3614281
20180413,652.55,673.85,641.1,671.55,5653116
20180416,658.1,682.8,657.5,668.7,3931095
20180417,671.0,672.5,661.65,668.3,1576573
20180418,668.95,674.0,654.2,656.8,1676060
20180419,662.95,669.25,655.95,665.2,2662071
20180420,667.0,706.0,667.0,700.5,5490181
20180423,694.55,729.5,690.6,702.0,6998046
20180424,695.0,699.75,680.0,682.7,2728320
20180425,685.9,699.95,677.0,686.4,4560558
20180426,681.0,697.0,680.65,691.1,2852323
20180427,695.05,695.85,668.45,670.5,3756249
20180430,675.0,684.15,668.1,670.6,2639069
20180502,674.0,674.0,655.5,662.55,1745715
20180503,662.55,667.0,645.9,652.95,2284475
20180504,652.95,665.6,636.45,662.65,3162498
20180507,671.75,675.5,654.2,657.4,2770174
20180508,663.0,666.4,651.05,653.35,1771130
20180509,653.0,665.75,648.3,654.1,2193797
20180510,656.65,671.9,656.65,663.6,3927593
20180511,663.0,671.75,654.2,666.45,2880596
20180514,661.6,670.0,658.25,667.25,1436196
20180515,664.6,680.0,663.3,670.65,2427422
20180516,671.0,678.7,669.0,672.7,1690858
20180517,679.0,681.0,666.3,675.8,2022339
20180518,679.8,697.5,671.25,692.95,4304706
20180521,692.0,695.9,678.25,685.35,2342450
20180522,683.6,690.5,675.0,686.4,1797801
20180523,687.0,707.3,683.25,697.45,3516538
20180524,700.95,715.9,695.85,711.35,5914361
20180525,714.95,718.7,696.0,702.75,3547180
20180528,713.95,713.95,662.35,675.25,8983562
20180529,676.05,686.5,673.25,677.85,2684315
20180530,678.0,691.25,678.0,687.25,3744400
20180531,686.0,717.8,682.45,712.35,7789699
20180601,712.0,721.5,698.2,701.15,4585884
20180604,698.0,717.0,695.4,698.3,2864750
20180605,703.0,714.8,697.35,701.25,3710175
20180606,705.0,706.5,684.3,691.75,2793493
20180607,694.5,703.9,683.0,701.85,3166739
20180608,705.0,721.3,703.5,706.95,4572713
20180611,709.0,721.9,705.5,714.2,4023019
20180612,715.1,718.65,706.3,709.1,2200939
20180613,715.0,715.1,706.4,713.8,2429450
20180614,711.0,717.9,690.0,698.8,4483300
20180615,702.5,712.0,695.2,707.25,3273882
20180618,711.0,714.15,701.35,710.55,1693522
20180619,708.95,712.0,694.5,695.75,2008178
20180620,699.9,700.5,688.3,690.55,2117024
20180621,694.7,702.75,682.2,685.3,2599578
20180622,686.0,692.8,679.5,691.15,1604665
20180625,692.95,699.9,691.0,696.15,1850829
20180626,695.0,699.9,682.15,687.85,1687463
20180627,692.0,716.9,690.0,714.25,5570107
20180628,716.05,721.75,659.25,664.25,8192199
20180629,673.9,675.8,634.15,655.45,10890801
20180703,659.95,666.2,654.3,660.85,3506534
20180704,665.35,665.4,652.0,654.5,2070241
20180705,662.0,663.05,645.0,646.65,2864186
20180706,649.7,651.05,633.0,634.9,5193752
20180709,640.0,648.35,637.0,643.85,1990065
20180710,649.0,661.0,645.3,650.75,3496172
20180711,655.0,669.8,651.05,654.4,5529491
20180712,659.3,664.0,645.0,647.7,3416881
20180713,647.0,655.0,635.5,641.05,3194276
20180716,643.95,661.55,638.2,657.3,2856991
20180717,654.0,664.9,644.55,646.8,2658597
20180718,650.0,654.9,640.0,646.3,2568607
20180719,646.3,654.95,640.0,642.2,1610766
20180720,644.1,661.75,643.5,659.45,2868824
20180723,658.0,660.95,639.5,648.55,3696991
20180724,653.65,654.9,639.1,641.5,3855335
20180725,644.0,646.15,627.2,631.35,2269581
20180726,624.0,634.6,612.4,632.05,3542338
20180727,632.9,649.65,623.65,645.1,3040306
20180730,648.0,658.75,646.3,655.45,3393232
20180731,661.0,684.9,661.0,680.75,9680690
20180801,684.4,687.5,672.6,681.1,2887901
20180802,678.8,683.35,666.5,669.0,1958340
20180803,672.0,674.95,654.75,662.75,2862463
20180806,662.75,672.95,662.75,667.1,2226904
20180807,670.0,674.75,652.0,658.75,2689721
