Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-01,501.1,508.7,500.05,503.1,1115837,0,0,0
2018-01-02,503.5,515.0,503.5,513.95,2204383,0,0,0
2018-01-03,516.1,525.0,515.7,519.45,2288877,0,0,0
2018-01-04,519.5,525.0,514.0,522.55,1460097,0,0,0
2018-01-05,521.0,527.0,514.85,525.45,1756809,0,0,0
2018-01-08,520.7,542.85,520.7,536.3,2795379,0,0,0
2018-01-09,540.0,540.0,529.0,533.85,1855191,0,0,0
2018-01-10,535.0,544.0,533.8,542.1,2748547,0,0,0
2018-01-11,544.0,555.85,542.7,551.7,3485390,0,0,0
2018-01-12,550.0,554.5,548.0,550.75,2790912,0,0,0
2018-01-15,550.95,554.9,542.35,543.75,1959669,0,0,0
2018-01-16,548.0,563.0,547.3,557.65,4791310,0,0,0
2018-01-17,559.95,564.55,553.15,554.9,1636201,0,0,0
2018-01-18,560.0,560.0,550.25,552.65,2158972,0,0,0
2018-01-19,553.0,558.5,547.05,552.9,1951962,34.26191843767953,7.725445146467577,0
2018-01-22,550.0,572.4,549.7,569.5,4127554,37.58281352911553,6.774243539576179,0
2018-01-23,569.15,590.7,564.2,588.25,4103152,41.80170484898699,5.866192839427818,0
2018-01-24,584.15,612.45,584.15,603.15,6672393,46.483781520309115,5.082646881204512,0
2018-01-25,604.5,613.45,588.1,598.45,5104213,41.628264472672875,4.502499869342169,0
2018-01-29,599.05,608.7,595.45,604.8,3352495,39.115131249339306,4.230680177768746,0
2018-01-30,600.0,611.25,593.2,602.95,6290644,37.08209856286295,3.886466483387691,0
2018-01-31,602.8,626.2,597.0,612.65,7244068,38.83463516551543,3.403970146992684,0
2018-02-01,612.55,619.5,607.05,611.05,2479739,36.74026902184598,3.220392786228559,0
2018-02-02,604.3,622.5,599.05,619.45,3994302,33.117436404165865,6.2668182970557,0
2018-02-05,609.9,631.2,609.4,629.05,3500770,33.727590548732636,5.703745665348048,0
2018-02-06,601.0,621.2,601.0,606.7,3104038,29.9933419221646,8.387855631910716,0
2018-02-07,611.8,617.3,596.95,603.1,3653165,27.6053775872123,9.304548986893861,0
2018-02-08,610.0,622.0,594.95,608.25,2894969,26.558733849098097,8.35260290272815,0
2018-02-09,601.0,603.0,589.4,595.25,3481551,25.64731757947151,7.523649250858794,71.09652277466364
2018-02-12,598.0,604.9,586.15,590.35,2343988,23.878306235061146,8.200267473142949,69.50919006619617
2018-02-14,588.5,614.6,588.5,611.5,5004415,25.12336295790027,7.431830290771633,68.42590481784126
2018-02-15,615.0,618.6,604.0,605.65,1676641,25.24486919402364,7.034708697040617,67.5679026382051
2018-02-16,610.0,613.7,581.2,584.35,2887255,22.3782557086265,14.202033242463436,64.33815552744379
2018-02-19,588.75,588.75,563.65,572.45,3170119,20.447158962548368,19.010155966304435,60.00270997918517
2018-02-20,575.0,582.2,569.0,574.2,2273116,19.49442191284811,18.12437618913087,55.97693911294501
2018-02-21,581.05,598.0,566.55,595.2,5590807,22.77754188943147,16.188896057552252,53.18633735881496
2018-02-22,592.0,606.45,592.0,602.6,4421727,24.569233377799762,15.376416105777874,51.03112132003947
2018-02-23,607.0,624.95,605.0,621.45,3490526,29.059591492263216,14.19016349357663,49.841782305102534
2018-02-26,622.0,627.45,611.05,612.45,2923731,28.26572954089139,13.374783903178638,48.83599183484621
2018-02-27,618.0,618.3,602.45,610.55,1905663,26.670671504748988,15.681895031310228,47.200988970817555
2018-02-28,610.2,615.0,603.85,612.65,2113430,25.577219065517877,15.038963848617689,45.68277202564809
2018-03-01,612.05,615.9,605.55,611.9,2226114,24.91258171593698,14.446870878991824,44.31900847365713
2018-03-05,608.5,634.9,606.55,630.85,4765322,29.29389629791503,12.943639618704514,43.91838302601592
2018-03-06,631.9,633.9,615.0,617.25,2424505,27.257634579616045,12.043908234972472,43.546373681777645
2018-03-07,619.8,626.45,606.55,609.05,1787149,25.266173230753726,14.266297501163436,42.42341223010772
2018-03-08,615.0,616.75,603.0,607.2,1858046,23.96340673447135,14.861932135648685,41.06760418341696
2018-03-09,609.7,623.1,606.5,619.2,2095483,24.861161615785583,13.928220404105785,40.147446508220426
2018-03-12,621.15,636.4,616.7,619.55,4336200,28.031263381861258,12.89299664059248,39.921981455842115
2018-03-13,620.0,624.95,613.6,619.15,2306960,26.795555856626713,13.528666492374406,39.420450359147296
2018-03-14,617.5,640.75,617.5,639.1,3825750,30.44368434112732,12.329623856524186,39.62963117313173
2018-03-15,641.7,651.95,627.05,631.85,5855371,31.791789960106442,11.186161686652781,40.223561052647646
2018-03-16,634.7,639.0,627.0,634.7,3741772,30.33184211172844,10.691603151185713,40.770138466959416
2018-03-19,634.85,637.4,608.0,609.9,1731324,27.053888351327014,16.520262278983253,39.58470179163894
2018-03-20,605.0,635.3,603.1,633.4,3320421,23.99528491555042,16.372964944580005,38.105935083428065
2018-03-21,635.0,636.85,621.25,625.85,2428150,23.212174166917023,15.460987459525638,36.81571156796381
2018-03-22,627.0,631.0,616.5,619.05,1785067,21.9863237193874,16.374487043144086,35.23095272534688
2018-03-23,607.5,625.0,604.75,623.35,3153066,20.368530275839124,19.439184366946485,32.881212348304985
2018-03-26,623.0,628.6,617.0,620.4,1552991,20.83166590110136,18.59509858830578,30.937748130540886
