Date,Open,High,Low,Close,Volume
20170816,633.5,638.3,618.85,627.7,2075867
20170817,629.6,631.55,619.2,621.5,938044
20170818,621.5,630.4,616.6,623.5,1401428
20170821,623.65,630.0,613.0,615.5,1009586
20170823,619.95,620.2,602.2,607.5,2030608
20170824,609.05,614.25,603.5,606.8,1115671
20170828,603.7,614.85,600.05,612.25,1284579
20170829,610.0,613.8,598.65,600.45,1078030
20170830,608.45,614.85,604.0,611.6,977962
20170831,610.0,621.0,607.95,617.1,1816689
20170901,618.9,619.95,610.2,613.5,517606
20170904,610.0,620.0,606.5,612.25,539333
20170905,613.0,642.0,609.7,638.85,3636744
20170906,636.9,651.0,635.05,640.8,3288264
20170907,641.9,645.2,629.25,637.0,1507721
20170908,645.0,646.0,631.0,633.4,1688468
20170911,637.0,638.6,631.9,632.95,738301
20170912,634.9,640.75,632.25,637.9,1102076
20170913,638.0,648.3,627.7,630.3,1346590
20170914,630.5,636.95,628.35,633.55,703116
20170915,629.9,633.2,622.65,632.15,1067596
20170918,635.1,650.5,627.95,646.1,1409213
20170919,654.05,654.2,640.0,641.55,1232251
20170920,640.0,645.9,628.35,630.8,1305505
20170921,631.6,638.2,615.9,618.55,1388073
20170922,617.55,617.55,600.0,602.3,982598
20170925,603.7,611.45,584.8,602.15,1003871
20170926,606.9,606.9,588.05,592.25,824136
20170927,602.3,603.0,586.05,590.0,1073002
20170928,591.0,591.0,571.0,575.65,1802129
20170929,581.85,587.15,563.65,584.55,3138820
20171003,588.0,601.8,588.0,600.05,1797702
20171004,603.45,608.5,598.65,600.9,1262109
20171005,602.9,603.75,594.3,595.75,656926
20171006,599.95,604.95,594.9,596.6,911164
20171009,620.0,630.4,612.55,616.15,2467158
20171010,619.75,621.3,613.7,615.85,784162
20171011,619.35,623.7,607.6,610.6,1166347
20171012,615.0,626.5,607.85,623.45,2285154
20171013,625.0,633.5,621.0,625.15,1652696
20171016,622.05,631.0,622.05,627.45,730725
20171017,630.9,631.95,624.0,625.75,707951
20171018,625.8,626.7,611.0,612.9,789926
20171019,614.0,614.9,601.0,606.95,162721
20171023,601.5,607.95,594.9,604.05,930435
20171024,604.0,611.45,600.1,606.05,538189
20171025,610.0,613.25,589.35,590.75,1096069
20171026,587.0,598.55,582.1,584.65,1708870
20171027,586.1,592.1,583.6,590.05,1201819
20171030,589.2,622.0,589.2,618.3,1375701
20171031,624.0,639.5,621.3,635.25,1884635
