Date,Open,High,Low,Close,Volume
20170816,858.45,879.55,849.25,852.1,1197405
20170817,858.0,864.75,846.0,855.25,886995
20170818,853.2,859.0,841.8,844.95,604126
20170821,848.9,852.9,805.0,810.75,1405283
20170823,803.0,816.7,801.45,814.1,772199
20170824,821.9,837.0,810.85,833.1,879641
20170828,835.75,842.7,827.55,839.1,730266
20170829,848.0,856.25,835.4,840.15,1066800
20170830,845.9,846.9,838.1,839.85,1179595
20170831,842.0,842.75,823.1,828.05,1532020
20170901,834.2,840.2,825.0,832.7,955148
20170904,832.0,837.0,808.3,817.0,963622
20170905,816.0,822.2,812.0,819.95,624292
20170906,811.15,827.7,811.15,823.95,580081
20170907,828.0,828.85,821.0,824.35,531540
20170908,825.05,832.4,811.0,813.95,1141701
20170911,819.85,824.0,809.8,811.9,836222
20170912,817.7,821.2,813.0,814.4,953116
20170913,820.7,827.45,808.1,811.45,920480
20170914,812.0,823.9,811.6,820.95,841527
20170915,819.0,833.0,817.0,827.7,1855722
20170918,834.9,843.9,830.2,834.2,844888
20170919,839.0,842.1,831.2,835.7,494308
20170920,839.7,842.95,826.3,830.25,919443
20170921,830.0,833.95,812.75,819.6,559033
20170922,816.5,818.25,803.0,806.75,931865
20170925,809.65,809.65,773.0,784.3,1463397
20170926,782.85,783.65,763.7,778.7,1728051
20170927,785.9,792.9,765.4,770.0,1436439
20170928,771.7,777.7,755.0,766.2,7136093
20170929,768.0,789.2,768.0,778.5,1960985
20171003,787.95,798.5,769.5,796.0,1493573
20171004,797.5,803.8,785.2,788.15,808639
20171005,791.0,793.75,781.0,784.7,996774
20171006,786.9,797.0,778.55,793.4,1304505
20171009,796.9,802.7,790.3,792.85,759701
20171010,792.85,824.0,792.85,819.6,2664726
20171011,827.0,832.0,800.8,813.2,1556350
20171012,812.0,817.5,805.05,809.25,624617
20171013,811.9,816.65,800.3,802.4,816201
20171016,805.0,816.65,803.2,812.35,1025481
20171017,812.8,812.8,801.0,805.9,649945
20171018,810.7,810.7,786.85,789.35,1338926
20171019,791.5,798.0,785.1,793.7,270417
20171023,791.95,800.45,769.4,778.35,1741250
20171024,783.0,802.35,778.05,799.15,1159011
20171025,802.0,805.25,790.5,798.65,966446
20171026,805.0,816.7,796.25,813.0,2309531
20171027,819.0,834.65,815.6,831.3,1843388
20171030,834.9,849.7,816.75,824.4,4183324
20171031,827.9,835.6,794.4,799.3,2559806
20171101,799.5,804.3,777.0,782.05,2683256
20171102,784.7,793.95,777.25,779.3,1645243
20171103,780.25,785.65,772.4,775.6,881466
20171106,777.65,781.8,760.2,761.9,1348019
20171107,761.9,764.15,735.5,739.8,2835242
20171108,742.0,745.7,729.7,735.95,3207483
20171109,744.0,755.75,738.85,744.55,2129536
20171110,744.8,748.5,731.0,735.1,1119379
20171113,733.7,744.7,724.45,739.65,1294509
20171114,741.0,753.75,739.0,742.75,859617
20171115,746.5,746.5,716.7,721.45,871937
20171116,721.1,735.95,719.05,731.35,995572
20171117,735.95,741.7,722.5,724.2,960343
20171121,732.0,756.5,731.05,754.5,1958694
20171122,760.0,760.0,743.2,747.1,1111558
20171123,745.0,756.2,738.9,749.2,1181496
20171124,751.95,755.85,741.2,744.05,1278595
20171127,740.15,759.8,740.15,755.3,2656632
20171128,758.8,768.75,753.75,761.7,2322204
20171129,761.65,767.25,749.3,752.3,874776
20171130,751.4,755.0,720.25,731.35,1827371
20171201,731.05,742.45,726.2,729.9,1010799
20171204,733.0,736.6,707.75,711.05,1034365
20171205,711.2,714.7,695.0,698.75,1783487
20171206,698.75,703.85,684.65,685.9,1890886
20171207,686.3,729.65,684.7,722.0,3522782
20171208,723.0,736.8,723.0,728.05,1802908
20171211,733.5,747.5,726.2,745.55,1063615
20171212,747.0,749.5,727.1,730.45,980697
20171213,730.5,745.0,720.0,726.05,1788701
20171214,729.7,733.0,706.05,719.6,1284940
20171215,727.0,730.0,715.2,717.8,1798233
20171218,714.5,720.4,687.5,710.05,3754324
20171219,714.4,741.35,712.25,738.0,2738136
20171220,739.1,744.3,733.55,736.7,1376825
20171221,736.85,743.25,727.65,730.95,914965
20171222,732.9,737.0,725.0,731.6,914494
20171226,734.8,739.0,729.5,735.55,778604
20171227,738.7,746.5,735.6,740.35,1137701
20171228,740.85,768.7,740.35,763.3,3225471
20171229,767.9,772.0,757.35,762.7,984285
20180101,761.8,770.0,752.5,755.75,1068067
20180102,757.55,776.0,748.5,773.45,1885242
20180103,776.95,787.75,774.0,775.8,1914605
20180104,779.9,787.6,778.0,781.65,1374445
20180105,785.6,785.6,770.8,774.2,887317
20180108,778.25,790.0,778.25,784.35,1327482
20180109,785.0,792.0,780.4,790.6,1291299
20180110,793.0,794.0,774.05,778.85,1023925
20180111,781.4,788.3,775.05,786.2,697993
20180112,789.0,790.0,768.05,775.35,1955588
20180115,778.0,784.0,770.2,774.35,764055
20180116,774.95,780.7,762.05,766.85,1222684
