Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2017-08-16,858.45,879.55,849.25,852.1,1197405,0,0,0
2017-08-17,858.0,864.75,846.0,855.25,886995,0,0,0
2017-08-18,853.2,859.0,841.8,844.95,604126,0,0,0
2017-08-21,848.9,852.9,805.0,810.75,1405283,0,0,0
2017-08-23,803.0,816.7,801.45,814.1,772199,0,0,0
2017-08-24,821.9,837.0,810.85,833.1,879641,0,0,0
2017-08-28,835.75,842.7,827.55,839.1,730266,0,0,0
2017-08-29,848.0,856.25,835.4,840.15,1066800,0,0,0
2017-08-30,845.9,846.9,838.1,839.85,1179595,0,0,0
2017-08-31,842.0,842.75,823.1,828.05,1532020,0,0,0
2017-09-01,834.2,840.2,825.0,832.7,955148,0,0,0
2017-09-04,832.0,837.0,808.3,817.0,963622,0,0,0
2017-09-05,816.0,822.2,812.0,819.95,624292,0,0,0
2017-09-06,811.15,827.7,811.15,823.95,580081,0,0,0
2017-09-07,828.0,828.85,821.0,824.35,531540,17.22595078299772,29.642058165548068,0
2017-09-08,825.05,832.4,811.0,813.95,1141701,15.862870424171954,30.994136601341683,0
2017-09-11,819.85,824.0,809.8,811.9,836222,15.013902830177756,29.78763090389547,0
2017-09-12,817.7,821.2,813.0,814.4,953116,14.46777977235579,28.704121022520084,0
2017-09-13,820.7,827.45,808.1,811.45,920480,15.811629043721645,26.540925941144387,0
2017-09-14,812.0,823.9,811.6,820.95,841527,15.026944355796099,25.223777775588896,0
2017-09-15,819.0,833.0,817.0,827.7,1855722,17.716496461581777,23.60265909784213,0
2017-09-18,834.9,843.9,830.2,834.2,844888,20.962622624565512,22.05694305253507,0
2017-09-19,839.0,842.1,831.2,835.7,494308,20.012945533767244,21.05768957718569,0
2017-09-20,839.7,842.95,826.3,830.25,919443,18.624920804940174,21.63832284371887,0
2017-09-21,830.0,833.95,812.75,819.6,559033,17.007466157951168,25.309788684132208,0
2017-09-22,816.5,818.25,803.0,806.75,931865,15.8469771793144,27.590523455052825,0
2017-09-25,809.65,809.65,773.0,784.3,1463397,13.634883956543073,35.16540284907499,0
2017-09-26,782.85,783.65,763.7,778.7,1728051,12.572556258240706,35.942987235278274,0
2017-09-27,785.9,792.9,765.4,770.0,1436439,11.599307611883468,36.65536906671337,24.368954408008815
2017-09-28,771.7,777.7,755.0,766.2,7136093,10.623403355331273,37.42601000664283,26.612696238366375
2017-09-29,768.0,789.2,768.0,778.5,1960985,13.934373671115486,34.27905423267259,27.72586973944583
2017-10-03,787.95,798.5,769.5,796.0,1493573,15.792718209067392,30.766303918799192,28.04262465583829
2017-10-04,797.5,803.8,785.2,788.15,808639,16.63234484464458,28.73257690385751,27.944801641902764
2017-10-05,791.0,793.75,781.0,784.7,996774,15.858487311245964,28.92839153554016,28.03320440998911
2017-10-06,786.9,797.0,778.55,793.4,1304505,15.977248138394145,26.972689633421265,27.8594469065341
2017-10-09,796.9,802.7,790.3,792.85,759701,17.376271174614928,25.714443790545165,27.251649040964903
2017-10-10,792.85,824.0,792.85,819.6,2664726,23.091561009353605,22.832910905121096,25.34533179333866
2017-10-11,827.0,832.0,800.8,813.2,1556350,23.366489932589193,20.37065764163409,24.024210156577364
2017-10-12,812.0,817.5,805.05,809.25,624617,22.331607837409404,19.468458427238495,22.797454351013304
2017-10-13,811.9,816.65,800.3,802.4,816201,21.01527544018042,20.033357750311815,21.33992788050799
2017-10-16,805.0,816.65,803.2,812.35,1025481,19.913543559761997,18.98310318818762,19.986510443610197
2017-10-17,812.8,812.8,801.0,805.9,649945,19.024142296126254,18.967960805076302,18.56946518048165
2017-10-18,810.7,810.7,786.85,789.35,1338926,17.338548264305576,22.544078061068628,18.175369373694412
2017-10-19,791.5,798.0,785.1,793.7,270417,16.48762199439702,22.103454387876326,17.916568188224037
2017-10-23,791.95,800.45,769.4,778.35,1741250,14.626874995677658,25.315387784512193,18.548235320450935
2017-10-24,783.0,802.35,778.05,799.15,1159011,14.03556648762395,23.11660323474724,18.969276847909804
2017-10-25,802.0,805.25,790.5,798.65,966446,14.337800046366894,21.87463811400417,19.100960177398065
2017-10-26,805.0,816.7,796.25,813.0,2309531,17.430944624999604,20.25020865017542,18.271026894016142
2017-10-27,819.0,834.65,815.6,831.3,1843388,22.54205377310076,18.669533186765996,17.637144910063615
2017-10-30,834.9,849.7,816.75,824.4,4183324,25.165949588662333,16.55193229020709,17.852224658927536
2017-10-31,827.9,835.6,794.4,799.3,2559806,21.831522952634863,21.54651226371198,16.623997125053897
2017-11-01,799.5,804.3,777.0,782.05,2683256,19.94567491180908,25.190942399440836,16.26663088086671
2017-11-02,784.7,793.95,777.25,779.3,1645243,18.87175133966287,23.834600888463957,15.934790796978607
2017-11-03,780.25,785.65,772.4,775.6,881466,18.04173429327389,24.396214424779277,15.866132871101339
2017-11-06,777.65,781.8,760.2,761.9,1348019,16.748510870426546,26.696071977914208,16.368346704253426
2017-11-07,761.9,764.15,735.5,739.8,2835242,15.192930711596686,32.22391979893813,17.76472109432993
2017-11-08,742.0,745.7,729.7,735.95,3207483,14.389160876120814,32.436916348599866,19.248819886944506
2017-11-09,744.0,755.75,738.85,744.55,2129536,16.784437643165898,30.300573800329904,19.924319519591766
2017-11-10,744.8,748.5,731.0,735.1,1119379,15.79431355425222,31.15927457908102,20.838562458835835
2017-11-13,733.7,744.7,724.45,739.65,1294509,14.71275857150924,31.240516579370425,21.919125275995462
2017-11-14,741.0,753.75,739.0,742.75,859617,17.09049795951464,29.647961849740412,22.272581866747366
2017-11-15,746.5,746.5,716.7,721.45,871937,15.384181847792483,34.15915976382375,23.38854508836751
2017-11-16,721.1,735.95,719.05,731.35,995572,14.500026276343911,32.19597369907242,24.424796651300504
2017-11-17,735.95,741.7,722.5,724.2,960343,15.514896933543177,30.080814401488524,24.9620116017299
2017-11-21,732.0,756.5,731.05,754.5,1958694,18.73827182817231,26.881341528200426,24.45400587475258
2017-11-22,760.0,760.0,743.2,747.1,1111558,18.856071599279755,25.369874742484445,23.759324402327053
2017-11-23,745.0,756.2,738.9,749.2,1181496,17.749318236161304,25.339683110612583,23.32048342294069
2017-11-24,751.95,755.85,741.2,744.05,1278595,16.84751519918288,24.05223066420451,22.91298822779621
2017-11-27,740.15,759.8,740.15,755.3,2656632,17.07001772388617,22.40771786324464,22.242116638825717
2017-11-28,758.8,768.75,753.75,761.7,2322204,19.33686060549065,21.215258432937596,20.984255334493508
2017-11-29,761.65,767.25,749.3,752.3,874776,18.09583032680411,21.444753323974723,20.090350248345334
2017-11-30,751.4,755.0,720.25,731.35,1827371,15.960270692766802,28.779597205274666,20.701970029718385
2017-12-01,731.05,742.45,726.2,729.9,1010799,15.064939297266882,27.16513355213614,21.26990268385051
2017-12-04,733.0,736.6,707.75,711.05,1034365,13.60565426752477,30.728490403153568,22.509354765891015
2017-12-05,711.2,714.7,695.0,698.75,1783487,12.700935608324503,32.98883651946916,24.073228996272526
2017-12-06,698.75,703.85,684.65,685.9,1890886,11.872326622830085,34.35348848667619,25.82752326271314
2017-12-07,686.3,729.65,684.7,722.0,3522782,18.302770240230213,29.501006726446548,25.655944601065894
2017-12-08,723.0,736.8,723.0,728.05,1802908,19.73404447449542,28.093916159732135,25.07188048175156
2017-12-11,733.5,747.5,726.2,745.55,1063615,21.83358299122483,26.160050239733295,23.92493681514923
2017-12-12,747.0,749.5,727.1,730.45,980697,20.90027869472882,24.268127309888623,22.748598775886222
2017-12-13,730.5,745.0,720.0,726.05,1788701,19.22882521873381,24.598564672525207,21.9988429663133
2017-12-14,729.7,733.0,706.05,719.6,1284940,17.595243236699933,26.906274721988787,21.92199365066375
2017-12-15,727.0,730.0,715.2,717.8,1798233,16.75349681404135,25.619093852157814,21.850633571846313
2017-12-18,714.5,720.4,687.5,710.05,3754324,15.03194517739918,31.638173758314448,22.83145569267318
2017-12-19,714.4,741.35,712.25,738.0,2738136,19.975628371931826,28.6245666617865,22.47178727921405
2017-12-20,739.1,744.3,733.55,736.7,1376825,20.229718786990706,27.650416925587713,21.97369463031631
2017-12-21,736.85,743.25,727.65,730.95,914965,19.208137632120852,28.16399689270796,21.754525863948636
2017-12-22,732.9,737.0,725.0,731.6,914494,18.436859011979234,27.91983549146012,21.66181269977265
2017-12-26,734.8,739.0,729.5,735.55,778604,18.523442364490982,26.99567526860516,21.44400263095961
2017-12-27,738.7,746.5,735.6,740.35,1137701,20.495543579159662,25.93026572795671,20.74844900188737
2017-12-28,740.85,768.7,740.35,763.3,3225471,26.226417235025266,23.359782319299285,19.679353672155237
2017-12-29,767.9,772.0,757.35,762.7,984285,26.032929268659267,22.138475468933745,18.851155263064044
2018-01-01,761.8,770.0,752.5,755.75,1068067,24.39235873281522,22.489857747415737,17.794504460457304
2018-01-02,757.55,776.0,748.5,773.45,1885242,24.144285314166815,20.322510249035926,17.137373544331826
2018-01-03,776.95,787.75,774.0,775.8,1914605,27.115315371490905,19.281919108641887,17.119227277399638
2018-01-04,779.9,787.6,778.0,781.65,1374445,25.93520374236626,18.442732226239865,17.102377172391176
2018-01-05,785.6,785.6,770.8,774.2,887317,24.49523071937005,20.119823534841956,16.58128021402427
2018-01-08,778.25,790.0,778.25,784.35,1327482,24.696412248642336,18.91257833663099,16.344255856690918
2018-01-09,785.0,792.0,780.4,790.6,1291299,24.358754466868202,18.05597860036817,16.238228577048737
2018-01-10,793.0,794.0,774.05,778.85,1023925,22.473509906658833,19.121985309132832,15.653885252692488
2018-01-11,781.4,788.3,775.05,786.2,697993,21.29470506858773,18.118978262634432,15.11128073721883
2018-01-12,789.0,790.0,768.05,775.35,1955588,19.47250462029956,19.29742922656606,14.064158910814925
2018-01-15,778.0,784.0,770.2,774.35,764055,18.406115030690867,18.24062744196317,13.091831500582726
2018-01-16,774.95,780.7,762.05,766.85,1222684,17.047375990048245,20.1200180202568,12.747203286500962
2018-01-17,767.0,783.95,754.9,780.75,1188663,15.168998732806665,20.61505142145303,12.923775783290951
2018-01-18,787.8,814.9,786.25,800.5,5203775,24.40667491723788,18.09141354375678,13.062085148387082
2018-01-19,799.5,808.1,791.0,802.35,1023467,22.895277707356808,16.97109248218003,13.190515273119203
2018-01-22,809.7,819.8,805.0,813.6,2396370,25.70863730368226,15.889731809520663,13.934340152257345
2018-01-23,817.7,817.9,797.6,807.25,1371476,23.808122692642623,17.409889219377362,14.047809181082494
2018-01-24,807.0,828.5,803.1,824.25,2577167,25.431851959759683,15.832747225256897,14.705988806640116
2018-01-25,827.0,827.85,761.6,768.95,6508094,20.273221645296495,25.327498142114933,14.44725851551344
2018-01-29,777.95,795.4,772.0,788.5,5546134,18.646965111433236,23.295802831883865,14.207008959467244
2018-01-30,787.7,790.35,767.6,770.75,2353656,17.35726707143235,23.022249426379446,14.194318796252142
2018-01-31,775.0,777.0,746.5,752.05,1831502,15.781370471834169,27.213022003774416,15.079631988542058
2018-02-01,752.05,772.0,735.3,758.85,2563374,14.120118113850832,27.56089563631816,16.30585559836407
2018-02-02,750.0,752.0,723.95,733.05,2254820,12.746043438320791,28.04362722513214,17.819978247684624
2018-02-05,712.5,728.95,697.0,722.5,1661523,11.501031995325043,32.60653605752988,19.964985104838124
2018-02-06,696.0,711.5,680.0,700.05,2199496,10.232118920844258,33.422259643562505,22.333353413998573
2018-02-07,711.8,715.8,699.8,701.25,1802253,10.944700729611125,31.991251747957556,24.239433841226678
2018-02-08,704.0,722.0,702.9,718.05,1603409,12.013083594457525,30.186169365912736,25.584113327123003
2018-02-09,710.0,715.2,700.35,708.35,1245192,11.421094938809482,29.408582193984817,26.903457650737455
2018-02-12,713.5,729.9,710.5,726.5,1291508,14.867893361078192,27.623739111361967,27.126043894849776
2018-02-14,733.0,733.45,718.1,721.9,1446323,15.235297802318579,26.394908821703076,27.10322099193672
2018-02-15,727.05,729.15,713.0,716.1,845055,14.504237539844878,26.643663039035197,27.274557466644573
2018-02-20,702.0,707.0,694.0,695.35,774441,13.54632027640591,30.561997450599453,28.081876643790388
2018-02-21,697.5,701.7,682.65,688.25,2279472,12.763791720221873,32.238279736313,29.167074597895382
2018-02-22,685.0,686.95,672.5,675.45,2071478,12.139414762970532,33.81373533492951,30.452721110422747
2018-02-23,679.0,703.0,679.0,700.55,2454631,16.030619476375506,30.96072100800254,30.546957267473896
2018-02-26,707.0,725.8,706.0,720.5,2329195,21.739979005954627,28.580561700580137,29.336032939444163
2018-02-27,724.0,726.0,712.0,721.15,1233367,20.84853374705049,27.326192394674937,28.201043185202018
2018-02-28,724.0,732.4,718.2,728.75,2577819,21.956613870196342,26.076099517995605,26.79928414984747
2018-03-01,728.95,732.9,711.8,714.25,1877954,20.458914843039018,26.366385121598924,25.78619096579078
2018-03-05,714.0,723.35,701.35,720.9,1093480,19.003403849634108,27.869896379253124,25.295453752975288
2018-03-06,725.0,726.8,699.0,702.4,1118988,18.42141922384221,25.409857745758124,24.627489466046004
2018-03-07,699.0,710.85,692.65,702.0,1434135,17.342171068894363,25.965273401354832,24.290623266473624
2018-03-08,708.0,714.0,700.0,710.8,1223027,17.580910567931397,24.763423466624555,23.76716147112194
2018-03-09,715.0,722.5,708.75,712.15,1168118,19.645564398680452,23.60765830123728,22.72380909451252
2018-03-12,720.0,720.0,705.6,717.95,944809,18.66316370769851,23.52101458473069,21.92323790922581
2018-03-13,718.65,728.9,712.95,722.8,1452302,20.75362605212184,22.196975427932664,20.597327129438575
2018-03-14,723.5,727.0,713.15,718.35,1045412,19.715780969522694,21.086951486159904,19.366124262493283
2018-03-15,719.95,727.6,717.45,721.15,683615,19.191640463835753,20.286302081182154,18.180889932004714
2018-03-16,715.0,733.15,713.4,719.7,2219725,19.848277757074158,18.791206389529457,17.07766411312093
2018-03-19,719.0,721.5,699.25,701.85,910706,18.21919590323625,22.468597029680787,16.60382535020406
2018-03-20,698.25,717.35,693.0,712.3,1296133,16.612246921790323,22.75072993333259,16.531734962255108
2018-03-21,718.0,719.95,710.1,714.9,1419662,16.97425909985575,21.908916724447618,16.257395608182634
2018-03-22,715.1,727.65,714.65,716.9,1437816,19.085540597220856,20.814271417385203,15.405630144040739
2018-03-23,705.0,711.8,698.8,704.75,1360837,17.755384805282308,25.466708127225,15.57959665594388
2018-03-26,705.0,730.2,699.65,724.4,1150358,22.531057379665942,22.603276808707946,14.478197606069159
2018-03-27,728.5,742.05,728.5,736.8,1980372,25.44765217637656,21.125403673136123,14.106939021084079
2018-03-28,738.7,746.8,726.3,730.25,2977328,25.275517821682357,19.528330881905987,14.015546254530507
2018-04-02,736.9,756.0,730.5,752.4,1257184,26.245285164515774,17.716545338163403,14.40017360558269
2018-04-03,751.8,767.0,747.0,765.65,1751966,28.316043130610634,16.440696226093266,15.266810645693367
2018-04-04,769.95,769.95,730.4,732.5,1713329,24.550844539084327,19.83563149487888,14.935115951342478
2018-04-05,747.0,758.55,745.15,756.95,1081941,22.43480604092859,18.125997440882312,14.62711373515951
2018-04-06,753.05,756.35,745.45,753.2,485882,21.55169882398271,17.412498998988802,14.341111677275325
2018-04-09,757.0,765.6,747.4,751.2,2040662,23.392082193552323,16.317761659877554,14.589248689216687
2018-04-10,757.85,760.8,747.0,751.7,639074,22.2498152277052,15.662483466503035,14.788244088237962
2018-04-11,754.8,756.2,740.4,745.55,582360,20.986253852737992,17.145244927959475,14.451445257330095
2018-04-12,749.0,750.1,740.15,747.9,696989,20.207960891317693,16.60257954442535,14.118801064192983
2018-04-13,754.4,755.5,741.8,747.1,898951,21.209172816367637,15.737178865154078,14.168218674397439
2018-04-16,743.0,765.0,741.0,763.6,738851,22.854259951813475,14.328187663876035,14.794086525296015
2018-04-17,768.9,768.9,753.35,757.55,894003,22.985153269098003,13.485708802385277,15.597842365720156
2018-04-18,760.0,763.1,752.6,757.6,593398,22.042666065777468,13.225625415005702,16.269418528510396
2018-04-19,759.15,774.9,757.6,768.9,1459613,25.173682846157092,12.328641279543168,17.55384016177884
2018-04-20,767.9,770.9,751.3,765.75,1158211,23.249784475894746,13.842942458294857,18.111447360829064
2018-04-23,768.0,774.4,751.8,753.8,1065116,22.576915810997058,12.643095537702582,18.832418666074577
2018-04-24,753.4,753.4,739.9,744.7,1203996,21.35114402142181,16.604780370862418,18.380455542676014
2018-04-25,744.7,752.8,736.5,743.9,1071862,19.98113729318434,16.877747787752753,17.66896950761978
2018-04-26,745.7,755.0,740.8,750.25,1695596,19.726295920241384,15.919419723187387,17.169740120023047
2018-04-27,754.95,760.95,751.6,754.35,1141207,21.306754414711083,15.218216986070358,17.134010114577613
2018-04-30,757.9,759.7,725.1,729.85,2062138,18.473177661662632,23.37997206723795,16.747569067230135
2018-05-02,732.0,741.0,728.0,733.4,961840,17.529880406270014,22.18611880137829,16.388730951836045
2018-05-03,733.4,735.25,704.3,707.9,1708227,15.500536389984992,28.482453627206784,17.326376446228075
2018-05-04,708.0,711.6,700.15,703.65,1058027,14.817143094499183,28.824671384536828,18.381390722654547
2018-05-07,705.0,718.9,695.0,717.4,1042114,16.235225569162086,26.225554754088453,18.749032046716092
2018-05-08,720.0,726.0,718.5,721.5,1029189,18.47443266719473,25.34012248273877,18.52909287581298
2018-05-09,721.0,733.55,721.0,731.3,1470498,20.5747596580618,24.063341081108483,17.763818745526518
2018-05-10,733.0,733.45,720.05,722.0,632606,19.448006742680622,23.13379116747755,17.113244159856166
2018-05-11,724.7,739.6,723.0,735.25,1100151,20.561996398887725,21.470640932397547,16.04528097035929
2018-05-14,736.7,739.85,725.1,728.5,690433,19.412386628063537,20.162390948602855,15.034557857245288
2018-05-15,728.3,740.0,720.1,733.3,702195,17.83357645372836,20.566051226273157,14.468938632773442
2018-05-16,730.0,737.85,721.55,725.85,746111,16.639812082714943,19.189377328580086,13.94372078147816
2018-05-17,726.3,728.05,705.05,707.1,695344,15.103489617317397,24.04119691926029,14.57863298948559
2018-05-22,690.0,690.0,672.75,682.3,1841667,13.15065706746772,33.09078528526865,16.61742845961649
2018-05-23,682.0,696.45,680.0,685.45,998647,14.779710392095504,31.022152173123267,17.96349817828634
2018-05-24,689.0,697.4,683.0,694.7,930021,14.324329688343726,29.295673723633538,19.13197675280257
2018-05-25,695.0,702.35,687.55,697.25,1036560,15.433855147688636,27.595801944640485,19.78427151725258
2018-05-28,700.0,750.0,700.0,721.0,1927472,29.076573836011242,22.569202121178066,19.271109811525708
2018-05-29,722.9,722.9,701.25,704.85,756109,26.91003870886064,20.887540125405526,18.794602513350753
2018-05-30,702.9,717.7,699.8,704.7,938111,25.235792713671074,20.09198004680637,18.262705014932774
2018-05-31,708.9,715.75,704.0,707.6,3805358,24.17263320584494,19.245524385191935,17.76880019497322
2018-06-01,709.4,713.45,694.3,697.75,814923,22.508301827209298,21.407970509226875,16.67856594922355
2018-06-04,700.2,704.8,683.0,686.45,575852,20.75628652507884,23.776357985653185,15.971647130535505
2018-06-05,684.9,692.0,680.7,685.7,800021,19.891957073978432,23.633844049284978,15.444882330282
2018-06-06,688.6,696.0,682.6,693.55,861304,20.39481466956154,22.440480301876782,14.682794618184515
2018-06-07,695.0,706.9,687.95,704.05,1103080,23.0458668152796,20.838031151156986,13.993386699788052
