Date,Open,High,Low,Close,Volume
20180102,328.0,328.8,318.7,327.75,6721641
20180103,330.35,335.25,329.05,332.5,8171980
20180104,335.2,341.5,330.05,339.1,8879360
20180105,340.5,346.3,338.1,339.55,9693755
20180108,339.9,341.7,335.65,340.25,5023286
20180109,342.25,342.85,334.55,337.7,6677065
20180110,339.85,343.5,333.0,334.8,7713328
20180111,335.0,336.3,331.35,333.9,4128265
20180112,337.0,341.45,335.2,339.55,8144499
20180115,342.0,344.0,337.7,339.2,5084069
20180116,339.8,340.75,325.05,330.15,8117693
20180117,329.9,336.25,322.05,334.9,9947827
20180118,335.9,336.0,323.0,326.7,13916937
20180119,326.5,333.7,323.1,331.65,7650044
20180122,332.5,332.7,324.5,326.95,7508442
20180123,328.1,349.95,328.1,343.5,18222487
20180124,343.4,347.4,337.6,340.0,11024875
20180125,338.9,352.05,338.8,345.6,13605990
20180129,348.35,355.7,342.45,345.0,13215637
20180130,344.9,344.9,337.1,341.3,7382593
20180131,342.0,346.45,335.25,340.35,8287707
20180201,340.0,346.2,329.8,341.45,15344365
20180202,337.4,345.95,331.3,334.3,11879455
20180205,325.0,332.9,313.5,328.85,12360798
20180206,311.1,328.85,309.7,321.65,12008404
20180207,326.5,331.0,312.6,315.7,16798249
20180208,312.5,318.6,305.15,314.45,16604938
20180209,307.05,321.0,306.1,316.3,9515144
20180212,319.95,319.95,312.6,315.55,9097394
20180214,320.25,323.4,311.9,315.75,7154264
20180215,320.1,328.35,320.05,324.4,11559723
20180216,329.9,329.9,316.0,319.75,9116738
20180219,321.1,324.5,314.1,320.35,8642478
20180220,321.0,331.0,320.0,328.7,11395413
20180221,330.0,331.0,320.9,327.6,12281795
20180222,325.3,330.55,322.0,328.65,17254470
20180223,330.05,340.75,327.15,337.9,11270987
20180226,339.4,345.0,339.0,343.15,8842289
20180227,343.5,344.85,338.0,340.6,4697935
20180228,338.7,338.7,327.0,329.75,10566570
20180301,327.2,333.65,321.7,323.25,8160931
20180305,319.0,321.25,310.55,315.9,9269131
20180306,318.3,327.45,311.1,313.45,11634001
20180307,312.6,313.4,303.2,309.35,12198965
20180308,313.9,317.0,301.85,308.4,9818423
20180309,311.8,316.4,302.55,304.15,13854157
20180312,308.3,318.75,305.6,317.4,11167602
20180313,315.0,324.0,312.0,321.05,17819886
20180314,319.55,323.1,315.7,318.95,10148672
20180315,319.7,320.8,315.0,316.95,9166951
20180316,317.0,317.0,306.8,308.9,13398137
20180319,311.45,313.6,304.0,307.2,10063284
20180320,284.8,293.1,283.75,287.1,14598256
20180321,290.0,293.5,282.5,285.75,11337441
20180322,288.8,294.2,285.9,291.8,12008468
20180323,284.25,285.5,274.3,276.0,13290580
20180326,276.4,286.0,268.75,283.3,14875633
20180327,288.0,289.9,283.7,287.0,10333840
20180328,283.95,285.95,276.65,277.85,14701677
20180402,284.0,284.9,277.45,282.3,6555940
20180403,279.0,284.7,278.55,283.2,9718071
20180404,284.45,289.8,271.5,274.3,12818170
20180405,280.6,291.75,280.2,289.9,15456965
20180406,286.0,287.6,281.5,285.05,9519156
20180409,283.7,289.4,280.0,281.35,11022862
20180410,291.0,292.0,283.2,284.1,12178281
20180411,290.1,297.7,287.35,296.8,22771881
20180412,296.0,296.45,287.0,288.7,10682208
20180413,291.15,294.7,288.5,291.65,11510464
20180416,288.05,291.95,286.65,290.3,7545130
20180417,293.4,295.25,287.4,288.8,9828946
20180418,293.0,294.0,289.4,291.1,14009181
20180419,296.75,313.5,296.75,311.7,31082632
20180420,305.45,309.75,303.0,308.6,13535858
20180423,307.7,311.45,304.0,305.05,7058597
20180424,293.0,299.8,288.0,297.4,14885085
20180425,296.6,297.55,288.2,290.2,8297914
20180426,291.5,293.75,287.6,290.3,11827702
20180427,293.0,296.5,290.05,294.05,6853011
20180430,295.4,302.25,293.1,298.4,6843221
20180502,296.65,296.65,282.3,283.4,12277622
20180503,283.95,288.75,277.35,286.2,13002792
20180504,289.45,290.7,279.0,281.65,16087098
20180507,283.0,289.4,282.0,285.45,8242354
20180508,286.4,287.45,281.6,282.9,7858792
20180509,283.0,290.4,282.1,283.15,10284823
20180510,284.75,285.5,278.5,279.7,8814612
20180511,282.9,287.3,278.6,286.95,9774064
20180514,288.0,288.35,280.55,282.1,7062942
20180515,282.95,285.5,278.1,281.7,15412120
20180516,281.65,284.0,276.5,278.8,10781519
20180517,283.2,283.95,275.3,276.95,9379615
20180518,278.2,278.5,269.35,270.3,8928454
20180521,270.3,273.25,261.05,263.85,9703835
20180522,264.9,270.9,261.5,269.95,8021927
20180523,263.4,263.5,250.2,252.65,18226457
20180524,252.2,253.25,240.15,250.6,20219901
20180525,247.3,256.75,241.2,251.8,27429408
20180528,253.35,255.25,245.6,253.65,9732030
20180529,240.0,255.0,237.9,253.25,32936741
20180530,245.0,252.85,244.4,251.1,16362468
20180531,250.5,252.85,246.25,248.3,29327091
20180601,248.0,258.4,246.5,248.25,18640874
20180604,248.75,249.45,244.5,246.75,11484275
20180605,246.25,247.5,242.5,246.25,8543831
20180606,246.35,248.6,242.2,246.45,19831399
20180607,248.55,256.5,245.9,247.2,29651967
20180608,247.2,247.9,242.55,246.3,10413596
20180611,246.3,248.0,245.05,246.1,17253950
20180612,246.5,247.25,243.35,245.5,9625030
20180613,245.7,245.7,241.5,243.1,11470921
20180614,241.0,243.5,239.1,240.05,8930060
20180615,241.0,241.0,234.0,238.6,24482557
20180618,236.0,236.0,228.65,232.2,15575678
20180619,228.95,229.85,221.6,224.3,22092589
20180620,226.0,230.15,225.25,228.7,17011598
