Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-02,328.0,328.8,318.7,327.75,6721641,0,0,0
2018-01-03,330.35,335.25,329.05,332.5,8171980,0,0,0
2018-01-04,335.2,341.5,330.05,339.1,8879360,0,0,0
2018-01-05,340.5,346.3,338.1,339.55,9693755,0,0,0
2018-01-08,339.9,341.7,335.65,340.25,5023286,0,0,0
2018-01-09,342.25,342.85,334.55,337.7,6677065,0,0,0
2018-01-10,339.85,343.5,333.0,334.8,7713328,0,0,0
2018-01-11,335.0,336.3,331.35,333.9,4128265,0,0,0
2018-01-12,337.0,341.45,335.2,339.55,8144499,0,0,0
2018-01-15,342.0,344.0,337.7,339.2,5084069,0,0,0
2018-01-16,339.8,340.75,325.05,330.15,8117693,0,0,0
2018-01-17,329.9,336.25,322.05,334.9,9947827,0,0,0
2018-01-18,335.9,336.0,323.0,326.7,13916937,0,0,0
2018-01-19,326.5,333.7,323.1,331.65,7650044,0,0,0
2018-01-22,332.5,332.7,324.5,326.95,7508442,19.886792452830214,16.075471698113223,0
2018-01-23,328.1,349.95,328.1,343.5,18222487,28.566886769381295,13.543653705062376,0
2018-01-24,343.4,347.4,337.6,340.0,11024875,26.64153154638889,12.63083654686257,0
2018-01-25,338.9,352.05,338.8,345.6,13605990,27.396915660826473,11.502083451620505,0
2018-01-29,348.35,355.7,342.45,345.0,13215637,27.410106508782288,10.492312783145966,0
2018-01-30,344.9,344.9,337.1,341.3,7382593,25.947467633386843,13.546137538458725,0
2018-01-31,342.0,346.45,335.25,340.35,8287707,23.992758315238692,13.770007092270875,0
2018-02-01,340.0,346.2,329.8,341.45,15344365,21.44518070569508,15.836471943244923,0
2018-02-02,337.4,345.95,331.3,334.3,11879455,19.457640681166644,14.368747223808912,0
2018-02-05,325.0,332.9,313.5,328.85,12360798,17.042561196371807,23.20709548352238,0
2018-02-06,311.1,328.85,309.7,321.65,12008404,15.175056536670247,22.838499169628037,0
2018-02-07,326.5,331.0,312.6,315.7,16798249,14.819610069150336,20.512646236356602,0
2018-02-08,312.5,318.6,305.15,314.45,16604938,13.719720465744134,23.101216827131612,0
2018-02-09,307.05,321.0,306.1,316.3,9515144,13.913937676103108,21.222117637586425,0
2018-02-12,319.95,319.95,312.6,315.55,9097394,14.090605486253416,19.51281320334721,25.2766660201908
2018-02-14,320.25,323.4,311.9,315.75,7154264,15.08885250769425,18.288466944076166,24.155917984879466
2018-02-15,320.1,328.35,320.05,324.4,11559723,16.75679874025029,17.027800175863007,22.487791335625808
2018-02-16,329.9,329.9,316.0,319.75,9116738,15.488392722902155,17.94438273889866,21.406238727949038
2018-02-19,321.1,324.5,314.1,320.35,8642478,14.598034356517214,17.963056798033406,20.615399474361602
2018-02-20,321.0,331.0,320.0,328.7,11395413,17.33234632818985,16.859136191781094,19.24172808716554
2018-02-21,330.0,331.0,320.9,327.6,12281795,16.33944030537129,15.893338627656028,17.9661760847692
2018-02-22,325.3,330.55,322.0,328.65,17254470,15.528463032531894,15.104502769408642,16.78173493968688
2018-02-23,330.05,340.75,327.15,337.9,11270987,20.188611849429726,13.920924299775445,16.895552210518726
2018-02-26,339.4,345.0,339.0,343.15,8842289,21.86255049016925,13.333516835926899,17.419649669473362
2018-02-27,343.5,344.85,338.0,340.6,4697935,20.944314227384847,13.386648343940365,17.747827491895027
2018-02-28,338.7,338.7,327.0,329.75,10566570,19.218455959335216,18.948445143410943,16.530657497760025
2018-03-01,327.2,333.65,321.7,323.25,8160931,17.828302760313278,20.785954286077978,15.897002004778424
2018-03-05,319.0,321.25,310.55,315.9,9269131,16.465191063994904,25.909335398710496,16.353452956980835
2018-03-06,318.3,327.45,311.1,313.45,11634001,18.52154667944272,23.426088288278677,16.020496140075828
2018-03-07,312.6,313.4,303.2,309.35,12198965,17.395901788196998,26.68648361745002,16.381567632591253
2018-03-08,313.9,317.0,301.85,308.4,9818423,17.957458561611165,24.332594388328214,16.288226230166348
2018-03-09,311.8,316.4,302.55,304.15,13854157,16.522643199114164,22.38840055276971,16.201552070771793
2018-03-12,308.3,318.75,305.6,317.4,11167602,16.48715308996092,20.52651048095716,15.823809213346818
2018-03-13,315.0,324.0,312.0,321.05,17819886,18.356406592267227,19.1191280555903,14.838912249502664
2018-03-14,319.55,323.1,315.7,318.95,10148672,17.55697405093867,18.286478536053867,13.924365068790236
2018-03-15,319.7,320.8,315.0,316.95,9166951,16.934463725887763,18.06602676349216,13.160695559819967
2018-03-16,317.0,317.0,306.8,308.9,13398137,15.868851373752724,21.987939802463085,13.375201588983531
2018-03-19,311.45,313.6,304.0,307.2,10063284,14.91742042901006,22.418346687094683,13.854862693597365
2018-03-20,284.8,293.1,283.75,287.1,14598256,12.885165933223918,31.12852595985937,15.825892766623733
2018-03-21,290.0,293.5,282.5,285.75,11337441,12.055498473719148,29.855877565288974,17.72914855437147
2018-03-22,288.8,294.2,285.9,291.8,12008468,11.864761339318965,28.345957752452055,19.390428805332125
2018-03-23,284.25,285.5,274.3,276.0,13290580,10.662126211521235,32.19160476060447,21.593930286602312
2018-03-26,276.4,286.0,268.75,283.3,14875633,9.626336374341609,32.189886069563116,23.905709745322696
2018-03-27,288.0,289.9,283.7,287.0,10333840,11.530114985329472,30.950970756566896,25.463621688502773
2018-03-28,283.95,285.95,276.65,277.85,14701677,10.826414380084255,33.2192059659814,27.276219847736293
2018-04-02,284.0,284.9,277.45,282.3,6555940,10.337352064244707,31.71859262995764,28.959346709881704
