Date,Open,High,Low,Close,Volume
20180104,310.1,313.0,307.45,311.65,1464584
20180105,313.0,313.9,307.7,309.55,1613205
20180108,310.0,312.9,309.1,311.15,1785248
20180109,312.6,320.0,306.4,317.2,4575572
20180110,316.4,327.85,315.1,326.7,3811138
20180111,323.55,326.05,319.0,321.1,2116462
20180112,321.0,323.75,317.2,318.8,3162664
20180115,318.85,324.25,313.4,315.0,1195210
20180116,316.9,334.0,316.0,331.95,6166445
20180117,333.0,333.5,325.0,325.7,3042506
20180118,327.0,328.25,322.15,325.35,1770781
20180119,327.0,330.0,320.5,328.95,1608101
20180122,317.0,328.95,317.0,321.55,4572569
20180123,322.1,322.95,313.4,315.25,3230027
20180124,316.5,323.4,312.2,313.95,6578273
20180125,315.7,318.0,308.75,311.95,8298689
20180129,314.1,316.1,309.6,311.15,3523977
20180130,309.55,312.3,304.7,307.3,2279998
20180131,306.1,308.95,301.55,304.7,2823913
20180201,305.05,309.1,300.0,300.75,2202328
20180202,299.3,302.45,295.2,300.6,2517624
20180205,298.0,305.55,295.95,298.75,2194146
20180206,291.7,296.15,290.1,294.65,2433492
20180207,298.2,298.2,288.0,289.35,2498537
20180208,290.1,294.65,287.05,289.8,5297067
20180209,289.0,289.0,284.0,285.0,3151977
20180212,287.9,290.95,285.9,288.95,2520859
20180214,290.0,296.75,289.55,293.45,3023672
20180215,295.6,295.6,290.45,292.5,1655650
20180216,292.95,295.9,290.05,291.0,3078393
20180219,293.0,293.0,288.8,289.95,1657827
20180220,290.0,293.25,289.1,291.45,3435235
20180221,294.0,294.85,290.55,292.2,5155603
20180222,292.9,294.25,291.05,292.65,4814439
20180223,295.5,295.95,292.3,295.0,3667414
20180226,294.8,295.7,290.4,291.6,5032102
20180227,292.45,294.35,291.15,291.75,3925139
20180228,293.0,293.8,289.0,292.8,5146717
20180301,292.8,294.1,291.2,292.5,4085785
20180305,293.6,293.75,289.8,290.95,3748745
20180306,291.25,291.95,286.15,286.95,4726588
20180307,288.45,290.85,284.3,285.35,1825628
20180308,286.45,287.75,283.15,285.2,2020258
