Date,Open,High,Low,Close,Volume
20100105,269.95,278.8,260.0,272.4,3682135
20100106,273.4,275.85,267.1,268.55,1798202
20100107,269.55,269.75,263.05,264.0,1077233
20100108,265.0,266.7,262.0,262.75,963831
20100111,265.5,270.8,264.05,267.6,981635
20100112,268.0,270.5,260.35,263.1,1284854
20100113,261.7,263.05,256.7,262.55,1946649
20100114,263.0,271.1,263.0,269.1,1660392
20100115,270.7,272.25,266.15,267.1,684481
20100118,265.15,273.5,265.15,272.3,907440
20100119,274.0,285.7,273.5,284.0,5494344
20100120,285.0,287.75,272.0,273.2,4885829
20100121,271.9,272.35,263.0,264.7,3017327
20100122,261.2,264.0,255.0,259.25,2594173
20100125,258.45,258.45,242.9,245.8,2466046
20100127,243.0,244.95,231.3,235.85,3157961
20100128,238.5,252.5,238.0,245.45,4167116
20100129,244.3,252.25,239.0,249.25,3567945
20100201,250.0,255.0,245.7,253.1,1335238
20100202,255.1,257.55,241.5,243.35,1994368
20100203,244.0,252.0,244.0,250.5,1953929
20100204,250.0,252.9,240.0,242.7,1590518
20100205,238.5,243.4,232.2,239.3,1374975
20100206,240.4,245.5,240.4,241.8,121317
20100208,244.9,244.9,233.9,238.45,2167482
20100209,239.9,241.3,236.0,237.85,1460259
20100210,240.0,241.85,231.4,232.6,1501233
20100211,234.8,239.4,234.25,237.4,707271
20100215,239.95,240.0,232.0,234.25,802912
20100216,236.8,242.3,232.0,240.0,996031
20100217,242.0,244.0,237.4,241.85,952492
20100218,239.0,242.55,235.1,236.0,1015001
20100219,235.0,235.0,227.1,229.35,1783776
20100222,234.5,238.9,232.3,234.55,1589105
20100223,242.5,242.5,234.0,236.15,647485
20100224,234.9,236.7,229.6,230.8,1174348
20100225,232.0,233.0,223.2,224.75,2664953
20100226,226.1,240.7,222.5,236.6,2405999
20100302,240.9,246.7,238.2,245.1,1840926
20100303,247.0,251.1,245.6,249.7,2100497
20100304,248.0,255.9,247.65,254.5,2245639
20100305,255.1,256.7,250.6,251.6,877684
20100308,254.9,256.7,251.6,254.0,1016131
20100309,255.0,255.05,248.0,249.15,528203
20100310,248.0,250.85,246.35,248.35,600732
20100311,246.3,253.7,246.3,251.8,967295
20100312,253.0,258.7,253.0,253.75,2086406
20100315,253.0,253.0,247.55,248.55,722435
20100316,250.0,250.0,242.55,244.5,2015737
20100317,246.5,248.5,245.05,245.95,782695
20100318,246.5,250.8,244.8,249.55,1130149
20100319,250.05,252.4,241.15,247.3,1767536
20100322,242.8,244.5,238.75,239.8,1423173
20100323,242.1,243.1,237.0,237.9,1026619
20100325,239.7,243.0,236.0,240.9,1044964
20100326,242.0,252.5,242.0,251.4,1741531
20100329,252.1,260.0,252.1,257.45,2859356
20100330,260.05,260.8,255.7,256.55,1467129
20100331,259.1,259.1,252.35,256.2,1001595
20100405,261.0,265.35,259.9,264.2,928849
20100406,266.0,267.9,261.1,262.4,1273029
20100407,263.0,264.3,257.0,260.45,2120645
20100408,259.95,262.4,257.7,259.95,1248906
20100409,259.95,264.9,259.75,263.65,874152
20100412,263.7,264.8,261.25,263.3,444883
20100413,264.5,265.0,256.65,257.75,1156723
20100415,259.5,262.0,250.1,251.95,817823
20100416,251.0,252.35,246.75,249.45,1109899
20100419,245.0,255.3,245.0,253.85,1443488
20100420,254.1,258.95,251.6,256.55,1459246
20100421,258.85,273.15,258.05,271.75,3397491
20100422,271.7,273.9,267.25,268.95,1641633
20100423,268.5,272.65,268.5,271.05,906065
20100426,274.1,282.45,273.5,281.3,2428673
20100427,282.8,285.4,274.25,275.6,4233394
20100428,272.0,280.0,270.4,277.3,1853926
20100429,276.9,295.4,276.9,293.25,5689407
20100430,298.0,298.0,283.55,285.65,3855438
20100503,284.75,289.85,282.2,286.95,1529579
20100504,289.5,290.4,278.3,279.4,1723582
20100505,273.2,279.0,270.1,276.35,4138660
