Date,Open,High,Low,Close,Volume,ADL,OBV,+DI14,-DI14,ADX,MACD Line,Signal Line,MACD Histogram,RSI
2010-01-05,269.95,278.8,260.0,272.4,3682135,1175149.4680850946,0,0,0,0,0.0,272.4,-272.4,0.0
2010-01-06,273.4,275.85,267.1,268.55,1798202,-2404452.9600000093,-1798202,0,0,0,-0.08637820512825556,270.2611111111111,-270.3474893162394,0.0
2010-01-07,269.55,269.75,263.05,264.0,1077233,-1543498.0298507526,-2875435,0,0,0,-0.2511582060128603,267.69508196721307,-267.94624017322593,0.0
2010-01-08,265.0,266.7,262.0,262.75,963831,-1312450.7234042538,-3839266,0,0,0,-0.36507890463076365,266.019918699187,-266.38499760381774,0.0
2010-01-11,265.5,270.8,264.05,267.6,981635,101799.1851851918,-2857631,0,0,0,-0.22630321646187213,266.48995716325555,-266.7162603797174,0.0
2010-01-12,268.0,270.5,260.35,263.1,1284854,-1177255.3891625584,-4142485,0,0,0,-0.33104909436724483,265.5710902940411,-265.90213938840833,0.0
2010-01-13,261.7,263.05,256.7,262.55,1946649,3280180.204724412,-6089134,0,0,0,-0.41743736769745965,264.8065329359744,-265.2239703036719,0.0
2010-01-14,263.0,271.1,263.0,269.1,1660392,1680890.6666666712,-4428742,0,0,0,-0.15713477274647403,265.8383338101258,-265.99546858287226,0.0
2010-01-15,270.7,272.25,266.15,267.1,684481,-942563.9999999811,-5113223,0,0,0,-0.07371652787031735,266.129784959145,-266.20350148701533,0.0
2010-01-18,265.15,273.5,265.15,272.3,907440,1293237.8443113836,-4205783,0,0,0,0.2543792177822297,267.5122713087881,-267.2578920910059,0.0
2010-01-19,274.0,285.7,273.5,284.0,5494344,7926266.754098378,1288561,0,0,0,1.1112231370432255,271.1196921365975,-270.0084689995543,0.0
2010-01-20,285.0,287.75,272.0,273.2,4885829,-8282643.447619062,-3597268,0,0,0,1.131045819044516,271.5664550209132,-270.4354092018687,0.0
2010-01-21,271.9,272.35,263.0,264.7,3017327,-3840234.363636384,-6614595,0,0,0,0.6505936262747696,270.1132745769615,-269.4626809506867,0.0
2010-01-22,261.2,264.0,255.0,259.25,2594173,-288241.44444444444,-9208768,0,0,0,-0.033342226218735505,267.8406694302009,-267.8740116564196,40.0
2010-01-25,258.45,258.45,242.9,245.8,2466046,-3092469.260450155,-11674814,21.629740893728886,31.20540743522346,0,-1.3468519190799384,263.27178211275157,-264.6186340318315,35.26950638714561
2010-01-27,243.0,244.95,231.3,235.85,3157961,-2105307.333333342,-14832775,19.35934227875592,36.32720597740378,0,-2.9300707144328726,257.6285837782227,-260.5586544926556,32.7245803084965
2010-01-28,238.5,252.5,238.0,245.45,4167116,229909.84827584898,-10665659,22.3448542937361,32.15360107024354,0,-3.5070421138643155,255.13675605044676,-258.6437981643111,38.14519388023553
2010-01-29,244.3,252.25,239.0,249.25,3567945,3904543.5849056602,-7097714,20.34195820099984,29.27149134133632,0,-3.6662662423899803,253.93780648509443,-257.60407272748444,38.94827295432827
2010-02-01,250.0,255.0,245.7,253.1,1335238,1579313.763440858,-5762476,20.92751102109896,27.41408709483949,0,-3.497065001559662,253.76779506530167,-257.26486006686133,39.70679765359568
2010-02-02,255.1,257.55,241.5,243.35,1994368,-3069214.3052959535,-7756844,18.71981211920106,27.282657708737478,0,-3.9600010716867757,251.65993406953388,-255.61993514122065,37.530907475427966
2010-02-03,244.0,252.0,244.0,250.5,1953929,2442411.25,-5802915,17.639769432241327,25.708580215250056,0,-3.7971769299917355,251.42578763595913,-255.22296456595086,40.11951560813981
2010-02-04,250.0,252.9,240.0,242.7,1590518,-1849439.534883727,-7393433,16.14386062002839,26.15796690978242,0,-4.149066975225566,249.66765739734333,-253.8167243725689,38.93335010746699
2010-02-05,238.5,243.4,232.2,239.3,1374975,736593.7500000059,-8768408,14.957835304335845,29.352629071480845,0,-4.603775606133183,247.5818132673648,-252.18558887349798,39.43170778848501
2010-02-06,240.4,245.5,240.4,241.8,121317,-109423.17647058755,-8647091,15.751418213943532,28.121011577126893,0,-4.730731115598701,246.41996393554913,-251.15069505114784,39.12158627504361
2010-02-08,244.9,244.9,233.9,238.45,2167482,-748766.5090909225,-10814573,14.582344549792303,30.419604064041806,0,-5.006674873970297,244.81992637745077,-249.82660125142107,39.61321081379818
2010-02-09,239.9,241.3,236.0,237.85,1460259,-881665.8113207654,-12274832,14.041582580512157,29.291543693350054,0,-5.204938750087138,243.42171526818245,-248.6266540182696,41.15649698472768
2010-02-10,240.0,241.85,231.4,232.6,1501233,-2312904.430622015,-13776065,13.016632895278951,30.36656809584408,0,-5.670724553200188,241.25212647071555,-246.92285102391574,40.781310875089304
2010-02-11,234.8,239.4,234.25,237.4,707271,315868.60194174876,-13068794,12.383205456511494,28.88884205041765,0,-5.624594698307845,240.48020806923455,-246.1048027675424,41.78741594442245
2010-02-15,239.95,240.0,232.0,234.25,802912,-702548.0,-13871706,11.766564213999184,27.450276606335144,26.425670214261256,-5.750265079718048,239.23223531108107,-244.98250039079912,42.279528312789076
2010-02-16,236.8,242.3,232.0,240.0,996031,1102403.2427184433,-12875675,12.560168279419617,25.38802609101739,26.952665571531117,-5.364008843698429,239.38597857380557,-244.749987417504,43.69273031382043
2010-02-17,242.0,244.0,237.4,241.85,952492,663858.0606060562,-11923183,13.21063337023379,24.136717853075975,27.11714038503,-4.8648794973855445,239.87927139258963,-244.74415088997517,42.90173339588553
2010-02-18,239.0,242.55,235.1,236.0,1015001,-1539531.7181208034,-12938184,12.463866281887832,24.517475364920628,27.508327373273026,-4.849230154702326,239.10280193158522,-243.95203208628755,42.27319569925223
2010-02-19,235.0,235.0,227.1,229.35,1783776,-1535402.12658228,-14721960,11.618889876320113,28.949185869128446,28.594807460724773,-5.273419787005764,237.15100444664154,-242.4244242336473,41.39952818653744
2010-02-22,234.5,238.9,232.3,234.55,1589105,-1011248.6363636346,-13132855,13.741626679392027,26.846036914358322,28.85851284817679,-5.157024189452983,236.63053965030863,-241.78756383976162,42.44507242698915
2010-02-23,242.5,242.5,234.0,236.15,647485,-639867.529411763,-12485370,15.604295774115412,25.09829186471077,28.463282554593025,-4.8868097214592865,236.53439271841782,-241.4212024398771,41.51566074417922
2010-02-24,234.9,236.7,229.6,230.8,1174348,-1554770.5915492838,-13659718,14.741020026502083,27.13824499766862,28.544640824316154,-5.021497265830305,235.38714187054842,-240.40863913637872,41.217154257331416
2010-02-25,232.0,233.0,223.2,224.75,2664953,-3643915.3265306023,-16324671,13.620902336771627,30.038486272411824,29.19172276559131,-5.526070871881672,233.25916104102993,-238.7852319129116,40.68644319595586
2010-02-26,226.1,240.7,222.5,236.6,2405999,2643954.945054947,-13918672,17.405378824502556,26.07568858259687,28.53091580247199,-4.958686047128765,233.92746763467298,-238.88615368180174,44.9444237006108
2010-03-02,240.9,246.7,238.2,245.1,1840926,2295743.011764711,-12077746,20.474794560109846,24.170068146104732,27.08421045870356,-3.810623194106938,236.16234544050673,-239.97296863461366,46.99771019595013
2010-03-03,247.0,251.1,245.6,249.7,2100497,2062306.145454537,-9977249,22.835739509813784,23.090503677469577,25.18924718290148,-2.5168839325030206,238.8702362928384,-241.38712022534142,47.17408576347104
2010-03-04,248.0,255.9,247.65,254.5,2245639,2966965.4666666603,-7731610,25.028471080240994,21.658059731975985,23.905675033383297,-1.1074171398102806,241.99652147793398,-243.10393861774426,47.42065063957513
2010-03-05,255.1,256.7,250.6,251.6,877684,-1179837.5081967209,-8609294,24.46766584229151,20.63856654106105,22.80448890570451,-0.21420593213048278,243.91738059096855,-244.13158652309903,48.11709199215549
2010-03-08,254.9,256.7,251.6,254.0,1016131,-119544.82352940511,-7593163,23.472821569091543,19.79941172086803,21.78195893000278,0.6725651396468777,245.93404171961927,-245.2614765799724,47.32775646932207
2010-03-09,255.0,255.05,248.0,249.15,528203,-711762.9078014173,-8121366,22.133117787869587,21.583818379348646,20.315854084412283,0.9844010285216598,246.57726839628677,-245.5928673677651,47.22651033715602
2010-03-10,248.0,250.85,246.35,248.35,600732,-133496.0,-8722098,21.297550882550432,22.15322432511829,19.005385496014092,1.155341237236371,246.93183016037233,-245.77648892313596,48.74490929457817
2010-03-11,246.3,253.7,246.3,251.8,967295,941151.8918919008,-7754803,22.376417854318802,20.76495562618648,17.91466551811072,1.5438010173282635,247.90549805567233,-246.36169703834406,48.451962528653716
2010-03-12,253.0,258.7,253.0,253.75,2086406,-3074703.578947366,-5668397,25.341680478969124,19.535632324010717,17.559160986866754,1.982034086534469,249.07443102963333,-247.09239694309886,47.50458160419769
2010-03-15,253.0,253.0,247.55,248.55,722435,-914642.4770642191,-6390832,23.96857289681977,23.240045733451005,16.415164342523344,1.8973130526948978,248.96954248461395,-247.07222943191906,47.151919768924266
2010-03-16,250.0,250.0,242.55,244.5,2015737,-1921037.946308734,-8406569,22.39810285667052,26.114763330366404,15.789880110589388,1.4930839306462644,248.07561803954619,-246.58253410889992,47.29281912222739
2010-03-17,246.5,248.5,245.05,245.95,782695,-748664.7826087136,-7623874,21.58050909920236,25.161501011084425,15.209259038079287,1.2727974822391843,247.65048836398347,-246.3776908817443,46.145992217110376
2010-03-18,246.5,250.8,244.8,249.55,1130149,1318507.1666666667,-6493725,22.513351453449452,23.760440896590378,14.315385050229697,1.3676318670130456,248.0303950289541,-246.66276316194106,46.07651078128997
2010-03-19,250.05,252.4,241.15,247.3,1767536,329940.05333333695,-8261261,20.237880919983883,24.63815091797526,13.993242556153033,1.2498415052515384,247.88431468880916,-246.63447318355762,46.95435403418227
2010-03-22,242.8,244.5,238.75,239.8,1423173,-1806810.9391304234,-9684434,18.69164136117225,24.900368691742074,14.011068828941303,0.5544087034511449,246.2674399357218,-245.71303123227065,45.61157810487514
2010-03-23,242.1,243.1,237.0,237.9,1026619,-1447364.4918032743,-10711053,17.655226929868377,25.11041442102238,14.255467970755786,-0.14601743885091878,244.59394216529856,-244.73995960414948,46.65095880698436
2010-03-25,239.7,243.0,236.0,240.9,1044964,835971.2000000034,-9666089,16.523013851143496,24.416236593959912,14.614386714605581,-0.45691246965196797,243.85515027705307,-244.31206274670504,46.29843558931328
2010-03-26,242.0,252.5,242.0,251.4,1741531,2753277.5809523845,-7924558,23.236414558096623,21.90886151003106,13.780546556326684,0.13192608669720585,245.36412586739038,-245.23219978069318,49.39544542646868
2010-03-29,252.1,260.0,252.1,257.45,2859356,2026885.2658227708,-5065202,28.084140596525597,20.248655724096636,13.954188097435717,1.0687250985069454,247.78130792891375,-246.7125828304068,50.18760071673431
2010-03-30,260.05,260.8,255.7,256.55,1467129,-1956171.999999978,-6532331,27.511844725876184,19.313960835795378,14.207974121724403,1.7193424240320496,249.53505054251025,-247.8157081184782,51.637857500673476
2010-03-31,259.1,259.1,252.35,256.2,1001595,281930.44444443146,-7533926,25.813452307139883,21.185442103641495,13.896480388341748,2.18174361774291,250.86804298751443,-248.68629936977152,53.31985271956482
2010-04-05,261.0,265.35,259.9,264.2,928849,1073715.3577981484,-6605077,29.326297248227455,19.4340490237185,14.35298076002849,3.151396656921321,253.53443847625073,-250.3830418193294,54.79777892180746
2010-04-06,266.0,267.9,261.1,262.4,1273029,-1572565.235294145,-7878106,29.833537397299786,18.228019122309046,15.052567566086339,3.732672386401191,255.30755295483263,-251.57488056843144,55.73783597161715
2010-04-07,263.0,264.3,257.0,260.45,2120645,-232399.45205481397,-9998751,27.836406278217346,20.767573616222524,15.016222180972978,3.991114271851103,256.3360433726065,-252.34492910075542,56.564956001643964
2010-04-08,259.95,262.4,257.7,259.95,1248906,-106289.87234041974,-11247657,26.601680319126892,19.84639643569913,14.982472894796286,4.10844509520436,257.05883526521495,-252.9503901700106,58.11088586460446
2010-04-09,259.95,264.9,259.75,263.65,874152,899612.737864074,-10373505,27.693047512103902,18.85926230557037,15.267727730160173,4.446657266023323,258.3770690396407,-253.93041177361735,57.77770136538163
2010-04-12,263.7,264.8,261.25,263.3,444883,137851.07042253762,-10818388,26.706939613435214,18.187712252638878,15.532607220140923,4.633144564505841,259.3616557261406,-254.72851116163477,59.37815308565853
2010-04-13,264.5,265.0,256.65,257.75,1156723,-1703915.3173652585,-11975111,24.49733142663548,21.24082134573719,14.931699458747188,4.286218377881426,259.03932445142095,-254.75310607353953,58.03078125248725
2010-04-15,259.5,262.0,250.1,251.95,817823,-1127083.7983193295,-12792934,21.737142734695286,25.0493046397188,14.37081514738294,3.505341883032372,257.62145910545246,-254.1161172224201,56.705569475212855
2010-04-16,251.0,252.35,246.75,249.45,1109899,-79278.50000000684,-13902833,20.56297103864729,26.92758479044529,14.301603455736046,2.6551652737398967,255.98716686416896,-253.33200159042906,57.18909519439845
2010-04-19,245.0,255.3,245.0,253.85,1443488,2074138.09708737,-12459345,21.343718923092617,24.324940490462442,13.746341605471903,2.3082189269998423,255.5597334034172,-253.25151447641736,57.147725273654295
2010-04-20,254.1,258.95,251.6,256.55,1459246,1012538.040816343,-11000099,23.301527431811543,22.643088125725225,12.866825439396928,2.224556965982913,255.75778675532354,-253.53322978934062,56.43668866186937
2010-04-21,258.85,273.15,258.05,271.75,3397491,5534985.337748362,-7602608,32.26157952162127,19.383429403879475,13.728902516960918,3.3414090507722563,258.956229825303,-255.61482077453076,60.39304695142745
2010-04-22,271.7,273.9,267.25,268.95,1641633,-1604603.6842105319,-9244241,31.034585869688986,18.249992357026198,14.601148972222166,3.9557439549187734,260.9549840707358,-256.99924011581703,60.68490915645542
2010-04-23,268.5,272.65,268.5,271.05,906065,414824.93975905824,-8338176,29.861084767327732,17.55991109610717,15.411092109250466,4.558890586083635,262.9739874266893,-258.41509684060566,59.64991550316482
2010-04-26,274.1,282.45,273.5,281.3,2428673,3609089.4860335425,-5909503,35.505525926966406,15.793260060991335,17.05504116449923,5.794551372192416,266.6391901883856,-260.8446388161932,61.42587466804223
2010-04-27,282.8,285.4,274.25,275.6,4233394,-6416534.403587406,-10142897,34.63856710559145,14.28000694299919,18.809483908707502,6.243173364951531,268.43135224734164,-262.1881788823901,60.24661661090483
2010-04-28,272.0,280.0,270.4,277.3,1853926,1622185.2500000137,-8288971,31.812283832014632,16.38709152472244,19.751869944152304,6.658716564143958,270.2050818743848,-263.54636531024084,59.0488877430818
2010-04-29,276.9,295.4,276.9,293.25,5689407,8734008.583783813,-2599564,39.2600745268882,14.014053394167489,21.72594324153897,8.177569737417173,274.81406565855804,-266.63649592114086,62.46666478253777
2010-04-30,298.0,298.0,283.55,285.65,3855438,-5469652.525951592,-6455002,36.95082754606577,12.492356954324805,23.70750660114885,8.66941638836039,276.9812525866759,-268.3118361983155,60.566209203859586
2010-05-03,284.75,289.85,282.2,286.95,1529579,739796.3790849503,-4925423,34.79665715481369,12.7928673049666,25.316729326827613,9.059407979197658,278.9750021133739,-269.9155941341762,59.19469250339352
2010-05-04,289.5,290.4,278.3,279.4,1723582,-2820406.909090927,-6649005,31.65336737894097,14.548810595524152,26.152756154936856,8.660581490932827,279.06000169220096,-270.39942020126813,57.53487536672506
2010-05-05,273.2,279.0,270.1,276.35,4138660,3348129.438202277,-10787665,29.4512857356305,19.670678568743885,25.706906665875476,8.006531549993156,278.5180013460997,-270.51146979610655,57.973182228370014
2010-05-06,274.5,276.4,267.6,270.05,2766800,-2452390.9090909073,-13554465,27.501636671986184,20.24915373583937,24.955570084650816,6.901127271783366,276.8244010577288,-269.9232737859454,56.98305352617349
2010-05-07,262.55,269.3,262.0,264.75,1575569,-776992.9315068531,-15130034,25.817911569569578,23.268417473464964,23.54402211260638,5.534291014120583,274.4095208243374,-268.8752298102168,56.504762335773286
2010-05-10,266.6,279.75,266.5,277.95,1831022,2667073.554716975,-13299012,30.615536727849978,20.722549413656413,23.238754035259564,5.451812539613741,275.11761666459444,-269.6658041249807,58.82801394664549
2010-05-11,279.0,280.95,273.0,275.9,1190882,-644124.855345923,-14489894,29.703218233801636,19.50450128594047,23.059260717404946,5.161737697606725,275.27409333258146,-270.11235563497473,59.73478232431043
2010-05-12,276.7,277.4,266.4,272.05,1754670,95709.27272729449,-16244564,27.311160491932302,22.765682294925995,22.060528262214266,4.568898179727796,274.62927466307855,-270.06037648335075,59.83212135070113
2010-05-13,276.0,279.85,273.95,277.1,2684437,363991.45762714755,-13560127,27.5486388380958,21.446767907850028,21.374345189914635,4.454739184493121,275.1234197322938,-270.6686805478007,59.54538384051143
2010-05-14,278.0,278.0,271.3,272.85,1044146,-1122067.3432835732,-14604273,26.147347440196107,22.36772232500164,20.404079161906417,3.9758537937073015,274.6687357844873,-270.69288199078,59.46689107826002
2010-05-17,257.2,276.35,240.0,272.8,1622753,2611583.232462172,-16227026,20.156824655917863,36.970860738611556,21.048957622174818,3.5513627330877853,274.2949886267035,-270.74362589361573,61.21754171647955
2010-05-18,272.7,276.85,269.65,272.75,1269054,-352514.9999999978,-17496080,19.541210071326915,35.24824901299638,21.59317451917826,3.174325908275989,273.98599090077664,-270.81166499250065,62.938034050536835
2010-05-19,270.0,273.9,263.6,265.2,2786701,-3841859.6310679903,-20282781,18.232443691931703,36.82145857112342,22.462599029710482,2.2409795260026613,272.2287927179544,-269.9878131919517,61.089257930155604
2010-05-20,264.0,275.95,262.65,274.35,2093987,3180341.1578947594,-18188794,17.992274425040762,33.68429450472417,23.027115667004654,2.2135352918826925,272.65303417487866,-270.43949888299596,61.967986721377535
2010-05-21,270.0,271.0,260.65,265.4,1553574,-255176.40579710773,-19742368,16.43861743861853,32.036214061969034,23.680656744335362,1.4533617176217035,271.2024273384939,-269.7490656208722,59.77765140548932
2010-05-24,269.95,272.8,261.6,263.85,777013,-929640.5535714278,-20519381,16.412674526366658,29.772766652322506,24.055400119355514,0.7176611424989687,269.7319418696525,-269.0142807271535,60.877739395831355
2010-05-25,262.4,262.8,256.5,258.2,1166344,-1073777.0158730266,-21685725,15.632123672000164,31.656768740493558,24.757635819579782,-0.3173496948325578,267.42555349428824,-267.7429031891208,60.17803114515347
2010-05-26,261.3,263.9,258.55,261.25,768443,14363.420560751021,-20917282,15.772174323920115,30.447438780965523,25.25717343856539,-0.8814675989119678,266.1904427948163,-267.0719103937283,59.287732104296424
2010-05-27,262.9,269.95,253.55,267.2,1821191,2420851.4512195103,-19096091,18.00729843340766,27.224899701886756,24.908690095851508,-0.838999741993689,266.3923542359334,-267.2313539779271,59.278225594992506
2010-05-28,271.8,284.7,269.15,281.75,3449723,4281649.768488758,-15646368,25.194343608550252,24.272708079168957,23.26257866754822,0.36394674886520306,269.46388338972434,-269.09993664085914,61.607476478229685
2010-05-31,282.0,289.7,279.65,287.95,3049332,3974751.1641791067,-12597036,26.737727396183246,22.74718556337431,22.17697722963081,1.7966341007086157,273.16110671272094,-271.3644726120123,61.50657101017193
2010-06-01,285.35,286.7,277.0,278.95,1929235,-2307126.3917525844,-14526271,24.90137329683593,22.84702795994151,20.900224424048293,2.180982296631896,274.3188853704126,-272.1379030737807,59.55691064904019
2010-06-02,280.0,284.95,279.0,283.55,1045042,1106515.0588235436,-13481229,23.931481390707074,21.95715143653456,19.714668247435956,2.8240602989976082,276.16510829663093,-273.3410479976333,59.03536745612386
2010-06-03,285.0,297.25,283.55,295.25,3063898,4338658.481751824,-10417331,29.687010217714914,20.03800337447149,19.69253011911278,4.228704538739635,279.98208663780235,-275.7533820990627,60.40643033088377
2010-06-04,298.35,299.4,290.55,292.2,4067827,-5102020.305084775,-14485158,29.377871919522963,18.889430049756097,19.838057341130547,5.0377881787095475,282.42566931049674,-277.3878811317872,60.95081587412803
2010-06-07,275.0,288.15,275.0,286.0,1977977,2662372.0836502016,-16463135,26.23093581787228,26.550337218618346,18.46427764000254,5.119836046085425,283.140535448457,-278.0206994023716,60.24023730912636
2010-06-08,288.7,293.3,281.5,282.55,2517546,-4139016.305084737,-18980681,27.507974988173657,24.603196368007094,17.543557494195124,4.850635286139607,283.02242835875774,-278.17179307261813,60.63880605607498
2010-06-09,284.0,286.2,274.2,279.25,3174558,-1005276.699999988,-22155239,25.46285695066078,27.29677547156547,16.53873110568744,4.321265625754791,282.26794268696585,-277.94667706121106,61.07235906393547
2010-06-10,282.0,283.3,275.4,281.8,2820190,3498463.5443038065,-19335049,24.18791971469262,25.930013071808204,15.605678030644594,4.060640175761478,282.17435414956867,-278.1137139738072,59.98115463730574
2010-06-11,286.0,290.3,282.0,287.6,3870333,2704570.048192799,-15464716,27.377454032738974,24.508116122723937,14.885995812207398,4.2727427657089265,283.25948331969204,-278.9867405539831,59.79624458713454
2010-06-14,289.0,289.85,284.15,286.7,1443334,-303859.7894736933,-16908050,26.334578746775435,23.574541051084736,14.217719466515716,4.318445941499988,283.94758665577245,-279.62914071427247,61.18859585775189
2010-06-15,285.5,285.5,280.1,283.7,1366741,911160.6666666475,-18274791,25.140410693813912,25.28812571885134,13.223090898657366,4.06576911320218,283.8980693246169,-279.83230021141475,61.64394262932643
2010-06-16,284.5,288.3,281.8,282.85,1730126,-2342324.4307692186,-20004917,25.963469450191784,24.127721016938118,12.54035675921161,3.753674496452561,283.68845545968986,-279.9347809632373,63.00436581707936
2010-06-17,279.45,285.9,279.05,284.2,1872839,1886509.3576642366,-18132078,24.67827304753549,24.920627981982914,11.679519108257411,3.574052624768399,283.79076436775335,-280.21671174298496,61.63947962100862
2010-06-18,285.0,286.5,278.35,279.9,899673,-1114932.1840490978,-19031751,23.206413012551607,23.946575474527616,10.957389475175164,3.049625851926635,283.01261149419395,-279.9629856422673,61.411048607176184
2010-06-21,280.0,284.9,280.0,281.65,1042705,-680950.2040816455,-17989046,22.326636957334106,23.038739192567398,10.28684053017022,2.7435776357576174,282.7400891953527,-279.9965115595951,60.16637435469842
2010-06-22,280.0,280.0,262.8,271.85,21017264,2199481.1162791546,-39006310,19.348542848198374,32.13682593344901,11.32625723098739,1.690867822910377,280.56207135626653,-278.87120353335615,57.60366918591125
2010-06-23,273.0,277.95,271.3,276.95,3712531,5191960.646616534,-35293779,18.415311844032633,30.58678247168182,12.291429881746188,1.2536144425335465,279.83965708500915,-278.5860426424756,57.399051717707884
2010-06-24,279.0,279.0,269.0,271.05,4806482,-5671648.759999978,-40100261,17.081114313962388,30.037116708721733,13.377527239026875,0.4261494761670406,278.08172566799925,-277.6555761918322,56.72870091352576
2010-06-25,271.5,274.4,268.8,272.25,1849548,858718.714285727,-38250713,16.366030226276116,28.929156647756855,14.40314085562938,-0.13128849825693578,276.9153805343952,-277.0466690326521,55.296931541782925
2010-06-28,270.2,273.5,268.6,272.05,1585782,1294515.918367353,-39836495,15.744912529103555,27.986152347346426,15.373780207640564,-0.5824837610255713,275.9423044275133,-276.5247881885389,57.034698259358215
2010-06-29,260.0,272.0,260.0,267.95,1698471,1104006.1499999936,-41534966,14.306932865607752,31.948325918708058,16.99988276330976,-1.2563817202731684,274.3438435420069,-275.60022526228005,57.02174996330596
2010-07-01,267.0,271.2,266.0,269.6,975306,750235.3846154076,-40559660,13.724417490734739,30.64753061730291,18.509835136431157,-1.6384330448093465,273.3950748336037,-275.03350787841305,55.77046962681308
2010-07-02,269.0,273.9,265.85,267.8,1308700,-1349342.8571428573,-41868360,14.984012325124299,28.699430164836663,19.43036774427821,-2.0626674584312923,272.27605986688127,-274.33872732531256,56.77119763269085
2010-07-05,266.0,270.25,266.0,268.4,673357,174280.63529410324,-41195003,14.46137179644171,27.698397528932535,20.285148022993333,-2.3236782723687384,271.5008478935041,-273.82452616587284,55.165574513490185
2010-07-06,269.0,278.9,268.35,275.85,2513197,2120137.7535545332,-38681806,20.22103593218859,25.33595896759945,19.638174956787946,-1.9074303645808754,272.3706783148041,-274.27810867938496,56.114323884104245
2010-07-07,274.9,275.85,268.7,270.1,1539409,-1873127.0349650113,-40221215,19.036029998661867,23.85120508016865,19.037414252454372,-2.0182343395932207,271.9165426518429,-273.93477699143614,55.29842609514245
2010-07-08,272.1,276.7,272.1,275.8,2041474,2485272.6956522027,-38179741,18.697080304695255,22.53822136030432,18.34296868575183,-1.627371567481191,272.6932341214748,-274.320605688956,55.54458115889376
2010-07-09,277.6,286.6,276.5,285.7,2776220,4562896.237623727,-35403521,25.149833876548698,20.545150059824525,17.75254239567659,-0.5128927024501877,275.2945872971811,-275.8074799996313,57.176787264516584
2010-07-12,287.0,291.0,284.1,285.85,1445530,-1424580.2898550676,-33957991,27.364737841419817,19.366808303212483,17.706976968118592,0.3780841463358229,277.4056698377457,-277.02758569140985,55.4061805267049
2010-07-13,286.5,289.4,284.6,287.65,838691,454290.95833332173,-33119300,26.237386332620055,18.568949369288575,17.6646662139576,1.2154170733692808,279.4545358701971,-278.2391187968278,54.24453005977198
2010-07-14,290.65,292.7,282.35,284.1,1569665,-2077720.821256035,-34688965,26.73040879438781,16.947656381710082,18.00271886321414,1.574416780735362,280.383628696158,-278.8092119154226,54.46087364311502
2010-07-15,286.0,288.45,284.55,286.65,1087510,167309.2307692064,-33601455,25.71420488190371,16.303361157682463,18.31662489466665,2.0411529320098225,281.63690295692663,-279.5957500249168,53.616901421383574
2010-07-16,287.5,301.0,287.0,299.45,3256391,5070665.985714275,-30345064,33.06080927599543,14.363451906511667,19.824417544311782,3.404613990766734,285.1995223655419,-281.79490837477516,56.55219302841189
2010-07-19,297.15,302.75,296.75,297.85,1899501,-2406034.599999971,-32244565,32.862778192089664,13.633018988400035,21.36253478703912,4.306421940307871,287.7296178924339,-283.42319595212604,57.62631419691692
2010-07-20,299.0,301.9,296.1,297.45,1379521,-1474660.3793103672,-33624086,31.210498213042854,13.511038019371638,22.663570859361066,4.931982217698362,289.67369431394735,-284.741712096249,59.23205871729601
2010-07-21,300.0,304.7,291.2,297.85,6093212,-180539.61481475324,-27530874,27.717317740825916,16.061238234827076,22.946536443211915,5.397796097308117,291.308955451158,-285.9111593538499,57.5747991454397
2010-07-22,299.0,303.0,295.4,298.8,4533278,-954374.3157894167,-22997596,25.956057402327865,15.040648069693496,23.209290199644848,5.777017727153066,292.8071643609265,-287.0301466337734,56.12229788188473
2010-07-23,300.0,304.4,298.8,301.85,2844561,507957.32142863225,-20153035,25.910163912348132,14.31865394068595,23.609622777951188,6.251592261036251,294.61573148874123,-288.364139227705,55.5239812885865
2010-07-26,302.0,303.65,296.05,298.75,1054078,-610255.6842105258,-21207113,24.21153069583955,15.75212849682715,23.43520235193051,6.304878483403456,295.442585190993,-289.13770670758953,55.76533441052346
2010-07-27,300.0,302.8,298.65,299.75,1533237,-1440873.3253011846,-19673876,23.312773094605646,15.167392843390362,23.27324052776845,6.354546629611946,296.30406815279434,-289.9495215231824,54.35291748483381
2010-07-28,301.5,301.5,290.1,291.75,1678080,-2384640.0000000116,-21351956,21.005998798208715,21.087766181867977,21.62474124596174,5.682879456521334,295.39325452223545,-289.7103750657141,52.22284806491306
