Date,Open,High,Low,Close,Volume
20170816,520.8,523.25,508.9,518.7,1654668
20170817,518.0,529.9,509.15,526.75,2086690
20170818,523.05,525.15,508.1,511.6,3540595
20170821,512.4,515.05,505.35,509.3,2214978
20170823,516.5,519.5,508.0,514.9,1323845
20170824,518.0,518.9,510.0,511.7,1187770
20170828,515.0,520.1,510.4,517.9,1011745
20170829,518.4,520.6,512.0,518.25,1432981
20170830,518.5,522.0,511.9,520.35,1662465
20170831,518.0,524.2,515.95,519.5,1866057
20170901,520.25,527.0,519.55,523.65,925942
20170904,523.0,526.3,518.5,521.6,1397252
20170905,522.0,525.0,519.65,520.7,795813
20170906,519.7,521.1,519.0,520.05,2443611
20170907,520.95,525.0,519.5,520.85,1333714
20170908,521.1,524.95,516.7,519.8,1749804
20170911,521.8,524.65,519.7,520.3,1824480
20170912,524.0,535.8,521.55,532.45,2428261
20170913,534.1,536.0,528.0,532.7,1497057
20170914,535.0,535.0,525.0,529.3,1206622
20170915,530.0,536.9,521.5,534.2,2324216
20170918,535.0,547.0,534.25,543.7,2319294
20170919,546.05,547.85,541.25,545.1,1456833
20170920,545.0,549.9,542.15,549.1,2073516
20170921,551.0,551.05,527.8,535.55,1832084
20170922,533.2,534.2,520.25,521.7,2143608
20170925,520.25,529.0,517.05,526.5,3142128
20170926,524.45,527.35,520.0,524.9,1404616
20170927,527.0,529.65,520.5,524.0,1334186
20170928,525.0,525.9,518.25,520.0,3202761
20170929,522.0,524.8,518.05,520.1,1863618
20171003,522.0,524.5,520.0,521.95,2808823
20171004,521.1,522.9,519.05,521.4,2262048
20171005,521.9,524.3,519.25,521.6,951792
20171006,521.0,522.9,520.0,521.65,2112206
20171009,526.7,531.45,523.75,525.75,1782320
20171010,529.0,529.0,517.75,522.9,1261110
20171011,523.3,524.0,507.15,514.5,3156121
20171012,516.0,518.9,510.2,517.55,711624
20171013,517.3,519.7,509.1,510.05,2513289
20171016,511.2,515.3,505.75,514.45,3224630
20171017,512.5,515.0,492.4,494.8,5486362
20171018,490.1,492.9,477.0,490.75,8936181
20171019,494.95,495.2,486.5,489.35,237675
20171023,492.8,500.8,485.05,491.65,4161942
20171024,496.0,537.45,492.7,525.95,12855678
20171025,533.75,543.25,518.85,532.15,6160124
20171026,532.5,541.0,524.55,531.5,2043223
20171027,534.6,543.75,531.25,541.5,2033147
20171030,542.0,550.75,540.3,549.0,1578588
20171031,548.1,548.1,538.65,541.9,1913570
20171101,544.8,544.8,530.75,535.8,2157014
20171102,535.8,535.8,525.4,529.25,3005136
20171103,533.0,540.4,527.25,538.95,2077512
20171106,537.0,538.25,527.45,530.6,1726014
