Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-08,588.9,599.05,587.65,593.9,2621722,0,0,0
2018-01-09,593.1,593.6,578.8,580.05,3938517,0,0,0
2018-01-10,582.0,586.5,579.0,580.5,3939541,0,0,0
2018-01-11,581.9,583.25,577.4,580.0,3333739,0,0,0
2018-01-12,584.0,598.45,579.65,591.0,9177336,0,0,0
2018-01-15,595.95,610.7,595.75,606.15,2944837,0,0,0
2018-01-16,610.4,618.3,607.5,613.4,4805427,0,0,0
2018-01-17,615.95,616.45,584.8,593.1,8594970,0,0,0
2018-01-18,604.0,604.35,588.75,595.85,4229588,0,0,0
2018-01-19,590.0,602.9,585.0,600.35,1852650,0,0,0
2018-01-22,599.8,616.7,598.0,608.85,2713393,0,0,0
2018-01-23,605.4,608.0,591.55,597.15,2448720,0,0,0
2018-01-24,596.9,611.25,590.0,603.2,3537117,0,0,0
2018-01-25,603.0,606.6,592.6,595.85,1782889,0,0,0
2018-01-29,599.0,619.0,599.0,608.9,4384110,27.02702702702699,18.164676304211223,0
2018-01-30,610.45,610.45,597.1,603.0,1627474,25.49135847507863,17.94123459042062,0
2018-01-31,600.0,607.2,589.45,593.7,1844853,23.573465281014148,19.833998514291036,0
2018-02-01,599.5,600.45,585.5,594.95,1806045,22.067509309936067,20.25482521644674,0
2018-02-02,588.0,594.55,577.3,586.1,1443177,20.409773806850612,22.223305821213522,0
2018-02-05,576.0,586.1,573.6,582.7,1228509,19.3037762156136,22.623045968764345,0
2018-02-06,565.0,576.85,558.05,571.75,1296900,17.311529894605396,26.798732683789954,0
2018-02-07,582.9,585.95,573.25,581.15,1708635,20.12601923084965,25.18616166601415,0
2018-02-08,581.8,592.3,581.15,584.8,1194015,21.909054573306943,23.96665755051341,0
2018-02-09,579.4,584.9,575.55,580.95,868462,20.9911876464482,25.47177250663639,0
2018-02-12,585.0,589.8,579.0,584.5,908184,22.198749343799733,24.210092113532653,0
2018-02-14,585.0,586.65,572.1,576.6,672167,20.710407307214503,25.766408210806723,0
2018-02-15,576.9,580.6,565.1,570.9,1621559,19.231184281727124,27.151670980909525,0
2018-02-16,580.0,581.5,565.55,569.6,1908094,18.234518710789626,25.160205109767542,0
2018-02-19,569.9,571.4,553.4,567.95,1708758,17.312722010557646,23.318336862109962,11.222492747114865
2018-02-20,570.0,573.6,561.4,570.75,1080131,17.353673571045217,21.99217540632266,11.262961127115618
2018-02-21,572.0,577.75,570.0,573.1,1201048,18.709156161661646,21.16857416765384,10.898992271997356
2018-02-22,570.0,572.1,565.0,567.05,1898985,17.952427837472747,22.80909525953877,10.971552326941616
2018-02-23,570.0,574.0,566.6,569.95,1052867,18.24800430510251,21.936168228336044,10.843452212609733
2018-02-26,571.5,587.3,569.0,585.45,1041351,23.282518865282167,19.907162394283297,10.627147904494322
2018-02-27,585.45,589.0,575.0,576.5,1137417,22.49372939294895,18.497554049621595,10.564411748722936
2018-02-28,572.0,573.9,564.2,565.35,1239880,21.081356375978658,22.849335498789124,10.097273313758008
2018-03-01,563.95,568.9,551.6,555.4,1671540,19.2504947719796,27.190233540723074,10.5972180236538
2018-03-05,554.9,557.6,546.95,551.85,1269210,18.202461030650667,28.086986466349824,11.36554058523298
2018-03-06,554.5,569.5,553.7,559.5,2853083,22.561385144238834,25.59958399225116,11.004318077655686
2018-03-07,562.4,568.7,556.0,565.1,2115998,21.11253023678386,23.95562097052818,10.668897177762487
2018-03-08,565.9,570.0,560.25,563.5,1291874,20.72032591261336,22.747848722384845,10.24000341665314
2018-03-09,566.0,572.5,564.9,568.5,1112161,21.057155089621993,21.66216803900703,9.609735405014245
2018-03-12,575.0,578.0,565.1,576.25,894309,22.537776307808908,20.175806153565905,9.318310522965215
2018-03-13,572.0,580.35,570.25,579.15,1279371,22.577675882171846,19.072378548673573,9.253864702307649
2018-03-14,574.55,581.85,570.9,576.6,844455,22.04474056279569,17.927622181288974,9.328582401192765
2018-03-15,577.05,578.6,568.6,570.4,948246,20.815957633579824,18.210358612521183,9.13914922824238
2018-03-16,570.4,580.95,569.1,570.35,2562954,20.750562021618524,17.001019298970842,9.195791958591204
2018-03-19,574.0,574.0,563.7,566.45,1501099,19.536133798367462,19.074338314407413,8.624380881169571
2018-03-20,567.45,577.05,562.0,575.1,1329829,19.597662696930758,17.46585758902299,8.419193747354036
2018-03-21,579.8,579.8,564.75,566.85,1232152,19.487332548017108,16.011770495455817,8.517148694908279
2018-03-22,569.65,576.95,553.8,559.2,2725681,17.1255294369091,19.803831194962708,8.426816621718725
2018-03-23,555.5,572.35,551.4,569.4,2132211,15.316414645982821,18.92196291315744,8.577095558348892
2018-03-26,569.95,590.0,567.3,585.85,1384646,22.168246405292976,16.845464422418637,8.93897176662643
