,Symbol,Type,total Sample,Normal %,From Upper/Lower %
1,SBIN,Buy,35,74,94
2,SBIN,Sell,33,81,87
3,ICICIBANK,Buy,34,61,91
4,ICICIBANK,Sell,37,89,97
5,HDFC,Buy,25,68,84
6,HDFC,Sell,29,68,93
7,KOTAKBANK,Buy,26,84,92
8,KOTAKBANK,Sell,32,62,96
9,HDFCBANK,Buy,37,67,100
10,HDFCBANK,Sell,42,69,88
11,AXISBANK,Buy,43,58,86
12,AXISBANK,Sell,40,75,92
13,TATASTEEL,Buy,32,75,93
14,TATASTEEL,Sell,32,75,93
15,CIPLA,Buy,32,84,100
16,CIPLA,Sell,32,81,93
17,INFY,Buy,39,71,94
18,INFY,Sell,42,69,90
19,BPCL,Buy,41,73,97
20,BPCL,Sell,39,69,89
21,COALINDIA,Buy,34,73,97
22,COALINDIA,Sell,26,69,96
23,NTPC,Buy,35,74,97
24,NTPC,Sell,33,57,93
25,POWERGRID,Buy,30,63,96
26,POWERGRID,Sell,36,77,91
27,ONGC,Buy,33,72,100
28,ONGC,Sell,32,75,93
29,BAJFINANCE,Buy,36,69,100
30,BAJFINANCE,Sell,39,61,94
31,INFRATEL,Buy,21,66,90
32,INFRATEL,Sell,22,63,100
33,JSWSTEEL,Buy,31,70,96
34,JSWSTEEL,Sell,28,71,89
35,TATAMOTORS,Buy,36,72,88
36,TATAMOTORS,Sell,39,66,84
37,HEROMOTOCO,Buy,40,77,97
38,HEROMOTOCO,Sell,43,65,88
39,SUNPHARMA,Buy,37,67,100
40,SUNPHARMA,Sell,41,60,87
41,DRREDDY,Buy,39,76,100
42,DRREDDY,Sell,36,72,91
43,HCLTECH,Buy,31,74,96
44,HCLTECH,Sell,40,70,92
45,ULTRACEMCO,Buy,32,71,96
46,ULTRACEMCO,Sell,37,64,86
47,HINDUNILVR,Buy,43,62,90
48,HINDUNILVR,Sell,44,65,86
49,VEDL,Buy,34,70,88
50,VEDL,Sell,30,66,86
51,GRASIM,Buy,37,70,97
52,GRASIM,Sell,43,74,95
53,TECHM,Buy,35,77,97
54,TECHM,Sell,35,62,97
55,INDUSINDBK,Buy,40,80,97
56,INDUSINDBK,Sell,39,64,92
57,GAIL,Buy,26,80,92
58,GAIL,Sell,31,64,87
59,ASIANPAINT,Buy,28,82,100
60,ASIANPAINT,Sell,37,62,91
61,EICHERMOT,Buy,42,71,97
62,EICHERMOT,Sell,44,72,95
63,RELIANCE,Buy,37,78,94
64,RELIANCE,Sell,42,73,80
65,BHARTIARTL,Buy,39,74,92
66,BHARTIARTL,Sell,42,83,92
67,TITAN,Buy,26,69,96
68,TITAN,Sell,31,83,96
69,WIPRO,Buy,30,63,100
70,WIPRO,Sell,35,68,94
71,INFY,Buy,39,71,94
72,INFY,Sell,42,69,90
73,MARUTI,Buy,36,88,94
74,MARUTI,Sell,38,65,84
75,IBULHSGFIN,Buy,20,65,95
76,IBULHSGFIN,Sell,26,57,80
77,ZEEL,Buy,32,81,96
78,ZEEL,Sell,31,70,96
79,ADANIPORTS,Buy,36,75,97
80,ADANIPORTS,Sell,33,51,84
81,UPL,Buy,34,76,100
82,UPL,Sell,36,77,97
83,IOC,Buy,5,100,100
84,IOC,Sell,7,71,100
85,HINDALCO,Buy,38,71,92
86,HINDALCO,Sell,29,75,96
87,BAJAJFINSV,Buy,33,72,96
88,BAJAJFINSV,Sell,41,75,95
