,Symbol,Date,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4,
40,DRREDDY,4-Jan-18,Buy,2410.8,2429,2479,2394.9,2473.4,2470,2512,2470,2476.6,2474.5,2475.75,2450,2457.8,2459.95,2472,2420,2425.8,2
74,ADANIPORTS,5-Jan-18,Buy,423.8,424,427.5,421.1,422.9,422.9,425.55,419.2,421.1,422,427.9,418.75,423.45,423,430.65,421,425.5,1
60,RELIANCE,9-Jan-18,Buy,940.95,943,947.4,935.5,942.35,941.8,942.65,935,937.75,943,952.8,938.25,949,950,958.5,945.2,949.15,1
65,TITAN,17-Jan-18,Sell,893.1,897.75,903.6,875,885.85,879.1,897.55,879.1,891.45,890,912,887.1,909.75,910.7,914.7,898.3,905.7,1
53,GAIL,24-Jan-18,Buy,484.95,486.1,499,479.4,493.75,492.45,498.8,471.45,474.35,479,483.75,474.05,476.1,477.95,483.7,471.5,478.6,3
66,TITAN,25-Jan-18,Sell,884.1,887.4,901.5,880.5,896.2,899.25,911.6,878.35,884.15,883,884.95,859.4,869.55,877.5,879.1,812.75,831,-2.5
32,ONGC,1-Feb-18,Sell,194.9,194,197.75,188,192.7,192.4,192.45,188,188.75,182,187,180.1,185.45,188.05,191.5,187,190,3
1,SBIN,2-Feb-18,Sell,297.35,292.65,300.4,290,298.05,285,297.3,282.9,291.75,296.6,297.9,290,292.8,292.9,303.3,292.55,301.4,2
9,ICICIBANK,5-Feb-18,Sell,329.7,315.25,337.95,313,330.7,335.35,336.4,329.9,332.55,332.55,338.4,329.5,333.85,325,328.65,322.65,326.75,3
16,AXISBANK,5-Feb-18,Sell,566.25,543,577.05,534,563.7,568,574.65,556,559.35,562.8,576.9,559.7,568.45,559.9,561.95,550.4,557.55,4
84,IOC,15-Feb-18,Buy,366.5,349.95,374.4,349.95,362.6,360,375.25,360,371.55,366,377,353.6,355.65,365,371.1,358.15,365.9,-2.5
45,TECHM,21-Feb-18,Buy,595.2,592,606.45,592,602.6,607,624.95,605,621.45,622,627.45,611.05,612.45,618,618.3,602.45,610.55,4
2,SBIN,11-Apr-18,Sell,257.05,257.5,257.5,252.25,253.8,254,255.95,249.7,250.95,249.35,251.3,247.1,249,251.4,252.5,246.6,248.15,2
