,Symbol,Time,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4
303,EURUSD,09-02-2010 00:00,Buy,1.28945,1.28903,1.29176,1.28636,1.28742,1.28749,1.2876100000000001,1.2673299999999998,1.26811,1.26804,1.2762799999999999,1.26577,1.2718399999999999,1.27209,1.27657,1.2661799999999999,1.2693299999999998
79,EURUSD,09-02-2010 00:00,Buy,1.28945,1.28903,1.29176,1.28636,1.28742,1.28749,1.2876100000000001,1.2673299999999998,1.26811,1.26804,1.2762799999999999,1.26577,1.2718399999999999,1.27209,1.27657,1.2661799999999999,1.2693299999999998
156,EURJPY,28-03-2010 00:00,Buy,124.65,124.65,125.46,124.175,124.41,124.405,126.555,124.39,126.235,126.235,127.55,125.955,127.485,127.47,127.91,126.86,127.735
157,EURJPY,04-06-2010 21:00,Sell,124.545,124.54,124.835,123.43,124.745,124.735,125.815,124.663,125.77,126.92,127.45,126.575,126.725,126.72,127.075,125.7,126.865
304,EURUSD,09-06-2010 21:00,Sell,1.26811,1.26804,1.2762799999999999,1.26577,1.2718399999999999,1.27209,1.27657,1.2661799999999999,1.2693299999999998,1.26942,1.27463,1.26425,1.26801,1.26748,1.2891700000000001,1.26748,1.2881200000000002
80,EURUSD,09-06-2010 21:00,Sell,1.26811,1.26804,1.2762799999999999,1.26577,1.2718399999999999,1.27209,1.27657,1.2661799999999999,1.2693299999999998,1.26942,1.27463,1.26425,1.26801,1.26748,1.2891700000000001,1.26748,1.2881200000000002
299,EURUSD,20-06-2010 00:00,Buy,1.23095,1.23094,1.235,1.22506,1.22694,1.22653,1.23438,1.22074,1.23084,1.23076,1.23872,1.22583,1.2332100000000001,1.23304,1.2393399999999999,1.22504,1.23671
225,EURUSD,20-06-2010 00:00,Buy,1.23095,1.23094,1.235,1.22506,1.22694,1.22653,1.23438,1.22074,1.23084,1.23076,1.23872,1.22583,1.23321,1.23304,1.23934,1.22504,1.23671
1,EURUSD,20-06-2010 00:00,Buy,1.23095,1.23094,1.235,1.22506,1.22694,1.22653,1.23438,1.22074,1.23084,1.23076,1.23872,1.22583,1.23321,1.23304,1.23934,1.22504,1.23671
75,EURUSD,20-06-2010 00:00,Buy,1.23095,1.23094,1.235,1.22506,1.22694,1.22653,1.23438,1.22074,1.23084,1.23076,1.23872,1.22583,1.2332100000000001,1.23304,1.2393399999999999,1.22504,1.23671
300,EURUSD,21-06-2010 21:00,Sell,1.22694,1.22653,1.23438,1.22074,1.23084,1.23076,1.23872,1.22583,1.2332100000000001,1.23304,1.2393399999999999,1.22504,1.23671,1.23714,1.23974,1.22631,1.2274100000000001
226,EURUSD,21-06-2010 21:00,Sell,1.22694,1.22653,1.23438,1.22074,1.23084,1.23076,1.23872,1.22583,1.23321,1.23304,1.23934,1.22504,1.23671,1.23714,1.23974,1.22631,1.22741
2,EURUSD,21-06-2010 21:00,Sell,1.22694,1.22653,1.23438,1.22074,1.23084,1.23076,1.23872,1.22583,1.23321,1.23304,1.23934,1.22504,1.23671,1.23714,1.23974,1.22631,1.22741
76,EURUSD,21-06-2010 21:00,Sell,1.22694,1.22653,1.23438,1.22074,1.23084,1.23076,1.23872,1.22583,1.2332100000000001,1.23304,1.2393399999999999,1.22504,1.23671,1.23714,1.23974,1.22631,1.2274100000000001
3,EURUSD,23-06-2010 00:00,Buy,1.23321,1.23304,1.23934,1.22504,1.23671,1.23714,1.23974,1.22631,1.22741,1.22754,1.22904,1.21485,1.21858,1.21822,1.23032,1.21634,1.22351
227,EURUSD,23-06-2010 00:00,Buy,1.23321,1.23304,1.23934,1.22504,1.23671,1.23714,1.23974,1.22631,1.22741,1.22754,1.22904,1.21485,1.21858,1.21822,1.23032,1.21634,1.22351
77,EURUSD,23-06-2010 00:00,Buy,1.2332100000000001,1.23304,1.2393399999999999,1.22504,1.23671,1.23714,1.23974,1.22631,1.2274100000000001,1.2275399999999999,1.22904,1.21485,1.21858,1.21822,1.23032,1.21634,1.22351
301,EURUSD,23-06-2010 00:00,Buy,1.2332100000000001,1.23304,1.2393399999999999,1.22504,1.23671,1.23714,1.23974,1.22631,1.2274100000000001,1.2275399999999999,1.22904,1.21485,1.21858,1.21822,1.23032,1.21634,1.22351
158,EURJPY,13-07-2010 00:00,Buy,112.62,112.625,113.38,111.82,113.145,113.14,113.35,111.53,111.92,111.65,113.06,111.44,112.18,112.18,113.345,111.45,112.69
159,EURJPY,14-07-2010 21:00,Sell,113.145,113.14,113.35,111.53,111.92,111.65,113.06,111.44,112.18,112.18,113.345,111.45,112.69,112.69,112.83,110.77,111.015
4,EURUSD,10-08-2010 21:00,Sell,1.28605,1.28629,1.29315,1.2780200000000002,1.28254,1.28271,1.29056,1.2745799999999998,1.27495,1.2755,1.28699,1.27318,1.28243,1.28215,1.29155,1.28019,1.28831
228,EURUSD,10-08-2010 21:00,Sell,1.28605,1.28629,1.29315,1.2780200000000002,1.28254,1.28271,1.29056,1.2745799999999998,1.27495,1.2755,1.28699,1.27318,1.28243,1.28215,1.29155,1.28019,1.28831
229,EURUSD,02-09-2010 00:00,Buy,1.28945,1.28903,1.29176,1.28636,1.28742,1.28749,1.28761,1.2673299999999998,1.26811,1.26804,1.27628,1.26577,1.27184,1.27209,1.27657,1.26618,1.2693299999999998
5,EURUSD,02-09-2010 00:00,Buy,1.28945,1.28903,1.29176,1.28636,1.28742,1.28749,1.28761,1.2673299999999998,1.26811,1.26804,1.27628,1.26577,1.27184,1.27209,1.27657,1.26618,1.2693299999999998
230,EURUSD,06-09-2010 21:00,Sell,1.26811,1.26804,1.27628,1.26577,1.27184,1.27209,1.27657,1.26618,1.2693299999999998,1.26942,1.27463,1.26425,1.26801,1.26748,1.28917,1.26748,1.2881200000000002
6,EURUSD,06-09-2010 21:00,Sell,1.26811,1.26804,1.27628,1.26577,1.27184,1.27209,1.27657,1.26618,1.2693299999999998,1.26942,1.27463,1.26425,1.26801,1.26748,1.28917,1.26748,1.2881200000000002
82,EURUSD,11-09-2010 22:00,Sell,1.37814,1.3781299999999999,1.38205,1.3634,1.36656,1.3664399999999999,1.3775899999999999,1.35714,1.36895,1.37046,1.3749799999999999,1.3563100000000001,1.35858,1.3586200000000002,1.3654700000000002,1.34467,1.34885
306,EURUSD,11-09-2010 22:00,Sell,1.37814,1.3781299999999999,1.38205,1.3634,1.36656,1.3664399999999999,1.3775899999999999,1.35714,1.36895,1.37046,1.3749799999999999,1.3563100000000001,1.35858,1.3586200000000002,1.3654700000000002,1.34467,1.34885
305,EURUSD,13-09-2010 00:00,Buy,1.2996,1.2996,1.30369,1.2951700000000002,1.30094,1.30081,1.31149,1.2972700000000001,1.3076299999999998,1.30772,1.31587,1.3018100000000001,1.30474,1.3055,1.31203,1.30313,1.3060100000000001
231,EURUSD,13-09-2010 00:00,Buy,1.2996,1.2996,1.30369,1.2951700000000002,1.30094,1.30081,1.31149,1.29727,1.3076299999999998,1.30772,1.31587,1.30181,1.30474,1.3055,1.31203,1.30313,1.30601
7,EURUSD,13-09-2010 00:00,Buy,1.2996,1.2996,1.30369,1.2951700000000002,1.30094,1.30081,1.31149,1.29727,1.3076299999999998,1.30772,1.31587,1.30181,1.30474,1.3055,1.31203,1.30313,1.30601
81,EURUSD,13-09-2010 00:00,Buy,1.2996,1.2996,1.30369,1.2951700000000002,1.30094,1.30081,1.31149,1.2972700000000001,1.3076299999999998,1.30772,1.31587,1.3018100000000001,1.30474,1.3055,1.31203,1.30313,1.3060100000000001
160,EURJPY,14-09-2010 00:00,Buy,111.55,111.55,112.39,110.645,112.165,112.165,112.975,111.595,112.025,111.956,112.35,111.695,111.915,111.915,112.925,111.465,112.855
78,EURUSD,08-10-2010 21:00,Sell,1.28605,1.28629,1.29315,1.2780200000000002,1.28254,1.28271,1.29056,1.2745799999999998,1.27495,1.2755,1.2869899999999999,1.27318,1.28243,1.28215,1.29155,1.28019,1.28831
302,EURUSD,08-10-2010 21:00,Sell,1.28605,1.28629,1.29315,1.2780200000000002,1.28254,1.28271,1.29056,1.2745799999999998,1.27495,1.2755,1.2869899999999999,1.27318,1.28243,1.28215,1.29155,1.28019,1.28831
161,EURJPY,17-10-2010 21:00,Sell,113.225,113.225,113.655,111.81,111.975,111.975,113.37,111.56,113.225,113.215,113.925,112.805,113.205,113.205,113.545,112.59,113.525
8,EURUSD,09-11-2010 22:00,Sell,1.37814,1.37813,1.38205,1.3634,1.36656,1.36644,1.37759,1.35714,1.36895,1.37046,1.37498,1.35631,1.35858,1.3586200000000002,1.3654700000000002,1.34467,1.34885
232,EURUSD,09-11-2010 22:00,Sell,1.37814,1.37813,1.38205,1.3634,1.36656,1.36644,1.37759,1.35714,1.36895,1.37046,1.37498,1.35631,1.35858,1.3586200000000002,1.3654700000000002,1.34467,1.34885
233,EURUSD,21-11-2010 00:00,Buy,1.36254,1.36244,1.36326,1.33614,1.33671,1.33661,1.34209,1.32839,1.3333700000000002,1.33332,1.3387,1.32864,1.3358,1.33579,1.33611,1.32001,1.32395
307,EURUSD,21-11-2010 00:00,Buy,1.3625399999999999,1.3624399999999999,1.3632600000000001,1.3361399999999999,1.33671,1.33661,1.34209,1.32839,1.3333700000000002,1.33332,1.3387,1.32864,1.3358,1.33579,1.3361100000000001,1.3200100000000001,1.32395
