,Symbol,Type,total Sample,Normal %,From Upper/Lower %
1,SBIN,Buy,36,80,97
2,SBIN,Sell,35,71,88
3,SBIN,Buy,0,0,0
4,SBIN,Sell,0,0,0
5,ICICIBANK,Buy,38,86,100
6,ICICIBANK,Sell,37,75,91
7,ICICIBANK,Buy,0,0,0
8,ICICIBANK,Sell,0,0,0
9,HDFC,Buy,28,89,96
10,HDFC,Sell,29,68,93
11,HDFC,Buy,0,0,0
12,HDFC,Sell,0,0,0
13,KOTAKBANK,Buy,37,72,97
14,KOTAKBANK,Sell,36,66,94
15,KOTAKBANK,Buy,0,0,0
16,KOTAKBANK,Sell,0,0,0
17,HDFCBANK,Buy,33,66,87
18,HDFCBANK,Sell,32,78,96
19,HDFCBANK,Buy,0,0,0
20,HDFCBANK,Sell,0,0,0
21,AXISBANK,Buy,40,75,97
22,AXISBANK,Sell,39,58,76
23,AXISBANK,Buy,0,0,0
24,AXISBANK,Sell,0,0,0
25,TATASTEEL,Buy,38,71,94
26,TATASTEEL,Sell,38,60,84
27,TATASTEEL,Buy,0,0,0
28,TATASTEEL,Sell,0,0,0
29,CIPLA,Buy,33,78,100
30,CIPLA,Sell,33,93,100
31,CIPLA,Buy,0,0,0
32,CIPLA,Sell,0,0,0
33,INFY,Buy,36,80,97
34,INFY,Sell,36,63,77
35,INFY,Buy,0,0,0
36,INFY,Sell,0,0,0
37,BPCL,Buy,37,67,94
38,BPCL,Sell,36,75,91
39,BPCL,Buy,0,0,0
40,BPCL,Sell,0,0,0
41,COALINDIA,Buy,38,71,97
42,COALINDIA,Sell,38,63,89
43,COALINDIA,Buy,0,0,0
44,COALINDIA,Sell,0,0,0
45,NTPC,Buy,39,76,94
46,NTPC,Sell,39,48,94
47,NTPC,Buy,0,0,0
48,NTPC,Sell,0,0,0
49,POWERGRID,Buy,44,65,97
50,POWERGRID,Sell,44,75,95
51,POWERGRID,Buy,0,0,0
52,POWERGRID,Sell,0,0,0
53,ONGC,Buy,39,76,97
54,ONGC,Sell,39,61,94
55,ONGC,Buy,0,0,0
56,ONGC,Sell,0,0,0
57,BAJFINANCE,Buy,23,82,95
58,BAJFINANCE,Sell,22,77,100
59,BAJFINANCE,Buy,0,0,0
60,BAJFINANCE,Sell,0,0,0
61,INFRATEL,Buy,24,70,87
62,INFRATEL,Sell,25,48,92
63,INFRATEL,Buy,0,0,0
64,INFRATEL,Sell,0,0,0
65,JSWSTEEL,Buy,30,73,93
66,JSWSTEEL,Sell,30,73,90
67,JSWSTEEL,Buy,0,0,0
68,JSWSTEEL,Sell,0,0,0
69,TATAMOTORS,Buy,30,73,90
70,TATAMOTORS,Sell,30,76,83
71,TATAMOTORS,Buy,0,0,0
72,TATAMOTORS,Sell,0,0,0
73,HEROMOTOCO,Buy,38,84,94
74,HEROMOTOCO,Sell,38,71,97
75,HEROMOTOCO,Buy,0,0,0
76,HEROMOTOCO,Sell,0,0,0
77,SUNPHARMA,Buy,33,87,100
78,SUNPHARMA,Sell,34,70,91
79,SUNPHARMA,Buy,0,0,0
80,SUNPHARMA,Sell,0,0,0
81,DRREDDY,Buy,45,68,84
82,DRREDDY,Sell,44,65,95
83,DRREDDY,Buy,0,0,0
84,DRREDDY,Sell,0,0,0
85,HCLTECH,Buy,41,70,95
86,HCLTECH,Sell,41,78,92
87,HCLTECH,Buy,0,0,0
88,HCLTECH,Sell,0,0,0
89,ULTRACEMCO,Buy,33,87,100
90,ULTRACEMCO,Sell,33,81,96
91,ULTRACEMCO,Buy,0,0,0
92,ULTRACEMCO,Sell,0,0,0
93,HINDUNILVR,Buy,30,90,96
94,HINDUNILVR,Sell,29,62,89
95,HINDUNILVR,Buy,0,0,0
96,HINDUNILVR,Sell,0,0,0
97,VEDL,Buy,36,72,91
98,VEDL,Sell,36,88,94
99,VEDL,Buy,0,0,0
100,VEDL,Sell,0,0,0
101,GRASIM,Buy,34,76,100
102,GRASIM,Sell,35,71,91
103,GRASIM,Buy,0,0,0
104,GRASIM,Sell,0,0,0
105,TECHM,Buy,32,84,100
106,TECHM,Sell,32,68,93
107,TECHM,Buy,0,0,0
108,TECHM,Sell,0,0,0
109,INDUSINDBK,Buy,35,88,100
110,INDUSINDBK,Sell,35,74,94
111,INDUSINDBK,Buy,0,0,0
112,INDUSINDBK,Sell,0,0,0
113,GAIL,Buy,37,89,97
114,GAIL,Sell,37,59,89
115,GAIL,Buy,0,0,0
116,GAIL,Sell,0,0,0
117,ASIANPAINT,Buy,33,75,96
118,ASIANPAINT,Sell,33,66,90
119,ASIANPAINT,Buy,0,0,0
120,ASIANPAINT,Sell,0,0,0
121,EICHERMOT,Buy,30,70,100
122,EICHERMOT,Sell,30,60,86
123,EICHERMOT,Buy,0,0,0
124,EICHERMOT,Sell,0,0,0
125,RELIANCE,Buy,40,77,92
126,RELIANCE,Sell,39,71,89
127,RELIANCE,Buy,0,0,0
128,RELIANCE,Sell,0,0,0
129,BHARTIARTL,Buy,33,57,87
130,BHARTIARTL,Sell,33,75,96
131,BHARTIARTL,Buy,0,0,0
132,BHARTIARTL,Sell,0,0,0
133,TITAN,Buy,30,66,96
134,TITAN,Sell,30,63,100
135,TITAN,Buy,0,0,0
136,TITAN,Sell,0,0,0
137,WIPRO,Buy,34,64,91
138,WIPRO,Sell,33,78,93
139,WIPRO,Buy,0,0,0
140,WIPRO,Sell,0,0,0
141,INFY,Buy,36,80,97
142,INFY,Sell,36,63,77
143,INFY,Buy,0,0,0
144,INFY,Sell,0,0,0
145,MARUTI,Buy,28,85,96
146,MARUTI,Sell,27,70,85
147,MARUTI,Buy,0,0,0
148,MARUTI,Sell,0,0,0
149,IBULHSGFIN,Buy,22,72,95
150,IBULHSGFIN,Sell,23,60,82
151,IBULHSGFIN,Buy,0,0,0
152,IBULHSGFIN,Sell,0,0,0
153,ZEEL,Buy,34,79,100
154,ZEEL,Sell,33,69,93
155,ZEEL,Buy,0,0,0
156,ZEEL,Sell,0,0,0
157,ADANIPORTS,Buy,36,77,97
158,ADANIPORTS,Sell,36,69,91
159,ADANIPORTS,Buy,0,0,0
160,ADANIPORTS,Sell,0,0,0
161,UPL,Buy,38,71,100
162,UPL,Sell,37,81,94
163,UPL,Buy,0,0,0
164,UPL,Sell,0,0,0
165,IOC,Buy,11,63,100
166,IOC,Sell,10,70,100
167,IOC,Buy,0,0,0
168,IOC,Sell,0,0,0
169,HINDALCO,Buy,36,83,88
170,HINDALCO,Sell,36,80,94
171,HINDALCO,Buy,0,0,0
172,HINDALCO,Sell,0,0,0
173,BAJAJFINSV,Buy,42,69,97
174,BAJAJFINSV,Sell,41,56,87
175,BAJAJFINSV,Buy,0,0,0
176,BAJAJFINSV,Sell,0,0,0
