,Symbol,Date,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4,
14,HDFC,1-Jan-18,Buy,2709.3,2714.8,2724,2705.2,2711.05,2724,2724,2707.15,2710.15,2717.5,2717.5,2686.1,2700.75,2738,2738,2702.25,2703.35,1
44,BAJFINANCE,2-Jan-18,Sell,1724.65,1727,1738.35,1711,1715.3,1725,1758.25,1714,1754,1766,1821,1759.1,1814.5,1820,1843,1820,1836.85,-2.5
130,ADANIPORTS,3-Jan-18,Buy,407.65,408.7,410.7,406.05,409.85,411.9,426.95,410.2,423.8,424,427.5,421.1,422.9,422.9,425.55,419.2,421.1,3
31,BPCL,3-Jan-18,Sell,494.9,495,495.5,490.5,491.5,491,494,483.7,487.7,490,501.5,490,497.2,499,500.75,491.25,496.1,2
98,ASIANPAINT,4-Jan-18,Buy,1172.05,1178,1192,1167.45,1185.25,1190,1190.85,1173.5,1182,1183.1,1197.2,1175.1,1193.05,1186,1189.1,1171.1,1177.4,1
83,GRASIM,5-Jan-18,Buy,1214.2,1213,1215.5,1190,1203,1204.5,1243.9,1196.55,1237.5,1240.85,1249.5,1224.2,1235.5,1245,1255.7,1221.85,1244,2
45,BAJFINANCE,5-Jan-18,Buy,1814.5,1820,1843,1820,1836.85,1843,1843,1810,1819.5,1820,1820.95,1794,1802.2,1798,1798,1773.05,1780.35,1
90,INDUSINDBK,8-Jan-18,Buy,1719.9,1725,1729.95,1706.75,1725.05,1724.95,1742.55,1711.15,1734.1,1740,1752,1685,1700.3,1710,1720.45,1688,1705.25,1
109,RELIANCE,9-Jan-18,Buy,940.95,943,947.4,935.5,942.35,941.8,942.65,935,937.75,943,952.8,938.25,949,950,958.5,945.2,949.15,1
114,BHARTIARTL,15-Jan-18,Sell,504.5,508,513.65,491.4,497.25,495,503.2,491.45,499.9,501,508.8,493,495,484,500.25,483.5,497.9,2
46,BAJFINANCE,17-Jan-18,Sell,1701.2,1712,1717.25,1654,1660.7,1660.9,1711.25,1632.6,1701.9,1714,1726,1678,1706.35,1710,1718,1692.4,1708.7,2
54,TATAMOTORS,24-Jan-18,Sell,403.6,403.45,407.65,398,400.3,402.5,405.9,398.1,399.25,400,402.3,395,395.85,395.5,400.95,395.25,399.5,1
102,HINDALCO,24-Jan-18,Sell,258.7,259.3,266.85,256.4,258.95,261.6,263.9,253.4,258.6,257.75,258,252.55,253.55,253.4,263.2,252,256.15,-2.5
1,SBIN,24-Jan-18,Buy,329.9,332.75,332.75,311.85,313.15,313.15,316.9,311,312.1,312.05,318.85,311,313.55,313,316.6,307.85,313.25,-2.5
23,CIPLA,1-Feb-18,Sell,587.05,586,593.9,575.1,581.15,576,582.1,571.2,580.1,561,572,558.05,564.25,578.5,579.9,554.2,569.25,2
119,WIPRO,2-Feb-18,Sell,300.6,298,305.55,295.95,298.75,291.7,296.15,290.1,294.65,298.2,298.2,288,289.35,290.1,294.65,287.05,289.8,2
136,UPL,2-Feb-18,Sell,733.05,712.5,728.95,697,722.5,696,711.5,680,700.05,711.8,715.8,699.8,701.25,704,722,702.9,718.05,3
69,ULTRACEMCO,2-Feb-18,Sell,4179.45,4122.85,4179.8,4052.05,4146.4,3980,4114.75,3948.6,4092.65,4157.9,4167.85,4051,4081.55,4085,4181.9,4051.95,4167,2
79,VEDL,8-Feb-18,Sell,314.45,307.05,321,306.1,316.3,319.95,319.95,312.6,315.55,320.25,323.4,311.9,315.75,320.1,328.35,320.05,324.4,2
60,SUNPHARMA,9-Feb-18,Buy,582.7,586,608.95,585,589.15,590.95,591.8,571.2,574.8,565.4,584.95,565.4,575.75,564.65,566.65,557,559.5,3
16,HDFCBANK,12-Feb-18,Sell,1876.65,1889.8,1897.9,1874.65,1883.15,1889.7,1894.75,1875,1881.9,1884.75,1885.85,1858.8,1863.2,1867.95,1868.55,1852.2,1857.4,0
24,CIPLA,14-Feb-18,Buy,616.15,613.25,621.45,602.95,605.85,603.45,606.1,592,603.45,607,607.75,589.25,597.25,595,597.25,586.6,589.65,-2.5
6,ICICIBANK,14-Feb-18,Sell,318.95,322.15,331.8,322.15,328.65,320.5,324.2,316.3,317.25,319,320.7,315.7,319.2,317,319.3,313.95,318.35,-2.5
25,CIPLA,21-Feb-18,Sell,597.25,595,597.25,586.6,589.65,591.8,605,590,595.65,596.25,598.3,588.75,590.1,591.7,598.9,583.1,586.5,1
63,HCLTECH,22-Feb-18,Sell,941,948.9,967.9,942.9,955.6,955.9,965.1,943.05,946.05,953,958.6,944,949.9,954.9,958.35,935.8,940.3,-2.5
110,RELIANCE,27-Feb-18,Buy,950.5,945.95,957.1,943.2,954.55,949.75,959.9,945.95,948.4,943,950.15,921.6,924.1,929,936.2,905.1,910.85,0
64,HCLTECH,28-Feb-18,Sell,940.3,943.8,952.45,938,942.8,942.8,944.65,917.8,932.1,938,953,926.5,932.8,938,952.8,933.8,949.55,2
80,VEDL,5-Mar-18,Sell,315.9,318.3,327.45,311.1,313.45,312.6,313.4,303.2,309.35,313.9,317,301.85,308.4,311.8,316.4,302.55,304.15,-2.5
91,INDUSINDBK,7-Mar-18,Buy,1704.25,1711.9,1718.25,1682.45,1694.15,1702,1708.2,1685,1697.55,1705,1738.8,1705,1735.3,1734.9,1751,1715.8,1729.5,1
56,HEROMOTOCO,13-Mar-18,Buy,3701.2,3680,3687.2,3622,3639.35,3641.9,3690,3632,3640.8,3665,3665,3530.65,3546.1,3546,3549,3490.8,3515.3,-2.5
35,NTPC,15-Mar-18,Buy,169.9,167.8,169.45,163.65,164.85,165,167.9,163.65,167,166.4,167.3,164.65,166.4,167.5,170.85,165.65,170.35,-2.5
47,BAJFINANCE,15-Mar-18,Buy,1726.25,1712,1724.65,1681.05,1687.9,1698.9,1698.9,1627,1631.85,1627,1663.1,1615.2,1657.3,1674.5,1712,1665.5,1704.55,-2.5
99,ASIANPAINT,15-Mar-18,Buy,1160.8,1159.9,1159.9,1118.4,1122.75,1121.15,1124,1097.9,1102.55,1102,1117,1092.15,1106.5,1106.5,1116,1100,1103.55,-2.5
36,NTPC,19-Mar-18,Buy,167,166.4,167.3,164.65,166.4,167.5,170.85,165.65,170.35,169,171.2,168.5,170.95,168.9,171.8,168.3,170.05,1
48,BAJFINANCE,20-Mar-18,Sell,1657.3,1674.5,1712,1665.5,1704.55,1708,1720,1690.15,1695.6,1655,1695,1655,1685.3,1698.9,1748,1686,1741.6,-2.5
65,HCLTECH,21-Mar-18,Sell,937.35,941,948.9,925,930.55,905,960.55,903.55,957.4,957.2,971,945,967.05,975,978.9,954.5,972.05,2
49,BAJFINANCE,21-Mar-18,Buy,1704.55,1708,1720,1690.15,1695.6,1655,1695,1655,1685.3,1698.9,1748,1686,1741.6,1750,1798,1749.8,1772.45,-2.5
37,NTPC,21-Mar-18,Buy,170.35,169,171.2,168.5,170.95,168.9,171.8,168.3,170.05,169.95,171,168.75,169.85,170.25,171.5,168.45,171.05,0
128,ZEEL,27-Mar-18,Buy,586.5,584.5,588.8,573,575.5,577.3,581.6,573.35,578.95,581,586.5,569.2,581.55,585.95,586.9,573,574.45,0
77,HINDUNILVR,2-Apr-18,Buy,1351.3,1347.1,1355.5,1338.65,1348.4,1348,1360,1339.55,1357.45,1380,1383.8,1362.7,1382.2,1381.95,1381.95,1362.45,1374.8,2
100,ASIANPAINT,3-Apr-18,Buy,1152.1,1156.9,1157.7,1126,1136,1151.8,1156.8,1137.55,1142.9,1142.9,1152.8,1135,1143.5,1145,1171.5,1139.95,1157.45,1
124,MARUTI,4-Apr-18,Buy,9013.5,9050,9157.65,9050,9132.6,9165,9230,9042.55,9206.2,9220,9308.15,9184.7,9292.65,9290,9315.45,9239,9273.45,2
57,HEROMOTOCO,4-Apr-18,Buy,3667.15,3700,3796,3699.95,3782.15,3781,3787.95,3750,3779.45,3784,3807.1,3775.2,3798.7,3815,3815,3714,3718.3,3
111,RELIANCE,12-Apr-18,Buy,928.7,932.7,941.7,928.7,938.85,934.45,940,928.5,937.05,940,947.2,936,944.25,945.25,948.2,935.05,938,1
18,AXISBANK,13-Apr-18,Buy,542.55,541.5,543.8,530.35,542.4,544.95,544.95,530.25,532.4,535.5,535.5,516.5,518.25,521,521.45,509.1,512.9,-2.5
103,HINDALCO,16-Apr-18,Buy,239.45,241.5,246.8,238,239.4,239.7,244.75,236.05,242.8,250,267.8,249.1,264.75,255.95,263.5,254.25,262.1,2
26,CIPLA,18-Apr-18,Buy,584.6,584.25,592,583.05,584.4,582.35,593.4,581.5,589.05,576,601.75,576,600.15,601,604.9,595.1,601.9,2
131,ADANIPORTS,19-Apr-18,Buy,386.55,386,387.25,378.95,381.15,381.45,389.55,375.55,386.35,387.25,394.5,387.1,392.25,394,397.45,390.2,391.9,-2.5
41,ONGC,20-Apr-18,Buy,182.35,183.4,183.75,179.4,181.05,182.1,183.05,181.5,182.65,181.6,182.45,178.7,179.45,179.45,181.8,177.3,180.8,-2.5
