,Symbol,Date,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4
5,HDFC,23-Mar-2018,Buy,2817.85,2821.0,2838.8,2813.35,2815.15,2820.0,2829.0,2809.1,2814.25,2816.0,2820.5,2803.5,2805.0,2799.95,2812.9,2789.0,2803.4
8,HDFC,23-Mar-2018,Buy,2817.85,2821.0,2838.8,2813.35,2815.15,2820.0,2829.0,2809.1,2814.25,2816.0,2820.5,2803.5,2805.0,2799.95,2812.9,2789.0,2803.4
1,SBIN,23-May-2018,Buy,263.2,263.85,269.7,260.65,268.5,267.8,268.4,262.55,266.95,267.4,274.2,266.05,272.05,270.5,270.95,262.8,264.3
2,SBIN,25-Jul-2018,Buy,271.85,275.1,289.4,274.2,287.7,289.5,297.0,285.1,286.75,289.2,299.55,289.2,297.4,297.0,302.4,291.8,293.5
6,HDFC,30-Aug-2018,Buy,2758.65,2769.9,2778.0,2760.75,2766.75,2763.5,2763.5,2745.4,2755.7,2763.75,2794.0,2749.9,2762.05,2756.05,2782.0,2750.15,2766.45
9,HDFC,30-Aug-2018,Buy,2758.65,2769.9,2778.0,2760.75,2766.75,2763.5,2763.5,2745.4,2755.7,2763.75,2794.0,2749.9,2762.05,2756.05,2782.0,2750.15,2766.45
3,SBIN,02-Nov-2018,Buy,285.35,286.45,300.0,283.5,294.95,296.1,298.3,283.9,286.45,288.9,288.9,285.95,286.55,287.0,287.5,282.45,283.25
4,SBIN,11-Dec-2018,Buy,281.25,283.75,285.85,282.2,285.25,290.0,294.0,285.75,289.0,288.5,290.8,287.05,289.2,289.3,291.45,287.3,289.5
7,HDFC,12-Dec-2018,Buy,2873.15,2853.0,2871.85,2853.0,2855.25,2868.85,2868.85,2851.1,2857.6,2848.1,2868.0,2840.6,2857.15,2856.5,2869.0,2839.95,2841.3
10,HDFC,12-Dec-2018,Buy,2873.15,2853.0,2871.85,2853.0,2855.25,2868.85,2868.85,2851.1,2857.6,2848.1,2868.0,2840.6,2857.15,2856.5,2869.0,2839.95,2841.3
